DateTime,AddedIPs,RemovedIPs
1590547160,1,1
1590550553,1,1
1590554158,1,0
1590557770,0,1
1590561334,1,1
1590564776,1,0
1590568730,1,1
1590572101,1,1
1590575733,1,1
1590583115,1,1
1590586533,1,1
1590590252,0,1
1590594045,1,0
1590597427,1,1
1590601118,0,1
1590605106,1,0
1590608344,0,1
1590611981,1,1
1590615937,1,0
1590619177,1,1
1590623023,2,1
1590627001,1,1
1590630326,1,1
1590634111,1,1
1590637774,1,1
1590641359,1,1
1590645006,1,1
1590648587,1,1
1590651968,1,1
1590655808,0,1
1590659384,1,1
1590670184,1,0
1590673768,0,1
1590677374,1,1
1590681053,1,1
1590684608,1,1
1590688280,1,1
1590691851,1,1
1590695424,1,1
1590702589,1,1
1590706181,1,1
1590709787,1,1
1590713425,1,1
1590717240,1,1
1590720651,0,1
1590728085,1,0
1590731928,1,1
1590734905,1,1
1590738886,0,1
1590742006,1,1
1590745942,1,1
1590749984,1,0
1590752716,1,1
1590756403,0,1
1590760045,1,0
1590764192,1,1
1590770811,0,1
1590774401,1,0
1590779100,0,1
1590781833,1,1
1590786139,1,0
1590789024,0,1
1590793003,0,1
1590800790,1,0
1590803744,1,0
1590807551,1,1
1590811228,1,1
1590814597,1,1
1590818423,0,1
1590822363,0,1
1590825572,1,0
1590829193,1,1
1590832843,1,0
1590836435,1,1
1590839868,1,1
1590843631,1,1
1590847207,0,1
1590850803,1,0
1590854372,1,1
1590858031,0,1
1590861861,0,1
1590865248,1,0
1590868837,1,0
1590872425,1,1
1590876048,1,1
1590879410,1,1
1590883231,1,1
1590887176,0,1
1590890774,1,1
1590894115,1,1
1590898048,1,0
1590901555,1,1
1590904951,1,1
1590908726,1,1
1590912168,0,1
1590915941,1,1
1590919349,1,0
1590923294,1,1
1590926683,1,1
1590930328,0,1
1590937582,1,1
1590941199,1,0
1590945074,1,1
1590952261,1,1
1590955584,1,1
1590959560,0,1
1590963200,1,1
1590966935,1,1
1590974175,1,1
1590977743,1,1
1590981308,1,0
1590984645,1,1
1590988247,1,1
1590992454,1,1
1590995442,0,1
1590999063,1,1
1591010224,1,1
1591013658,2,1
1591020646,1,1
1591024501,1,1
1591031744,1,0
1591035342,1,1
1591038942,1,1
1591042554,1,1
1591046136,1,1
1591053348,0,1
1591056960,1,1
1591060553,1,0
1591064175,1,1
1591067784,1,1
1591071358,0,1
1591074884,0,1
1591078678,1,0
1591085583,1,1
1591089243,1,0
1591093067,1,1
1591096337,1,1
1591100160,1,1
1591103802,1,1
1591107791,0,1
1591118137,1,1
1591121690,1,0
1591125340,1,1
1591129529,0,1
1591132527,1,1
1591136051,1,1
1591140296,1,0
1591143589,1,1
1591147424,0,1
1591151150,1,1
1591158361,1,1
1591161935,1,1
1591165049,1,0
1591169200,1,1
1591172734,1,0
1591176364,1,1
1591179956,1,1
1591183863,0,1
1591186582,0,1
1591194091,1,0
1591198538,1,1
1591201923,1,0
1591205434,1,1
1591208503,0,1
1591212548,1,1
1591219909,1,0
1591223284,1,1
1591226834,1,1
1591230878,1,1
1591234211,1,1
1591238191,0,1
1591241407,1,0
1591244840,1,1
1591248664,1,1
1591252240,1,1
1591255845,0,1
1591259440,1,1
1591266627,1,1
1591269975,1,1
1591274341,1,0
1591277805,1,1
1591281388,1,1
1591284398,0,1
1591292031,1,0
1591296240,1,1
1591303325,1,1
1591306845,0,1
1591310589,1,0
1591314096,1,1
1591320967,1,1
1591324897,1,1
1591328359,1,1
1591332184,0,1
1591335879,1,1
1591339014,0,1
1591342991,1,0
1591346919,1,0
1591350501,1,1
1591353817,1,1
1591356958,0,1
1591360510,1,0
1591364486,0,1
1591375545,2,1
1591379136,1,2
1591383928,1,1
1591388746,1,0
1591391152,1,1
1591393859,0,1
1591400949,1,1
1591404950,1,0
1591407318,1,1
1591411115,1,1
1591415639,1,1
1591420160,0,1
1591423730,0,1
1591427482,1,0
1591431084,1,0
1591434665,1,1
1591438285,0,1
1591445508,1,0
1591449109,1,1
1591452704,0,1
1591456328,1,1
1591460285,77,1
1591463954,1,0
1591467616,0,1
1591471171,0,60
1591474832,1,0
1591478824,1,1
1591486434,0,1
1591489438,1,0
1591493109,0,1
1591500874,13,0
1591504529,2,0
1591507568,1,0
1591510601,0,17
1591514512,1,1
1591518305,1,0
1591521456,0,1
1591525020,1,2
1591532348,1,0
1591535857,1,2
1591539469,1,0
1591543077,1,0
1591550340,0,1
1591554024,2,1
1591561136,1,2
1591564870,0,1
1591582969,1,0
1591586881,22,0
1591594155,0,1
1591597824,0,17
1591615267,0,1
1591636932,1,1
1591640762,1,0
1591647990,1,1
1591651769,0,1
1591659927,1,0
1591663420,1,0
1591666885,0,1
1591677525,0,1
1591681086,29,1
1591684891,3,0
1591689557,1,0
