DateTime,AddedIPs,RemovedIPs
1548597606,234,0
1548684006,296,0
1548770406,316,0
1548856806,291,69
1548943207,271,0
1549029607,286,0
1549116005,118,6346
1549202415,344,0
1549288806,322,0
1549375211,412,0
1549461606,396,0
1549548007,326,0
1549634414,341,0
1549720806,316,0
1549807208,256,0
1549893606,261,0
1549980006,288,0
1550066407,367,0
1550152807,280,0
1550239205,231,0
1550325606,292,0
1550412009,296,154
1550498407,288,0
1550584806,298,0
1550671206,276,0
1550757609,239,1
1550844006,241,0
1550930406,239,0
1551016809,260,0
1551103206,219,0
1551189608,265,0
1551276007,266,0
1551362409,243,0
1551448806,264,0
1551535208,231,50
1551621606,238,0
1551708006,286,0
1551794408,440,191
1551880813,55,8863
1551967206,667,0
1552053610,492,0
1552140006,402,0
1552226406,385,0
1552312806,342,0
1552399211,432,0
1552485607,452,0
1552572010,411,0
1552658406,370,0
1552744806,317,0
1552831207,261,0
1552917616,275,0
1553004006,307,0
1553090407,304,0
1553176807,297,0
1553263207,258,0
1553349606,244,0
1553436007,207,0
1553522406,286,0
1553608809,4,6834
1553695207,631,0
1553781607,510,0
1553868007,468,0
1553954406,367,0
1554040806,330,0
1554127207,402,0
1554213606,390,0
1554300007,342,0
1554386407,306,0
1554472807,314,0
1554559206,249,0
1554645606,248,0
1554732007,242,0
1554818407,300,0
1554904871,319,0
1554991206,285,0
1555077607,286,0
1555164007,284,0
1555250409,266,0
1555336806,256,0
1555423208,261,0
1555509606,266,2
1555596008,283,0
1555682406,270,0
1555768806,286,0
1555855206,229,0
1555941606,233,148
1556028006,167,8265
1556114409,485,0
1556200806,413,112
1556287213,439,0
1556373607,414,0
1556460008,413,0
1556546407,312,0
1556632806,295,0
1556719210,337,0
1556805607,360,0
1556892020,353,0
1556978408,343,0
1557064808,264,0
1557151206,312,0
1557237608,319,237
1557324006,318,0
1557410407,316,0
1557496806,282,0
1557583206,277,0
1557669606,91,6044
1557756007,556,0
1557842406,462,0
1557928806,492,0
1558015207,492,0
1558101606,417,0
1558188009,373,0
1558274407,379,0
1558360811,397,0
1558447208,310,0
1558533606,348,2
1558620006,302,2
1558706406,286,0
1558792809,291,0
1558879213,251,0
1558965607,299,0
1559052007,283,0
1559138406,303,0
1559224806,296,0
1559311308,251,0
1559397610,238,0
1559484010,201,0
1559570413,233,0
1559656807,264,0
1559743206,277,191
1559829606,278,0
1559916006,220,0
1560002406,245,0
1560088808,154,8651
1560175206,448,0
1560261606,459,0
1560348009,374,183
1560434407,378,0
1560520811,397,0
1560607206,375,0
1560693606,349,0
1560780008,399,0
1560866406,350,0
1560952810,381,0
1561039206,333,0
1561125606,323,0
1561212009,298,0
1561298406,258,0
1561384814,303,0
1561471207,289,0
1561557612,294,0
1561644012,298,0
1561730410,196,6337
1561816813,430,0
1561903206,358,0
1561989608,369,0
1562076006,419,0
1562162410,399,0
1562248806,242,2010
1562335207,468,0
1562421614,419,0
1562508006,369,0
1562594407,363,0
1562680809,353,0
1562767210,401,0
1562853610,344,2815
1562940007,479,0
1563026406,408,0
1563112822,334,0
1563199207,396,0
1563285610,367,0
1563372007,386,0
1563458406,326,0
1563544810,35,3074
1563631209,469,0
1563717607,398,0
1563804014,388,0
1563890409,362,0
1563976810,350,0
1564063211,324,0
1564149607,338,0
1564236006,280,0
1564322406,238,0
1564408813,277,0
1564495210,292,0
1564581607,285,0
1564668008,292,0
1564754406,255,4053
1564840810,373,0
1564927209,344,0
1565013607,351,0
1565100010,360,0
1565186408,328,0
