DateTime,AddedIPs,RemovedIPs
1591998731,2,40
1592000654,1,8
1592002582,5,15
1592004490,1,2
1592006432,1,3
1592008344,1,2
1592010499,8,2
1592014343,2,1
1592016252,2,0
1592018194,0,1
1592020093,1,1
1592022009,2,0
1592023943,2,2
1592025862,1,1
1592027782,4,2
1592029691,1,7
1592031635,5,10
1592033566,4,2
1592035468,2,1
1592037370,0,1
1592039317,0,2
1592041208,2,7
1592043135,0,2
1592045066,5,5
1592046978,4,1
1592048892,5,1
1592050824,24,5
1592052731,50,2
1592054651,2,1
1592056584,2,1
1592058489,1,1
1592061404,1,3
1592063310,1,3
1592065218,1,3
1592067135,8,5
1592069070,13,4
1592070974,13,3
1592072891,14,1
1592074841,13,1
1592076736,2,3
1592078656,1,2
1592080584,2,1
1592082493,0,2
1592084414,3,1
1592086354,2,7
1592088254,2,5
1592090174,3,1
1592092110,1,1
1592094014,0,1
1592096120,1,4
1592098331,2,4
1592100268,3,3
1592102255,1,2
1592104092,0,1
1592107944,1,1
1592109847,1,1
1592111773,4,1
1592113704,1,2
1592115610,6,0
1592117528,8,1
1592119469,1,4
1592121368,2,2
1592126172,3,0
1592128105,1,4
1592130007,2,1
1592131935,0,5
1592133864,0,2
1592135768,2,4
1592137698,2,53
1592139963,0,5
1592141794,1,0
1592143960,1,2
1592145853,113,2
1592147768,79,2
1592149745,1,1
1592151616,5,0
1592153534,2,14
1592155469,3,14
1592157384,6,13
1592159287,1,14
1592162407,9,17
1592164328,22,4
1592166267,6,2
1592168168,13,0
1592170091,12,1
1592172972,19,5
1592174904,17,2
1592176817,11,3
1592178730,17,1
1592180668,265,0
1592182568,63,1
1592184507,186,0
1592187382,376,1
1592189292,252,3
1592191208,230,1
1592193144,96,0
1592195052,78,0
1592196967,96,1
1592198904,81,2
1592200828,99,1
1592202746,70,5
1592204721,158,2
1592206572,94,1
1592208513,92,0
1592210407,224,1
1592212329,177,1
1592214266,125,1
1592216186,102,3
1592218090,94,0
1592220023,102,0
1592221930,127,1
1592223863,163,1
1592225785,192,0
1592227685,140,2
1592230567,195,2
1592232569,121,1
1592234568,133,0
1592236587,114,0
1592238490,85,0
1592240422,24,1
1592242351,89,3
1592244264,135,4
1592246169,116,0
1592248108,84,6
1592250008,149,3
1592252175,154,5
1592254093,163,6
1592256046,120,3
1592257936,112,3
1592259851,32,3
1592261789,0,5
1592263689,1,3
1592266570,0,163
1592268489,1,167
1592270552,1,139
1592272585,1,321
1592274492,1,140
1592277369,1,380
1592279300,2,120
1592281225,1,77
1592283152,4,89
1592285051,1,83
1592286987,2,97
1592288889,1,84
1592291779,2,211
1592293707,4,148
1592295616,0,195
1592297529,0,249
1592299484,4,117
1592301371,0,148
1592303290,2,64
1592305262,8,124
1592307135,1,133
1592309077,7,83
1592310989,1,199
1592312911,2,169
1592314815,7,193
1592316756,1,144
1592318675,2,99
1592320571,3,122
1592322509,3,111
1592324414,3,106
1592326332,5,28
1592328268,1,56
1592330169,4,171
1592332413,2,140
1592334290,3,74
1592336174,1,151
1592338105,3,133
1592340029,4,157
1592341929,3,151
1592343867,3,101
1592345778,2,67
1592347688,2,1
1592349625,1,1
1592351527,1,0
1592353478,2,2
1592355370,0,3
1592357318,1,1
1592359306,0,3
1592361133,3,0
1592363065,2,1
1592364999,1,1
1592366903,3,2
1592368817,0,2
1592370757,4,2
1592372652,4,5
1592374569,0,1
1592376494,3,8
1592378425,25,3
1592380388,0,2
1592382252,5,1
1592384170,0,1
1592386108,2,3
1592388980,3,5
1592390894,3,0
1592392835,2,10
1592394757,2,7
1592396680,5,4
1592398572,3,3
1592400661,0,3
1592402652,4,2
1592404593,2,2
1592406496,3,5
1592408411,3,3
1592410396,4,1
1592412257,0,2
1592414169,4,1
1592416119,4,4
1592418015,21,2
1592419932,51,2
1592421902,0,2
1592423776,5,1
1592425690,2,1
1592427675,2,1
