DateTime,AddedIPs,RemovedIPs
1574076743,1,0
1574162198,0,1
1574220275,1,0
1574263448,1,0
1574308126,0,1
1574347478,0,1
1574558191,1,0
1574644359,0,1
1575090494,1,0
1575175459,0,1
1575868813,1,0
1575954329,0,1
1576129719,3,0
1576131627,1,0
1576215864,0,4
1576280411,1,0
1576366355,0,1
1576625075,1,0
1576710298,0,1
1576712652,1,0
1576797612,0,1
1576808888,1,0
1576893855,0,1
1576913551,1,0
1576942597,1,0
1577001392,0,1
1577027313,0,1
1577354432,1,0
1577362357,1,0
1577441324,0,1
1577447535,0,1
1577627048,2,0
1577629051,1,0
1577634526,2,0
1577636478,1,0
1577715164,0,3
1577720894,0,2
1577861766,1,1
1577927558,1,0
1577949868,0,1
1577953940,1,0
1577973891,1,0
1578012974,0,1
1578061940,0,1
1578093744,0,1
1578104180,2,0
1578115940,1,0
1578123849,1,0
1578191072,0,2
1578202590,0,1
1578208349,1,0
1578210255,0,1
1578293530,0,1
1578385227,1,0
1578470922,0,1
1578494649,1,0
1578580596,0,1
1578877245,1,0
1578890919,1,0
1578898610,1,0
1578964396,0,1
1578977795,0,1
1578984765,0,1
1579030087,1,0
1579077851,1,0
1579079818,1,0
1579103312,1,0
1579116753,0,1
1579164518,0,1
1579166423,0,1
1579188527,0,1
1579273002,1,0
1579359137,0,1
1579553556,1,0
1579606338,1,0
1579644049,0,1
1579645960,1,0
1579679063,1,0
1579692487,0,1
1579732098,0,1
1579740727,1,0
1579752520,1,0
1579766176,0,1
1579828813,0,1
1579838454,0,1
1579960863,1,0
1580004499,1,0
1580006409,1,0
1580026574,1,0
1580090916,0,1
1580092836,0,1
1580110352,0,2
1580143715,1,0
1580229862,0,1
1580239227,1,0
1580325157,0,1
1580423292,1,0
1580509470,0,1
1580516172,1,0
1580550729,1,0
1580602379,0,1
1580635207,0,1
1580642680,1,0
1580682492,1,0
1580729290,0,1
1580750173,1,0
1580788333,0,1
1580830095,2,0
1580836849,0,1
1580914102,0,2
1581018746,1,0
1581103001,0,1
1581367470,1,0
1581451730,0,1
1581466569,1,0
1581480027,1,0
1581504981,1,0
1581552982,1,1
1581566558,0,1
1581592101,0,1
1581595964,2,0
1581597861,1,0
1581601936,1,0
1581605790,1,0
1581607727,1,0
1581638434,0,1
1581683534,0,2
1581685703,0,1
1581687665,0,1
1581693380,0,1
1581759129,1,1
1581841452,1,0
1581848173,0,1
1581926695,0,1
1581964812,1,0
1582015213,1,0
1582038509,1,0
1582055768,0,1
1582101140,0,1
1582103300,1,0
1582125375,0,1
1582188984,0,1
1582204573,1,0
1582243269,1,0
1582291930,0,1
1582326748,0,1
1582352172,1,0
1582437370,0,1
1582485862,2,0
1582495483,1,0
1582541530,1,0
1582573704,0,2
1582583286,0,1
1582617878,1,0
1582623612,1,0
1582629372,0,1
1582702808,0,1
1582706663,0,1
1582733779,1,0
1582743380,1,0
1582751079,1,0
1582820889,0,1
1582829529,1,0
1582831453,0,1
1582833389,1,0
1582838174,0,1
1582847781,1,0
1582857608,1,0
1582859532,1,0
1582881619,1,0
1582916478,0,1
1582920311,0,1
1582933694,0,1
1582945239,0,1
1582949312,0,1
1582966580,0,1
1583021788,1,0
1583025643,1,0
1583041217,1,0
1583082978,2,0
1583092571,1,0
1583108892,0,1
1583112058,0,1
1583128345,0,1
1583146583,2,0
1583158121,1,0
1583169610,0,2
1583180174,0,1
1583184011,1,0
1583185956,1,0
1583232728,0,1
1583234650,0,1
1583246195,0,1
1583270176,0,1
1583496986,1,1
1583580043,2,0
1583583877,0,1
1583627052,1,0
1583633781,1,0
1583639530,2,0
1583664496,0,1
1583666429,0,1
1583714673,0,1
1583718492,0,1
1583724250,0,2
1583732194,1,0
1583811369,1,0
1583819051,0,1
1583844032,1,0
1583899239,0,1
1583928983,0,1
1584094576,1,0
1584178094,0,1
1584441132,1,0
1584526573,0,1
1584550355,1,0
1584630519,1,0
1584638173,0,1
1584716679,1,0
1584736087,1,0
1584768743,0,1
1584798733,1,0
1584802581,0,1
1584821805,0,1
1584832577,1,0
1584858506,1,0
1584886347,0,1
1584917055,0,1
1584942360,0,1
1584987369,1,0
1585009475,1,0
1585011367,1,0
1585023146,1,0
1585068497,1,0
1585074252,0,1
1585096340,0,1
1585098266,1,1
1585105941,1,0
1585109777,0,1
1585154914,0,1
1585185177,0,1
1585192809,1,1
1585350996,0,1
1585426368,1,0
1585430171,1,0
1585465240,1,0
1585513458,0,1
1585524023,0,1
1585550901,0,1
1586144926,1,0
1586146812,1,0
1586152581,1,0
1586229893,1,0
1586231769,0,1
1586233688,0,1
1586239702,0,1
1586313859,0,1
1586351061,1,0
1586376052,1,0
1586399058,1,0
1586400989,2,0
1586408892,1,0
1586438651,0,1
1586453288,1,0
1586460985,0,1
1586487136,0,2
1586489069,0,1
1586495771,0,1
1586537308,1,0
1586539213,0,1
1586620855,0,1
1586701458,1,0
1586762421,1,0
1586782608,1,0
1586788576,0,1
1586812116,1,0
1586823631,1,0
1586848828,0,1
1586868015,0,1
1586895382,1,0
1586899220,0,1
1586909784,0,1
1586953456,1,0
1586981300,0,1
1586990904,1,0
1587041292,0,1
1587075861,1,1
1587120500,1,0
1587162009,0,1
1587208342,1,1
1587253705,1,0
1587295208,0,1
1587337698,0,1
1587343698,1,0
1587428471,0,1
1587543860,1,0
1587545774,1,0
1587550568,1,0
1587552493,2,0
1587587063,1,0
1587614168,2,0
1587631468,0,2
1587637224,0,1
1587639168,0,2
1587642977,1,0
1587646859,1,0
1587672047,0,1
1587699374,0,2
1587729137,1,1
1587732979,0,1
1587777374,1,0
1587814832,0,1
1587832092,1,0
1587849370,1,0
1587863772,0,1
1587878167,1,0
1587923778,0,1
1587935304,0,1
1587961207,0,1
1587976580,1,0
1588040424,1,0
1588065375,0,1
1588100183,1,0
1588125370,0,1
1588207952,1,0
1588231940,0,1
1588292893,0,1
1588400415,1,0
1588481529,1,0
1588487302,0,1
1588501686,1,0
1588504809,1,0
1588539377,1,0
1588567980,0,1
1588589058,0,1
1588590985,0,1
1588622906,0,1
1588626966,1,0
1588711926,0,1
1588720841,1,0
1588766181,1,0
1588794977,1,0
1588808654,0,1
1588853302,0,1
1588879464,0,1
1588940176,1,0
1588950995,1,0
1589037867,0,1
1589043640,1,0
1589087787,0,1
1589130131,0,1
1589185225,1,0
1589202514,1,0
1589272366,0,1
1589286038,0,1
1589388740,1,0
1589422582,1,0
1589428330,1,0
1589462190,1,0
1589476583,0,1
1589509952,0,1
1589515708,0,1
1589545690,0,1
1589567549,1,0
1589599219,1,0
1589613620,1,0
1589631866,1,0
1589655138,0,1
1589663199,1,0
1589671358,1,0
1589686575,0,1
1589700254,0,1
1589707232,1,0
1589713958,1,0
1589717806,0,1
1589750669,0,1
1589752576,1,0
1589757367,0,1
1589761455,1,0
1589793368,0,1
1589799135,0,1
1589840411,0,1
1589846172,0,1
1589903288,1,0
1589912888,1,0
1589961857,1,0
1589991425,0,1
1590001020,0,1
1590028345,1,0
1590049218,0,1
1590112844,0,1
1590311545,1,0
1590344891,1,0
1590347819,1,0
1590389289,1,0
1590398898,0,1
1590416414,1,0
1590418347,1,0
1590422184,1,0
1590432972,0,1
1590441620,0,1
1590449309,1,0
1590476452,0,1
1590502838,0,1
1590504753,0,1
1590508609,0,1
1590534505,0,1
1590550810,1,0
1590635792,3,0
1590637692,0,1
1590720426,0,1
1590747617,1,2
1590834031,2,1
1590837856,1,0
1590888011,1,0
1590918750,0,1
1590920659,0,1
1590924491,1,1
1590975866,0,1
1590993394,1,0
1591012571,0,1
1591079074,0,1
1591127051,1,0
1591140736,1,0
1591183510,1,0
1591187544,1,0
1591191413,1,0
1591213689,0,1
1591215617,1,0
1591227136,0,1
1591269872,0,1
1591273700,0,1
1591281372,0,1
1591298651,0,1
1591303689,1,0
1591348117,1,0
1591379779,1,0
1591391307,0,1
1591395129,1,0
1591411465,1,0
1591415293,1,0
1591433766,0,1
1591466441,0,1
1591472185,1,0
1591481771,0,1
