DateTime,AddedIPs,RemovedIPs
1571340278,0,1
1571347953,0,1
1571350125,3,0
1571353968,0,1
1571359705,1,0
1571363578,1,0
1571365499,1,1
1571367407,3,0
1571371341,1,1
1571373169,1,0
1571377000,0,1
1571378932,0,3
1571380841,1,0
1571386587,0,2
1571392337,1,0
1571399530,1,0
1571412255,3,0
1571414192,1,0
1571419969,0,1
1571437217,0,3
1571445145,0,1
1571447306,1,0
1571449237,0,1
1571453081,0,4
1571457141,0,1
1571459057,0,1
1571462904,1,0
1571466867,0,1
1571478746,0,1
1571484741,0,1
1571492416,1,0
1571500341,0,4
1571502280,3,0
1571512360,1,0
1571514274,3,0
1571521944,1,0
1571531781,0,1
1571533733,1,0
1571535619,3,0
1571545458,3,0
1571549312,0,1
1571556977,1,0
1571568800,1,0
1571574522,1,0
1571578375,0,1
1571590359,0,3
1571596353,3,0
1571598271,0,1
1571602347,2,3
1571610017,0,1
1571611958,1,0
1571621541,0,4
1571633079,0,3
1571642898,0,1
1571654429,1,1
1571660459,0,1
1571666197,1,0
1571676295,1,0
1571684184,0,3
1571688508,1,1
1571696661,0,1
1571710338,1,0
1571718272,1,0
1571722346,0,1
1571741778,0,1
1571751622,0,1
1571759783,1,0
1571764607,1,1
1571774478,0,1
1571782362,2,0
1571796292,0,1
1571803944,0,1
1571825122,1,0
1571846440,0,1
1571850266,1,0
1571852189,0,1
1571867782,0,2
1571910037,0,1
1571935703,0,1
1571949623,1,0
1571953707,1,0
1571988259,1,0
1572036749,0,1
1572040621,0,1
1572071317,0,1
1572104443,1,0
1572110668,1,0
1572193009,0,1
1572194907,0,1
1572213898,1,0
1572299551,0,1
1572313463,1,0
1572343960,1,0
1572383334,1,0
1572401089,0,1
1572416674,1,0
1572422930,1,0
1572430599,0,1
1572459880,1,0
1572469948,0,1
1572502840,0,1
1572510494,0,1
1572513392,1,0
1572544598,0,1
1572598851,1,0
1572600774,0,1
1572624311,1,0
1572684017,0,1
1572707296,0,1
1572718822,1,0
1572805474,1,1
1572819866,1,0
1572827054,1,0
1572891648,0,1
1572906258,0,1
1572911324,0,1
1572937706,1,0
1572958602,1,0
1572984269,1,0
1573014038,1,0
1573024597,0,1
1573044270,0,1
1573070921,0,1
1573097797,0,1
1573152265,1,0
1573154194,1,0
1573190893,1,0
1573203225,1,0
1573238436,0,1
1573240359,0,1
1573278018,0,1
1573290990,1,1
1573308774,1,0
1573318578,1,0
1573336330,1,0
1573356492,2,0
1573375943,0,1
1573377856,1,0
1573393473,0,1
1573405488,0,1
1573422983,0,1
1573441503,0,1
1573443400,0,1
1573462602,0,1
1573475540,1,0
1573491159,1,0
1573530974,1,0
1573563394,0,1
1573575383,1,0
1573577549,0,1
1573618103,0,1
1573638281,1,0
1573662252,0,1
1573664201,1,0
1573701869,1,0
1573723729,1,0
1573725691,0,1
1573743374,1,0
1573747314,1,0
1573751313,0,1
1573753217,1,0
1573755427,1,0
1573788257,0,1
1573790195,1,0
1573806492,1,0
1573808473,0,1
1573830508,0,1
1573834609,0,1
1573836502,1,0
1573840597,0,1
1573842502,0,1
1573876333,0,1
1573892431,0,1
1573922432,0,1
1573938034,1,0
1574023701,0,1
1574078459,1,0
1574080341,1,0
1574113476,1,0
1574153337,1,0
1574166252,0,2
1574200574,0,1
1574237542,0,1
1574262283,1,0
1574279321,1,0
1574294909,1,0
1574296819,1,0
1574302597,1,0
1574349391,0,1
1574366931,0,1
1574378413,1,0
1574382269,0,1
1574384174,0,1
1574388551,1,0
1574390422,0,1
1574462435,0,1
1574472014,0,1
1574497475,1,0
1574511400,1,0
1574584578,0,1
1574594427,0,1
1574619621,1,0
1574651789,1,0
1574707470,0,1
1574738655,1,1
1574784975,1,0
1574789061,1,0
1574824840,0,1
1574870183,0,1
1574874292,0,1
1575036568,1,0
1575103213,1,0
1575123159,0,1
1575130834,1,0
1575148592,1,0
1575152652,1,0
1575182668,1,0
1575188429,0,1
1575198981,1,0
1575208123,1,0
1575217689,0,1
1575234304,1,1
1575238594,0,1
1575267865,0,1
1575284253,0,1
1575295010,0,1
1575304601,1,0
1575322129,0,1
1575334569,1,0
1575382109,1,0
1575391737,0,1
1575412364,1,0
1575422185,0,1
1575450059,1,0
1575459861,1,0
1575467536,0,1
1575499933,0,1
1575505699,1,0
1575537377,0,1
1575545086,0,1
1575589980,0,1
1575593291,1,0
1575604868,1,0
1575622570,1,0
1575626677,1,0
1575634356,1,0
1575644184,1,0
1575657161,1,0
1575665059,1,0
1575681375,0,1
1575691275,0,1
1575708732,0,1
1575714769,1,1
1575720756,0,1
1575732254,0,1
1575742113,0,1
1575752178,0,1
1575799506,0,1
1575841224,1,0
1575907492,1,0
1575925706,1,0
1575927632,0,1
1576002255,1,0
1576006094,1,0
1576009971,0,1
1576011866,0,1
1576034941,1,0
1576057213,1,0
1576089613,0,1
1576093469,0,1
1576122777,0,1
1576142424,0,1
1576154917,1,0
1576240102,0,1
1576251856,1,0
1576332748,1,0
1576338754,0,1
1576364486,1,0
1576418203,0,1
1576450569,0,1
1576506762,1,0
1576524134,1,0
1576528377,1,0
1576538654,1,0
1576593860,0,1
1576610419,0,1
1576614251,0,1
1576616168,1,0
1576626731,0,1
1576644729,1,0
1576669934,1,0
1576701634,0,1
1576731131,0,1
1576749423,3,0
1576754458,1,0
1576835771,0,4
1576839924,0,1
1576844406,1,0
1576867714,1,0
1576928891,1,0
1576930836,0,1
1576954332,0,1
1576958175,1,0
1576969991,1,0
1577015084,0,1
1577043613,0,1
1577055387,0,1
1577104822,1,0
1577189559,0,1
1577201546,1,0
1577217152,1,0
1577264184,1,0
1577281958,2,0
1577287686,1,1
1577303528,0,1
1577324667,2,0
1577350338,0,1
1577367618,0,1
1577369557,0,1
1577375532,0,1
1577409848,0,2
1577420173,1,0
1577481624,1,0
1577506825,0,1
1577565877,0,1
1577643648,1,0
1577663784,1,0
1577692348,1,0
1577714672,1,0
1577730490,0,1
1577736516,1,0
1577750190,0,1
1577778042,1,1
1577793390,1,0
1577801316,0,1
1577807289,1,0
1577813289,1,0
1577821226,0,1
1577865664,0,1
1577879314,0,1
1577881222,1,0
1577893938,1,1
1577895872,1,0
1577899714,0,1
1577905481,1,0
1577913383,1,0
1577926568,1,0
1577967874,0,1
1577979868,0,1
1577981796,0,1
1577991386,0,1
1577999298,0,1
1578011059,0,1
1578048246,1,0
1578069850,1,0
1578130343,1,0
1578136592,0,1
1578155073,0,1
1578191073,1,0
1578216009,0,1
1578233352,1,0
1578237170,1,0
1578258757,1,0
1578277235,0,1
1578293530,1,0
1578321161,0,1
1578323123,0,1
1578344503,0,1
1578379945,1,1
1578429173,1,0
1578468038,0,1
1578480012,1,0
1578495374,1,0
1578509060,1,0
1578515074,0,1
1578518919,1,0
1578568838,0,1
1578583470,0,1
1578593781,0,1
1578603371,0,1
1578652327,1,0
1578736298,0,1
1578748828,1,0
1578807850,1,0
1578835472,0,1
1578853240,1,0
1578870523,1,0
1578894731,0,1
1578940614,0,1
1578954580,0,1
1578995542,1,0
1579064474,2,0
1579081691,0,1
1579200013,1,2
1579284997,0,1
1579292647,1,0
1579329161,1,0
1579359137,1,0
1579371850,1,0
1579403810,1,0
1579421306,1,0
1579458250,0,4
1579467895,1,0
1579479380,1,0
1579481293,1,0
1579490891,0,1
1579508184,0,1
1579554531,0,1
1579566017,0,1
1579601773,1,1
1579622910,1,0
1579644065,1,0
1579688651,0,1
1579709004,0,1
1579726342,1,0
1579728254,1,0
1579730187,1,1
1579735952,1,0
1579768090,1,0
1579798941,1,0
1579812279,0,1
1579814175,0,1
1579816096,0,1
1579821901,0,1
1579830730,1,0
1579854046,0,1
1579885000,0,1
1579891697,1,0
1579895529,1,0
1579915690,0,1
1579943791,1,0
1579976653,0,1
1579978600,1,0
1579982445,0,1
1579995863,1,0
1580013136,1,0
1580029701,0,1
1580038343,1,0
1580066657,0,1
1580081290,0,1
1580100501,0,1
1580124250,0,1
1580154989,1,0
1580158829,1,0
1580160733,1,0
1580243050,0,1
1580245002,0,1
1580246923,0,1
1585401383,1,0
1585440261,1,0
1585457531,1,0
1585477696,1,0
1585485614,1,0
1585499058,1,0
1585509635,0,1
1585525932,0,1
1585542498,0,1
1585565541,0,1
1585574173,0,1
1585583786,0,1
1586717057,1,0
1586724750,1,0
1586796255,2,0
1586798433,2,0
1586802505,5,0
1586805373,3,0
1586809228,0,1
1586811129,0,1
1586883131,0,1
1586885050,0,3
1586888198,0,2
