DateTime,Entries,UniqueIPs
1571340278,11,11
1571347953,10,10
1571350125,13,13
1571353968,12,12
1571359705,13,13
1571363578,14,14
1571365499,14,14
1571367407,17,17
1571371341,17,17
1571373169,18,18
1571377000,17,17
1571378932,14,14
1571380841,15,15
1571386587,13,13
1571392337,14,14
1571399530,15,15
1571412255,18,18
1571414192,19,19
1571419969,18,18
1571437217,15,15
1571445145,14,14
1571447306,15,15
1571449237,14,14
1571453081,10,10
1571457141,9,9
1571459057,8,8
1571462904,9,9
1571466867,8,8
1571478746,7,7
1571484741,6,6
1571492416,7,7
1571500341,3,3
1571502280,6,6
1571512360,7,7
1571514274,10,10
1571521944,11,11
1571531781,10,10
1571533733,11,11
1571535619,14,14
1571545458,17,17
1571549312,16,16
1571556977,17,17
1571568800,18,18
1571574522,19,19
1571578375,18,18
1571590359,15,15
1571596353,18,18
1571598271,17,17
1571602347,16,16
1571610017,15,15
1571611958,16,16
1571621541,12,12
1571633079,9,9
1571642898,8,8
1571654429,8,8
1571660459,7,7
1571666197,8,8
1571676295,9,9
1571684184,6,6
1571688508,6,6
1571696661,5,5
1571710338,6,6
1571718272,7,7
1571722346,6,6
1571741778,5,5
1571751622,4,4
1571759783,5,5
1571764607,5,5
1571774478,4,4
1571782362,6,6
1571796292,5,5
1571803944,4,4
1571825122,5,5
1571846440,4,4
1571850266,5,5
1571852189,4,4
1571867782,2,2
1571910037,1,1
1571935703,0,0
1571949623,1,1
1571953707,2,2
1571988259,3,3
1572036749,2,2
1572040621,1,1
1572071317,0,0
1572104443,1,1
1572110668,2,2
1572193009,1,1
1572194907,0,0
1572213898,1,1
1572299551,0,0
1572313463,1,1
1572343960,2,2
1572383334,3,3
1572401089,2,2
1572416674,3,3
1572422930,4,4
1572430599,3,3
1572459880,4,4
1572469948,3,3
1572502840,2,2
1572510494,1,1
1572513392,2,2
1572544598,1,1
1572598851,2,2
1572600774,1,1
1572624311,2,2
1572684017,1,1
1572707296,0,0
1572718822,1,1
1572805474,1,1
1572819866,2,2
1572827054,3,3
1572891648,2,2
1572906258,1,1
1572911324,0,0
1572937706,1,1
1572958602,2,2
1572984269,3,3
1573014038,4,4
1573024597,3,3
1573044270,2,2
1573070921,1,1
1573097797,0,0
1573152265,1,1
1573154194,2,2
1573190893,3,3
1573203225,4,4
1573238436,3,3
1573240359,2,2
1573278018,1,1
1573290990,1,1
1573308774,2,2
1573318578,3,3
