DateTime,AddedIPs,RemovedIPs
1575587571,0,2
1575609626,1,1
1575786509,10,0
1575808362,2,0
1575852506,0,1
1575896441,2,1
1575918528,1,0
1575940590,1,0
1575962686,1,1
1575984547,4,1
1576006572,2,0
1576050510,2,2
1576116750,0,1
1576138815,0,1
1576160671,2,0
1576182735,1,0
1576204591,1,0
1576226667,1,1
1576282110,1,0
1576303953,2,0
1576369955,1,0
1576392018,1,5
1576413872,0,2
1576435935,1,0
1576502433,0,2
1576524492,0,1
1576546336,15,1
1576590275,1,1
1576612349,0,2
1576645519,1,4
1576667538,2,2
1576689408,1,0
1576733545,1,0
1576755620,0,1
1576777494,2,3
1576799530,0,2
1576821370,0,2
1576854536,1,1
1576876619,0,1
1576898679,1,0
1576920735,0,1
1576986732,2,1
1577030683,1,1
1577052735,5,0
1577118770,1,0
1577140841,1,0
1577162916,0,15
1577217864,0,1
1577239707,1,0
1577261777,1,1
1577283627,0,2
1577349618,1,1
1577371741,1,1
1577393766,1,2
1577448761,0,1
1577492658,1,0
1577514743,0,1
1577536588,1,0
1577558673,1,0
1577580735,1,2
1577602851,1,0
1577646777,0,1
1577668811,0,1
1577690668,0,1
1577734810,1,5
1577756687,1,0
1577800875,0,1
1577867061,0,2
1577932820,1,0
1577954905,1,1
1577976970,0,1
1577998848,1,1
1578021157,1,0
1578065311,3,0
1578087379,2,0
1578109451,0,1
1578131306,3,0
1578153368,0,1
1578197316,0,3
1578219159,1,1
1578306980,2,0
1578329066,0,1
1578350907,1,1
1578394843,1,0
1578460825,2,0
1578526815,1,1
1578548909,2,1
1578570976,1,0
1578592850,2,0
1578614713,1,2
1578636745,2,0
1578659053,1,2
1578703698,3,0
1578725796,15,0
1578747673,1,1
1578769702,0,5
1578791582,1,0
1578880117,2,0
1578935333,0,2
1578957619,0,2
1578979696,1,0
1579001551,1,0
1579067786,2,1
1579089873,1,0
1579134023,1,1
1579155870,1,2
1579177950,0,1
1579200013,0,2
1579222089,1,1
1579244166,0,2
1579277089,0,1
1579299412,0,1
1579321454,2,0
1579365611,0,1
1579409322,0,17
1579431378,0,1
1579464518,1,0
1579486570,1,0
1579552572,1,0
1579574676,1,0
1579596733,0,1
1579629881,2,4
1579673781,0,2
1579717965,1,0
1579740012,0,2
1579761885,3,1
1579828092,0,1
1579872045,1,0
1579915943,0,1
1579938020,0,1
1580070024,0,1
1580092090,1,1
1580113949,1,0
1580136018,1,0
1580157873,0,1
1580179720,0,1
1580224124,2,1
1580246177,0,1
1580268021,1,0
1580333781,1,0
1580355863,1,0
1580377735,0,2
1580443693,7,0
1580465534,1,0
1580487605,0,1
1580509470,4,0
1580531537,4,0
1580575468,3,0
1580641705,1,0
