DateTime,AddedIPs,RemovedIPs
1589493157,1,0
1589495057,0,1
1589506594,1,0
1589518088,1,0
1589523855,0,1
1589537544,0,1
1589549073,1,0
1589552659,1,30
1589564429,17,3
1589566349,20,0
1589568263,1,0
1589572092,1,1
1589575934,0,1
1589579781,0,1
1589585547,1,0
1589593217,0,1
1589604730,0,1
1589635935,0,1
1589637901,0,1
1589651299,0,32
1589653210,0,5
1589655139,0,1
1589659111,0,1
1589661148,1,0
1589671359,0,1
1589683471,1,0
1589731078,1,0
1589743453,1,0
1589747770,0,1
1589768443,4,0
1589770333,0,1
1589808030,32,0
1589818622,1,1
1589826277,1,0
1589830350,0,1
1589838266,4,0
1589840412,7,0
1589842331,1,0
1589848088,5,0
1589850108,3,0
1589853880,0,4
1589855786,1,0
1589863452,5,0
1589865371,6,0
1589867301,6,0
1589869211,9,0
1589871133,10,0
1589873051,5,0
1589876903,6,0
1589892500,0,32
1589904981,0,1
1589907135,1,0
1589909055,1,0
1589912890,0,1
1589924661,0,4
1589926575,0,5
1589928508,0,3
1589932335,29,0
1589934273,0,5
1589936214,0,3
1589941217,0,1
1589949191,0,5
1589951092,0,4
1589952973,0,5
1589954927,0,10
1589956812,0,8
1589958732,0,8
1589960684,1,1
1589962572,0,4
1589964494,0,2
1589968337,1,0
1589993753,0,1
1589995789,0,1
1590009251,1,0
1590018730,27,25
1590036488,1,0
1590047287,0,1
1590049239,1,0
1590051165,3,0
1590053053,2,0
1590056520,1,1
1590070363,1,0
1590096048,0,1
1590103715,0,14
1590105656,0,17
1590107537,25,0
1590122895,0,1
1590136346,0,2
1590138282,0,3
1590140190,0,1
1590142675,0,1
1590146686,1,0
1590155352,0,1
1590168972,1,0
1590188499,5,0
1590190337,1,0
1590192502,0,11
1590194414,0,14
1590196352,2,0
1590198254,1,0
1590204011,1,0
1590207868,1,0
1590214570,1,0
1590232111,1,0
1590234011,0,1
1590244110,1,0
1590255869,0,1
1590274349,0,4
1590276256,0,2
1590280425,1,0
1590282296,0,2
1590284219,0,1
1590292195,0,1
1590294099,0,1
1590301697,0,1
1590311545,5,0
1590317535,0,1
1590323546,1,0
1590329308,1,0
1590331217,5,1
1590337323,6,0
1590347820,1,0
1590366746,1,1
1590393155,1,0
1590396987,0,5
1590410666,0,1
1590416658,0,6
1590423376,0,6
1590432974,0,1
1590436939,1,0
1590445454,1,0
1590454093,0,1
1590466575,4,0
1590481225,0,1
1590513375,6,0
1590517244,1,0
1590522985,0,1
1590524899,1,0
1590530744,1,1
1590551781,0,4
1590577017,1,0
1590578904,2,0
1590582795,1,0
1590596416,2,0
1590600262,0,6
1590604097,0,1
1590609862,4,0
1590611774,0,1
1590617769,0,1
1590639401,1,0
1590652875,1,0
1590656922,2,0
1590658822,1,0
1590660738,1,0
1590662974,0,1
1590665087,0,1
1590666987,0,1
1590668900,0,1
1590682329,4,0
1590684268,3,2
1590695792,0,4
1590717138,3,0
1590719096,21,0
1590722940,1,0
1590726747,1,1
1590738510,1,0
1590740414,0,1
1590742333,0,2
1590744278,5,0
1590746172,0,1
1590748120,1,1
1590752895,1,0
1590762016,1,0
1590767770,0,3
1590769689,0,4
1590779295,1,0
1590783145,3,0
1590790815,1,0
1590792737,8,0
1590796572,2,0
1590805235,0,24
1590809066,1,1
1590810973,1,0
1590812899,0,1
1590817690,1,0
1590819610,2,0
1590821540,1,0
1590823451,0,1
1590825388,1,0
1590829248,0,1
1590831168,0,4
1590834976,0,1
1590838809,0,1
1590844590,1,0
1590848435,1,1
1590865708,0,1
1590869539,2,3
1590875293,1,0
1590877214,0,1
1590879156,0,8
1590882971,2,2
1590886873,1,0
1590890908,3,0
1590896652,2,1
1590898571,0,1
1590904336,1,1
1590906262,2,2
1590908212,0,1
1590912976,0,1
1590914896,2,0
1590916814,3,0
1590926572,2,0
1590930492,0,1
1590936248,0,1
1590938188,1,0
1590940090,1,0
1590942009,3,0
1590949939,2,0
1590951889,1,0
1590955698,4,2
1590961454,0,1
1590971055,0,2
1590972983,1,1
1590976896,0,1
1590978732,0,2
1590982585,4,2
1590986658,1,0
1590990507,0,1
1590992486,0,2
1591000092,0,1
1591002974,0,4
1591012573,0,1
1591014504,0,1
1591024332,0,1
1591026267,0,1
1591028173,0,3
1591035851,1,0
1591037785,0,3
1591041712,0,2
1591043557,0,2
1591058889,1,1
1591068488,0,2
1591070527,0,2
1591074260,0,1
1591087930,1,0
1591093687,1,0
1591100659,1,0
1591116968,1,0
1591118887,1,0
1591121833,0,1
1591133533,1,0
1591137498,6,0
1591139321,4,0
1591141215,1,0
1591145100,0,1
1591150815,3,0
1591152746,1,0
1591158741,2,0
1591170256,4,0
1591172169,1,0
1591176029,0,1
1591179873,0,1
1591186106,0,1
1591191855,1,0
1591203372,3,1
1591205313,0,1
1591219693,1,1
1591223548,1,0
1591225702,0,10
1591227611,0,1
1591237221,0,3
1591239139,0,1
1591244892,0,2
1591246955,1,0
1591256691,0,4
1591258569,0,1
1591278732,0,1
1591289290,0,3
1591306814,0,1
1591310663,0,1
1591316419,1,0
1591324092,1,0
1591326976,1,0
1591328909,30,0
1591332727,0,1
1591373058,1,0
1591396089,1,0
1591399070,1,0
1591402821,0,1
1591411466,0,1
1591413390,1,1
1591415295,0,30
1591428016,1,0
1591444569,1,0
1591459971,0,1
1591478167,1,0
1591482011,0,1
1591485863,0,1
1591489689,1,0
1591500277,0,1
1591513944,0,1
1591523536,1,0
1591531291,0,1
1591562423,0,1
1591576089,0,1
1591593371,1,0
1591599154,1,0
1591608979,0,1
1591636336,1,0
1591638266,7,0
1591645932,1,0
1591653940,2,0
1591678972,0,1
1591684830,0,1
1591723685,0,3
1591725681,0,5
1591733541,0,1
1591739771,0,1
1591751772,2,1
1591757533,1,0
1591759456,1,0
1591775782,1,0
1591777695,1,0
1591791140,1,0
1591819294,2,0
1591834671,1,0
1591838422,0,2
1591840335,41,0
1591844189,0,1
1591846089,0,1
1591862696,0,2
1591878010,1,1
1591890249,5,0
1591892179,2,0
1591897988,2,0
1591899853,2,0
1591901787,1,0
1591906579,1,2
1591920975,2,0
1591922907,0,1
1591926731,0,41
1591939468,1,0
1591964667,0,1
1591966573,1,0
1591977145,0,7
1591985773,0,4
1591987711,1,1
1591993448,0,1
1592000421,1,0
1592006180,1,2
1592010045,1,0
1592025864,0,1
1592029692,1,0
1592033567,4,0
1592052734,0,1
1592074903,0,1
1592078658,2,0
1592080585,2,0
1592082494,2,0
1592086354,0,1
1592094016,0,1
1592096122,0,1
1592115611,0,1
1592121369,1,4
1592143961,1,0
1592145855,1,0
1592149747,4,0
1592151618,1,0
1592161452,2,0
1592165304,0,2
1592167211,0,3
1592169149,0,1
1592184509,1,0
1592195054,1,0
1592200957,1,0
1592206812,0,1
1592226152,3,0
1592227953,2,0
1592231783,0,2
1592235628,2,3
1592237778,3,2
1592247412,0,1
1592249291,0,1
1592260810,1,0
1592264667,1,0
1592270555,4,1
1592272588,1,0
1592281227,0,1
1592283154,1,0
1592286988,1,1
1592302387,1,0
1592311935,0,2
1592313870,0,3
1592321818,0,2
1592323703,0,2
1592325612,0,1
1592331370,3,0
1592333290,4,0
1592339051,1,0
1592347700,0,1
1592349627,4,1
1592351530,3,0
1592353480,1,0
1592355372,0,1
1592357322,1,4
1592361394,1,0
1592371003,0,1
1592372936,0,1
1592374810,1,0
1592385638,1,0
1592389455,0,1
1592393292,1,0
1592407689,2,0
1592412732,1,0
1592414679,1,0
1592416591,1,3
1592420501,0,4
1592422337,1,0
1592426198,1,1
1592430283,5,0
1592436039,0,4
1592437933,0,3
1592439854,0,1
1592443689,0,1
1592447549,0,1
1592461214,0,1
1592465068,1,0
1592471771,0,1
1592479472,0,1
1592483303,1,0
1592487131,2,0
1592493155,0,1
1592495052,0,1
1592498904,1,1
1592500813,0,1
1592502736,0,1
1592508513,1,1
1592511369,1,1
1592517138,0,5
1592519147,1,0
1592520971,1,0
1592522888,1,0
1592526969,1,0
1592540668,1,0
1592544485,3,0
1592551229,0,1
1592566569,1,0
1592570417,0,1
1592572334,0,2
1592583852,0,1
1592592500,1,0
1592594429,0,1
1592598251,0,1
1592605950,0,2
1592609768,12,1
1592611738,11,0
1592613609,0,1
1592621313,1,0
1592627075,2,1
1592630889,0,3
1592652031,0,1
1592657768,1,0
1592679374,0,1
1592696898,1,12
1592698838,0,11
1592706513,0,1
1592714192,0,2
1592721852,1,0
1592743964,0,1
1592749710,1,0
1592756430,1,0
1592783314,0,1
1592802506,1,0
1592806595,2,0
1592808494,0,1
1592810444,1,0
1592812353,1,0
1592835634,0,1
1592843291,0,1
1592850043,1,0
1592851935,1,0
1592889611,1,1
1592891554,0,1
1592893755,0,1
1592898039,8,2
1592899936,9,0
1592907858,59,0
1592911694,2,0
1592928981,2,0
1592930924,1,0
1592936656,0,1
1592938572,1,1
1592961851,1,0
1592968593,1,0
1592972454,1,0
1592976254,0,1
1592983950,1,5
1592985868,0,11
1592987769,0,1
1592993780,0,27
