DateTime,AddedIPs,RemovedIPs
1592000421,3,13
1592002340,7,1
1592004249,2,0
1592006181,5,5
1592008087,1,5
1592010060,2,4
1592011927,5,4
1592014094,2,6
1592016013,3,0
1592018196,2,4
1592020095,3,3
1592022011,4,2
1592023945,7,3
1592025865,4,3
1592027784,3,0
1592029693,5,141
1592031754,4,0
1592033568,0,12
1592035481,1,12
1592037372,8,5
1592039319,17,1
1592041210,10,15
1592043136,9,4
1592045068,14,3
1592046980,12,3
1592048894,19,3
1592050826,25,3
1592052735,11,3
1592054653,8,5
1592056586,4,4
1592058491,9,3
1592061406,19,5
1592063313,5,2
1592065221,7,19
1592067137,6,9
1592069073,13,3
1592070976,4,2
1592072893,5,4
1592074938,4,3
1592076739,7,2
1592078659,5,5
1592080586,8,2
1592082495,3,5
1592084416,11,42
1592086355,5,2
1592088256,4,4
1592090176,0,4
1592092112,1,4
1592094017,2,4
1592096123,28,3
1592098333,0,6
1592100281,1,2
1592102259,2,2
1592104094,2,3
1592106010,1,3
1592107945,1,1
1592109850,1,8
1592111776,6,5
1592113707,4,3
1592115613,8,9
1592117530,10,3
1592119471,6,3
1592121370,7,2
1592123292,7,0
1592126406,7,16
1592128329,11,10
1592130271,8,8
1592132167,18,8
1592134087,11,9
1592136075,18,28
1592137943,15,14
1592140061,15,9
1592142399,17,7
1592144250,15,8
1592146106,14,5
1592148007,16,16
1592150182,10,8
1592152087,11,6
1592154968,13,22
1592156906,14,7
1592158808,7,7
1592160732,18,4
1592162667,13,7
1592164578,9,4
1592166512,9,6
1592168470,10,4
1592170344,11,13
1592172294,8,3
1592174188,6,5
1592176101,12,2
1592178038,15,1
1592179948,23,3
1592181857,11,23
1592183801,26,7
1592185692,17,0
1592187614,9,1
1592189561,8,3
1592191453,7,1
1592193381,11,0
1592195308,5,1
1592198184,6,6
1592200109,10,6
1592202028,7,5
1592203933,8,10
1592205849,14,4
1592207789,14,8
1592209688,12,8
1592212573,20,11
1592214502,14,5
1592216481,6,7
1592218336,7,9
1592220251,10,9
1592222194,9,16
1592224123,7,12
1592226187,11,11
1592228172,6,10
1592230117,11,8
1592232014,9,11
1592234572,10,15
1592236614,11,9
1592238495,13,7
1592240505,7,11
1592242356,295,4
1592244272,7,5
1592246172,2,4
1592248112,13,12
1592250011,3,7
1592252180,6,4
1592254096,7,6
1592256049,2,3
1592257939,5,3
1592259854,3,7
1592261792,1,5
1592263693,0,6
1592266574,3,30
1592268493,1,11
1592270556,2,28
1592272589,5,6
1592274497,1,5
1592277629,18,10
1592279549,7,8
1592281456,9,4
1592283409,8,3
1592285289,3,8
1592288413,29,9
1592290348,14,6
1592292273,17,10
1592294172,7,9
1592296111,17,6
1592299003,64,15
1592300909,11,5
1592302811,14,4
1592304734,18,7
1592306671,8,4
1592308573,16,6
1592310810,7,11
1592312915,10,8
1592314818,9,8
1592316758,3,7
1592318692,5,8
1592320580,4,9
1592322512,10,7
1592324420,3,19
1592326335,11,3
1592328271,8,369
1592330171,16,10
1592332415,9,12
1592334317,5,13
1592336177,16,6
1592338108,18,5
1592340033,10,9
1592341931,9,6
1592343871,8,6
1592345792,4,8
1592347702,7,6
1592349629,9,3
1592351557,6,4
1592353483,8,8
1592355374,18,2
1592357324,28,5
1592359410,5,6
1592361396,29,3
1592363299,4,5
1592365213,7,19
1592367159,2,10
1592369064,6,9
1592371007,2,7
1592372939,3,11
1592374813,6,24
1592376759,1,15
1592378653,4,12
1592380582,14,11
1592382532,15,16
1592384517,2,42
1592386365,4,37
1592388278,3,16
1592390438,6,22
1592392334,30,18
1592394283,6,16
1592396169,8,11
1592398117,2,14
1592400012,10,16
1592401954,6,5
1592403880,5,5
1592405793,5,4
1592407691,4,3
1592410818,15,9
1592412733,7,8
1592414679,4,11
1592416592,4,12
1592418491,8,7
1592420528,7,7
1592422339,4,13
1592424288,14,18
1592426199,35,12
1592428125,29,8
1592430284,57,12
1592432175,27,3
1592434092,24,9
1592436040,38,9
1592437934,20,7
1592439855,17,13
1592441788,21,25
1592443689,22,28
1592446831,29,18
1592448753,11,32
1592450653,16,11
1592452586,25,13
1592454492,22,9
1592457374,20,7
1592459304,12,3
1592461215,38,3
1592463130,26,2
1592465068,18,5
1592466970,13,10
1592468893,12,16
1592470885,12,1
1592472733,12,3
1592474897,10,7
1592476819,23,2
1592478747,2,28
1592480653,4,4
1592482574,4,7
1592484506,5,2
1592486418,16,9
1592488328,10,4
1592490291,8,3
1592492201,18,2
1592494100,7,5
1592496126,5,4
1592497935,5,4
1592500105,27,8
