DateTime,AddedIPs,RemovedIPs
1591008740,0,1
1591012576,0,1
1591016605,0,2
1591018574,1,2
1591020511,0,1
1591022413,2,0
1591026270,0,1
1591028175,0,1
1591030093,1,0
1591032023,2,0
1591033941,1,0
1591035854,1,0
1591039689,1,0
1591041733,0,1
1591047372,1,0
1591049306,0,1
1591055067,0,1
1591056972,0,3
1591058889,1,0
1591060821,0,1
1591064653,1,0
1591066584,3,1
1591072571,1,0
1591074508,0,1
1591078334,0,1
1591087931,0,1
1591089856,2,0
1591097544,1,0
1591103298,1,0
1591105251,1,1
1591107145,0,1
1591109056,2,1
1591110980,2,0
1591112916,1,0
1591114812,1,0
1591116730,0,1
1591118679,0,2
1591120569,3,1
1591122519,1,1
1591124626,0,1
1591126598,8,0
1591128495,1,0
1591130411,1,0
1591134265,0,1
1591138101,2,0
1591143874,0,1
1591151534,0,1
1591153715,0,3
1591159449,0,1
1591165234,2,0
1591173139,1,0
1591175307,1,1
1591177211,0,1
1591182995,0,1
1591188780,0,1
1591190666,0,1
1591194490,0,1
1591196546,0,1
1591198567,1,2
1591200490,0,1
1591202422,1,1
1591206253,1,2
1591208170,0,2
1591212044,0,7
1591213930,0,1
1591215851,0,1
1591217783,0,1
1591219694,1,0
1591223550,1,0
1591225703,1,2
1591231485,1,0
1591237223,2,0
1591241065,1,0
1591246998,1,0
1591250892,1,0
1591252813,2,2
1591258570,0,1
1591260504,0,1
1591262409,2,0
1591270088,1,0
1591276821,2,0
1591282583,1,0
1591284491,0,1
1591286482,2,0
1591288347,0,1
1591292172,0,1
1591296010,2,0
1591297931,1,0
1591305620,1,1
1591311385,0,2
1591313289,2,0
1591319055,0,1
1591322921,0,1
1591324830,3,1
1591326755,0,1
1591328665,1,0
1591332498,1,1
1591334423,1,0
1591336330,0,1
1591338260,0,1
1591340186,0,1
1591342356,1,0
1591344256,1,0
1591348120,0,1
1591350015,0,1
1591357693,0,1
1591361536,3,1
1591363458,1,1
1591369287,0,1
1591371150,1,1
1591373065,1,1
1591374974,1,0
1591376906,2,0
1591380731,0,1
1591382683,1,1
1591384574,1,1
1591392274,0,1
1591394185,1,0
1591399955,0,2
1591411468,0,3
1591415296,0,1
1591417294,1,0
1591419389,2,1
1591421296,1,0
1591428263,0,1
1591432087,0,1
1591434968,1,0
1591440733,1,0
1591448549,2,3
1591452490,0,1
1591456350,1,0
1591458252,0,2
1591460169,1,0
1591462104,1,3
1591464015,1,0
1591467861,1,1
1591471685,1,1
1591476498,1,0
1591480333,0,1
1591486188,1,0
1591499541,1,0
1591501449,1,0
