DateTime,AddedIPs,RemovedIPs
1589634189,0,3
1589657188,0,2
1589665087,3,0
1589675372,1,0
1589677385,2,0
1589681537,0,2
1589691136,1,0
1589708672,3,0
1589721396,0,1
1589723318,1,0
1589725223,1,0
1589751611,0,3
1589761462,0,1
1589763380,0,2
1589768446,1,0
1589770336,3,0
1589776099,3,0
1589795536,0,3
1589797472,0,1
1589811157,0,1
1589816896,1,0
1589822653,1,0
1589836826,1,0
1589856259,0,1
1589862018,2,1
1589865877,0,1
1589871743,1,0
1589885078,1,0
1589894684,1,0
1589896591,0,1
1589900621,1,0
1589902571,0,1
1589906487,2,0
1589908341,1,0
1589912190,3,0
1589916025,0,1
1589917951,0,1
1589919879,0,4
1589923701,2,1
1589944575,1,0
1589946501,2,0
1589948409,0,2
1589958520,0,1
1589970100,0,1
1589980336,3,0
1589982262,0,1
1589986825,1,1
1589993826,0,2
1589995870,2,1
1590001171,0,3
1590009302,0,2
1590032590,2,0
1590034606,0,2
1590036489,1,0
1590040570,0,1
1590051168,1,0
1590066531,0,3
1590082118,0,2
1590086188,3,0
1590090383,0,1
1590097940,2,0
1590101772,2,0
1590103718,3,0
1590110662,1,0
1590117372,0,2
1590126967,1,0
1590131780,1,0
1590137535,0,1
1590150159,3,0
1590157313,3,0
1590162974,3,0
1590164895,1,0
1590167040,4,0
1590172823,0,3
1590178826,1,0
1590182651,2,0
1590184582,11,2
1590189676,0,5
1590197298,0,1
1590200177,1,0
1590204013,1,0
1590205944,1,0
1590218671,0,1
1590233299,2,0
1590235269,1,3
1590243145,0,3
1590245054,1,1
1590248891,0,3
1590250821,1,0
1590252733,1,1
1590254662,0,4
1590263291,2,0
1590265226,0,1
1590267136,1,0
1590269050,0,2
1590270982,0,11
1590278705,1,0
1590290194,0,1
1590297873,0,1
1590305782,3,0
1590315651,1,0
1590319466,0,2
1590321395,3,1
1590331219,0,1
1590333399,0,1
1590339368,0,1
1590346091,1,0
1590348053,0,1
1590349932,0,1
1590354293,0,1
1590365788,0,1
1590383533,3,0
1590391227,0,3
1590395065,0,1
1590401069,0,1
1590404903,0,1
1590408777,0,3
1590420507,1,0
1590423378,1,0
1590431063,2,0
1590438972,3,0
1590446665,3,0
1590458529,1,0
1590469931,0,3
1590498513,1,0
1590502333,1,0
1590506181,0,1
1590508111,3,0
1590510052,0,1
1590517693,0,1
1590521563,0,1
1590525385,0,3
1590533536,0,3
1590539324,2,0
1590542185,2,0
1590546026,2,1
1590561622,0,1
1590565471,1,0
1590575084,2,0
1590583932,2,0
1590587783,0,1
1590593588,0,3
1590597386,1,0
1590603217,3,0
1590612739,3,0
1590622569,1,0
1590626408,0,4
1590630262,1,0
1590634347,0,2
1590650892,0,1
1590659785,3,0
1590662977,0,2
1590668902,0,2
1590675613,2,0
1590683574,2,1
1590687619,2,0
1590689781,0,3
1590699385,0,3
1590701295,1,0
1590708986,2,1
1590712811,1,0
1590716653,1,0
1590720748,1,0
1590726493,0,1
1590732323,1,0
1590741851,3,0
1590745940,0,3
1590757006,2,0
1590762728,2,2
1590768494,0,2
1590774252,0,2
1590780025,2,0
1590785779,2,0
1590787696,0,1
1590795638,0,2
1590803314,0,1
1590809068,0,1
1590817692,1,0
1590827293,0,3
1590843710,0,2
1590845600,3,0
1590849386,0,2
1590866890,0,2
1590872660,0,2
1590876496,3,0
1590891855,0,1
1590904338,0,1
1590913000,3,0
1590916815,0,1
1590930493,1,0
1590942014,1,0
1590949941,1,0
1590959544,3,0
1590963393,0,2
1590974924,1,0
1591000095,0,1
1591004918,1,0
1591008740,1,0
1591014507,0,6
1591016611,0,1
1591026271,3,0
1591028175,0,1
1591030093,1,0
1591037788,0,1
1591046655,3,3
1591061298,0,1
1591074738,1,0
1591086253,3,1
1591092111,0,1
1591096182,0,1
1591098017,1,0
1591101853,2,0
1591111528,0,3
1591113373,1,0
1591115289,0,1
1591120110,3,0
1591132583,1,3
