DateTime,AddedIPs,RemovedIPs
1592004768,8,5
1592006932,9,14
1592008955,7,3
1592010972,9,11
1592012911,7,6
1592014816,3,8
1592016737,5,5
1592018685,7,10
1592020571,11,4
1592022508,9,5
1592024510,11,4
1592026372,7,7
1592028253,7,15
1592030175,6,146
1592032127,10,1
1592034036,6,26
1592035929,4,14
1592037942,18,5
1592039777,18,2
1592041697,16,21
1592043642,14,4
1592045535,16,6
1592047453,14,10
1592049389,34,7
1592051318,17,4
1592053340,15,12
1592056092,46,10
1592058052,21,13
1592059932,13,8
1592061868,12,7
1592063773,13,5
1592065692,11,25
1592067762,21,11
1592069782,10,6
1592071703,7,9
1592073616,9,4
1592075546,8,9
1592077455,7,12
1592079373,9,16
1592081378,9,7
1592083213,6,26
1592085130,12,32
1592087064,7,7
1592088971,5,10
1592091178,4,12
1592093067,10,5
1592094988,25,11
1592096902,19,10
1592098833,2,8
1592100749,2,2
1592102656,8,7
1592104577,7,7
1592106514,5,12
1592108416,4,4
1592110337,5,13
1592112286,11,11
1592114194,8,7
1592116096,17,10
1592119213,14,14
1592121149,10,6
1592123085,13,5
1592124974,8,16
1592126890,6,9
1592130010,26,21
1592131938,19,13
1592133866,20,9
1592135770,24,35
1592137711,24,16
1592139536,17,15
1592141551,16,12
1592143968,23,18
1592145859,19,45
1592147773,24,21
1592149750,12,13
1592151621,13,13
1592153540,18,14
1592155477,18,25
1592157403,15,9
1592159294,13,7
1592161490,23,10
1592163386,20,10
1592165307,12,7
1592167215,10,9
1592169154,18,7
1592171055,11,12
1592172979,9,5
1592174910,15,6
1592176845,13,4
1592178738,16,5
1592180675,24,17
1592182572,16,34
1592184512,36,4
1592187388,22,4
1592189325,20,6
1592191215,10,8
1592193174,21,4
1592195057,11,4
1592196972,8,6
1592198909,10,13
1592201049,14,5
1592202997,13,14
1592204910,16,7
1592206816,15,11
1592208730,19,11
1592210695,18,12
1592212576,18,9
1592214503,18,9
1592216484,10,13
1592218339,10,15
1592220254,15,14
1592222204,10,22
1592224126,11,19
1592226273,19,13
1592228176,17,12
1592230120,14,11
1592232017,17,17
1592234575,16,25
1592236617,16,12
1592238497,15,10
1592241412,148,24
1592243289,169,9
1592245228,10,9
1592247155,15,13
1592249057,9,13
1592250986,9,9
1592252890,9,6
1592255792,13,17
1592257689,12,8
1592259626,4,6
1592261530,4,9
1592263450,4,9
1592265412,9,21
1592267294,7,21
1592270211,4,28
1592272092,9,21
1592274027,4,9
1592275934,4,17
1592277857,21,6
1592279803,16,15
1592281690,14,9
1592284570,13,12
1592287514,24,17
1592289390,22,13
1592291311,21,11
1592293220,15,10
1592295151,16,17
1592297075,34,9
1592299009,55,17
1592300912,14,9
1592302814,16,10
1592304737,21,9
1592306675,14,8
1592308577,23,7
1592310815,13,16
1592312921,17,14
1592314821,13,19
1592316761,6,13
1592318697,9,16
1592320600,12,11
1592322531,12,12
1592324423,12,21
1592326338,13,7
1592328276,16,373
1592330174,19,14
1592332418,16,21
1592334382,11,18
1592336438,19,9
1592338331,25,9
1592340295,23,11
1592342174,8,10
1592344088,9,12
1592346031,9,10
1592347932,10,8
1592349850,10,11
1592351817,13,10
1592353942,10,15
1592355893,42,4
1592357916,16,11
1592359959,4,6
1592361856,33,6
1592363769,12,15
1592365715,14,19
1592367610,8,12
1592369531,10,16
1592371481,8,7
1592373372,8,17
1592375542,20,30
1592377488,24,16
1592379374,18,12
1592381296,32,18
1592383247,9,38
1592385137,14,47
1592387079,17,30
1592388983,6,22
1592390897,13,21
1592392837,29,22
1592394759,12,32
1592396682,10,10
1592398574,5,19
1592400668,13,19
1592402656,14,10
1592404595,8,7
1592406498,9,8
1592408414,7,13
1592410409,12,10
1592412259,12,12
1592414172,12,16
1592416121,8,22
1592418021,8,12
1592419935,14,12
1592421909,7,13
1592423779,13,30
1592425693,38,12
1592427771,34,20
1592429931,56,13
1592431930,39,11
1592433879,27,12
1592435776,48,10
1592437695,21,10
1592439649,22,15
1592441554,32,26
1592443456,28,41
1592445410,19,14
1592447297,18,26
1592449358,20,31
1592451162,27,18
1592453123,30,15
1592454994,24,19
1592456914,15,8
1592458821,16,5
1592460791,40,10
1592462665,26,19
1592464572,26,23
1592466511,23,15
1592468415,15,30
1592470363,21,11
1592472273,15,13
1592474175,13,15
1592476091,35,5
1592478133,7,27
1592479950,8,15
1592481927,11,11
1592483833,12,4
1592485713,10,7
1592487613,15,8
1592489553,20,11
1592491453,4,7
1592493623,29,8
1592495534,7,5
1592497476,9,8
1592499375,19,11
1592501288,26,9
1592503430,26,7
1592505403,16,12
1592507301,40,8
1592509215,12,4
1592511149,13,19
1592513114,16,22
1592515329,16,26
1592517142,14,38
1592519203,17,26
1592521328,14,27
1592523132,15,35
1592525020,12,18
1592526972,52,16
1592529181,12,28
1592531052,7,20
1592533071,11,14
1592534898,11,14
1592536813,6,18
1592538745,16,29
1592540686,11,23
1592542609,19,18
1592544490,20,16
1592546508,22,17
1592548353,13,47
1592550275,23,26
1592552171,15,28
1592554113,18,22
1592556011,11,18
1592557937,22,19
1592559874,35,14
1592561777,38,26
1592563691,11,22
1592565647,25,6
1592567561,20,11
1592569453,9,9
1592571390,15,12
1592573294,15,18
1592575295,13,14
1592577176,5,4
1592579097,25,15
1592580975,10,9
1592582912,22,6
1592584814,11,16
1592586735,11,23
1592588676,10,15
1592590623,4,20
1592592506,16,19
1592594430,30,44
1592596371,7,16
1592598252,5,13
1592600189,4,14
1592602091,5,15
1592605015,9,32
1592606895,8,17
1592608849,10,19
1592610731,17,17
1592612656,0,30
1592614597,6,39
1592616507,10,13
1592618482,10,9
1592620597,10,12
1592622497,6,15
1592624437,9,16
1592626353,3,11
1592628263,13,13
1592630172,15,19
1592632115,4,34
1592634013,6,21
1592635950,6,25
1592637853,11,26
1592639774,4,20
1592641711,4,20
1592644593,6,28
1592646496,34,43
1592648455,5,40
1592650330,6,18
1592652252,8,26
1592654195,7,19
1592656123,9,25
1592658176,19,22
1592660512,27,23
1592662380,14,26
1592664277,5,10
1592666729,15,33
1592668583,15,10
1592670513,6,10
1592672490,9,13
1592674336,5,11
1592676343,42,5
1592678169,25,8
1592680093,6,33
1592682028,12,11
1592683936,4,2
1592685873,9,8
1592687775,8,6
1592689694,6,8
1592691629,11,4
1592693560,9,24
1592695450,10,9
1592697406,7,19
1592699290,6,4
1592701281,6,7
1592703148,7,8
1592705095,8,12
1592707094,7,9
1592708944,5,7
1592710811,9,11
1592712756,5,3
1592714656,4,14
1592716570,35,17
1592718522,6,4
1592720419,3,6
1592722330,5,7
1592724279,5,12
1592726166,3,5
1592728100,18,3
1592730071,8,4
1592731935,5,5
1592734097,7,39
1592736011,5,2
1592738197,6,10
1592740111,7,8
1592742010,7,6
1592743966,5,25
1592745853,3,6
1592747771,6,34
1592749713,4,8
1592751800,10,10
1592753767,7,8
1592755709,7,11
1592757623,9,12
1592759532,9,5
1592761474,20,8
1592763391,11,2
1592765310,11,22
1592767212,7,6
1592769133,9,10
1592771082,9,8
1592772970,4,7
1592774890,3,7
1592778016,15,57
1592779932,12,8
1592781877,22,7
1592783773,19,6
1592785693,10,4
1592787735,10,4
1592789542,10,6
1592791696,27,7
1592793661,18,7
1592795557,17,6
1592797453,23,7
1592799374,19,4
1592801322,14,5
1592803213,22,32
1592805150,26,3
1592807055,18,2
1592809009,22,8
1592810911,24,6
1592812842,24,3
1592814746,17,21
1592816691,24,10
1592818577,20,7
1592820520,20,7
1592822412,18,3
1592824335,7,5
1592826273,5,5
1592828184,10,8
1592830342,25,5
1592832259,12,4
1592834204,15,8
1592836102,9,6
1592839229,17,12
1592841128,14,9
1592843051,8,14
1592844991,8,8
1592846891,9,11
1592849791,13,22
1592851937,11,14
1592853852,6,6
1592855797,10,9
1592857694,12,9
1592859790,6,6
1592861767,17,2
1592863578,37,9
1592865394,10,6
1592867297,7,12
1592869215,3,36
1592871413,8,9
1592873293,3,7
1592875213,3,11
1592877159,15,14
1592879055,7,21
1592881082,18,21
1592882911,13,19
1592885776,19,29
1592887719,17,13
1592889614,20,23
1592891557,17,22
1592893757,16,14
1592896189,32,25
1592898041,18,26
1592899938,18,21
1592901880,17,19
1592904078,12,27
1592905943,15,24
1592907861,27,13
1592909799,22,11
1592911698,15,6
1592914832,29,11
1592916730,5,20
1592918678,13,11
1592920568,14,13
1592922504,8,9
1592925612,18,16
1592927531,11,12
1592929478,10,8
1592931373,26,6
1592933288,15,10
1592935502,14,14
1592937374,12,9
1592939559,15,5
1592941455,15,8
1592943399,5,11
1592945305,22,5
1592947233,11,17
1592949135,6,32
1592951073,16,13
1592952995,14,9
1592954894,10,3
1592958032,23,10
1592959931,32,5
1592961854,7,4
1592963792,20,10
1592965697,9,8
1592968611,24,17
1592970517,15,9
1592972458,24,12
1592974340,27,12
1592976258,20,21
1592978253,21,16
1592980094,21,13
1592982268,19,19
1592984171,17,24
1592986112,14,15
1592988009,10,14
1592989964,22,9
1592991876,15,10
1592993784,24,26
