DateTime,AddedIPs,RemovedIPs
1587465620,0,1
1587477168,1,0
1587479091,1,0
1587503597,0,3
1587563606,0,1
1587574348,3,1
1587610982,3,0
1587660980,0,3
1587688091,3,0
1587697027,0,3
1587739464,1,0
1587743298,1,0
1587745486,1,0
1587747380,1,0
1587774503,0,3
1587815318,3,0
1587827003,0,1
1587830905,0,2
1587832816,0,1
1587853212,1,0
1587858968,1,0
1587877343,3,0
1587886856,3,0
1587902176,0,3
1587928584,2,0
1587940102,0,1
1587944894,0,1
1587952587,2,0
1587959302,1,0
1587963159,0,3
1587973227,0,3
1587978982,3,0
1588004920,2,0
1588014742,0,2
1588024331,1,0
1588038971,0,2
1588045962,0,1
1588053689,2,0
1588065144,0,3
1588067050,2,0
1588072810,1,0
1588092520,0,2
1588106173,2,0
1588111933,0,1
1588117691,2,0
1588123470,3,0
1588139065,2,0
1588140977,0,2
1588152493,0,2
1588159460,1,1
1588193064,0,2
1588204628,0,2
1588211319,0,2
1588224752,3,1
1588264592,2,0
1588280576,0,3
1588292453,1,0
1588300113,3,0
1588311932,0,3
1588313798,3,0
1588319619,2,0
1588329388,1,0
1588353621,0,2
1588363289,3,0
1588368975,1,0
1588378814,0,1
1588386500,0,3
1588390582,1,0
1588398495,0,3
1588406197,0,2
1588414844,0,1
1588426590,1,0
1588449911,0,3
1588455631,0,1
1588476747,0,1
1588494266,3,0
1588502898,2,0
1588512492,0,1
1588530330,3,0
1588558351,1,0
1588562174,2,0
1588579988,0,3
1588589549,0,2
1588616670,0,3
1588639932,3,0
1588647814,0,2
1588651710,0,1
1588659386,3,0
1588668978,2,0
1588688183,2,0
1588695946,1,0
1588707410,1,0
1588723018,2,0
1588727792,2,3
1588737380,3,0
1588745093,0,3
1588756577,0,2
1588760432,1,0
1588768112,2,0
1588775788,0,2
1588781550,0,1
1588793066,0,1
1588810573,0,2
1588814415,0,2
1588824113,0,3
1588847069,0,1
1588901786,3,2
1588942346,1,0
1588990606,0,3
1589011946,3,0
1589029716,0,1
1589096906,3,0
1589098823,0,3
1589112498,1,0
1589116339,2,0
1589118255,2,0
1589131694,2,0
1589133785,1,0
1589147340,3,0
1589159047,2,0
1589160986,1,0
1589162901,3,0
1589172500,1,0
1589182091,0,2
1589185230,2,1
1589190982,1,0
1589192902,1,0
1589196999,1,0
1589198924,0,1
1589200815,1,0
1589202982,0,3
1589204928,0,1
1589218370,0,3
1589233696,0,3
1589246204,0,2
1589248094,0,1
1589250296,0,3
1589258187,0,1
1589263939,2,0
1589271647,0,1
1589277382,0,1
1589279294,0,1
1589283166,3,1
1589286983,0,2
1589300429,1,0
1589344096,1,0
1589350348,0,2
1589359947,3,0
1589365696,2,0
1589368824,0,3
1589384418,1,0
1589400184,2,0
1589415643,2,0
1589429330,1,1
1589431230,0,1
1589446608,0,3
1589452573,0,2
1589469926,0,1
1589476837,3,0
1589486907,0,2
1589500574,0,2
1589507294,1,0
1589509247,2,0
1589516891,0,1
1589548585,3,0
1589562519,0,3
1589570175,2,0
1589595377,2,3
1589633532,1,0
1589635511,0,3
1589657191,0,2
1589665089,3,0
1589677492,2,0
1589681541,0,2
1589708675,3,0
1589710842,1,0
1589720689,0,1
1589751614,0,3
1589763383,0,2
1589770340,3,0
1589776103,3,0
1589795545,0,3
1589797478,0,1
1589822655,2,0
1589836828,1,0
1589856262,0,1
1589862020,2,1
1589895374,1,0
1589901389,1,0
1589907142,2,0
1589909060,1,0
1589912898,3,0
1589918904,0,5
1589922754,2,1
1589944136,1,0
1589947948,2,2
1589980549,3,1
1589988270,0,1
1589992397,0,2
1589994843,0,1
1589996782,2,0
1589998993,0,3
1590011423,0,2
1590030161,0,2
1590032015,2,0
1590034134,1,2
1590066202,0,3
1590082130,0,2
1590086192,3,0
1590097943,2,0
1590101784,2,0
1590103738,3,0
1590117645,0,2
1590149562,3,0
1590155358,3,0
1590162977,3,0
1590164897,1,0
1590167071,4,0
1590172826,0,3
1590178829,1,0
1590182654,2,0
1590184585,11,2
1590188614,0,3
1590190584,0,2
1590202108,0,1
1590204016,1,0
1590205956,2,0
1590233304,2,0
1590235350,1,3
1590243147,0,3
1590245057,1,0
1590248894,0,3
1590252736,0,1
1590254664,0,4
1590264509,2,1
1590268334,1,0
1590270266,0,10
1590272176,0,3
1590277938,1,0
1590289756,0,1
1590293553,0,1
1590305065,3,0
1590308894,1,0
1590315156,1,0
1590318971,0,2
1590320905,0,1
1590322810,3,0
1590330744,0,1
1590350184,0,1
1590354310,0,2
1590365791,0,1
1590383535,3,0
1590391230,0,3
1590395069,0,2
1590401105,0,1
1590408846,0,3
1590431066,2,0
1590438985,3,0
1590446668,3,0
1590470441,0,3
1590499724,1,0
1590506689,3,0
1590517250,0,1
1590521067,0,1
1590526705,0,3
1590532629,0,3
1590538341,2,0
1590540258,2,0
1590546028,2,0
1590575325,2,0
1590583933,2,0
1590594020,0,3
1590601699,2,0
1590603628,1,0
1590613363,3,0
1590623289,1,0
1590625267,0,2
1590627139,0,2
1590632894,0,2
1590647295,0,1
1590660101,3,2
1590668905,0,2
1590676821,2,0
1590682613,2,0
1590688361,2,3
1590698897,0,3
1590708505,2,0
1590710528,0,1
1590716186,1,0
1590721930,1,0
1590741381,3,0
1590745211,0,3
1590757009,2,0
1590762019,2,2
1590769691,0,2
1590773787,0,2
1590779566,2,0
1590785308,2,0
1590794913,0,2
1590802816,0,1
1590808575,0,1
1590816264,1,0
1590827769,0,3
1590843134,0,2
1590845112,3,0
1590849139,0,2
1590866409,0,2
1590872182,0,2
1590876065,3,0
1590880097,1,0
1590904096,0,1
1590911776,2,0
1590941775,1,0
1590959308,3,0
1590963025,0,2
1590964831,0,1
1590990013,1,0
1591005399,1,0
1591009364,1,0
1591015223,0,6
1591024822,3,0
1591028654,0,1
1591045937,3,3
1591076905,0,1
1591086504,3,0
1591092517,0,1
1591096581,0,1
1591098495,1,0
1591102338,2,0
1591112187,0,3
1591119852,3,0
1591131369,0,3
1591146975,2,0
1591168348,2,0
1591172171,0,3
1591183942,0,1
1591188031,4,2
1591207264,0,3
1591234104,0,2
1591255692,0,2
1591273703,0,1
1591277051,3,3
1591293380,3,0
1591301315,3,0
1591307061,2,0
1591343822,2,0
1591354582,2,0
1591364172,0,3
1591368008,2,0
1591372089,1,0
1591379783,0,3
1591384823,2,0
1591388653,0,3
1591392489,1,0
1591395623,1,2
1591414808,3,0
1591428738,0,2
1591430659,1,0
1591432585,1,0
1591442172,0,2
1591453691,0,2
1591457539,0,1
1591461385,3,0
1591470998,0,2
1591474816,2,0
1591480576,0,2
1591485370,2,0
1591498964,1,0
1591500981,0,3
1591516329,0,1
1591518264,0,1
1591529063,3,0
1591534873,3,0
1591548493,0,3
1591558396,2,0
1591560504,0,2
1591568471,2,0
1591572260,0,2
1591574188,2,0
1591580171,1,0
1591584261,0,1
1591586184,2,0
1591601785,3,0
1591615227,0,3
1591619055,1,0
1591620984,0,3
1591627220,3,0
1591644753,3,2
1591654369,0,2
1591660106,0,2
1591665862,0,1
1591673536,0,2
1591688896,0,3
1591696601,1,0
1591698518,3,0
1591708102,0,1
1591711951,3,0
1591713891,0,2
1591731384,0,2
1591747747,1,0
1591784433,0,2
1591786331,0,3
1591796209,1,0
1591798215,0,3
1591811570,3,0
1591819403,0,1
1591825235,1,0
1591830970,1,0
1591834825,0,1
1591860976,2,0
1591882599,0,1
1591890255,2,0
1591898092,0,2
1591906821,0,1
1591910680,0,1
1591918583,1,1
1591926257,1,0
1591933964,3,0
1591947381,0,2
1591976977,0,2
1591986489,2,0
1592004777,0,1
1592012920,0,1
1592020572,0,3
1592050580,1,0
1592068809,3,0
1592072664,0,2
1592125387,3,0
1592136974,0,1
1592139078,3,0
1592150920,3,0
1592154749,0,3
1592188830,3,0
1592212110,1,3
1592225534,0,3
1592235631,1,3
1592251422,3,0
1592257214,1,0
1592261069,1,0
1592268729,1,0
1592274501,3,0
1592278573,2,0
1592284330,1,0
1592307615,3,0
1592315309,2,0
1592317212,1,0
1592322987,2,1
1592336716,1,0
1592342652,0,1
1592346492,0,7
1592356099,0,1
1592359960,0,4
1592363770,0,2
1592371481,0,1
1592392838,0,3
1592400678,0,2
1592404596,0,1
1592410411,0,2
1592421910,2,0
1592423780,0,1
1592494102,2,0
1592496176,1,0
1592498187,1,0
1592507783,0,2
1592583376,1,2
1592600701,0,2
1592616048,1,0
1592637136,1,0
1592639056,2,0
1592669796,0,1
1592689219,1,0
1592702657,1,1
1592706525,1,0
1592724012,0,1
1592725979,0,2
1592739368,1,0
1592743487,7,0
1592753065,3,0
1592776122,0,1
1592789799,0,1
1592791698,0,1
1592818579,1,0
1592820521,2,0
1592826275,2,1
1592828186,0,1
1592830343,0,4
1592838179,0,1
1592840174,3,1
1592842116,1,0
1592885777,0,3
1592901882,3,0
1592905952,2,3
1592913818,0,2
1592927532,0,3
1592929479,0,1
1592933289,3,0
1592976259,2,0
1592984173,2,0
1592988011,0,3
1592991877,0,2
