DateTime,AddedIPs,RemovedIPs
1592009527,5,3
1592011468,9,9
1592013373,8,3
1592015299,5,5
1592017289,11,13
1592019138,6,14
1592021094,5,3
1592022973,9,10
1592024915,11,12
1592026813,9,9
1592028738,3,13
1592030670,26,12
1592032579,15,8
1592034497,11,8
1592036425,17,5
1592038337,10,7
1592040254,4,98
1592042191,6,4
1592044092,10,13
1592046982,10,12
1592048896,14,9
1592050828,6,5
1592052738,5,5
1592054655,6,5
1592056587,8,7
1592058494,5,6
1592060556,6,8
1592062583,7,9
1592064543,6,12
1592066410,9,7
1592068349,3,8
1592070254,19,7
1592072176,9,7
1592074106,2,6
1592076008,9,10
1592077931,8,5
1592080014,9,9
1592082973,12,16
1592084922,7,11
1592086812,6,9
1592088759,7,8
1592090667,10,9
1592092569,7,3
1592094490,13,10
1592097377,14,10
1592099310,10,10
1592101237,3,4
1592103134,23,8
1592105069,5,6
1592106985,2,6
1592108894,6,10
1592110928,10,11
1592112990,10,9
1592114900,10,3
1592116827,2,22
1592118743,6,19
1592120651,4,12
1592122576,7,11
1592124506,15,11
1592126409,7,7
1592128331,16,3
1592130273,8,13
1592132170,11,5
1592134090,18,12
1592136187,10,11
1592138295,6,5
1592140191,7,4
1592142661,12,10
1592144730,12,6
1592146569,12,6
1592148508,3,7
1592150540,5,9
1592152342,8,5
1592154255,12,6
1592156187,9,7
1592158098,3,20
1592160084,8,4
1592161946,6,11
1592163861,6,6
1592165770,5,8
1592167709,9,5
1592169611,5,6
1592171539,7,9
1592173475,15,4
1592175370,10,7
1592177294,5,6
1592180419,12,13
1592182330,9,16
1592184253,2,11
1592186172,6,4
1592188107,6,7
1592190985,7,21
1592192890,8,3
1592194814,6,6
1592196773,6,11
1592198656,8,7
1592200571,8,8
1592202499,6,8
1592205631,9,9
1592207534,8,6
1592209458,6,8
1592211417,8,10
1592213296,7,8
1592215486,9,18
1592217400,13,10
1592219319,3,18
1592221239,12,10
1592223140,16,6
1592225082,9,5
1592227004,3,11
1592228896,7,6
1592230862,5,13
1592233619,13,13
1592235636,14,3
1592237782,8,6
1592239695,14,10
1592241643,9,12
1592243543,15,7
1592245469,11,3
1592247428,4,9
1592249300,8,3
1592251462,8,9
1592253381,9,8
1592255316,6,6
1592257215,6,5
1592259129,14,18
1592261071,14,6
1592262979,9,9
1592264895,8,9
1592266827,8,5
1592268732,9,8
1592270560,6,3
1592272594,12,6
1592274502,5,4
1592276586,8,6
1592278574,12,5
1592280512,9,2
1592282417,9,7
1592284331,4,10
1592286273,16,10
1592288417,11,6
1592290352,8,6
1592292278,7,5
1592294178,7,6
1592296115,8,6
1592299010,13,9
1592300913,10,8
1592302815,8,9
1592304739,10,12
1592306677,7,5
1592308578,9,16
1592310817,12,13
1592312923,20,5
1592314822,7,6
1592316761,4,4
1592318701,4,7
1592320601,7,8
1592322532,8,13
1592324424,12,7
1592326341,8,16
1592328277,12,7
1592330176,9,15
1592332420,5,14
1592334393,6,8
1592336444,8,6
1592338333,11,7
1592340307,8,8
1592342179,17,6
1592344090,12,7
1592346033,12,17
1592347933,9,11
1592349851,12,5
1592351818,10,10
1592353944,5,6
1592355898,11,11
1592357918,13,8
1592359988,10,9
1592361865,6,6
1592363771,10,5
1592365717,10,14
1592367613,7,8
1592369534,14,10
1592371482,12,10
1592373385,11,13
1592375544,8,11
1592377490,7,6
1592379376,7,12
1592381301,9,3
1592383248,7,10
1592385139,8,11
1592387082,9,7
1592388988,15,8
1592390907,8,10
1592392839,7,6
1592394761,18,9
1592396684,4,10
1592398576,12,18
1592400679,11,9
1592402663,8,5
1592404598,12,7
1592406503,10,5
1592408415,10,5
1592410411,60,14
1592412261,5,11
1592414173,10,9
1592416130,11,10
1592418023,5,3
1592419936,9,8
1592421911,7,8
1592423780,13,8
1592425697,8,7
1592427792,5,13
1592429933,17,18
1592431933,12,12
1592433881,21,12
1592435780,9,9
1592437697,22,8
1592439651,8,11
1592441557,18,9
1592443459,10,11
1592445412,19,10
1592447299,8,8
1592449385,17,5
1592451391,9,14
1592453314,12,5
1592455213,11,8
1592457131,14,14
1592459091,16,13
1592461220,6,13
1592463186,11,5
1592465075,14,7
1592466978,28,11
1592468897,11,6
1592471048,7,11
1592472991,7,11
1592474901,17,2
1592476821,17,15
1592478749,8,9
1592480656,2,19
1592482576,13,3
1592484509,12,10
1592486420,15,10
1592488331,10,11
1592490295,12,12
1592492208,16,10
1592494103,8,8
1592496187,8,5
1592498188,8,64
1592500107,6,7
