DateTime,AddedIPs,RemovedIPs
1590997722,1,2
1591003471,1,1
1591005406,0,2
1591007320,0,1
1591009421,1,0
1591011375,0,1
1591017137,1,0
1591034533,2,1
1591038274,1,0
1591040176,1,0
1591042112,2,1
1591047870,1,0
1591051694,1,0
1591053633,1,0
1591055543,1,0
1591057458,1,1
1591063528,1,0
1591069219,1,0
1591073073,0,1
1591078835,1,0
1591084588,1,0
1591088612,0,1
1591090572,2,2
1591092523,0,1
1591096582,1,1
1591098498,1,0
1591100423,1,0
1591104273,0,1
1591116015,0,1
1591117944,1,0
1591119858,1,1
1591121844,1,0
1591123705,0,2
1591125612,1,1
1591127542,1,2
1591133537,1,1
1591137520,0,1
1591139326,0,1
1591141218,1,0
1591143175,0,1
1591145157,1,1
1591152749,1,0
1591156573,1,0
1591158744,1,0
1591164500,0,1
1591172173,1,0
1591174108,1,0
1591177981,0,1
1591179886,2,1
1591181802,1,0
1591183944,0,2
1591186110,0,1
1591188032,1,0
1591201462,1,0
1591203386,1,0
1591205316,1,1
1591207317,1,2
1591211080,1,2
1591212978,0,1
1591214914,2,1
1591216826,1,1
1591218744,0,1
1591224500,1,0
1591228347,0,1
1591232182,0,1
1591236201,1,0
1591238185,0,1
1591240362,1,0
1591242261,1,1
1591244173,1,2
1591246109,2,0
1591259781,0,2
1591266023,0,1
1591267958,1,0
1591269876,1,1
1591271795,2,0
1591273704,1,1
1591281608,1,0
1591287376,0,1
1591291226,0,2
1591296989,1,2
1591302023,2,3
1591315711,0,1
1591321468,1,0
1591323376,0,1
1591325293,2,1
1591327219,2,1
1591329130,0,1
1591331078,0,1
1591332984,0,1
1591334954,1,0
1591341903,1,0
1591345691,1,0
1591354583,2,2
1591364412,0,1
1591368262,0,1
1591375949,1,1
1591383740,0,1
1591385548,1,0
1591387483,3,0
1591393213,0,2
1591397071,1,0
1591401131,1,0
1591404986,0,1
1591409776,1,1
1591411707,1,2
1591413636,1,0
1591417451,0,1
1591421300,0,1
1591427224,0,1
1591431155,0,1
1591436902,0,1
1591440741,1,1
1591442669,2,1
1591444577,1,0
1591450591,1,0
1591456354,1,0
1591458281,1,0
1591473689,0,3
1591475597,0,1
1591477457,1,1
1591483211,0,1
1591490899,1,1
1591492810,1,0
1591496687,0,1
1591498573,0,1
1591500499,1,1
1591502482,0,1
1591512014,1,0
1591513945,1,0
1591519706,1,0
1591525469,2,0
1591527397,0,2
1591529292,1,0
1591531391,0,1
1591533384,0,1
1591537209,0,1
1591542980,0,1
1591544890,1,0
1591546815,1,0
1591554508,1,0
1591558586,1,0
1591562428,1,0
1591564361,0,1
1591570344,2,0
1591572261,1,0
1591578248,1,0
1591580172,0,1
1591582358,0,1
1591584262,1,0
1591586185,1,1
1591591938,2,0
1591593871,1,0
1591595779,1,1
1591597694,2,0
1591599818,0,1
1591601786,0,1
1591605633,2,0
1591609457,2,0
1591611372,0,1
1591613300,1,0
1591615228,0,1
1591620985,1,0
1591622918,1,0
1591631295,0,1
1591633232,0,1
1591635137,1,0
1591637097,1,0
1591640894,0,1
1591648834,1,1
1591650731,0,1
1591656507,1,2
1591658411,0,1
1591664169,0,1
1591666089,1,0
1591670899,0,1
1591674726,1,0
1591680499,0,1
1591685286,0,2
1591687224,2,2
1591691049,1,0
1591692986,2,2
1591696931,0,1
1591698750,1,3
1591700573,0,1
1591706650,0,1
1591708571,2,1
1591718174,1,0
1591720090,0,1
1591723211,1,1
1591736562,0,1
1591740729,1,0
1591752262,1,1
1591758182,1,0
1591760018,2,0
1591765711,0,1
1591767614,1,0
1591769535,1,0
1591773372,2,2
1591779137,0,2
1591781058,1,0
1591782995,0,1
1591784917,0,1
1591786865,1,0
1591790664,1,0
1591794757,0,1
1591796661,1,0
1591800749,0,1
1591804588,0,1
1591808480,1,2
1591812303,2,0
1591818023,2,1
1591819930,1,0
1591821867,2,0
1591827625,0,1
1591837354,0,1
1591845130,1,2
1591847079,2,0
1591859013,1,1
1591860978,0,2
1591864816,1,0
1591870827,2,2
1591872754,0,1
1591874659,1,0
1591876598,1,0
1591880651,0,1
1591890256,1,0
1591898137,0,2
1591900099,1,0
1591902991,1,1
1591904900,0,1
1591906828,0,3
1591908752,0,1
1591910683,1,0
1591912585,0,1
1591918585,1,0
1591930120,1,0
1591933966,1,1
1591935884,3,0
1591937777,1,0
1591946415,0,1
1591948357,1,0
1591952215,0,1
1591957240,0,1
1591961079,1,2
1591962977,0,1
1591970899,1,0
1591972813,1,2
1591976978,1,0
1591980738,1,1
1591986490,0,1
1591989374,1,1
1591997054,2,1
1592004970,0,1
1592018687,1,0
1592020573,0,1
1592022510,0,2
1592024604,0,1
1592026571,0,1
1592038337,1,1
1592040255,1,0
1592042191,0,1
1592044093,1,0
1592046983,0,1
1592056588,1,0
1592060575,1,2
1592064544,0,1
1592066411,2,0
1592070254,1,0
1592072177,0,1
1592074106,0,1
1592077931,1,0
1592080015,1,0
1592082974,1,0
1592084922,0,1
1592086812,1,0
1592088761,1,0
1592097377,1,0
1592099311,1,0
1592105069,1,2
1592106986,1,0
1592110985,1,0
1592120652,1,0
1592124507,1,1
1592126410,0,1
1592128332,1,1
1592132170,1,0
1592136206,1,0
1592142673,0,1
1592146570,0,1
1592151622,0,2
1592155479,0,1
1592157404,1,0
1592163387,0,1
1592165309,0,1
1592167216,0,1
1592172980,0,2
1592174911,0,1
1592182573,1,0
1592184513,1,1
1592189326,2,1
1592191216,1,1
1592195058,1,0
1592196973,0,1
1592201068,1,0
1592202998,2,0
1592204911,1,0
1592206817,0,1
1592210696,1,1
1592212584,0,1
1592214504,1,1
1592220255,1,0
1592222206,0,1
1592226277,1,0
1592230121,1,0
1592234576,2,0
1592236619,1,0
1592240549,1,0
1592244275,0,1
1592246177,1,0
1592257941,1,1
1592270561,2,1
1592276592,0,2
1592278574,0,1
1592280513,1,1
1592282418,0,1
1592288417,1,2
1592292279,0,1
1592296115,2,1
1592300914,0,1
1592302816,1,1
1592304740,2,0
1592312923,1,1
1592316762,0,1
1592320601,0,2
1592322533,0,1
1592324425,0,1
1592328277,1,0
1592334395,1,1
1592336457,0,1
1592346033,2,1
1592357918,1,1
1592363772,1,0
1592365717,2,0
1592375545,2,0
1592377491,0,1
1592381304,0,2
1592388989,0,2
1592390907,1,1
1592394761,1,1
1592396684,1,0
1592402665,0,1
1592404598,1,0
1592408416,1,0
1592414174,0,1
1592418024,0,1
1592423781,0,1
1592427796,1,0
1592431933,1,1
1592437697,1,1
1592439651,1,0
1592443459,1,0
1592445413,2,1
1592447299,1,1
1592449387,0,1
1592451391,1,0
1592463212,1,2
1592471073,1,0
1592474902,0,1
1592480656,2,0
1592486421,0,1
1592490295,1,0
1592492209,2,1
1592507785,1,0
1592509712,0,1
1592517374,1,1
1592519205,1,1
1592523388,0,1
1592529185,0,1
1592533075,0,2
1592536824,0,1
1592538748,2,0
1592540707,0,2
1592550276,1,1
1592557939,0,1
1592559875,0,1
1592563693,1,0
1592565648,1,1
1592569454,1,0
1592571391,1,0
1592579099,0,2
1592582913,0,1
1592590625,1,0
1592598253,0,2
1592600191,0,1
1592605029,0,1
1592606896,0,1
1592608851,1,0
1592614598,1,0
1592624439,1,1
1592630176,1,0
1592637854,0,1
1592641728,1,0
1592646499,2,1
1592650331,1,1
1592652254,1,0
1592656124,0,1
1592658191,0,1
1592666730,1,0
1592670514,1,0
1592678170,1,0
1592680094,0,1
1592682029,1,0
1592683937,1,0
1592693562,1,0
1592695452,1,1
1592697408,1,1
1592702456,2,1
1592708186,1,0
1592710090,1,1
1592712212,1,0
1592727618,0,1
1592729537,1,0
1592731477,0,1
1592733374,2,1
1592735290,1,1
1592737377,1,0
1592739370,2,0
1592743492,0,1
1592749215,1,0
1592753066,0,1
1592754998,1,0
1592756893,0,1
1592761219,1,0
1592765099,0,1
1592768919,1,1
1592770812,0,1
1592780549,1,0
1592782590,0,1
1592784490,0,1
1592788351,0,1
1592790251,0,1
1592792189,0,1
1592794217,0,1
1592796273,0,1
1592798179,1,1
1592800091,1,0
1592807775,1,0
1592813530,2,0
1592817638,1,0
1592819552,0,3
1592821458,1,1
1592825296,1,1
1592832973,1,2
1592834912,0,1
1592836820,2,0
1592840993,0,1
1592842836,1,0
1592844749,0,1
1592856276,0,1
1592860129,1,0
1592863969,1,0
1592865857,0,1
1592867794,1,0
1592871644,1,0
1592873558,1,0
1592877399,1,0
1592879306,0,1
1592883616,1,0
1592887457,0,1
1592893244,1,0
1592895395,0,1
1592899398,1,2
1592901382,1,1
1592905209,2,0
1592907130,1,0
1592909076,0,1
1592910994,0,1
1592912893,1,0
1592914833,1,0
1592920569,0,2
1592924578,1,1
1592926593,1,0
1592932354,0,1
1592938097,1,0
1592945828,1,0
1592947694,1,0
1592949686,0,1
1592951552,1,0
1592953497,1,0
1592955370,0,1
1592961377,1,1
1592963300,0,1
1592969300,2,1
1592972201,1,0
1592976260,3,0
1592980118,1,1
1592986114,0,2
1592988015,1,1
1592991878,0,2
