DateTime,AddedIPs,RemovedIPs
1582590016,1,1
1582591981,1,0
1582593867,0,1
1582597690,1,0
1582599710,0,1
1582601534,0,1
1582603490,1,0
1582613057,1,0
1582614976,0,1
1582626496,0,1
1582628698,0,1
1582634413,1,0
1582636360,0,1
1582640424,0,1
1582644282,0,1
1582646213,1,1
1582648128,1,0
1582650297,0,2
1582661788,1,2
1582665629,0,1
1582669457,1,0
1582677383,0,1
1582679297,0,1
1582683146,1,1
1582690811,0,1
1582698552,0,1
1582722977,0,1
1582732572,0,1
1582734505,0,1
1582746275,1,0
1582748195,0,1
1582755854,0,1
1582759690,1,0
1582763546,1,0
1582769559,0,1
1582784894,1,0
1582796673,1,0
1582798612,3,0
1582833698,0,1
1582843212,1,0
1582845160,0,1
1582850925,0,1
1582864824,1,0
1582870588,0,1
1582882095,0,1
1582885005,1,3
1582929611,0,1
1582952915,0,1
1582960599,1,0
1582970191,0,1
1583043878,1,0
1583045807,2,0
1583047953,2,1
1583063357,1,0
1583130736,0,1
1583132679,0,2
1583134588,0,2
1583146108,0,1
1583223860,1,0
1583239456,1,0
1583243300,1,0
1583249100,1,0
1583250982,1,0
1583255777,1,0
1583265419,1,0
1583267292,1,0
1583310058,0,1
1583325643,0,1
1583327551,1,0
1583329463,0,1
1583335213,1,1
1583337134,0,1
1583340981,1,1
1583350816,1,1
1583353026,0,1
1583354897,1,0
1583367392,1,0
1583388747,1,0
1583402172,1,0
1583414183,0,1
1583420171,0,1
1583428102,0,1
1583437713,1,1
1583441531,0,1
1583453308,0,1
1583474603,0,1
1583488103,0,1
1583508267,1,0
1583523855,0,1
1583537541,1,0
1583539460,1,0
1583541380,1,0
1583545221,1,0
1583574971,1,0
1583593692,0,1
1583595615,1,0
1583605243,1,0
1583611000,1,0
1583622742,0,1
1583624654,0,1
1583628496,0,1
1583630444,0,1
1583641957,1,0
1583651535,1,0
1583661152,0,1
1583682521,0,1
1583686333,1,0
1583688256,1,0
1583690195,0,1
1583696176,0,1
1583711531,1,0
1583729077,0,1
1583738654,0,1
1583753054,1,0
1583763622,1,0
1583773433,0,2
1583775381,1,0
1583796525,0,1
1583798632,1,0
1583839225,0,1
1583843055,1,0
1583849773,0,1
1583861806,0,1
1583886014,0,1
1583925854,0,1
1584105383,1,0
1584150971,1,0
1584159908,1,0
1584161788,1,0
1584192510,0,1
1584237150,0,1
1584244952,0,2
1584257083,1,0
1584281025,1,0
1584317791,1,0
1584344902,0,1
1584366975,0,1
1584402993,0,1
1584407327,1,0
1584444044,1,0
1584493517,0,1
1584528015,0,1
1584573383,1,0
1584586925,1,0
1584653776,1,0
1584659544,2,0
1584685461,0,2
1584695308,1,0
1584712979,1,0
1584740207,0,1
1584745946,0,2
1584781019,0,1
1584796853,0,1
1585002989,1,0
1585064701,1,0
1585105427,1,0
1585107372,1,0
1585148181,0,1
1585150110,0,1
1585177725,1,0
1585191413,0,1
1585193297,0,1
1585260978,0,1
1585301789,1,0
1585317396,1,0
1585319296,1,0
1585347382,1,0
1585388193,0,1
1585405455,0,2
1585433125,0,1
1585436696,1,0
1585522333,0,1
1585587855,1,0
1585595550,1,0
1585675719,0,1
1585679774,0,1
1585703338,1,0
1585788976,0,1
1585899870,1,0
1585920975,6,0
1585944077,1,0
1585986504,0,1
1585996114,1,0
1586030183,1,0
1586041018,1,0
1586076497,0,7
1586082272,0,1
1586116106,0,1
1586125222,0,1
1586135546,1,0
1586220790,0,1
1586228182,1,0
1586260112,1,0
1586267792,1,0
1586271793,1,0
1586273787,1,0
1586283625,1,0
1586291293,1,0
1586308348,1,0
1586316018,0,1
1586345088,0,1
1586354931,0,1
1586358754,0,1
1586360655,0,1
