DateTime,AddedIPs,RemovedIPs
1590250124,0,1
1590252021,0,2
1590253945,0,1
1590257782,1,0
1590261686,0,1
1590263552,1,0
1590267393,1,0
1590269315,0,1
1590273377,1,0
1590275318,1,0
1590281060,1,0
1590282977,1,0
1590285062,0,1
1590287126,1,1
1590294126,1,1
1590307694,1,0
1590309618,1,0
1590311578,0,1
1590317542,0,1
1590333411,0,1
1590344173,1,1
1590349944,0,1
1590352261,2,0
1590354312,1,1
1590360020,0,1
1590362117,0,1
1590367935,0,1
1590369864,0,1
1590371668,1,0
1590373714,0,1
1590375879,1,0
1590381632,0,1
1590393163,0,1
1590395072,0,1
1590397005,2,0
1590412836,1,0
1590416666,1,0
1590423385,2,0
1590429173,0,1
1590438988,1,2
1590440931,1,1
1590455044,1,0
1590456979,1,0
1590458918,0,1
1590460825,1,0
1590462736,0,1
1590464679,1,0
1590468512,1,0
1590484119,0,2
1590486104,1,0
1590497785,0,1
1590504763,0,1
1590508620,0,2
1590517254,2,0
1590521070,1,0
1590524907,0,1
1590526709,1,0
1590528741,1,1
1590540276,0,1
1590544096,0,1
1590546031,0,1
1590549862,0,1
1590555896,2,1
1590569555,1,0
1590571470,0,1
1590573371,1,0
1590602773,0,1
1590604586,1,1
1590606526,1,0
1590608427,1,1
1590614234,0,1
1590616111,0,1
1590619939,1,0
1590629799,1,0
1590631953,1,0
1590633889,1,0
1590643524,0,2
1590655699,1,0
1590657649,0,1
1590659536,0,1
1590675141,1,0
1590681145,1,0
1590684991,1,0
1590690970,0,1
1590692909,0,1
1590694811,1,1
1590700574,1,0
1590706588,0,1
1590708508,2,0
1590712584,2,0
1590716660,0,1
1590718721,1,2
1590722660,1,0
1590724576,1,0
1590742337,0,1
1590744283,1,0
1590759908,0,1
1590767807,0,1
1590769694,1,0
1590771879,0,1
1590779569,1,0
1590781461,0,1
1590787215,0,1
1590794917,0,2
1590798983,0,2
1590804743,1,1
1590808578,0,1
1590810506,0,1
1590818176,1,0
1590820106,1,0
1590829933,0,1
1590831872,1,0
1590843785,3,0
1590855134,1,0
1590857054,0,1
1590866892,0,1
1590884191,1,0
1590889931,2,0
1590891856,0,1
1590893776,1,0
1590901462,1,0
1590903378,0,1
1590907215,1,1
1590909136,1,0
1590918755,0,1
1590926598,1,0
1590928574,1,2
1590930495,1,1
1590942024,0,1
1590949945,1,0
1590957616,1,0
1590961459,1,0
1590967219,1,0
1590969166,1,1
1590971062,1,0
1590977146,1,2
1590980900,0,1
1590986662,1,0
1590988600,0,1
1590994375,1,2
1591010900,1,0
1591012867,1,1
1591014734,0,1
1591016639,0,1
1591020523,1,0
1591030096,1,0
1591035858,1,1
1591043773,0,1
1591047614,1,1
1591053375,0,1
1591055292,0,1
1591057223,1,1
1591059132,2,0
1591061062,1,0
1591062987,1,1
1591064895,1,0
1591072825,0,1
1591080494,0,1
1591098019,2,1
1591100003,0,1
1591107615,0,1
1591113374,1,0
1591117304,0,1
1591123213,0,1
1591134747,0,1
1591140741,1,0
1591142692,0,1
1591146501,0,2
1591148415,0,1
1591150350,0,1
1591152284,0,1
1591154176,1,0
1591183521,0,1
1591185425,0,1
1591195230,1,0
1591201287,1,1
1591203151,1,0
1591226415,0,1
1591238186,1,0
1591240363,0,1
1591257783,2,0
1591273705,1,0
1591277775,2,0
1591281609,1,1
1591283529,1,0
1591289295,0,2
1591300967,2,0
1591316172,1,0
1591323854,0,1
1591335406,1,0
1591343173,0,1
1591345220,0,1
1591347129,1,0
1591350985,1,0
1591352888,1,0
1591360813,0,1
1591362759,1,0
1591364662,1,2
1591366572,0,1
1591370423,1,1
1591372336,1,0
1591382909,1,0
1591384823,1,0
1591386735,1,1
1591388654,0,1
1591402105,0,1
1591404032,1,0
1591419393,1,0
1591421300,0,1
1591423510,1,0
1591433120,1,1
1591436903,0,1
1591440742,1,1
1591450592,0,2
1591452493,1,0
1591458282,0,2
1591460175,1,0
1591469782,0,1
1591471690,0,1
1591474817,0,1
1591485371,1,0
1591487305,1,0
1591489212,0,1
1591498972,2,0
1591506744,0,1
1591508652,0,1
1591510569,1,0
1591520170,0,1
1591522091,1,0
1591525958,0,1
1591527889,2,0
1591531720,1,0
1591539677,0,1
1591547304,0,1
1591553546,1,0
1591555456,1,0
1591559324,1,0
1591568894,3,0
1591572018,0,1
1591573942,0,1
1591584769,1,2
1591596329,0,1
1591607783,0,1
1591613536,0,2
1591617390,0,1
1591621348,1,0
1591629385,1,0
1591638992,1,1
1591640895,0,1
1591644969,1,0
1591646904,0,1
1591652667,1,0
1591656508,0,3
1591660434,1,0
1591664170,1,0
1591670900,0,1
1591688169,1,0
1591692008,1,0
1591707750,0,1
1591709784,2,0
1591715559,0,1
1591719406,1,0
1591725128,0,1
1591728966,1,0
1591730893,0,1
1591734733,1,0
1591736600,1,0
1591738705,0,1
1591740729,2,0
1591744577,2,0
1591746497,1,1
1591750336,0,1
1591773372,0,1
1591777227,1,0
1591779137,0,1
1591790664,1,0
1591794761,1,1
1591796662,2,1
1591798650,1,0
1591806509,0,1
1591816112,1,1
1591821867,0,2
1591827625,0,2
1591829532,1,1
1591831468,0,1
1591833415,0,1
1591841305,1,0
1591847079,1,0
1591862912,0,1
1591868894,1,0
1591878497,1,1
1591880659,0,1
1591882603,0,1
1591884498,0,2
1591888251,1,0
1591890257,1,0
1591900100,1,0
1591902992,0,1
1591904901,2,0
1591914495,1,0
1591916703,0,1
1591922423,1,0
1591928177,0,1
1591933966,0,1
1591957241,0,1
1591962978,1,0
1591964899,0,1
1591970901,1,0
1591975018,0,1
1591976980,0,1
1591984586,1,0
1591986491,1,1
1591989375,1,0
1591991294,0,2
1591993224,1,0
1591998989,1,0
1592000923,0,1
1592006935,1,0
1592008958,0,1
1592016740,1,0
1592026573,2,0
1592028509,1,0
1592050829,1,1
1592054656,1,0
1592056589,1,0
1592058497,1,1
1592060590,1,0
1592064545,1,0
1592072179,0,2
1592076010,0,1
1592080015,1,1
1592082974,1,0
1592084941,1,1
1592086814,1,0
1592090696,1,0
1592092571,0,1
1592103136,0,1
1592105070,1,0
1592112992,0,2
1592114902,1,1
1592120652,1,0
1592136234,0,1
1592140222,1,0
1592143247,2,2
1592145139,0,1
1592147073,0,1
1592148989,1,0
1592150921,0,1
1592158586,1,0
1592168177,1,2
1592170123,0,1
1592173241,1,1
1592177077,0,1
1592183073,1,0
1592190733,0,1
1592192656,1,0
1592202255,0,1
1592206115,0,1
1592210172,1,0
1592214027,2,0
1592227459,0,1
1592229392,0,1
1592231291,0,1
1592235638,0,1
1592243544,1,0
1592245470,0,1
1592255318,0,1
1592259131,1,1
1592262980,1,0
1592268760,1,0
1592270562,1,1
1592278575,0,1
1592286275,1,0
1592292280,1,0
1592296116,1,1
1592299937,0,1
1592301899,0,1
1592313375,1,0
1592322987,1,0
1592328991,1,1
1592334743,1,0
1592342652,1,0
1592346493,1,1
1592349633,1,1
1592355377,0,1
1592357327,0,1
1592365217,1,0
1592372943,0,1
1592378657,0,1
1592382536,0,1
1592400017,0,1
1592407695,2,0
1592409813,2,1
1592415613,1,1
1592417561,1,0
1592421405,0,1
1592425217,1,0
1592429054,0,1
1592432904,0,1
1592435782,0,1
1592439653,1,0
1592451392,0,1
1592474903,1,0
1592484510,1,0
1592488345,1,0
1592494104,0,2
1592496198,1,2
1592502016,0,1
1592503951,0,1
1592509713,1,0
1592511613,0,1
1592513635,2,0
1592519207,1,0
1592523389,1,0
1592525345,0,1
1592540710,1,0
1592546593,1,0
1592560342,0,1
1592566101,1,0
1592572112,0,1
1592574046,0,1
1592575934,2,0
1592581942,0,1
1592589866,1,0
1592595615,1,1
1592599477,1,1
1592601375,0,1
1592605241,0,1
1592609056,1,0
1592611043,0,1
1592627796,0,1
1592631616,1,0
1592633806,0,1
1592650095,1,0
1592652042,0,1
1592653932,1,0
1592655873,1,0
1592661951,0,1
1592663857,0,1
1592671707,1,0
1592675586,0,1
1592679379,1,0
1592681343,1,1
1592685392,0,1
1592694983,0,1
1592698873,2,0
1592710571,1,0
1592714419,1,0
1592718265,0,1
1592735795,0,1
1592739640,0,1
1592741543,1,1
1592743493,1,0
1592749216,1,0
1592754999,1,0
1592759005,0,1
1592765100,1,1
1592766978,1,0
1592768919,0,1
1592770813,1,0
1592784491,0,2
1592790272,1,0
1592796274,0,1
1592798180,1,0
1592800092,0,1
1592813824,1,0
1592827400,0,1
1592829383,0,1
1592835150,0,1
1592840997,0,1
1592842837,1,0
1592852582,1,2
1592856516,0,1
1592864171,2,0
1592873785,1,0
1592875714,0,1
1592880494,1,0
1592882418,1,0
1592884332,0,1
1592888185,1,0
1592898044,1,0
1592899941,1,1
1592905953,2,0
1592907864,1,0
1592913861,2,0
1592915773,1,0
1592929687,0,1
1592939569,0,1
1592947235,1,0
1592951076,0,2
1592954896,1,0
1592958970,0,1
1592964737,1,0
1592966676,0,1
1592968614,0,1
1592974344,1,1
1592984174,0,1
1592986114,1,1
1592991879,1,2
1592993787,0,1
