DateTime,AddedIPs,RemovedIPs
1548369856,1,5
1548457297,1,4
1548544610,2,0
1548631713,3,0
1548718848,4,2
1548806222,5,0
1548893330,4,2
1548980568,1,2
1549068050,2,3
1549155152,3,4
1549242531,3,0
1549329621,6,5
1549416783,2,2
1549503859,3,2
1549591329,4,0
1549678353,2,5
1549765478,1,4
1549852607,6,3
1549939940,3,3
1550070745,3,7
1550157865,2,4
1550245007,2,0
1550332094,123,3
1550419283,2,3
1550506731,3,2
1550593939,2,2
1550681059,1,2
1550768185,1,2
1550855310,2,1
1550942418,1,1
1551029553,1,1
1551116691,2,4
1551203794,4,1
1551291149,2,2
1551378268,1,3
1551465302,2,8
1551552505,0,4
1551683324,5,3
1551770420,4,3
1551857551,1,3
1551944679,4,2
1552031799,1,2
1552118921,3,1
1552206026,1,1
1552293166,3,4
1552380253,1,1
1552467383,1,2
1552554499,1,2
1552641651,3,2
1552728762,0,6
1552815862,0,6
1552903015,2,5
1552990118,2,5
1553077212,0,2
1553164355,1,3
1553251483,4,6
1553338581,2,2
1553425983,2,3
1553513072,2,1
1553600183,3,1
1553687298,2271,0
1553774502,1,1
1553861783,0,4
1553948904,3,103
1554036025,3,0
1554123164,0,1
1554210198,2,0
1554297394,2,2
1554384499,1,3
1554471873,0,1
1554559139,1,2
1554646141,1,2
1554733287,0,2
1554820352,2,4
1554907458,2,0
1555081699,0,1
1555168830,0,4
1555255943,1,1
1555343079,0,1
1555430187,1,0
1555517400,2,3
1555778657,1,0
1555865768,0,3
1555952929,1,1
1556040035,0,2
1556127165,1,3
1556214357,0,1
1556301368,0,2294
1556388499,1,0
1556475630,1,3
1556562791,3,1
1556736971,4,2
1556824123,1,3
1556911259,3,1
1557085457,0,3
1557172583,0,1
1557259694,0,3
1557346842,2,5
1557433937,1,2
1557521054,127,1
1557608172,4,3
1557695328,2,1
1557782457,3,2
1557869543,0,1
1557956654,1,1
1558043808,1,2
1558131142,4,5
1558218297,0,1
1558305370,2,0
1558392750,0,3
1558479802,1,1
1558567000,3,1
1558654112,4,0
1558741212,1,3
1558828374,3,3
1558915558,1,2
1559002581,1,0
1559089717,1,3
1559176987,3,3
1559308376,0,3
1559395482,3,3
1559482573,0,1
1559656956,2,0
1559744221,4,1
1559831541,1,1
1559918663,1,2
1560005786,5,1
1560093159,1,3
1560180500,2,1
1560267628,0,1
1560354744,0,3
1560441772,1,2
1560528974,5,0
1560616117,3,3
1560703240,4,1
1560790334,0,2
1560877358,2286,2
1560964576,2,1
1561051730,1,0
1561138830,11,2
1561225934,33,1
1561313087,10,0
1561400201,25,0
1561487316,19,2
1561574444,20,1
1561661533,18,0
1561748571,9,0
1561835811,11,0
1561923170,9,0
1562010294,10,5
1562097392,10,0
1562184524,14,0
1562271637,6,0
1562358751,6,0
1562445882,6,1
1562533000,5,2
1562620135,3,0
1562707226,8,3
1562794334,7,1
1562881473,6,1
1562968570,2,0
1563055722,2,1
1563142841,4,1
1563230788,3,0
1563318078,5,1
1563405132,3,3
1563492279,5,3
1563579383,3,2
1563666523,0,1
1563797347,5,2063
1563884445,7,8
1563971564,5,14
1564058654,4,14
1564145802,2,14
1564232923,6,151
1564320054,3,21
1564407179,18,15
1564494264,4,8
1564581384,3,10
1564668534,10,6
1564755617,4,224
1564842760,5,8
1564929880,1,6
1565016976,3,6
1565104108,2,6
1565191217,3,4
1565278349,0,9
1565365483,9,9
1565452597,5,5
1565539719,3,8
1565626824,3,5
1565713953,3,4
1565801090,0,4
1565888180,6,6
1565975333,1,6
1566062433,5,4
1566149560,3,6
1566236664,6,4
1566323840,10,4
1566410911,9,10
1566498293,8,10
1566585406,9,6
1566672503,9,4
1566759661,1,1
1566846801,8,3
1566933870,4,3
1567021245,6,7
1567108357,2,3
1567195504,4,30
1567282589,2,4
1567369700,3,3
1567456822,3,3
1567544224,4,4
1567631357,6,3
1567718433,2,2
1567805539,2,5
1567892686,12,2
1567979769,15,3
1568067173,5,1
1568154337,11,3
1568241397,7,4
1568328501,9,6
1568459309,5,4
1568546718,1,2
1568633810,2,2
1568720901,4,2
1568851708,4,8
1568938850,4,8
1569025990,7,8
1569113103,3,8
1569200187,2,10
1569287291,4,6
1569374434,1,1
1569461543,6,5
1569548669,6,4
1569635788,2,8
1569722913,89,3
1569810031,2,1
1569897154,2,5
1569984271,2,0
1570071384,3,1
1570158497,5,4
1570245923,10,4
1570332970,2,2
1570420380,1,1
1570507715,0,10
1570594940,2,12
1570682411,2,5
1570769541,0,7
1570856579,1,3
1570943797,3,3
1571031158,3,3
1571118259,5,1
1571205368,5,0
1571292771,1,4
1571379860,2,3
1571466876,3,5
1571553876,1,1
1571684608,4,7
1571771794,5,1
1571858901,4,0
1571946018,2,3
1572033132,3,6
1572120513,2,5
1572207628,5,4
1572294757,2,82
1572381867,5,7
1572468977,2,2
1572556117,2,1
1572643241,0,10
1572730394,4,3
1572817463,1,10
1572904572,0,1
1572991979,3,2
1573079087,3,4
1573166220,2,5
1573253325,2,2
1573340595,5,4
1573427785,3,4
1573514920,3,5
1573602018,1,4
1573689033,6,7
1573776250,4,7
1573863517,3,3
1573950906,2,7
1574037985,4,2
1574125500,3,3
1574212720,5,2
1574300064,4,2
1574387202,5,7
1574518118,6,5
1574605239,1,4
1574692364,3,1
1574779578,3,5
1574866595,2,2
1574953714,3,3
1575040833,5,2
1575127944,3,7
1575215066,5,5
1575302187,3,7
1575389322,6,5
1575476423,3,4
1575563543,5,2
1575650696,4,3
1575737838,2,2
1575824922,3,2
