DateTime,AddedIPs,RemovedIPs
1591949290,1,1
1591951210,1,1
1591953147,3,3
1591955054,1,3
1591957243,0,2
1591961082,1,3
1591962980,4,5
1591964901,1,1
1591967074,1,2
1591968993,2,2
1591970930,1,1
1591972816,1,0
1591975021,1,1
1591976982,2,1
1591978828,3,4
1591980741,1,2
1591982655,0,2
1591984602,0,2
1591986494,1,2
1591989377,2,2
1591991296,2,4
1591993226,0,1
1591995152,3,0
1591997056,0,1
1591998992,2,3
1592000927,6,2
1592003000,2,0
1592004972,2,2
1592010977,1,3
1592012923,3,0
1592014821,2,2
1592016742,0,2
1592018690,2,0
1592024680,7,0
1592026577,4,1
1592028511,0,1
1592030409,2,1
1592032583,0,2
1592036428,0,2
1592038340,3,1
1592040258,1,2
1592042195,2,1
1592044095,3,0
1592046986,3,0
1592048899,2,4
1592050831,0,2
1592052740,0,1
1592054658,2,0
1592056591,1,2
1592058498,1,2
1592060669,4,0
1592062587,2,2
1592064547,4,3
1592066414,1,1
1592068378,2,1
1592070258,2,0
1592072181,1,1
1592074109,0,2
1592076011,1,0
1592077934,0,2
1592080018,3,2
1592082976,1,1
1592084943,1,2
1592086818,3,6
1592088763,1,2
1592090698,1,2
1592092573,2,0
1592094493,4,0
1592097380,1,1
1592099313,0,3
1592101240,1,2
1592103137,2,0
1592105071,1,2
1592108897,1,0
1592111088,5,7
1592112994,1,4
1592114904,1,0
1592116833,2,2
1592118746,2,0
1592120654,1,0
1592122579,2,0
1592124510,2,3
1592126415,1,1
1592128336,0,2
1592130276,1,3
1592132173,1,2
1592134093,1,2
1592136289,1,1
1592138366,2,0
1592140230,2,2
1592143386,2,1
1592145389,1,4
1592147296,0,1
1592149217,3,3
1592151149,2,3
1592153053,2,2
1592154971,5,2
1592156908,3,1
1592158812,0,1
1592160761,1,0
1592162671,3,1
1592164582,0,1
1592166517,2,2
1592168593,4,1
1592170598,2,1
1592172494,1,2
1592174412,1,1
1592176348,1,2
1592178256,4,1
1592180179,0,2
1592182106,3,3
1592184009,2,1
1592185946,5,0
1592187855,1,1
1592189774,0,2
1592191706,1,1
1592195532,1,1
1592197470,0,4
1592199369,1,2
1592201323,2,1
1592203253,2,2
1592205150,4,2
1592207079,3,1
1592208972,1,2
1592210902,1,2
1592212829,3,1
1592214774,1,0
1592216654,2,1
1592218593,0,1
1592220498,2,1
1592222486,3,1
1592224375,3,2
1592226279,1,2
1592228179,0,2
1592232019,1,1
1592234577,3,2
1592236619,1,2
1592238499,2,3
1592240569,1,5
1592242572,2,3
1592244515,2,0
1592246412,5,1
1592248335,1,3
1592250281,1,0
1592252183,4,1
1592254099,1,2
1592256052,2,4
1592258951,3,2
1592260814,2,1
1592262733,3,1
1592264671,2,4
1592266578,2,0
1592268498,0,3
1592270564,0,2
1592272598,0,6
1592274506,1,0
1592278578,2,1
1592280517,2,1
1592282422,2,0
1592284335,1,1
1592286278,2,1
1592288422,3,2
1592290355,1,2
1592292282,1,5
1592294187,0,2
1592296118,3,1
1592299013,1,2
1592300917,1,2
1592302819,0,2
1592304742,4,0
1592306681,0,1
1592308600,2,4
1592310826,4,3
1592312926,1,1
1592314826,2,0
1592316765,3,0
1592318724,0,2
1592320604,0,2
1592322535,1,0
1592324427,1,3
1592326344,0,1
1592328280,1,2
1592330180,2,0
1592332424,1,7
1592334408,1,1
1592336460,1,1
1592338335,0,3
1592340323,3,2
1592342183,2,1
1592344093,1,4
1592346036,1,2
1592347936,1,2
1592349858,2,1
1592351827,3,4
1592353947,1,0
1592357920,2,0
1592360002,1,0
1592361868,0,1
1592363774,2,2
1592365720,1,0
1592367616,1,2
1592369537,0,2
1592371516,1,3
1592373387,2,2
1592375547,2,1
1592377494,1,2
1592381310,2,0
1592383251,2,3
1592385165,3,1
1592387084,1,1
1592390909,1,4
1592392842,3,0
1592394764,5,2
1592396686,0,3
1592398579,1,2
1592400682,2,1
1592402668,2,4
1592408418,1,1
1592410415,1,1
1592412264,1,0
1592414176,0,1
1592416133,1,2
1592419939,1,1
1592421914,2,2
1592423784,1,0
1592425701,1,1
1592427836,0,4
1592429956,1,1
1592431936,3,0
1592433885,0,2
1592435784,2,2
1592439654,3,4
1592441560,4,0
1592443462,2,2
1592445415,1,0
1592447302,1,1
1592449391,0,2
1592451395,2,1
1592453318,3,1
1592455217,1,0
1592457135,3,1
1592459113,1,1
1592461223,1,2
1592463216,1,2
1592465078,3,0
1592466983,1,1
1592468899,0,3
1592471084,1,1
1592472994,1,3
1592474904,5,0
1592476824,0,1
1592478754,4,2
1592480660,1,4
1592482580,1,2
1592484565,4,1
1592486425,0,1
1592488348,2,2
1592490298,1,1
1592494107,2,1
1592496228,1,1
1592498193,5,1
1592500111,3,0
1592502019,2,1
1592503954,2,0
1592505857,1,1
1592507788,0,1
1592509716,3,2
1592511615,2,1
1592513637,2,0
1592515486,2,1
1592517376,1,3
1592519218,1,0
1592521475,0,2
1592523401,1,0
1592525347,1,2
1592527234,3,5
1592529187,5,1
1592531057,0,1
1592533078,1,2
1592536827,2,1
1592538750,1,3
1592540712,2,2
1592542617,3,3
1592544505,0,1
1592546613,1,1
1592550519,1,2
1592552420,0,3
1592556280,0,1
1592558483,3,1
1592560344,1,3
1592562279,0,2
1592564210,1,1
1592566103,6,4
1592568293,3,0
1592570185,2,4
1592572113,0,1
1592574047,4,1
1592575938,1,2
1592577886,1,0
1592579775,1,1
1592581946,1,2
1592583859,1,3
1592585831,1,5
1592587701,3,0
1592589949,2,3
1592591771,4,2
1592593714,2,0
1592595617,0,3
1592597531,0,2
1592599479,2,2
1592601378,1,2
1592605242,1,2
1592607134,1,0
1592611046,1,1
1592612891,1,1
1592614977,0,7
1592616973,1,1
1592618921,0,1
1592620819,3,0
1592622753,2,1
1592624654,1,2
1592626574,2,2
1592628514,1,2
1592630411,0,1
1592632345,1,1
1592636174,0,1
1592638132,1,0
1592640049,1,0
1592642042,2,0
1592643871,1,2
1592645794,1,2
1592647727,2,0
1592649616,3,0
1592651532,1,4
1592653475,1,4
1592655622,0,3
1592657621,2,1
1592659780,3,4
1592661953,1,1
1592663859,3,1
1592665978,1,1
1592667867,2,1
1592669799,1,0
1592671708,2,2
1592673615,2,3
1592675587,0,2
1592677516,1,3
1592679381,3,3
1592681344,1,0
1592685393,2,2
1592687327,1,1
1592689221,1,0
1592691136,1,1
1592694984,1,1
1592696906,3,1
1592698875,3,1
1592700745,4,0
1592702661,0,1
1592704610,4,0
1592706529,2,3
1592708602,0,1
1592710574,2,2
1592712506,0,1
1592714422,1,2
1592716360,2,0
1592718266,0,1
1592722150,3,0
1592724015,0,1
1592725981,3,1
1592727890,0,2
1592729779,0,1
1592731730,0,1
1592733784,2,2
1592735796,2,3
1592737744,1,1
1592739641,0,1
1592741545,1,0
1592743494,1,1
1592745407,1,3
1592747295,2,1
1592749218,1,2
1592751219,2,3
1592753069,1,0
1592755001,0,3
1592756896,0,2
1592759046,1,1
1592761225,4,1
1592763164,1,1
1592765103,2,1
1592766981,1,2
1592768921,2,1
1592770815,1,2
1592772741,1,1
1592774680,1,1
1592776591,2,1
1592780588,3,0
1592782595,1,3
1592784493,2,1
1592786411,0,7
1592788353,2,0
1592790274,2,2
1592792192,1,3
1592794220,1,1
1592796276,2,0
1592798182,1,2
1592800093,0,1
1592802242,3,1
1592804191,1,1
1592806178,1,0
1592808059,0,2
1592809972,2,1
1592811855,3,3
1592813827,1,0
1592815701,1,0
1592817641,1,0
1592819555,3,2
1592823409,0,3
1592825300,2,0
1592827410,1,1
1592829385,2,1
1592831312,1,0
1592833214,1,2
1592835152,3,1
1592837083,3,1
1592838981,3,3
1592841001,4,0
1592844752,0,1
1592846666,1,1
1592848599,2,4
1592850500,0,2
1592852609,5,1
1592854575,5,2
1592856519,2,0
1592858413,1,2
1592860331,3,1
1592862286,0,2
1592864175,4,0
1592866122,1,2
1592868014,1,1
1592869933,0,1
1592871853,3,2
1592873790,2,1
1592875718,0,1
1592877728,1,2
1592879573,3,2
1592881643,3,2
1592883618,1,1
1592885599,1,0
1592887460,1,0
1592889409,1,4
1592891298,3,1
1592893246,3,0
1592895397,2,1
1592897323,0,2
1592899438,1,2
1592901384,1,2
1592903331,3,1
1592905211,0,2
1592907132,0,1
1592909078,1,0
1592910997,2,0
1592912896,1,3
1592914836,1,1
1592916733,3,1
1592918681,0,1
1592920572,0,3
1592922508,0,2
1592924668,0,3
1592926594,0,5
1592928500,0,1
1592934253,1,3
1592938099,2,1
1592940018,2,6
1592941980,0,5
1592943855,3,0
1592945830,0,4
1592947695,1,0
1592951553,3,5
1592953504,0,1
1592955371,1,0
1592957397,1,3
1592959215,4,1
1592961379,6,1
1592963303,3,1
1592965235,2,3
1592967154,0,1
1592969302,1,2
1592971412,3,1
1592973370,1,2
1592975333,2,1
1592977215,2,3
1592979130,1,2
1592981077,1,3
1592982976,2,0
1592984917,2,1
1592986832,2,0
1592988733,1,2
1592990651,2,2
1592992593,3,0
1592994501,3,1
