DateTime,AddedIPs,RemovedIPs
1580860593,1,1
1580862563,1,0
1580864755,4,0
1580866601,1,0
1580868517,1,0
1580870422,2,0
1580881947,2,0
1580883875,0,1
1580885781,1,0
1580893711,0,5
1580897543,2,0
1580901383,0,2
1580905217,1,0
1580907153,1,0
1580909059,1,1
1580910995,0,1
1580916038,1,0
1580921794,1,0
1580923710,1,0
1580925929,0,1
1580929837,2,1
1580931874,0,1
1580933933,1,2
1580935949,0,1
1580941699,2,0
1580944021,1,0
1580946023,1,1
1580947966,0,1
1580949861,2,1
1580951777,0,1
1580953713,1,0
1580955612,0,1
1580961378,3,0
1580965403,2,0
1580967391,0,1
1580971215,1,0
1580973180,0,1
1580975057,1,0
1580977014,1,0
1580978910,0,9
1580982749,2,0
1580984673,1,2
1580986575,1,0
1580988495,4,0
1580991614,5,1
1580993544,0,1
1580995462,0,1
1581003374,0,1
1581005324,1,0
1581007227,0,1
1581011125,0,1
1581012979,1,0
1581016839,0,2
1581020677,0,1
1581036263,0,2
1581040120,0,1
1581047781,0,2
1581052580,1,1
1581056414,1,0
1581066234,0,9
1581070113,0,3
1581073955,1,2
1581075858,0,4
1581077800,0,3
1581079714,1,1
1581083543,1,0
1581085472,3,0
1581091502,1,1
1581099158,0,1
1581108740,1,0
1581120754,2,0
1581128414,1,0
1581130332,1,0
1581136109,1,0
1581138280,0,1
1581144018,0,1
1581151945,1,0
1581159936,0,1
1581165617,0,1
1581171394,0,4
1581177146,0,1
1581188922,1,0
1581190861,1,0
1581194660,0,1
1581196588,1,0
1581206198,0,1
1581208100,0,1
1581214360,0,1
1581216255,0,1
1581223961,0,1
1581237616,0,1
1581239571,1,0
1581241454,1,0
1581245311,1,0
1581266659,1,0
1581274335,1,0
1581276281,0,2
1581282359,0,1
1581291865,1,0
1581293779,1,0
1581324738,1,0
1581326675,0,2
1581330522,0,1
1581338423,1,0
1581351929,1,0
1581353779,1,1
1581357934,1,0
1581359824,0,1
1581377106,1,1
1581378991,0,1
1581396770,1,0
1581400585,1,0
1581402536,1,0
1581404798,1,0
1581410655,0,1
1581420335,1,0
1581424101,0,1
1581430113,1,0
1581437774,0,1
1581439698,0,1
1581443533,0,1
1581457216,1,0
1581462990,0,1
1581472629,1,0
1581476731,1,0
1581492033,1,0
1581495859,1,0
1581503782,1,0
1581511706,1,0
1581513644,0,5
1581517484,0,1
1581582299,0,1
1581594063,0,5
1581595974,0,1
1581694346,1,0
1581703941,1,0
1581709708,2,0
1581711657,1,0
1581719305,1,0
1581721558,1,0
1581725332,1,0
1581731077,2,0
1581734907,2,0
1581744499,1,0
1581761802,1,0
1581763747,2,0
1581769479,1,0
1581771384,1,0
1581775488,1,0
1581777394,1,0
1581781247,0,1
1581788922,1,0
1581790860,1,1
1581794698,0,1
1581796601,0,1
1581798507,1,1
1581800734,1,0
1581804989,1,1
1581808819,0,1
1581810750,1,1
1581812677,1,0
1581818719,0,2
1581820599,0,1
1581822557,0,1
1581830189,0,1
1581843882,1,0
1581847720,0,1
1581849623,0,1
1581851546,0,1
1581853487,1,0
1581857564,0,2
1581859473,1,0
1581861389,2,1
1581863295,0,1
1581871224,1,0
1581873141,3,0
1581875075,1,1
1581876977,0,1
1581878898,2,0
1581882733,2,0
1581884668,0,1
1581886590,1,0
1581890570,1,0
1581894516,1,0
1581898335,2,0
1581900271,2,0
1581904093,2,0
1581907929,1,0
1581909854,1,0
1581922335,1,0
1581928116,0,4
1581930076,0,1
1581939617,0,1
1581943467,1,0
1581945389,0,1
1581947573,0,2
1581949458,1,0
1581956430,0,1
1581958339,1,1
1581960282,0,3
1581962197,2,0
1581964096,0,1
1581966310,0,1
1581970096,0,2
1581974212,1,0
1581979943,2,0
1581989821,1,0
1582001534,1,0
1582007299,1,0
1582009478,1,0
1582015222,0,12
1582020993,2,0
1582028707,1,0
1582030574,0,1
1582034686,0,1
1582042354,1,0
1582044258,2,1
1582046192,1,0
1582048116,0,2
1582053879,3,0
1582057696,1,0
1582064066,1,0
1582067780,1,0
1582073529,1,0
1582085326,1,0
1582094914,1,0
1582102575,0,7
1582106463,0,1
1582108336,1,1
1582112186,1,0
1582114111,0,1
1582119872,2,0
1582125625,1,0
1582129456,2,1
1582131407,1,2
1582133294,0,1
1582139329,0,3
1582143140,1,1
1582152993,1,0
1582158013,2,0
1582159951,1,0
1582170033,1,0
1582173876,1,0
1582175790,1,0
1582177946,1,0
1582189714,0,5
1582191622,1,0
1582195702,0,1
1582197641,2,1
1582201465,1,0
1582205300,0,2
1582212058,0,1
1582215860,1,2
1582217797,0,1
1582229778,1,1
1582231718,1,0
1582233620,1,0
1582243466,2,0
1582254980,1,0
1582258814,1,0
1582262681,1,0
1582274655,0,8
1582278542,0,1
1582282345,1,0
1582284261,0,2
1582288128,0,1
1582290360,1,0
1582296022,1,0
1582303726,0,1
1582307553,1,0
1582315525,0,1
1582320273,1,0
1582331086,2,0
1582332978,2,0
1582334893,1,0
1582338989,1,0
1582340908,1,0
1582346664,1,0
1582348578,2,0
1582350533,1,0
1582352442,1,0
1582360096,1,7
1582367772,0,1
1582369717,1,0
1582377374,0,1
1582379294,1,0
1582381228,0,1
1582383134,1,0
1582388893,2,0
1582392973,0,1
1582396826,1,0
1582410274,1,0
1582414091,2,0
1582432590,1,0
1582444137,2,0
1582446039,0,14
1582453963,1,0
1582455889,1,0
1582457801,0,1
1582463546,1,0
1582465471,0,1
1582467377,1,0
1582469308,0,1
1582473134,1,0
1582475067,0,2
1582482992,0,1
1582534352,0,6
1582540141,0,1
1582542297,0,1
1582549967,0,1
1582554054,0,1
1582555954,1,0
1582559827,0,1
1582577314,1,0
1582643550,0,1
1582703792,0,1
1582772171,1,0
1582774093,1,0
1582793773,1,0
1582925065,1,3
1583049149,0,1
1583061895,1,0
1583117065,1,0
1583149938,0,1
1583180924,1,0
1583223623,0,1
1583265420,1,0
1583267294,0,1
1583350818,0,1
1583442511,1,0
1583457858,1,0
1583489775,1,0
1583497458,1,0
