DateTime,AddedIPs,RemovedIPs
1592010979,19,32
1592012926,21,23
1592014823,33,15
1592016743,42,24
1592018710,26,33
1592020577,22,15
1592022521,32,30
1592024681,44,34
1592026579,52,28
1592028512,45,25
1592030411,30,21
1592032584,28,97
1592034502,33,30
1592036429,24,24
1592038341,27,22
1592040260,26,20
1592042196,26,26
1592044096,14,24
1592046987,32,23
1592048900,33,17
1592050832,23,34
1592052742,18,22
1592054660,27,32
1592056592,41,32
1592058500,26,19
1592060693,34,24
1592062588,39,30
1592064548,16,19
1592066416,46,18
1592068380,38,9
1592070259,37,18
1592072182,21,21
1592074110,18,29
1592076013,24,17
1592077935,28,29
1592080020,37,39
1592082977,49,112
1592084990,41,32
1592086819,22,23
1592088765,40,27
1592090699,39,52
1592092574,48,62
1592094514,24,28
1592097382,41,29
1592099315,47,19
1592101242,38,35
1592103139,25,42
1592105073,24,28
1592106989,32,18
1592108899,29,35
1592111102,51,41
1592112995,22,55
1592114906,24,41
1592116835,25,33
1592118747,20,22
1592120656,45,42
1592122581,24,24
1592124511,17,27
1592126416,29,31
1592128337,25,25
1592130278,27,15
1592132174,35,13
1592134094,21,35
1592136302,34,32
1592138368,68,23
1592140234,29,20
1592142676,38,45
1592144735,9,24
1592146573,8,39
1592148510,8,30
1592150602,0,29
1592152653,31,40
1592154494,54,39
1592156413,22,46
1592158351,68,22
1592160259,29,22
1592162175,77,27
1592164117,26,32
1592166010,54,31
1592167932,33,37
1592169871,34,32
1592171772,33,38
1592173714,21,19
1592176848,96,63
1592178742,45,52
1592180687,26,31
1592182575,20,27
1592184516,14,41
1592187391,49,50
1592189328,28,26
1592191218,32,17
1592193176,20,32
1592195061,19,30
1592196975,48,44
1592198912,39,22
1592201081,53,21
1592203001,36,12
1592204913,23,14
1592206820,20,25
1592208734,49,14
1592210698,52,11
1592212586,34,13
1592214507,47,18
1592216488,34,18
1592218342,42,15
1592220258,37,5
1592222217,34,7
1592224131,23,45
1592226282,44,36
1592228181,29,23
1592230124,41,8
1592232022,29,3
1592234580,37,8
1592236632,29,1
1592238502,38,3
1592240583,29,201
1592242575,27,26
1592244518,28,17
1592246416,31,15
1592248347,37,123
1592250284,37,17
1592252195,55,39
1592254102,68,25
1592256054,35,18
1592257974,49,16
1592259859,29,12
1592261798,37,38
1592263699,60,41
1592266584,60,35
1592268503,21,15
1592270567,27,7
1592272610,30,15
1592274509,38,13
1592276651,37,16
1592278580,35,99
1592280520,26,14
1592282425,29,105
1592284337,39,88
1592286281,49,92
1592288424,44,51
1592290358,26,23
1592292284,37,19
1592294208,43,37
1592296120,51,48
1592298134,45,41
1592299939,23,29
1592301911,26,45
1592303791,23,48
1592305714,37,44
1592307618,38,21
1592309556,28,29
1592311472,36,34
1592313378,40,34
1592315312,27,37
1592317215,23,35
1592319144,46,27
1592321076,27,25
1592323000,28,27
1592325171,44,50
1592327080,54,22
1592328998,32,17
1592330901,29,25
1592332841,25,29
1592334744,38,32
1592336720,53,30
1592338574,58,48
1592340737,60,67
1592342654,26,26
1592344592,53,49
1592346498,26,24
1592348503,34,47
1592350354,33,51
1592352328,51,36
1592354197,55,22
1592356104,54,17
1592357922,27,27
1592360004,25,41
1592361870,27,36
1592363776,38,18
1592365721,50,29
1592367617,29,25
1592369538,29,133
1592371517,52,47
1592373389,78,41
1592375548,41,42
1592377496,39,24
1592379382,39,38
1592381311,28,51
1592383253,64,55
1592385167,25,32
1592387086,28,40
1592388992,17,18
1592390911,21,25
1592392843,22,32
1592394765,31,40
1592396688,36,19
1592398580,34,42
1592400683,23,33
1592402669,47,16
1592404602,52,34
1592407506,69,56
1592409372,29,27
1592411292,36,31
1592414178,46,63
1592416134,29,23
1592418030,44,16
1592419940,47,21
1592421916,39,35
1592423786,27,36
1592425703,30,43
1592427885,31,47
1592429967,32,29
1592431938,43,42
1592433886,33,36
1592435787,33,33
1592437702,48,36
1592439656,25,40
1592441561,22,55
1592443463,27,29
1592445417,51,22
1592447304,31,23
1592449394,19,34
1592451396,42,39
1592453319,37,26
1592455218,36,155
1592457137,32,37
1592459115,26,63
1592461225,26,41
1592463218,31,35
1592465080,30,33
1592466985,32,36
1592468901,43,49
1592471086,35,42
1592472996,37,23
1592474907,26,25
1592476826,43,18
1592478756,24,18
1592480661,37,34
1592482582,37,31
1592484567,21,109
1592486427,34,24
1592488349,26,34
1592490300,31,54
1592492217,37,70
1592494108,28,32
1592496289,32,26
1592498195,28,44
1592500113,21,28
1592502021,43,28
1592503956,31,26
1592505859,21,41
1592507790,27,29
1592509718,42,30
1592511617,39,30
1592513638,53,22
1592515488,32,22
1592517378,38,32
1592519220,26,36
1592521477,39,34
1592523403,59,27
1592525348,29,21
1592527235,31,24
1592529189,27,21
1592531068,27,39
1592533098,27,45
1592534904,43,17
1592536828,18,27
1592538752,25,24
1592540714,27,22
1592542618,31,155
1592544508,40,29
1592546616,33,23
1592548571,32,30
1592550525,35,33
1592552421,58,29
1592554358,30,32
1592556282,29,44
1592558486,21,33
1592560346,18,39
1592562282,41,32
1592564212,48,26
