DateTime,Entries,UniqueIPs
1592010979,1433,1433
1592012926,1431,1431
1592014823,1449,1449
1592016743,1467,1467
1592018710,1460,1460
1592020577,1467,1467
1592022521,1469,1469
1592024681,1479,1479
1592026579,1503,1503
1592028512,1523,1523
1592030411,1532,1532
1592032584,1463,1463
1592034502,1466,1466
1592036429,1466,1466
1592038341,1471,1471
1592040260,1477,1477
1592042196,1477,1477
1592044096,1467,1467
1592046987,1476,1476
1592048900,1492,1492
1592050832,1481,1481
1592052742,1477,1477
1592054660,1472,1472
1592056592,1481,1481
1592058500,1488,1488
1592060693,1498,1498
1592062588,1507,1507
1592064548,1504,1504
1592066416,1532,1532
1592068380,1561,1561
1592070259,1580,1580
1592072182,1580,1580
1592074110,1569,1569
1592076013,1576,1576
1592077935,1575,1575
1592080020,1573,1573
1592082977,1510,1510
1592084990,1519,1519
1592086819,1518,1518
1592088765,1531,1531
1592090699,1518,1518
1592092574,1504,1504
1592094514,1500,1500
1592097382,1512,1512
1592099315,1540,1540
1592101242,1543,1543
1592103139,1526,1526
1592105073,1522,1522
1592106989,1536,1536
1592108899,1530,1530
1592111102,1540,1540
1592112995,1507,1507
1592114906,1490,1490
1592116835,1482,1482
1592118747,1480,1480
1592120656,1483,1483
1592122581,1483,1483
1592124511,1473,1473
1592126416,1471,1471
1592128337,1471,1471
1592130278,1483,1483
1592132174,1505,1505
1592134094,1491,1491
1592136302,1493,1493
1592138368,1538,1538
1592140234,1547,1547
1592142676,1540,1540
1592144735,1525,1525
1592146573,1494,1494
1592148510,1472,1472
1592150602,1443,1443
1592152653,1434,1434
1592154494,1449,1449
1592156413,1425,1425
1592158351,1471,1471
1592160259,1478,1478
1592162175,1528,1528
1592164117,1522,1522
1592166010,1545,1545
1592167932,1541,1541
1592169871,1543,1543
1592171772,1538,1538
1592173714,1540,1540
1592176848,1573,1573
1592178742,1566,1566
1592180687,1561,1561
1592182575,1554,1554
1592184516,1527,1527
1592187391,1526,1526
1592189328,1528,1528
1592191218,1543,1543
1592193176,1531,1531
1592195061,1520,1520
1592196975,1524,1524
1592198912,1541,1541
1592201081,1573,1573
1592203001,1597,1597
1592204913,1606,1606
1592206820,1601,1601
1592208734,1636,1636
1592210698,1677,1677
1592212586,1698,1698
1592214507,1727,1727
1592216488,1743,1743
1592218342,1770,1770
1592220258,1802,1802
1592222217,1829,1829
1592224131,1807,1807
1592226282,1815,1815
1592228181,1821,1821
1592230124,1854,1854
1592232022,1880,1880
1592234580,1909,1909
1592236632,1937,1937
1592238502,1972,1972
1592240583,1800,1800
1592242575,1801,1801
1592244518,1812,1812
1592246416,1828,1828
1592248347,1742,1742
1592250284,1762,1762
1592252195,1778,1778
1592254102,1821,1821
1592256054,1838,1838
1592257974,1871,1871
1592259859,1888,1888
1592261798,1887,1887
1592263699,1906,1906
1592266584,1931,1931
1592268503,1937,1937
