DateTime,AddedIPs,RemovedIPs
1581835478,9,4
1581857564,7,14
1581879817,8,7
1581901716,12,7
1581923796,7,13
1581945673,17,7239
1581967693,11,4142
1581989535,5,7
1582011430,9,5
1582033456,7,22
1582055310,1433,5
1582077391,5,15
1582099404,9,6
1582121339,4,933
1582143398,12,4
1582165473,10,8
1582187551,6,4
1582209617,7,10
1582231718,8,7
1582253772,4,3
1582286740,12,10
1582308755,3,10
1582330815,4,42
1582352679,6,5
1582374756,9,3
1582396825,5,10
1582418915,11,4
1582440970,8,82
1582462947,13,9
1582484905,14,4
1582506771,16,17
1582528827,10,28
1582550678,25,14
1582572733,4,12
1582594608,29,6
1582616670,9,10
1582638530,2,6
1582660586,4,1433
1582682593,7,6
1582704528,4,10
1582726579,6,1
1582748433,4,12
1582770496,7,11
1582792338,7,6
1582814212,4,6
1582836268,7,7
1582858356,11,5
1582880686,7,5
1582902531,1,5
1582924587,11,3
1582946668,4,11
1582968746,6,10
1582990597,3,5
1583012668,10,206
1583034735,9425,9
1583056578,2236,11
1583078698,5,6
1583100786,2,10
1583122863,10,451
1583144893,441,563
1583166749,557,117
1583188819,118,11
1583210960,2,14
1583233021,6,7
1583255061,13,3
1583276910,16,5
1583298763,4,4
1583320815,13,4
1583342659,8,7
1583364736,4,4
1583386822,12,4
1583408901,5,9
1583430983,1,3
1583453071,3,12
1583475144,4,9
1583496995,3,2
1583519072,2,4
1583541132,4,4
1583562976,6,7
1583585068,4,1
1583607139,23,3
1583629495,58,4578
1583651537,5,6985
1583673378,15,6
1583695241,7,6
1583717294,18,7
1583739170,10,10
1583761239,13,4
1583783297,18,11
1583805162,6,4
1583838298,123,6
1583860610,1104,7
1583882654,719,12
1583904496,928,4
1583926578,875,10
1583948657,567,8
1583970505,822,3
1583992577,8,18
1584014674,9,3
1584036541,6,0
1584058582,114,2
1584080661,0,3
1584102745,6,3
1584124606,6,3
1584146671,3,3
1584168745,4,7
1584191015,2,7
1584212897,8,64
1584234739,11,127
1584256868,3,5
1584278894,3,6
1584300781,10,6
1584322827,13,132
1584344677,111,174
1584366745,169,410
1584388640,396,16
1584410534,12231,4
1584432562,6591,4
1584454603,1650,405
1584476672,2,554
1584498887,4,478
1584520815,1,521
1584542677,5,387
1584564757,828,372
1584587035,8,297
1584608944,2,6
1584630983,9,5
1584653090,5,26
1584675152,6,67
1584697238,2,1
1584719108,4,3
1584741189,11,4
1584774262,5,3
1584796345,4,0
1584818195,5,6
1584840275,0,4
1584862147,1,4
1584884201,8,1
1584906266,4,6
1584928339,8,11
1584950183,11,7
1584983078,19,15
1585005180,6,4925
1585027212,1,11226
1585049062,3,5890
1585071148,7,8
1585092992,6,2
1585114842,2,4
1585136684,3,11
1585158742,8,1435
1585180598,14,6
1585202676,10,8
1585224752,7,7
1585246837,5,13
1585269144,6,8
1585291006,6,9
1585313068,6,2
1585334926,73,6
1585356980,6,4
1585379069,7,2
1585401140,7,8
1585422982,23,6
1585445071,46,11
1585467410,6,3
1585489470,7,8
1585511544,4,5
1585533411,6,3
1585555323,11,56
1585577308,217,727
1585599260,756,7
1585621216,2,3
1585643101,6,2
1585665166,4,6
1585687223,12,8
1585709076,4,2
1585731153,4,4
1585753328,6,4
1585775305,15,5
1585797373,8,13
1585819214,2,5
1585841058,10,4
1585862912,7,5
1585884753,9,8
1585906813,9,4
1585928671,3,59
1585950742,5,18
1585972599,5,14
1585994685,118,5
1586016756,7,4
1586038829,6,27
1586060894,8,4
1586082758,5,4
1586104611,7,2
1586126654,7,3
1586148750,14,473
1586170654,460,506
1586203714,471,178
1586225567,8,3
1586247650,7,7
1586269699,10,3
1586291792,6,9
1586313869,4,4
1586335934,6,48
1586369089,1469,6
1586391172,5,4
