DateTime,Entries,UniqueIPs
1549370943,37685,37685
1549458109,38236,38236
1549545161,38220,38220
1549632290,38224,38224
1549719401,28435,28435
1549806544,28435,28435
1549893706,28431,28431
1549980747,28419,28419
1550067914,28417,28417
1550155025,28410,28410
1550242118,20795,20795
1550329313,24722,24722
1550416353,24698,24698
1550503490,24697,24697
1550590616,24700,24700
1550677742,24685,24685
1550764898,24685,24685
1550851977,24674,24674
1550939095,24679,24679
1551026206,24605,24605
1551113590,39276,39276
1551200726,39242,39242
1551287820,40658,40658
1551375184,48884,48884
1551462299,48897,48897
1551550429,48895,48895
1551637497,49106,49106
1551724619,49130,49130
1551811728,49125,49125
1551898979,49129,49129
1551986210,52650,52650
1552073300,52248,52248
1552160435,52232,52232
1552247582,52224,52224
1552334938,58355,58355
1552422056,58361,58361
1552509167,58935,58935
1552596295,58945,58945
1552683403,58936,58936
1552770548,59310,59310
1552857642,58819,58819
1552945015,57269,57269
1553032114,57276,57276
1553119335,57291,57291
1553206340,57283,57283
1553293472,57290,57290
1553380586,57284,57284
1553467712,57283,57283
1553554935,57287,57287
1553641946,48318,48318
1553729091,46388,46388
1553816196,46400,46400
1553903579,37155,37155
1553990801,37087,37087
1554077819,37092,37092
1554164908,37035,37035
1554252047,37025,37025
1554339133,37007,37007
1554426209,37009,37009
1554513403,37015,37015
1554600506,37000,37000
1554687620,36995,36995
1554774759,36991,36991
1554861780,36999,36999
1554948803,29259,29259
1555035874,27846,27846
1555123005,26625,26625
1555210131,26624,26624
1555297398,26650,26650
1555384614,26659,26659
1555471732,26658,26658
1555558851,29522,29522
1555645991,29503,29503
1555733346,22270,22270
1555820468,22242,22242
1555907585,21991,21991
1555994671,21981,21981
1556081825,21972,21972
1556168956,21970,21970
1556256033,21973,21973
1556343162,21959,21959
1556430288,21940,21940
1556517385,21930,21930
1556604746,21926,21926
1556691875,21911,21911
1556778984,20766,20766
1556866127,20764,20764
1556953343,20720,20720
1557040599,20710,20710
1557127721,22075,22075
1557214831,22071,22071
1557301930,22076,22076
1557389018,22080,22080
1557476187,16002,16002
1557563319,16005,16005
1557650421,15998,15998
1557737573,16001,16001
1557824748,16008,16008
1557911809,15983,15983
1557998935,15982,15982
1558086028,15990,15990
1558173137,15981,15981
1558260326,15977,15977
1558347382,15980,15980
1558434498,15972,15972
1558521639,15960,15960
1558608760,18221,18221
1558695763,18217,18217
1558783260,18219,18219
1558870339,18231,18231
1558957468,18216,18216
1559044616,18227,18227
1559131742,18219,18219
1559218835,18221,18221
1559305998,18225,18225
1559393092,18222,18222
1559480181,18221,18221
1559567342,18218,18218
1559654425,18207,18207
1559741765,17014,17014
1559828906,17009,17009
1559916224,17002,17002
1560003640,17003,17003
1560090737,16956,16956
1560177862,16955,16955
1560265013,16957,16957
1560352114,16957,16957
1560439223,17015,17015
1560526360,17011,17011
1560613467,17007,17007
1560700610,16996,16996
1560787980,16978,16978
1560875062,16988,16988
1560962199,16994,16994
1561049314,17001,17001
1561136507,17007,17007
1561223547,13054,13054
1561310666,13073,13073
1561398054,12863,12863
1561485156,12764,12764
1561572276,12778,12778
1561659410,12386,12386
1561746523,9089,9089
1561833900,9093,9093
1561920987,8885,8885
1562008136,8884,8884
1562095252,8888,8888
1562182344,8870,8870
1562269510,8836,8836
1562356916,8827,8827
1562443943,8831,8831
1562531064,8824,8824
1562618431,8809,8809
1562705538,8807,8807
1562792713,12574,12574
1562879822,12550,12550
1562966922,12538,12538
1563054041,12498,12498
1563141149,12492,12492
1563228211,12469,12469
1563315337,23393,23393
1563403081,23400,23400
1563490119,23274,23274
1563577422,23259,23259
1563664831,23227,23227
1563751986,23219,23219
1563839324,23253,23253
1563970183,26339,26339
1564057246,26352,26352
1564144366,26342,26342
1564231462,26345,26345
1564318595,27340,27340
1564405738,27323,27323
1564492847,27323,27323
1564579965,27323,27323
1564667086,27371,27371
1564754181,27379,27379
1564841331,27372,27372
1564928449,27372,27372
1565015540,27371,27371
1565102682,27366,27366
1565189791,27377,27377
1565276908,27384,27384
1565364041,24244,24244
1565451165,24264,24264
1565538287,24271,24271
1565625394,24261,24261
1565712543,24268,24268
1565799652,24263,24263
1565886764,16760,16760
1565973860,14007,14007
1566060993,14011,14011
1566148136,14022,14022
1566235268,17673,17673
1566322381,17670,17670
1566409473,17672,17672
1566496925,17899,17899
1566583959,23785,23785
1566671077,23736,23736
1566758197,23735,23735
1566845312,23726,23726
1566932668,37659,37659
1567019801,37620,37620
1567107248,37654,37654
1567194290,37656,37656
1567281904,37643,37643
1567369004,36223,36223
1567456122,36229,36229
1567543328,36263,36263
1567630350,36270,36270
1567717510,43500,43500
1567804624,43503,43503
1567891974,43507,43507
1567979074,43505,43505
1568066209,43521,43521
1568153591,43528,43528
1568240695,43544,43544
1568327781,43549,43549
1568415192,43573,43573
1568502587,43583,43583
1568589660,43594,43594
1568676761,43598,43598
1568763861,44285,44285
1568850989,41784,41784
1568938099,41793,41793
1569025300,41798,41798
1569112376,38584,38584
1569199477,38841,38841
1569286583,38844,38844
1569373736,38841,38841
