DateTime,AddedIPs,RemovedIPs
1592018711,94,66
1592020577,88,73
1592022521,134,72
1592024682,104,89
1592026580,73,74
1592028514,48,80
1592030411,76,54
1592032585,73,83
1592034503,83,66
1592036429,80,60
1592038342,61,64
1592040260,57,85
1592042197,63,87
1592044097,81,70
1592046988,138,108
1592048901,65,85
1592050832,62,82
1592052742,87,74
1592054660,75,74
1592056593,92,91
1592058500,63,63
1592060694,70,86
1592062589,73,81
1592064549,74,117
1592066417,87,69
1592068380,67,81
1592070260,63,50
1592072183,71,47
1592074111,59,63
1592076013,76,93
1592077936,81,87
1592080020,109,88
1592082978,117,104
1592084990,81,85
1592086821,81,61
1592088766,98,86
1592090700,99,110
1592092575,73,83
1592094514,95,78
1592097383,163,96
1592099316,65,62
1592101242,47,67
1592103139,49,67
1592105073,51,81
1592106990,116,86
1592108899,80,121
1592111105,62,113
1592112996,68,72
1592114907,60,71
1592116835,85,73
1592118748,97,98
1592120656,61,61
1592122581,69,79
1592124511,86,65
1592126417,69,60
1592128338,91,59
1592130279,60,70
1592132175,52,78
1592134095,91,85
1592136312,103,72
1592138368,88,69
1592140235,51,81
1592142677,90,111
1592144755,35,65
1592146573,28,146
1592148510,29,65
1592150621,218,62
1592152654,203,97
1592154495,70,70
1592156414,56,53
1592158353,37,73
1592160260,53,59
1592162176,810,81
1592164119,1584,70
1592166010,1158,76
1592167933,1098,58
1592169872,1139,58
1592171773,1082,63
1592173715,1068,47
1592175731,1399,41
1592177550,1199,46
1592179478,70,50
1592181387,46,58
1592183411,81,44
1592185226,56,31
1592187134,49,24
1592189091,53,37
1592190987,41,34
1592192891,40,33
1592194816,67,37
1592196775,68,34
1592198658,54,31
1592200574,57,39
1592202501,29,31
1592204545,43,34
1592206355,62,28
1592208270,51,24
1592210176,48,46
1592212114,59,26
1592214029,53,37
1592215950,65,35
1592217872,56,39
1592219782,52,40
1592221782,75,46
1592223634,54,47
1592225541,38,35
1592227462,74,44
1592229403,51,71
1592231296,48,19
1592233624,61,25
1592235641,52,32
1592237787,55,53
1592239700,63,44
1592241647,51,48
1592243547,44,29
1592245497,59,35
1592247433,46,300
1592249308,76,1044
1592251489,86,1467
1592253385,66,1230
1592255321,69,920
1592257219,81,1216
1592259133,92,900
1592261075,180,1388
1592262983,88,1168
1592264899,59,811
1592266831,102,67
1592268763,93,114
1592270567,117,97
1592272610,105,94
1592274509,106,70
1592276654,98,65
1592278581,115,73
