DateTime,AddedIPs,RemovedIPs
1592003786,5,1
1592005695,4,2
1592007628,5,0
1592009529,4,3
1592011471,4,3
1592013376,7,7
1592015302,1,5
1592017370,2,5
1592019403,3,1
1592021288,1,1
1592023225,2,2
1592025130,1,3
1592027083,2,2
1592028973,4,2
1592030896,2,3
1592032831,3,6
1592034731,5,0
1592036651,3,4
1592038584,7,0
1592040488,4,6
1592043644,4,4
1592045537,3,4
1592047455,2,4
1592049391,1,6
1592051320,4,2
1592053378,3,6
1592055369,6,8
1592057318,4,4
1592059213,6,2
1592061413,5,4
1592063319,2,5
1592065223,6,7
1592067140,2,2
1592069076,8,6
1592070982,4,3
1592072901,3,5
1592075064,6,5
1592076983,4,3
1592078892,2,5
1592080812,3,2
1592082747,4,4
1592084652,2,3
1592086573,5,4
1592088509,3,8
1592090420,4,1
1592092356,4,5
1592094264,3,4
1592096127,6,6
1592098336,5,3
1592100288,7,6
1592102262,5,2
1592104096,7,1
1592106013,3,3
1592107948,2,1
1592109854,4,2
1592111783,1,2
1592113710,1,2
1592115617,4,3
1592117533,3,2
1592119474,3,3
1592121374,3,5
1592123338,2,4
1592125468,1,6
1592127386,5,4
1592129290,1,3
1592131230,2,1
1592133149,1,5
1592135066,3,1
1592136975,3,3
1592139079,0,2
1592141161,3,7
1592143503,2,4
1592145393,2,6
1592147297,2,4
1592149218,3,3
1592151171,0,3
1592153054,0,6
1592154976,4,4
1592156910,2,7
1592158814,3,3
1592160762,3,4
1592162675,3,5
1592164583,2,4
1592166521,4,3
1592168633,2,4
1592170600,4,1
1592172495,1,5
1592174413,3,4
1592176349,2,4
1592178258,0,4
1592180180,4,2
1592182108,0,4
1592184012,0,7
1592185949,2,6
1592187857,0,6
1592189778,4,6
1592191707,2,5
1592193739,5,0
1592195789,4,4
1592197692,2,2
1592199661,0,2
1592201780,3,2
1592203695,4,5
1592205656,2,3
1592207536,3,3
1592209460,5,1
1592212333,3,3
1592214272,4,5
1592218095,2,2
1592220027,3,2
1592221935,1,4
1592223890,2,1
1592225800,3,1
1592227692,2,3
1592230571,7,2
1592232580,2,2
1592234584,2,3
1592236632,2,1
1592238502,3,0
1592240586,6,2
1592242577,1,3
1592244518,4,4
1592246420,2,2
1592248348,3,2
1592250284,2,3
1592252195,2,4
1592254102,2,3
1592256055,1,4
1592257975,3,0
1592259861,5,2
1592261801,6,3
1592263700,2,1
1592266585,4,4
1592268503,6,0
1592270567,4,0
1592272610,1,2
1592274510,2,0
1592276657,6,4
1592278581,2,2
1592280526,5,6
1592282426,2,3
1592284338,4,2
1592286282,1,0
1592288425,5,3
1592290359,1,5
1592292285,1,2
1592294209,3,2
1592296121,4,5
1592298176,5,2
1592300191,1,4
1592302140,0,1
1592304024,0,2
1592306009,3,2
1592307857,3,1
1592309769,2,3
1592311710,3,3
1592313610,3,0
1592315536,3,6
1592317471,1,4
1592319374,5,1
1592321314,4,3
1592324428,3,4
1592326345,3,3
1592328281,1,4
1592330181,3,3
1592332425,5,2
1592334409,2,4
1592336461,2,2
1592338336,3,2
1592340324,0,2
1592342184,1,1
1592344093,1,2
1592346036,2,5
1592347937,1,7
1592349862,4,2
1592351831,1,3
1592353948,1,3
1592355913,2,8
1592357923,2,0
1592360005,1,2
1592361871,3,5
1592363776,1,3
1592365722,3,5
1592367618,6,3
1592369539,3,2
1592371518,2,2
1592373390,3,3
1592375562,6,3
1592377498,2,2
1592379383,1,0
1592381312,2,4
1592383254,4,5
1592385168,1,4
1592387087,5,0
1592388993,4,0
1592390912,2,0
1592392844,6,3
1592394766,5,3
1592396689,1,2
1592398581,1,3
1592400684,6,4
1592402670,4,2
1592404603,3,3
1592406543,2,3
1592408420,4,4
1592410417,3,2
1592412266,4,1
1592414179,3,4
1592416135,6,3
1592418031,2,4
1592419942,1,3
1592421918,1,2
1592423788,4,1
1592425704,4,2
1592427892,1,1
1592429972,1,1
1592431939,3,1
1592433887,3,1
1592435788,3,4
1592437703,4,2
1592439657,6,1
1592441563,6,0
1592443464,0,4
1592447305,3,2
1592449396,4,3
1592451400,4,3
1592453320,1,4
1592455219,3,3
1592457138,0,4
1592459116,2,3
1592461226,2,2
1592463219,4,5
1592465081,5,2
1592466986,1,2
1592468902,5,3
1592471087,6,2
1592472997,4,4
1592474908,4,4
1592476832,3,3
1592478757,2,4
1592480662,4,5
1592482584,2,3
1592484568,6,1
1592486428,1,2
1592488353,4,8
1592490301,1,2
1592492218,1,3
1592494109,4,2
1592496292,7,4
1592498196,2,4
1592500114,5,2
1592502022,5,7
1592503957,2,1
1592505860,2,3
1592507791,1,0
1592509719,1,4
1592511617,2,5
1592513639,4,0
1592515489,4,2
1592517379,4,3
1592519224,2,3
1592521478,3,2
1592523404,6,5
1592525349,2,6
1592527236,1,1
1592529190,5,5
1592531069,3,0
1592533122,6,1
1592535145,2,3
1592537052,5,6
1592538972,1,2
1592540887,3,3
1592542903,6,0
1592544758,1,1
1592546617,2,2
1592548572,4,2
1592550532,3,6
1592552422,3,3
1592554360,4,3
1592556283,1,5
1592558487,3,5
1592560347,2,6
1592562283,0,3
1592564219,3,1
1592566105,4,3
1592568296,3,2
1592570207,2,6
1592572116,2,3
1592574051,2,3
1592575942,2,2
1592577894,2,1
1592579777,2,3
1592581950,0,5
1592583861,2,4
1592585834,3,5
1592587705,2,5
1592589976,1,3
1592592021,1,1
1592593963,2,2
1592595874,4,0
1592597798,2,2
1592599712,6,4
1592601641,3,4
1592603535,4,2
1592605453,1,3
1592607392,3,4
1592609293,0,4
1592612183,5,4
1592614108,4,2
1592616056,2,4
1592617941,3,4
1592619797,2,5
1592621791,3,2
1592623702,2,5
1592625851,3,1
1592627800,5,3
1592629691,3,7
1592631617,2,2
1592633808,1,3
1592635699,1,3
1592637645,0,2
1592639568,1,4
1592641460,4,2
1592643427,2,2
1592645316,4,3
1592647348,2,1
1592649158,2,1
1592651094,0,2
1592652978,3,4
1592655168,1,3
1592657058,2,3
1592659284,6,1
1592661173,3,3
1592663090,3,2
1592664996,5,2
1592667218,7,1
1592670976,6,2
1592672901,4,3
1592674835,1,2
1592676745,2,2
1592678662,2,1
1592680597,2,1
1592682530,3,5
1592684437,3,3
1592686337,0,5
1592688269,5,3
1592690201,3,4
1592692100,1,1
1592694987,4,3
1592696909,1,2
1592698877,4,3
1592700777,4,5
1592702694,1,2
1592704613,3,3
1592706532,3,1
1592708605,2,4
1592710577,2,2
1592712510,1,3
1592714424,1,4
1592716363,1,3
1592718269,4,2
1592720199,0,1
1592722152,2,1
1592724018,1,0
1592725984,3,1
1592727909,2,4
1592729782,1,2
1592731733,1,4
1592733816,1,2
1592735799,2,2
1592737758,2,0
1592739644,4,3
1592741548,0,1
1592743497,7,2
1592745410,0,5
1592747298,5,3
1592749221,4,3
1592751221,0,4
1592753084,1,6
1592755003,1,3
1592756898,2,6
1592759053,0,2
1592761232,3,3
1592763166,3,2
1592765111,3,2
1592766986,1,2
1592768934,1,3
1592770822,0,3
1592772768,2,0
1592774684,1,5
1592776595,6,3
1592778507,0,1
1592780684,2,3
1592782598,1,2
1592784497,6,3
1592786414,1,3
1592788356,4,3
1592790277,2,2
1592792195,2,3
1592794223,2,1
1592796308,2,4
1592798186,1,0
1592800096,0,2
1592802325,2,1
1592804194,3,3
1592806182,3,1
1592808063,0,1
1592809975,5,2
1592811858,2,3
1592813830,3,2
1592815705,3,0
1592817644,0,2
1592819558,0,1
1592821465,0,2
1592823412,2,2
1592825304,0,3
1592827421,2,1
1592829389,2,5
1592831316,4,2
1592833218,2,3
1592835156,5,6
1592838984,3,0
1592841021,1,2
1592842878,5,0
1592844754,4,2
1592846671,2,2
1592848602,2,3
1592850502,3,2
1592852641,2,3
1592854577,2,1
1592858415,3,1
1592860334,2,2
1592862288,4,5
1592864196,4,1
1592866127,8,0
1592868019,4,3
1592869936,1,1
1592871856,2,5
1592873801,2,5
1592875720,3,2
1592877792,3,2
1592879790,2,1
1592881647,5,3
1592883622,4,0
1592885602,4,1
1592887486,2,1
1592889422,2,2
1592891302,5,5
1592893249,9,0
1592895401,4,2
1592897327,6,3
1592899476,6,4
1592901387,3,3
1592903334,2,1
1592905215,6,0
1592907135,6,0
1592909090,3,2
1592911000,1,0
1592912900,2,2
1592914839,8,1
1592916736,8,2
1592918684,0,5
1592920575,0,1
1592922512,0,4
1592926597,0,4
1592928507,0,3
1592930423,0,3
1592932358,0,4
1592934256,0,3
1592936236,0,2
1592938102,2,1
1592940021,3,4
1592941983,2,0
1592943858,2,1
1592945833,5,2
1592947698,4,4
1592949817,4,6
1592951778,5,4
1592953727,1,4
1592955622,4,5
1592957787,7,2
1592959701,1,0
1592961642,1,5
1592963535,1,2
1592965459,2,2
1592967412,2,5
1592969305,3,4
1592971486,2,4
1592973374,5,1
1592975336,5,3
1592977218,4,6
1592979132,2,8
1592981081,4,3
1592982979,7,6
1592984920,1,8
1592986835,3,1
1592988736,0,2
1592990655,0,4
1592992596,4,8
1592994507,2,2
