DateTime,AddedIPs,RemovedIPs
1570956762,1,1
1570979024,1,0
1571044816,0,1
1571088771,0,1
1571110815,3,1
1571132659,1,0
1571154769,4,2
1571177057,2,0
1571198929,1,0
1571220776,3,1
1571242815,1,17
1571264658,0,5
1571286514,0,3
1571308376,0,2
1571352518,2,2
1571374603,0,1
1571396649,0,1
1571418527,14,0
1571440840,9,0
1571462944,2,0
1571485022,1,0
1571507062,3,0
1571529167,2,1
1571551493,0,1
1571595874,0,1
1571617935,1,0
1571640032,1,0
1571683936,1,0
1571705780,2,2
1571727766,0,2
1571749740,1,3
1571771805,0,3
1571793865,0,1
1571815957,0,2
1571838019,1,1
1571859869,1,1
1571926374,1,0
1571948431,0,1
1571970505,1,1
1571992362,1,0
1572014214,0,6
1572036300,0,13
1572058371,1,6
1572080546,1,0
1572102520,0,2
1572124386,0,2
1572146418,0,2
1572190142,1,0
1572211999,2,1
1572234127,1,0
1572256121,1,1
1572300122,0,2
1572322128,0,1
1572343970,0,1
1572366026,6,0
1572387884,7,0
1572409943,8,0
1572432039,2,0
1572454114,6,2
1572475957,1,0
1572542219,1,1
1572564348,1,1
1572586798,0,1
1572608689,2,0
1572652875,0,1
1572674923,0,1
1572718834,3,0
1572740903,4,0
1572784615,1,0
1572806675,0,3
1572828748,1,0
1572851157,0,1
1572872999,1,1
1572917087,3,0
1572939068,3,0
1572961013,1,3
1572983076,1,7
1573005135,0,10
1573026981,0,1
1573048914,1,1
1573070979,1,7
1573115307,1,0
1573137170,2,0
1573159243,1,2
1573181302,1,0
1573203447,1,0
1573225520,0,2
1573269650,1,0
1573291703,3,0
1573313802,2,3
1573335893,0,4
1573357938,0,1
1573380291,2,0
1573402379,5,1
1573424683,0,1
1573468606,0,1
1573512559,0,1
1573534576,0,1
1573556696,1,1
1573578781,2,1
1573600860,4,0
1573644780,3,1
1573666841,1,0
1573689040,1,2
1573710984,1,1
1573733135,1,1
1573755464,1,0
1573777452,0,2
1573799319,0,1
1573821371,1,0
1573865324,0,1
1573887372,1,1
1573909502,0,4
1573931564,1,0
1573975707,0,1
1573997560,0,3
1574019631,0,3
1574041490,1,0
1574107718,3,1
1574129804,1,0
1574151879,0,1
1574173953,1,3
1574195805,1,3
1574217858,1,2
1574239710,0,2
1574261562,1,2
1574283777,1,1
1574327827,1,2
1574350106,1,1
1574371969,1,0
1574394018,1,0
1574416115,0,1
1574438171,1,0
1574460194,1,0
1574482131,0,1
1574548100,0,1
1574570185,2,0
1574636188,1,0
1574658151,0,1
1574680369,1,0
1574702430,0,2
1574724277,1,2
1574790056,0,1
1574812181,1,0
1574834173,0,1
1574856376,0,1
1574900446,1,1
1574944582,0,1
1574966429,0,1
1574988282,0,2
1575010365,1,0
1575043578,2,1
1575065804,0,2
1575109951,1,0
1575153882,3,0
1575175965,0,2
1575220129,1,0
1575241972,3,1
1575264030,2,0
1575286100,3,1
1575308035,2,0
1575330057,2,1
1575351900,3,0
1575373966,1,0
1575396176,2,1
1575418378,0,1
1575462344,3,0
1575484347,3,0
1575506193,3,1
1575528277,4,0
1575550124,3,0
1575594227,1,0
1575616147,1,1
1575638449,0,2
1575660536,2,0
1575682617,4,0
1575704468,1,0
1575726519,0,1
1575748365,0,3
1575770218,3,0
1575814344,0,1
1575836457,2,1
1575858515,0,2
1575880369,2,2
1575902441,2,3
1575924524,2,2
1575946607,1,2
1575968531,4,1
1575990632,3,2
1576012587,4,0
1576034659,2,0
1576056781,2,2
1576079071,4,4
1576100919,0,1
1576122808,1,3
1576145050,1,3
1576166896,1,0
1576188777,1,0
1576210828,1,2
1576232910,1,0
1576254988,1,0
1576276828,1,2
1576298919,4,5
1576320971,1,0
1576343054,2,0
1576364976,2,4
1576409062,2,0
1576431169,4,1
1576453247,0,1
1576475325,0,2
1576497404,0,2
1576519484,1,3
1576541561,2,2
1576563624,0,3
1576585709,0,3
1576607799,2,5
1576629856,2,3
1576651734,1,0
1576673579,1,2
1576695835,5,3
1576717709,0,1
1576739810,0,1
1576761853,1,0
1576783728,3,2
1576805793,0,1
1576827860,1,0
1576849739,1,1
1576871772,0,2
1576904743,1,5
1576926751,0,1
1576948815,1,2
1576970659,0,3
1576992765,1,0
1577014821,0,2
1577036914,0,4
1577059020,1,0
1577102932,1,0
1577125022,0,1
1577147051,0,2
1577168921,1,0
1577213068,0,2
1577234911,0,3
1577256996,0,1
1577279067,2,1
1577300912,1,5
1577345065,1,0
1577367153,1,2
1577389219,0,2
1577433392,1,1
1577455520,3,1
1577477549,1,0
1577499390,4,1
1577521465,1,0
1577543554,0,1
1577587460,0,1
1577609559,1,0
1577631871,1,0
1577653906,0,1
1577697654,1,1
1577741552,1,0
1577785461,1,1
1577807329,1,0
1577862299,0,1
1577884352,0,1
1577906451,0,1
1577950342,0,1
1577972448,0,1
1578038205,0,1
1578071091,0,3
1578093175,0,3
1578115214,0,2
1578137085,0,1
1578203079,0,1
1578246996,0,1
1578290906,0,1
1578334835,0,1
1578378782,0,1
1579233960,1,1
1579321958,1,0
1579696340,1,0
1579850428,1,1
1579916413,1,1
1580246181,1,0
1580290094,1,0
1580311968,0,1
1580465802,0,1
1580509993,0,1
1580576186,1,0
1580851468,0,1
1580895382,0,1
1580983538,1,0
1581181943,0,1
1581291639,1,0
1581379950,1,0
1581907479,1,0
1581995572,0,1
1582105242,0,2
1582501454,0,1
1582556923,1,0
1582578978,1,0
1582732849,1,0
1582754918,1,0
1582930994,1,0
1582975115,9,0
1582997071,2,0
1583019151,1,0
1583041223,1,0
1583238741,1,0
1583304993,1,0
1583348907,0,1
1583590614,0,12
1583766528,1,0
1583832514,1,0
1583898267,0,1
1583986094,0,6
1584007941,2,0
1584161572,2,0
1584216739,1,0
1584304832,1,0
1584370629,0,1
1584392627,1,0
1584414504,1,0
1584436374,0,1
1584458467,1,0
1584502510,1,0
1584524445,1,0
1584546523,1,0
1584601516,2,0
1584623544,0,1
1584689559,0,1
1584755567,0,1
1584788617,1,1
1584810512,1,0
1584832585,0,1
1584898817,0,1
1584920934,1,0
1584997944,24,0
1585107872,1,0
1585240104,1,0
1585383152,1,0
1585449139,1,0
1585471239,1,0
1585493301,2,0
1585603231,0,31
1585625071,0,1
1585646929,1,0
1585690816,1,0
1585712912,0,1
1585801218,20,0
1585823072,13,0
1585867211,1,0
1585932997,1,0
1586086849,1,1
1586108922,1,0
1586175150,1,0
1586285308,1,0
1586395475,1,0
1586417582,0,16
1586439612,0,16
1586483315,3,0
1586505388,1,0
1586527323,1,0
1586549622,1,0
1586593704,1,0
1586703436,0,2
1586725328,0,2
1586769160,1,1
1586791299,0,1
1586813296,1,1
1586835154,1,1
1586879068,0,1
1586967147,1,0
1586989000,0,2
1587011064,0,1
1587033146,1,1
1587077055,1,0
1587098945,1,3
1587120986,2,1
1587142938,1,4
1587164905,0,1
1587274580,1,0
1587296679,1,0
1587351936,1,1
1587374054,0,1
1587505975,1,0
1587550109,1,0
1587638424,1,1
1587660535,0,1
1587726782,0,2
1587748861,0,1
1587792765,0,1
1587814839,0,1
1587836684,0,1
1587858737,0,1
1587881099,1,1
1587903156,0,1
1587947301,1,0
1587991220,1,0
1588079313,1,0
1588101396,0,1
1588145546,0,1
1588167436,2,0
1588189463,1,0
1588233379,1,1
1588343672,1,0
1588387707,1,0
1588475557,1,0
1588497617,1,0
1588563660,0,1
1588651719,1,0
1588673813,0,2
1588717959,2,0
1588740028,1,0
1588761899,0,2
1588783936,0,1
1588806139,1,1
1588872018,1,0
1588915948,0,1
1588938018,1,0
1588959865,1,0
1588981710,1,4
1589003779,0,1
1589070030,2,0
1589092099,0,1
1589114012,1,1
1589136088,1,0
1589202252,1,0
1589246208,0,1
1589312457,1,0
1589334508,0,2
1589378743,0,1
1589400845,2,0
1589554581,0,3
1589576553,22,0
1589598523,2,1
1589731084,1,0
1589797236,1,0
1589863459,2,0
1589907812,2,0
1589974174,11,0
1589996087,10,0
1590018052,7,1
1590172339,0,8
1590194184,0,15
1590326420,0,3
1590370404,0,1
1590392430,0,1
1590414516,1,0
1590436599,0,1
1590458707,0,1
1590502871,0,2
1590524912,1,0
1590590792,2,3
1590612745,0,6
1590646111,0,7
1590690026,1,3
1590711867,0,1
1590733931,1,0
1590844337,1,0
1591031090,1,1
1591074987,0,1
1591118889,1,0
1591140747,0,1
1591294827,0,1
1591316894,1,0
1591360815,0,15
1591382709,1,0
1591448590,0,1
1591514421,1,0
1591536265,16,0
1591580417,0,1
1591624602,0,1
1591723471,0,1
1591811313,1,0
1591877106,2,0
1591899133,1,0
1591920978,1,1
1591943072,2,0
1591965148,1,0
1591987223,0,1
1592031386,1,0
1592075302,1,0
1592141162,1,16
1592184988,1,0
1592229134,1,1
1592382537,1,0
1592426661,1,0
1592448757,1,0
1592471098,0,2
1592537315,0,2
1592559158,1,1
1592603078,0,2
1592646975,0,1
1592679870,1,1
1592701938,0,1
1592723784,1,0
1592745856,0,1
1592789806,1,1
1592855803,0,1
1592987569,0,1
