DateTime,AddedIPs,RemovedIPs
1591757310,1,2
1591759233,2,2
1591763076,3,2
1591765017,0,1
1591769118,0,2
1591772936,0,1
1591776765,1,0
1591778669,0,1
1591780599,0,2
1591782497,0,1
1591784439,0,1
1591790213,1,0
1591792388,0,1
1591794412,0,1
1591800361,0,1
1591802199,0,2
1591806018,0,1
1591807951,1,1
1591809878,4,2
1591811795,4,0
1591813712,4,1
1591815799,0,2
1591819715,3,0
1591821620,0,4
1591825489,3,1
1591827375,2,1
1591829296,2,3
1591831234,0,5
1591833175,1,1
1591835056,1,2
1591836989,2,2
1591838891,1,0
1591841782,1,2
1591843697,0,1
1591845626,1,0
1591849460,1,3
1591851414,1,0
1591853297,1,0
1591858379,1,0
1591860260,1,1
1591862195,1,0
1591864117,3,0
1591866187,0,1
1591871778,1,0
1591873727,2,0
1591875618,1,0
1591879477,4,0
1591891005,0,2
1591893267,1,2
1591896979,0,2
1591898900,1,1
1591900827,1,0
1591904657,0,1
1591906587,1,0
1591908508,2,0
1591912339,0,2
1591914270,0,1
1591916227,1,0
1591918098,1,1
1591920197,2,1
1591922186,4,1
1591924096,1,3
1591926036,1,0
1591927951,1,0
1591931785,0,1
1591933715,2,0
1591935626,0,1
1591941369,0,1
1591943296,1,0
1591945403,0,1
1591947385,1,0
1591949294,0,3
1591951214,1,0
1591953154,0,1
1591957246,1,1
1591959147,1,1
1591961086,0,5
1591962984,0,1
1591967079,0,3
1591970933,1,0
1591972821,1,0
1591975025,0,1
1591977051,2,0
1591979065,0,1
1591980994,2,0
1591982892,2,0
1591984901,0,2
1591986745,0,1
1591990589,2,0
1591992512,5,0
1591994461,2,2
1591996347,1,0
1591998280,2,0
1592000176,1,1
1592002100,1,0
1592004024,2,2
1592005934,3,0
1592007854,0,6
1592009773,0,1
1592011690,3,0
1592013771,0,2
1592015782,1,1
1592017770,2,0
1592019629,0,1
1592021535,0,1
1592023457,1,0
1592025377,1,0
1592029225,1,1
1592033053,3,0
1592034987,2,0
1592036891,2,0
1592039779,1,2
1592041700,1,2
1592043644,0,1
1592045537,2,1
1592053383,1,0
1592059213,2,0
1592061413,1,0
1592063319,0,1
1592067141,1,0
1592069077,0,2
1592072901,1,0
1592076984,2,2
1592078893,0,6
