DateTime,AddedIPs,RemovedIPs
1589462911,0,1
1589464982,1,0
1589466975,1,0
1589469194,0,1
1589474897,0,1
1589484737,0,1
1589502264,1,0
1589504184,1,0
1589506112,0,1
1589510179,1,0
1589512110,0,2
1589514015,0,1
1589519797,1,0
1589527474,1,0
1589535388,2,0
1589539223,1,1
1589549085,1,0
1589551473,0,1
1589553382,1,1
1589570667,1,0
1589576571,1,0
1589580286,1,0
1589589879,1,2
1589597548,1,1
1589601393,1,0
1589607623,0,1
1589613381,0,1
1589621083,0,2
1589627010,1,1
1589635048,3,1
1589636951,1,0
1589641004,0,1
1589657200,0,1
1589663214,0,1
1589677534,0,1
1589681551,1,0
1589683489,0,1
1589689290,0,1
1589706760,1,0
1589708685,1,0
1589712760,0,1
1589714672,2,0
1589718577,1,0
1589720756,1,3
1589724511,0,1
1589730322,1,0
1589752099,1,0
1589767965,0,1
1589793158,1,1
1589795070,1,1
1589801062,1,1
1589804906,0,1
1589807041,0,1
1589809002,1,0
1589813064,0,1
1589816905,0,1
1589829145,1,0
1589838753,0,1
1589860112,1,0
1589875954,1,0
1589879792,1,1
1589881749,0,1
1589893474,1,0
1589895391,0,1
1589903304,1,0
1589909072,1,0
1589915180,0,1
1589924678,1,0
1589930507,1,1
1589932354,1,0
1589936288,2,0
1589948206,0,1
1589956093,1,0
1589958234,1,0
1589962107,0,1
1589966215,0,1
1589974243,1,0
1589977982,1,0
1589980909,0,1
1589988731,0,1
1589995149,0,1
1589999326,1,0
1590011714,0,1
1590015965,0,1
1590019713,0,1
1590021766,0,2
1590043725,0,1
1590045795,0,1
1590047628,1,0
1590062737,0,2
1590086652,0,1
1590094113,1,0
1590132116,1,0
1590133971,0,1
1590141571,0,1
1590145378,1,0
1590157327,1,0
1590161075,0,1
1590164904,1,0
1590172831,1,0
1590180743,0,1
1590186503,1,0
1590188631,1,0
1590192518,1,0
1590198295,1,0
1590219679,0,1
1590221554,1,0
1590231403,1,1
1590239909,2,0
1590243853,0,1
1590247692,1,0
1590251779,0,1
1590259466,0,1
1590272891,1,1
1590274990,0,1
1590278936,0,1
1590284655,0,1
1590296608,1,0
1590308179,0,1
1590313945,20,0
1590315881,27,0
1590317779,10,1
1590319698,1,0
1590321817,1,0
1590323786,1,0
1590325952,0,2
1590327857,1,0
1590333611,0,1
1590345624,1,0
1590347546,1,0
1590349476,1,0
1590351700,1,0
1590359547,1,1
1590366752,1,0
1590378772,1,0
1590382593,0,1
1590386684,1,0
1590400098,0,18
1590402040,0,27
1590403988,0,12
1590405878,0,1
1590409703,1,2
1590415539,0,1
1590431077,0,1
1590432998,0,1
