DateTime,AddedIPs,RemovedIPs
1592015783,2,0
1592017771,3,0
1592019630,2,3
1592021535,2,1
1592023458,7,3
1592025378,4,2
1592027298,2,0
1592029227,5,3
1592031134,1,139
1592033054,2,2
1592034987,1,15
1592036891,0,4
1592039780,22,1
1592041701,9,19
1592043645,11,1
1592045538,13,3
1592047456,11,2
1592049392,23,3
1592051321,13,0
1592053384,12,3
1592055370,5,4
1592057320,6,3
1592059214,6,3
1592061414,17,4
1592063320,4,1
1592065224,6,18
1592067142,6,8
1592069077,5,3
1592070984,4,2
1592072902,5,2
1592075067,2,3
1592076985,5,1
1592078893,5,1
1592080820,5,1
1592082748,3,2
1592084653,1,38
1592086574,5,1
1592088511,4,5
1592090422,0,3
1592092357,1,3
1592094265,2,3
1592096129,28,2
1592098338,0,3
1592100290,1,2
1592102264,2,2
1592104097,3,3
1592106015,1,1
1592107949,0,1
1592109856,1,6
1592111785,6,5
1592113712,3,3
1592115619,7,8
1592117534,2,2
1592119476,3,2
1592121376,4,2
1592123339,4,0
1592125487,4,9
1592127387,6,6
1592129291,8,7
1592131231,16,10
1592133150,7,9
1592135067,16,8
1592136976,15,25
1592139081,17,10
1592141164,11,8
1592144757,29,10
1592146575,14,16
1592148511,14,5
1592150683,14,9
1592152655,7,9
1592154496,11,7
1592156415,10,8
1592158354,10,6
1592160261,12,6
1592162177,11,4
1592164120,9,3
1592166011,7,4
1592167934,10,4
1592169873,10,4
1592171775,7,3
1592173716,7,5
1592175808,11,2
1592177839,15,1
1592179695,20,3
1592181609,13,18
1592183412,13,11
1592185227,8,1
1592187135,11,1
1592189092,8,3
1592190988,8,0
1592192914,9,1
1592194817,7,0
1592196776,2,2
1592198659,6,6
1592200575,11,4
1592202502,5,3
1592204590,13,1
1592206579,12,3
1592208525,12,6
1592210416,14,5
1592212334,12,7
1592214273,15,3
1592216238,5,7
1592218096,6,7
1592220028,8,6
1592221936,8,11
1592223891,7,17
1592225802,10,9
1592227693,9,9
1592229656,9,8
1592231552,9,9
1592233626,9,15
1592235643,7,8
1592237788,15,6
1592239701,5,10
1592241650,236,4
1592243548,66,6
1592245499,1,3
1592247435,5,4
1592249310,3,5
1592251491,0,4
1592253386,2,2
1592255322,1,7
1592257221,2,5
1592259135,2,3
1592261077,0,4
1592262984,0,8
1592264900,2,10
1592266834,1,22
1592268765,1,14
1592270569,1,5
1592272613,5,6
1592274512,0,5
1592276663,1,8
1592278583,16,6
1592280527,1,6
1592282427,4,2
1592284340,0,4
1592286283,4,8
1592288426,20,8
1592290361,14,6
1592292287,14,8
1592294211,8,8
1592296123,14,6
1592298226,36,9
1592300193,30,9
1592302141,14,4
1592304026,14,5
1592306011,7,5
1592307859,10,2
1592309771,1,9
1592311712,6,5
1592313612,10,11
1592315537,3,9
1592317473,2,5
1592319375,2,8
1592321331,3,9
1592323439,2,13
1592325388,7,9
1592327292,5,18
1592329212,10,369
1592331153,7,7
1592333051,8,10
1592334993,9,5
1592336894,17,5
1592338835,8,5
1592340740,4,2
1592342656,4,5
1592344595,5,6
1592346500,6,6
1592348570,5,4
1592350574,7,5
1592352774,6,7
1592354656,7,4
1592356576,36,3
1592358517,7,6
1592360417,5,4
1592362338,29,1
1592364280,7,17
1592366171,4,4
1592368112,2,4
1592370224,3,2
1592372221,1,2
1592374093,0,20
1592376044,1,15
1592377937,3,9
1592379873,1,13
1592381800,26,11
1592383693,3,24
1592385643,5,49
1592387536,2,11
1592389491,4,18
1592391405,16,17
1592393296,18,14
1592396416,12,12
1592398328,2,12
1592400283,5,13
1592402172,3,1
1592404375,6,4
1592406292,4,0
1592408201,5,3
1592410175,7,1
1592412268,8,6
1592414181,3,6
1592416136,3,9
1592418033,6,6
1592419943,7,5
1592421920,6,5
1592423794,11,21
