DateTime,AddedIPs,RemovedIPs
1589439377,100,87
1589446576,92,110
1589453778,121,79
1589461219,105,136
1589469188,135,118
1589476110,162,112
1589483543,111,127
1589490746,122,128
1589497948,92,117
1589505378,94,128
1589512099,127,152
1589519310,111,94
1589526511,128,75
1589533716,106,86
1589541390,116,114
1589548112,192,123
1589555079,150,165
1589562511,127,123
1589569700,107,119
1589576903,124,147
1589584112,95,166
1589592017,145,126
1589599216,128,131
1589606417,116,108
1589613616,127,57
1589620823,90,96
1589628260,112,122
1589635460,131,106
1589642660,116,117
1589649860,135,95
1589657176,111,128
1589664550,113,129
1589672070,100,107
1589679631,97,137
1589687294,96,110
1589694498,101,128
1589702413,110,72
1589709376,99,86
1589717117,93,776
1589723779,490,87
1589731073,167,116
1589738662,152,99
1589745684,118,130
1589753529,133,123
1589760969,94,104
1589767950,117,121
1589775149,108,112
1589782339,137,88
1589790259,98,111
1589796744,108,85
1589804417,164,106
1589811863,149,144
1589819296,118,117
1589826743,169,101
1589833946,159,120
1589840660,101,125
1589848584,101,93
1589855781,121,124
1589862983,140,111
1589870183,103,138
1589877615,132,94
1589885070,107,90
1589892496,96,86
1589899696,105,110
1589906662,141,113
1589914578,100,99
1589921298,91,114
1589928500,83,116
1589935698,103,108
1589942901,117,136
1589950337,104,156
1589957777,176,95
1589964976,116,79
1589972463,93,103
1589979390,93,124
1589987326,111,80
1589994514,108,93
1590001957,119,112
1590009150,102,110
1590016817,80,104
1590024016,93,118
1590032010,164,129
1590039147,105,152
1590046106,108,84
1590053543,95,105
1590060742,111,121
1590067945,141,92
1590075391,97,89
1590082576,83,109
1590089788,103,93
1590096988,111,115
1590104184,87,119
1590111382,129,115
1590118585,96,135
1590126017,122,116
1590133218,111,72
1590140664,88,138
1590148579,146,88
1590155308,117,87
1590162503,105,97
1590169936,109,86
1590177136,89,89
1590184576,83,235
1590192025,196,94
1590199226,111,125
1590206479,102,129
1590213629,110,119
1590220843,131,92
1590228086,101,117
1590235706,113,150
1590242666,156,99
1590250116,138,106
1590257306,105,85
1590264503,95,108
1590271710,88,127
1590279865,96,124
1590286350,103,143
1590294026,127,114
1590300739,98,124
1590307942,150,98
1590315149,120,104
1590323061,132,117
1590330265,106,106
1590337706,141,82
1590345147,104,132
1590352586,124,107
1590359062,93,158
1590366261,122,114
1590373698,139,144
1590380900,144,101
1590388419,88,115
1590396266,116,76
1590403462,85,97
1590410662,101,86
1590417871,98,127
1590425769,132,114
1590433215,130,103
1590440651,110,101
1590447849,84,197
1590455309,169,91
1590462502,107,117
1590469705,83,81
1590475459,62,131
1590482663,157,104
1590489861,97,79
1590497061,82,205
1590504266,211,90
1590511467,101,106
1590519377,107,90
1590526575,95,94
1590534030,69,147
1590540744,109,97
1590547941,135,144
1590555376,112,112
1590562577,127,106
1590570266,120,81
1590577221,75,104
1590584897,109,85
1590592115,111,99
1590599539,124,113
1590606515,103,112
1590614667,137,119
1590621382,105,143
1590628817,122,138
1590636017,129,116
1590643222,81,97
1590651142,102,94
1590658348,90,122
1590665545,111,82
1590672496,117,86
1590679938,100,86
1590687142,118,109
1590695061,101,92
1590702262,82,130
1590708980,83,118
1590716180,103,105
1590723620,109,118
1590731061,121,105
1590738506,127,100
1590745700,89,103
1590752418,117,79
1590759863,93,106
1590767302,116,88
1590774501,98,96
1590781701,88,95
