DateTime,Entries,UniqueIPs
1589439377,6734,6734
1589446576,6716,6716
1589453778,6758,6758
1589461219,6727,6727
1589469188,6744,6744
1589476110,6794,6794
1589483543,6778,6778
1589490746,6772,6772
1589497948,6747,6747
1589505378,6713,6713
1589512099,6688,6688
1589519310,6705,6705
1589526511,6758,6758
1589533716,6778,6778
1589541390,6780,6780
1589548112,6849,6849
1589555079,6834,6834
1589562511,6838,6838
1589569700,6826,6826
1589576903,6803,6803
1589584112,6732,6732
1589592017,6751,6751
1589599216,6748,6748
1589606417,6756,6756
1589613616,6826,6826
1589620823,6820,6820
1589628260,6810,6810
1589635460,6835,6835
1589642660,6834,6834
1589649860,6874,6874
1589657176,6857,6857
1589664550,6841,6841
1589672070,6834,6834
1589679631,6794,6794
1589687294,6780,6780
1589694498,6753,6753
1589702413,6791,6791
1589709376,6804,6804
1589717117,6121,6121
1589723779,6524,6524
1589731073,6575,6575
1589738662,6628,6628
1589745684,6616,6616
1589753529,6626,6626
1589760969,6616,6616
1589767950,6612,6612
1589775149,6608,6608
1589782339,6657,6657
1589790259,6644,6644
1589796744,6667,6667
1589804417,6725,6725
1589811863,6730,6730
1589819296,6731,6731
1589826743,6799,6799
1589833946,6838,6838
1589840660,6814,6814
1589848584,6822,6822
1589855781,6819,6819
1589862983,6848,6848
1589870183,6813,6813
1589877615,6851,6851
1589885070,6868,6868
1589892496,6878,6878
1589899696,6873,6873
1589906662,6901,6901
1589914578,6902,6902
1589921298,6879,6879
1589928500,6846,6846
1589935698,6841,6841
1589942901,6822,6822
1589950337,6770,6770
1589957777,6851,6851
1589964976,6888,6888
1589972463,6878,6878
1589979390,6847,6847
1589987326,6878,6878
1589994514,6893,6893
1590001957,6900,6900
1590009150,6892,6892
1590016817,6868,6868
1590024016,6843,6843
1590032010,6878,6878
1590039147,6831,6831
1590046106,6855,6855
1590053543,6845,6845
1590060742,6835,6835
1590067945,6884,6884
1590075391,6892,6892
1590082576,6866,6866
1590089788,6876,6876
1590096988,6872,6872
1590104184,6840,6840
1590111382,6854,6854
1590118585,6815,6815
1590126017,6821,6821
1590133218,6860,6860
1590140664,6810,6810
1590148579,6868,6868
1590155308,6898,6898
1590162503,6906,6906
1590169936,6929,6929
1590177136,6929,6929
