DateTime,AddedIPs,RemovedIPs
1592144523,21,6
1592145258,3,4
1592146851,145,44
1592148322,28,4
1592148857,1,29
1592150072,114,12
1592151304,3,17
1592152459,17,19
1592154045,71,15
1592155441,16,3
1592156057,1,30
1592157534,108,42
1592159120,121,10
1592159658,2,10
1592161247,55,47
1592162694,6,3
1592163255,2,3
1592164476,74,10
1592165976,30,27
1592167918,100,37
1592169240,6,10
1592170597,5,7
1592172057,66,8
1592173224,9,1
1592174062,3,8
1592175653,175,32
1592177124,90,7
1592177657,4,35
1592179138,105,6
1592180721,15,27
1592181256,8,9
1592182356,78,6
1592183565,6,4
1592185040,25,11
1592186454,123,6
1592187924,3,5
1592188461,2,7
1592190273,100,14
1592191523,19,2
1592193024,103,69
1592195662,10,39
1592197958,7,9
1592199476,25,7
1592200572,4,15
1592201860,8,61
1592202864,24,32
1592204503,39,23
1592205925,20,5
1592207087,11,24
1592208563,13,22
1592210076,17,40
1592211240,14,1
1592212585,11,1
1592213667,5,36
1592215125,9,5
1592216427,2,5
1592217255,7,25
1592218562,29,2
1592220014,11,14
1592220863,6,13
1592222320,19,308
1592223925,39,13
1592224463,2,30
1592225959,358,47
1592227088,0,5331
1592228063,5373,0
1592231121,423,8
1592233755,592,75
1592235266,18,18
1592236472,138,7
1592238320,15,14
1592238860,1,9
1592240445,88,12
1592241919,9,4
1592242460,1,13
1592244048,128,13
1592245502,14,8
1592246867,160,19
1592249124,244,32
1592250245,123,5
1592251647,33,40
1592253264,37,6
1592254844,120,35
1592256160,92,9
1592256857,9,4
1592258454,0,7287
1592259925,7332,0
1592260461,10,27
1592262052,99,50
1592263206,17,6
1592264060,8,6
1592265650,91,40
1592267123,4,6
1592268625,104,57
1592271261,3,47
1592272852,110,76
1592274321,2,6
1592275826,89,35
1592277922,15,63
1592279424,116,15
1592282063,12,35
1592283438,5,17
1592285124,20,129
1592285665,20,39
1592287732,269,82
1592289262,142,22
1592290986,128,85
1592292325,37,2
1592293480,35,47
1592294732,143,83
1592296463,44,22
1592298055,111,105
1592299397,27,5
1592300062,21,16
1592303659,169,106
1592305250,112,66
1592306724,30,8
1592308011,45,24
1592310325,60,66
1592311829,20,66
1592314465,147,32
1592318065,98,143
1592319178,99,3
1592320604,39,94
1592321661,3,10
1592323120,61,67
1592324721,37,8
1592325256,39,18
1592326847,83,69
1592328318,6,10
1592328861,9,49
1592330413,0,8109
1592331802,8108,0
1592332460,17,10
1592334007,79,67
1592335519,9,6
1592336926,63,48
1592338119,5,66
1592339684,6,12
1592341206,59,56
1592342713,0,8081
1592344161,8173,0
1592346863,14,157
1592348510,155,109
1592349921,12,4
1592351396,64,35
1592353522,34,75
1592354062,2,7
1592355629,0,8067
1592357126,7928,0
1592358623,20,8
1592361258,6,148
1592362857,22,105
1592363995,16,1
1592364860,1,16
1592366245,9,7
1592367806,3,7
1592368461,2,30
1592371523,4,8
1592373024,13,40
1592374144,10,31
1592375661,13,19
1592377467,13,15
1592379264,41,22
1592380469,9,9
1592382322,57,16
1592383829,31,17
1592386460,55,14
1592387704,64,4
1592388811,8,41
1592390065,6,12
1592391379,26,3
1592393122,15,18
1592393664,1,32
1592394951,14,4
1592396727,8,221
1592398227,23,33
1592400864,43,283
1592402191,7,5
1592403921,38,199
1592404463,5,96
1592408060,37,98
1592409436,27,3
1592411660,12,73
1592413245,9,94
1592414719,2,3
1592415925,19,26
1592417301,20,141
1592418861,11,133
1592420460,43,82
1592421921,23,7
1592422458,1,32
1592423897,0,6559
1592425524,6530,0
1592426064,13,97
1592427587,0,6446
1592429118,6445,0
1592429660,2,16
1592431021,39,24
1592433258,50,109
1592434557,54,6
1592436324,17,102
1592436861,7,6
1592438461,33,119
1592439922,13,2
1592440462,2,10
1592442053,73,131
1592443528,18,3
1592444065,8,7
1592445733,36,94
1592447663,14,26
1592451266,81,149
1592452795,75,7
1592454327,8,17
1592454865,1,33
1592456459,23,304
1592457926,10,3
1592458462,3,104
1592460056,23,198
1592462065,35,33
1592463292,10,2
1592464465,21,187
1592465755,13,25
1592467022,7,23
1592468727,26,135
1592470012,32,24
1592472248,11,149
1592473443,8,55
1592474809,9,129
1592476465,210,51
1592478745,165,165
1592480069,2,16
1592482048,112,172
1592483593,7,78
1592484717,32,3
1592486728,5,171
1592488230,4,15
1592490320,0,4841
1592491782,4792,0
1592492970,93,167
1592494462,18,61
1592496508,95,194
1592498060,10,29
1592501662,64,171
1592503235,0,4450
1592504721,4305,0
1592506310,0,4305
1592508863,4184,0
1592510411,60,200
1592511928,20,1
1592552071,351,1137
1592553373,3,10
1592555100,13,24
1592556232,21,39
1592558716,0,3241
1592560226,3215,0
1592561339,11,28
1592562480,6,0
1592563827,5,12
1592565333,34,9
1592566703,37,11
1592569521,8,12
1592571017,0,3244
1592573662,3206,0
1592577263,70,24
1592579620,67,44
1592580857,0,3275
1592584462,3314,0
1592585672,3,5
1592587520,2,11
1592588061,0,27
1592589942,41,40
1592591662,8,15
1592595261,34,68
1592596656,4,9
1592598325,3,61
1592598867,0,16
1592600401,1,43
1592601921,2,2
1592602462,0,27
1592603722,14,38
1592604964,1,34
1592607025,13,11
1592608280,34,38
1592610625,5,23
1592612453,13,72
1592613264,4,18
1592616050,50,37
1592616857,24,8
1592617979,18,2
1592619924,26,37
1592620461,5,36
1592624061,84,106
1592627665,19,41
1592631263,5,61
1592632466,3,3
1592634320,15,16
1592634862,1,15
1592637602,18,24
1592638916,2,30
1592641114,13,30
1592642060,1,11
1592643876,7,15
1592645658,8,152
1592649258,30,260
1592650880,7,98
1592652863,26,23
1592654535,3,27
1592656462,3,7
1592658384,1,7
1592659521,1,0
1592661021,2,9
1592662882,9,208
1592663663,3,11
1592665380,19,82
1592667261,16,34
1592670860,10,76
1592672496,0,1901
1592673917,2811,0
1592675423,543,19
1592677517,55,84
1592678060,7,25
1592679184,59,17
1592680444,31,57
1592682740,70,47
1592684721,22,39
1592685257,0,27
1592688860,62,58
1592691925,72,23
1592693407,0,3336
1592696064,3378,0
1592697242,51,3
1592698719,0,36
1592699663,1,7
1592701912,69,11
1592703248,0,3442
1592705064,3472,0
1592706859,10,11
1592708102,53,3
1592712121,6,60
1592713525,3,2
1592714667,28,7
1592717658,12,46
1592718968,4,5
1592720727,26,4
1592721256,3,8
1592724860,20,32
1592726125,28,10
1592727273,35,23
1592728464,0,3489
1592729813,3478,0
1592731002,10,12
1592732060,4,12
1592733872,31,17
1592735661,2,63
1592739260,21,27
1592742319,75,26
1592743945,9,27
1592746461,7,56
1592748955,126,65
1592750132,3,61
1592753120,29,26
1592754740,66,42
1592756087,3,7
1592757261,3,5
1592758500,23,5
1592759674,1,41
1592760861,5,3
1592762262,24,14
1592763920,5,3
1592764827,38,34
1592768063,22,31
1592771662,96,5
1592774721,23,16
1592776224,31,16
1592778863,40,36
1592780279,22,1
1592781920,25,7
1592782460,16,14
1592784819,47,41
1592786061,9,19
1592789125,52,41
1592790625,44,29
1592791801,55,17
1592793259,15,68
1592796864,60,20
1592799589,58,7
1592800466,9,3
1592803530,29,8
1592804838,11,17
1592806134,6,17
1592807663,38,4
1592810108,96,7
1592811901,45,9
1592813725,13,12
1592814865,9,12
1592816224,37,6
1592817564,52,13
1592819430,43,15
1592821167,49,6
1592822071,41,32
1592825668,41,6
1592826962,9,1
1592828474,4,4
1592830020,7,3
1592832865,59,18
1592836464,36,39
1592838143,29,6
1592840063,10,5
1592842600,10,649
1592843663,4,186
1592844887,74,99
1592846415,17,405
1592847260,23,9
1592848365,40,8
1592849860,14,61
1592851099,15,16
1592853921,32,84
1592854463,1,3
1592855743,37,3
1592857490,11,58
1592858693,43,46
1592861120,45,27
1592861660,2,13
1592864141,31,71
1592865264,3,24
1592867148,40,55
1592868862,12,0
1592871926,20,72
1592873427,20,8
1592875182,22,60
1592876704,45,13
1592878142,16,59
1592879663,29,6
1592882727,66,4
1592883932,47,25
1592886862,27,21
1592889926,30,6
1592891428,19,30
1592892647,13,4
1592894059,11,11
1592895373,3,7
1592897123,9,47
1592898624,26,19
1592901259,31,9
1592902742,4,30
1592904863,13,5
1592907733,56,22
1592908465,2,4
1592911010,47,56
1592912065,29,29
1592914086,8,7
1592915661,28,4
1592917572,8,131
1592918723,24,0
1592920245,5,7
1592921599,2,11
1592922862,8,7
1592924667,2,66
1592926463,16,4
1592927581,30,27
1592929522,9,3
1592931023,7,23
1592932672,14,10
1592933660,13,3
1592934819,12,1
1592936380,17,46
1592937259,13,5
1592939864,58,89
1592940866,5,6
1592942123,7,2
1592943417,31,14
1592944463,8,6
1592946058,48,39
1592947521,8,0
1592948062,4,31
1592950486,17,27
1592951662,16,28
1592955262,96,49
1592956419,19,18
1592958321,17,36
1592959822,8,12
1592961921,12,70
1592963403,0,2557
1592966067,2545,0
1592969122,49,29
1592969667,5,34
1592972723,17,15
1592974222,7,26
1592976319,0,2519
1592977829,2497,0
1592979185,4,59
1592980911,31,24
1592983522,47,24
1592984068,2,16
1592986301,544,35
1592987663,6,66
1592989261,30,49
1592990619,7,4
1592992219,54,90
