DateTime,AddedIPs,RemovedIPs
1591413332,1,1
1591417524,2,0
1591421125,2,0
1591422623,1,2
1591425262,1,0
1591431920,0,1
1591433266,1,2
1591434670,1,0
1591437137,2,0
1591439664,1,0
1591442722,0,2
1591443270,1,0
1591444859,1,0
1591446322,1,0
1591447701,0,1
1591448962,1,1
1591451422,1,0
1591452972,2,0
1591456880,3,2
1591457662,2,15
1591461263,1,0
1591462914,0,1
1591464861,2,1
1591467074,0,2
1591472061,0,1
1591473701,1,2
1591475666,1,3
1591479264,0,2
1591481196,0,1
1591482867,0,1
1591484615,0,2
1591486463,1,0
1591489528,1,0
1591490658,0,1
1591493667,1,2
1591497265,1,1
1591499804,1,0
1591504468,0,1
1591506093,1,0
1591508071,0,1
1591509296,2,0
1591510738,0,1
1591515265,2,0
1591518867,0,3
1591522468,2,0
1591525357,1,0
1591529656,0,1
1591530849,1,0
1591537828,0,1
1591539928,1,0
1591541232,1,0
1591543527,2,0
1591545029,0,7
1591547127,1,0
1591548627,1,1
1591554325,1,0
1591557499,1,2
1591559427,0,1
1591562071,1,1
1591563816,1,3
1591565125,3,0
1591569264,0,2
1591572865,2,0
1591576471,0,1
1591580065,1,14
1591581459,0,2
1591582580,1,1
1591583666,1,0
1591584815,0,1
1591587270,0,1
1591589044,1,1
1591590873,3,0
1591592067,0,1
1591593172,2,0
1591595960,1,0
1591602251,1,0
1591604737,0,1
1591605274,0,1
1591606544,0,1
1591607881,2,1
1591613879,1,1
1591615539,2,1
1591616072,0,1
1591619668,2,2
1591620859,0,1
1591622018,1,0
1591623275,1,2
1591626871,0,5
1591628443,2,0
1591629926,1,0
1591630465,0,1
1591634068,1,2
1591637130,1,0
1591638630,1,0
1591643814,1,1
1591648834,3,0
1591650119,1,0
1591652066,2,0
1591654669,1,0
1591655671,0,1
1591659266,0,1
1591662867,0,1
1591666471,0,1
1591670072,0,2
1591676218,0,1
1591679093,0,2
1591684468,1,2
1591686328,1,0
1591691668,2,0
1591694420,8,0
1591695881,0,1
1591700834,1,0
1591706072,1,0
1591709665,3,0
1591710877,1,1
1591712726,0,1
1591713274,0,2
1591715203,0,1
1591716871,1,1
1591720465,0,3
1591724069,0,1
1591725704,2,0
1591727663,1,1
1591730725,4,0
1591732227,0,3
1591734869,0,3
1591737926,1,0
1591742072,2,0
1591743840,0,2
1591749265,1,1
1591751335,1,0
1591752873,0,1
1591755929,1,1
1591758573,0,1
1591762433,2,5
1591765861,0,1
1591771517,1,0
1591773461,1,0
1591777116,1,0
1591779036,0,2
1591784171,3,0
1591788868,1,1
1591797695,0,2
1591799662,0,1
1591804051,1,5
1591806868,1,1
1591808124,1,0
1591813531,0,2
1591816499,0,3
1591817664,2,0
1591820282,1,2
1591821271,0,2
1591822978,1,0
1591824164,1,0
1591830058,1,0
1591831527,1,0
1591836736,1,0
1591838176,1,0
1591842873,3,1
1591850070,2,0
1591852621,0,1
1591857267,1,1
1591860863,1,1
1591863927,0,5
1591864467,0,4
1591865921,1,0
1591867098,1,0
1591871665,1,1
1591878868,0,1
1591880658,1,2
1591882468,1,0
1591887027,1,2
1591889669,0,1
1591895879,0,2
1591896984,0,1
1591900465,0,4
1591905277,1,0
1591907135,2,0
1591907665,0,1
1591909197,1,1
1591912232,0,1
1591916626,1,1
1591921528,1,1
1591925668,0,1
1591929970,0,1
1591932185,1,1
1591935931,1,0
1591939426,1,0
1591943129,1,0
1591945057,1,0
1591949348,1,0
1591952444,2,1
1591954466,0,1
1591959029,1,1
1591960401,0,1
1591966227,1,0
1591968866,0,1
1591970150,2,0
1591977032,0,2
1591978935,0,1
1591987469,1,2
1591990469,1,1
1591991924,0,1
1591995028,0,1
1591997667,1,0
1592000385,1,1
1592001278,0,1
1592004866,1,0
1592007929,0,1
1592009434,0,2
1592011530,1,1
1592013130,1,1
1592016809,1,0
1592018730,2,1
1592020232,1,0
1592022866,2,0
1592026464,1,0
1592028956,1,0
1592030202,1,0
1592036725,1,1
1592037824,0,1
1592039697,0,1
1592040865,0,1
1592045429,2,0
1592049968,0,1
1592052630,1,1
1592055267,2,0
1592058867,0,1
1592059967,0,1
1592061188,2,0
1592062466,1,2
1592066065,0,2
1592075266,0,1
1592076590,0,2
1592080468,1,0
1592083526,3,0
1592084064,2,0
1592085780,1,0
1592088942,1,0
1592090725,1,0
1592091854,0,1
1592094868,1,0
1592097931,1,0
1592105630,1,0
1592109269,0,1
1592110645,1,0
1592115110,2,1
1592120065,0,1
1592124454,0,2
1592126729,1,0
1592128231,1,1
1592133926,2,0
1592137349,0,1
1592138072,1,0
1592141129,0,3
1592148866,2,2
1592151318,1,0
1592152465,1,1
1592154549,2,0
1592157540,0,2
1592167930,1,0
1592169255,0,1
1592170604,1,0
1592173232,2,0
1592174069,0,1
1592177665,1,0
1592179150,2,2
1592180728,1,0
1592181265,0,1
1592182365,1,0
1592183575,0,2
1592187932,0,1
1592188471,0,2
1592190280,1,1
1592193034,1,2
1592195671,1,1
1592199518,0,1
1592201863,0,1
1592204515,0,1
1592205933,1,0
1592208574,2,0
1592210090,1,0
1592212606,1,0
1592213677,0,1
1592222334,1,1
1592223932,1,0
1592224471,1,1
1592225967,0,1
1592231157,2,1
1592233767,1,3
1592242467,1,0
1592246874,1,1
1592253274,1,3
1592255074,0,2
1592256864,3,0
1592264066,1,1
1592266369,0,1
1592268636,1,0
1592275836,1,2
1592282073,1,0
1592285135,1,0
1592285680,1,2
1592294741,2,0
1592296475,0,2
1592298392,5,1
1592308025,1,1
1592311841,1,0
1592314472,1,0
1592318075,1,1
1592319187,1,0
1592321669,1,1
1592323132,1,1
1592328868,1,0
1592339692,0,1
1592341255,3,0
1592342718,1,0
1592344168,1,1
1592349931,1,0
1592351412,0,2
1592358630,0,1
1592361267,0,2
1592364006,1,2
1592364869,2,0
1592366254,1,0
1592367814,2,0
1592371531,2,0
1592375670,1,0
1592377480,0,2
1592379272,0,1
1592382329,0,1
1592386471,0,1
1592387720,1,0
1592393129,1,1
1592393673,0,1
1592394959,0,1
1592396734,2,0
1592398240,1,1
1592400873,1,0
1592408067,1,1
1592411667,1,0
1592413319,0,1
1592417310,0,1
1592418869,2,0
1592422467,1,1
1592423915,2,0
1592426073,0,3
1592429125,0,1
1592434572,0,1
1592436338,1,0
1592438500,0,1
1592445748,0,1
1592451278,1,1
1592454874,1,0
1592458470,1,1
1592460249,2,4
1592464472,0,1
1592472266,3,0
1592478755,1,1
1592482060,2,0
1592486736,1,1
1592490324,0,1
1592491790,1,0
1592492980,0,1
1592494469,0,7
1592496516,0,1
1592501669,2,0
1592508870,0,1
1592510593,1,4
1592512464,0,1
1592552083,11,8
1592553382,1,0
1592555118,1,0
1592558738,3,1
1592563839,0,1
1592569528,2,2
1592571023,1,2
1592577273,1,0
1592580859,1,7
1592584469,1,1
1592587527,2,0
1592588067,0,2
1592589951,1,0
1592595268,0,3
1592598336,0,1
1592600454,1,0
1592607034,0,1
1592610633,1,0
1592617991,3,0
1592619934,1,0
1592627674,2,2
1592631271,1,1
1592632477,1,0
1592634328,1,0
1592641127,1,1
1592642067,1,1
1592645665,1,0
1592649265,2,0
1592650890,0,2
1592656469,0,1
1592659531,1,0
1592661033,0,1
1592662888,1,0
1592667267,0,1
1592670868,2,1
1592675433,3,0
1592679194,2,0
1592680456,0,1
1592684730,2,1
1592688867,0,2
1592691934,1,0
1592693425,0,2
1592696073,1,0
1592701922,2,1
