DateTime,AddedIPs,RemovedIPs
1592084067,0,5
1592085795,86,67
1592087672,2,14
1592088947,111,5
1592090729,11,26
1592091859,127,40
1592093391,3,26
1592094872,4,4
1592099398,258,110
1592102071,16,86
1592104526,215,43
1592105634,7,16
1592107152,170,34
1592108637,11,5
1592109274,2,23
1592110649,6,16
1592112872,12,70
1592115113,347,20
1592116469,11,1
1592118423,161,14
1592120068,7,0
1592121370,119,5
1592123130,40,14
1592124458,132,6
1592126732,15,8
1592128237,183,23
1592129749,23,6
1592130870,7,3
1592133930,148,39
1592135532,98,4
1592137352,11,11
1592138076,9,7
1592141133,118,12
1592142731,101,8
1592144543,19,6
1592145269,3,4
1592148869,171,76
1592150083,114,12
1592151324,3,16
1592152469,17,18
1592154552,82,15
1592156070,4,31
1592157546,112,42
1592159131,123,11
1592159669,2,8
1592163267,61,51
1592164486,74,10
1592166001,30,27
1592167934,100,35
1592169263,6,10
1592170607,6,7
1592173237,73,9
1592174073,3,8
1592175957,261,30
1592177669,9,41
1592179154,101,6
1592180732,14,27
1592181268,8,9
1592182369,78,7
1592183579,6,3
1592185052,27,9
1592187935,122,10
1592188475,2,7
1592190285,100,14
1592191534,19,2
1592193038,101,68
1592195675,10,35
1592197971,7,9
1592199531,25,7
1592201866,13,76
1592202882,22,32
1592204531,40,23
1592205938,19,4
1592207102,11,23
1592208585,13,22
1592210103,17,40
1592211262,14,1
1592212623,11,1
1592213683,5,34
1592215146,9,4
1592216443,3,5
1592217267,6,25
1592218587,29,2
1592220032,11,14
1592220879,5,13
1592222340,18,304
1592223938,28,13
1592224474,1,30
1592225973,360,46
1592227106,77,14
1592228074,15,39
1592231161,423,7
1592233775,592,75
1592235280,16,14
1592236485,139,6
1592238330,14,14
1592238870,1,8
1592240650,88,13
1592242471,10,16
1592244339,132,14
1592245522,10,7
1592246879,165,17
1592249135,240,31
1592250261,120,4
1592251658,29,34
1592253279,36,6
1592255080,149,37
1592256868,72,9
1592258832,78,41
1592260473,22,31
1592262433,98,54
1592264070,24,6
1592266372,93,40
1592268640,105,62
1592271273,3,46
1592274331,112,81
1592275843,88,35
1592277934,15,63
1592279442,112,15
1592282077,12,31
1592283456,5,17
1592285139,20,128
1592285687,20,38
1592287755,267,82
1592289275,141,19
1592291059,128,83
1592292336,37,2
1592293497,39,45
1592295940,169,95
1592296479,15,12
1592298396,118,106
1592300080,40,18
1592303674,168,106
1592306742,143,72
1592308029,44,23
1592310340,59,65
1592311845,21,66
1592314480,146,32
1592318080,97,137
1592319196,96,3
1592320619,38,90
1592321673,3,11
1592323137,61,66
1592324732,39,8
1592325267,37,17
1592328871,97,128
1592331814,56,56
1592332475,17,8
1592334060,79,70
1592335530,9,3
1592336936,62,48
1592338131,5,66
1592339698,6,12
1592342141,64,64
1592344171,111,17
1592346876,15,157
1592348533,157,104
1592349935,9,4
1592351420,62,34
1592353536,34,72
1592354074,2,7
1592357140,28,166
1592358637,19,7
1592361272,4,148
1592364012,38,106
1592364875,1,16
1592366257,8,7
1592367818,3,7
1592368475,2,30
1592371536,3,8
1592373036,13,39
1592374160,10,31
1592375674,13,19
1592377488,11,15
1592379280,42,21
1592380482,8,9
1592382333,59,16
1592383841,28,17
1592386475,55,14
1592387724,63,4
1592388827,7,40
1592390075,6,11
1592391390,26,2
1592393134,15,18
1592393681,1,31
1592394965,14,4
1592396740,8,221
1592398245,21,34
1592400878,43,283
1592402204,7,5
1592403933,40,199
1592404477,4,96
1592408072,37,98
1592409451,27,3
1592411671,13,73
1592413329,8,94
1592414730,2,3
1592415939,19,26
1592417313,20,141
1592418872,11,131
1592422470,61,121
1592423919,31,81
1592425536,28,8
1592426079,13,97
1592427596,67,73
1592429129,20,13
1592429670,1,16
1592431041,39,24
1592432736,23,75
1592433269,27,34
1592434577,54,6
1592436343,18,102
1592436878,6,6
1592438509,32,119
1592440475,15,13
1592442238,80,130
1592444078,19,10
1592445756,36,93
1592447677,14,26
1592451283,82,149
1592452985,76,12
1592454879,7,45
1592458476,35,410
1592460254,30,199
1592462081,28,32
1592463315,10,2
1592464479,21,187
1592465780,14,25
1592467044,6,23
1592468739,26,135
1592470032,32,24
1592472275,13,149
1592473463,6,55
1592474822,9,129
1592476483,211,51
1592478762,164,165
1592480089,2,16
1592482067,112,171
1592483614,7,78
1592484743,30,3
1592486740,3,169
1592488250,4,15
1592490328,5,154
1592491795,133,35
1592492985,92,164
1592494476,18,61
1592496522,95,194
1592498073,10,29
1592501673,64,171
1592503739,65,215
1592505169,8,12
1592506317,56,12
1592508875,36,192
1592510611,60,200
1592512467,32,20
1592552088,338,1101
1592553386,3,10
1592555127,13,23
1592556247,22,40
1592558743,15,41
1592560249,7,7
1592561356,11,28
1592562497,6,0
1592563846,5,13
1592565349,35,8
1592566725,36,11
1592569531,8,11
1592571027,12,33
1592573673,26,41
1592577276,69,25
1592579633,68,44
1592580863,28,8
1592583929,32,14
1592584473,4,4
1592585684,3,5
1592587531,2,11
1592588071,0,27
1592589955,41,40
1592591674,9,15
1592595271,33,61
1592596667,4,9
1592598340,3,61
1592598879,0,16
1592600459,1,45
1592601932,2,0
1592602473,0,27
1592603734,15,38
1592604983,0,34
1592607037,13,11
1592608292,34,38
1592610638,6,22
1592612464,12,72
1592613276,4,18
1592616063,50,37
1592616868,24,8
1592617998,18,2
1592619938,25,37
1592620473,5,36
1592624075,84,106
1592627677,18,38
1592631275,5,60
1592632487,3,3
1592634332,15,16
1592634873,1,15
1592637619,18,24
1592638934,1,29
1592642070,14,41
1592643899,7,15
1592645668,8,152
1592649269,29,259
1592650902,8,97
1592652874,24,23
1592654559,3,26
1592656473,3,6
1592658395,1,7
1592659535,1,0
1592661038,2,9
1592662892,10,208
1592663676,1,11
1592665401,20,82
1592667271,15,34
1592670872,10,76
1592672514,886,54
1592673930,84,6
1592675438,545,19
1592677528,54,85
1592678072,7,25
1592679198,59,17
1592680459,30,57
1592682752,70,47
1592684734,21,39
1592685269,0,27
1592688871,62,58
1592691938,73,23
1592693430,63,7
1592696078,23,38
1592697258,51,3
1592698731,0,37
1592699674,1,5
1592701932,69,10
1592703269,6,7
1592705077,60,29
1592706873,8,12
1592708115,53,3
1592712169,6,60
1592713539,3,2
1592714681,28,7
1592717671,12,46
1592718980,3,5
1592720748,27,3
1592721268,2,8
1592724870,20,32
1592726137,29,10
1592727283,33,22
1592728471,5,13
1592729822,5,8
1592731015,10,12
1592732070,4,12
1592733883,31,17
1592735672,2,63
1592739270,20,27
1592742329,75,26
1592743956,9,27
1592746473,7,56
1592748973,126,65
1592750145,3,61
1592753131,28,26
1592754750,67,42
1592756101,2,7
1592757275,3,5
1592758514,23,5
1592759685,1,41
1592760874,4,3
1592762282,24,14
1592763933,5,3
1592764837,37,34
1592768074,21,29
1592771675,96,5
1592774733,23,16
1592776238,31,16
1592778877,40,36
1592780325,22,7
1592781934,25,2
1592782474,17,13
1592784830,46,41
1592786073,9,19
1592789148,53,41
1592790640,45,29
1592791817,54,17
1592793271,15,68
1592796876,59,20
1592800481,68,10
1592803546,29,8
1592804853,10,17
1592806156,6,17
1592807685,38,4
1592810132,96,7
1592811926,46,9
1592813765,13,13
1592814877,8,12
1592816246,37,6
1592817578,46,13
1592819449,43,14
1592821179,48,5
1592822088,41,32
1592825683,40,6
1592826985,9,1
1592828497,4,4
1592830046,8,3
1592832879,58,18
1592836477,35,38
1592838165,26,6
1592840073,9,5
1592842614,10,649
1592843675,4,186
1592844898,75,99
1592846428,15,405
1592847271,23,9
1592848376,39,8
1592849880,14,61
1592851114,15,15
1592853932,32,83
1592854475,1,3
1592855754,37,3
1592857519,11,59
1592858715,44,45
1592861670,46,40
1592864157,29,71
1592865275,3,24
1592867159,41,55
1592868872,11,0
1592871942,20,72
1592873440,19,8
1592875195,23,60
1592876723,44,11
1592878159,16,59
1592879677,29,6
1592882742,66,4
1592883949,47,26
1592886874,27,21
1592889942,31,5
1592891443,18,30
1592892659,13,4
1592894074,11,11
1592895392,3,7
1592897139,9,47
1592898643,20,18
1592901275,30,9
1592902757,4,30
1592904877,13,5
1592907747,57,22
1592908478,1,4
1592911033,49,56
1592912078,27,29
1592914109,10,7
1592915675,26,4
1592917591,8,130
1592918734,23,0
1592920262,5,8
1592921621,2,10
1592922875,7,7
1592924734,2,66
1592926475,16,4
1592927598,30,27
1592929536,9,3
1592931038,7,23
1592932690,13,9
1592933672,14,3
1592934831,11,1
1592936401,18,46
1592937270,12,5
1592939876,58,89
1592940878,5,6
1592942135,8,2
1592943439,30,14
1592944475,8,6
1592948072,58,70
1592951674,33,55
1592955274,95,48
1592956440,20,18
1592958337,16,36
1592959836,9,12
1592961934,12,70
1592963421,20,15
1592966080,18,36
1592969136,49,28
1592969682,4,34
1592972737,17,15
1592974239,7,26
1592976329,29,10
1592977850,6,48
1592979210,4,59
1592980928,31,24
1592983535,46,23
1592984084,2,15
1592986313,543,35
1592987679,6,65
1592989548,31,48
1592990718,5,3
1592992234,54,84
