DateTime,AddedIPs,RemovedIPs
1592013125,1,1
1592015668,4,4
1592016808,3,1
1592018729,1,1
1592020231,1,3
1592021756,1,2
1592022865,1,1
1592024513,1,3
1592026464,1,2
1592027600,2,0
1592028955,4,1
1592030201,4,1
1592032188,2,3
1592033664,3,3
1592035255,0,1
1592037823,2,2
1592039696,3,0
1592040864,0,2
1592042234,2,0
1592043585,2,2
1592045428,1,2
1592048062,1,4
1592049655,4,2
1592050946,1,0
1592052629,2,5
1592055266,5,3
1592058866,2,1
1592059967,1,0
1592061185,1,2
1592062465,0,3
1592064055,1,0
1592065523,2,0
1592066064,1,1
1592070632,2,0
1592073262,0,1
1592075266,1,2
1592076865,0,1
1592078458,0,1
1592079930,1,0
1592083525,0,2
1592085767,0,1
1592087668,0,2
1592088941,1,0
1592090725,1,1
1592091849,4,2
1592093385,1,1
1592094867,1,1
1592097930,1,2
1592099393,2,2
1592102067,2,3
1592104513,2,1
1592107142,1,3
1592108632,2,1
1592109268,0,1
1592110644,1,1
1592112867,1,5
1592115109,3,5
1592116465,0,3
1592118419,1,3
1592120064,2,6
1592121359,9,1
1592123126,16,1
1592124453,0,4
1592126728,5,3
1592128230,7,1
1592129740,3,1
1592130865,1,1
1592132457,1,1
1592133925,2,0
1592135523,4,4
1592137348,23,1
1592138071,42,0
1592141128,14,1
1592142723,0,2
1592144537,0,1
1592146860,1,1
1592150077,0,1
1592151315,1,1
1592154548,0,1
1592156065,2,0
1592159127,1,0
1592159664,1,2
1592161254,0,1
1592162701,4,0
1592163262,1,1
1592164482,1,1
1592165992,1,0
1592167926,0,1
1592169252,0,2
1592170603,0,1
1592173231,1,3
1592174068,0,1
1592175953,0,1
1592177664,1,0
1592179148,0,2
1592181264,0,3
1592182364,2,0
1592183575,3,0
1592185047,6,2
1592187931,2,5
1592188470,1,2
1592190279,3,2
1592191530,1,0
1592193033,4,0
1592195670,2,5
1592197966,3,3
1592199486,0,3
1592200806,1,3
1592202874,6,1
1592204513,1,1
1592205932,2,0
1592207097,2,3
1592208573,1,1
1592210089,2,1
1592211253,2,1
1592212597,0,2
1592213676,2,1
1592215138,0,2
1592216436,1,0
1592217261,0,1
1592218571,3,1
1592220026,0,1
1592220874,0,1
1592222330,2,115
1592223932,2,4
1592224470,0,5
1592225966,3,2
1592227101,1,0
1592228069,1,1
