DateTime,AddedIPs,RemovedIPs
1592109266,5,18
1592110643,12,7
1592112866,16,49
1592115108,16,83
1592116463,7,53
1592118054,13,49
1592119363,15,5
1592120063,3,38
1592121353,10,27
1592123124,11,25
1592124452,8,57
1592126727,13,19
1592128229,16,28
1592129738,15,16
1592130864,5,17
1592132451,17,43
1592133924,22,8
1592135521,13,39
1592137347,21,11
1592138069,15,16
1592139654,17,26
1592141127,15,3
1592142722,11,24
1592144536,15,15
1592145263,10,16
1592146858,13,24
1592148328,20,3
1592148864,2,16
1592150076,16,16
1592151312,17,21
1592152463,15,23
1592154052,12,38
1592155446,14,6
1592156064,10,23
1592157539,14,38
1592159125,18,9
1592159663,5,19
1592161252,18,35
1592162700,13,3
1592163261,7,28
1592164481,9,24
1592165989,20,31
1592167923,116,36
1592169248,84,16
1592170602,78,24
1592173230,158,43
1592174067,52,35
1592175951,41,32
1592177662,18,23
1592179144,14,33
1592180726,12,16
1592181263,7,49
1592182363,17,28
1592183573,16,35
1592185045,17,49
1592186459,14,82
1592187930,12,5
1592188468,11,50
1592190277,11,32
1592191528,11,2
1592193031,16,27
1592195669,25,12
1592197965,15,18
1592199483,5,9
1592200801,4,12
1592202873,15,6
1592204511,14,6
1592205931,19,6
1592207095,13,19
1592208571,27,11
1592210087,18,11
1592211249,14,6
1592212590,16,7
1592213675,18,14
1592215134,20,15
1592216434,14,7
1592217260,17,8
1592218569,17,8
1592220024,18,8
1592220872,11,5
1592222326,28,21
1592223930,26,8
1592224469,11,18
1592225964,23,48
1592227100,34,10
1592228067,11,20
1592231126,53,42
1592233764,77,58
1592235271,32,45
1592236478,24,31
1592238325,35,17
1592238865,19,22
1592240459,74,35
1592241924,110,3
1592244053,93,34
1592245513,80,0
1592246872,71,46
1592249130,146,14
1592250253,57,40
1592251653,66,28
1592253271,40,21
1592254854,25,53
1592256171,14,6
1592256862,9,62
1592258461,18,69
1592259930,16,6
1592260467,7,51
1592262060,16,22
1592263219,63,7
1592264064,8,4
1592265658,16,31
1592267128,24,4
1592268632,17,50
1592271266,36,7
1592272858,41,15
1592274326,26,5
1592275833,14,27
1592277928,26,10
1592279431,32,40
1592282070,46,23
1592283446,28,8
1592285131,14,10
1592285673,8,9
1592287739,24,25
1592289269,26,7
1592291035,44,15
1592292330,25,3
1592293488,20,18
1592294738,27,24
1592296473,28,8
1592298299,30,22
1592300070,25,12
1592303665,77,42
1592305259,25,20
1592306736,34,4
1592308020,41,38
1592310330,63,50
1592311837,35,11
1592314470,103,34
1592318072,98,43
1592319186,24,24
1592320612,67,16
1592321667,47,18
1592323126,52,21
1592324726,72,5
1592325261,26,15
1592326857,21,16
1592328323,14,7
1592328866,4,13
1592330449,16,16
1592331806,25,2
1592332469,10,9
1592334043,18,19
1592335524,20,4
1592336931,15,77
1592338125,12,58
1592339689,13,81
1592341245,22,83
1592344166,35,114
1592346869,24,29
1592348519,10,28
1592349928,13,4
1592351403,14,33
1592353528,37,24
1592354068,15,9
1592355658,45,20
1592357133,26,3
1592358628,35,18
1592361264,42,23
1592364003,62,19
1592364867,37,10
1592366252,30,10
1592367812,30,13
1592368467,10,6
1592371529,70,12
1592373029,26,9
1592374152,24,14
1592375668,20,19
1592377475,25,29
1592379270,33,18
1592380477,17,16
1592382327,29,17
1592383835,18,22
1592386468,26,38
1592387715,17,26
1592388817,31,17
1592390070,37,19
1592391384,44,10
1592393127,58,21
1592393670,24,27
1592394956,47,18
1592396732,54,20
1592398233,33,33
1592400870,67,57
1592402198,26,12
1592403926,20,51
1592404470,9,33
1592408065,31,61
1592409445,12,26
1592411664,17,130
1592413258,11,79
1592414724,21,9
1592415931,9,116
1592417308,12,58
1592418867,13,79
1592422464,48,124
1592425530,40,23
1592426071,5,10
1592429123,33,27
1592429665,9,35
1592431032,18,11
1592432729,22,12
1592433264,8,55
1592434563,20,11
1592436331,26,27
1592436871,7,14
1592438496,22,25
1592440467,21,15
1592442172,24,53
1592444069,52,28
1592445741,13,18
1592447668,29,28
1592451275,57,49
1592454332,45,38
1592454871,11,9
1592458468,51,52
1592460206,20,39
1592462072,19,26
1592463299,35,9
1592464470,31,25
1592465764,21,23
1592467031,31,13
1592468732,40,22
1592470021,36,32
1592472259,38,49
1592473451,20,40
1592474816,19,22
1592476472,15,34
1592478751,17,63
1592480077,11,36
1592482055,12,44
1592483600,18,64
1592484724,10,21
1592486734,30,64
1592488235,17,66
1592491787,31,145
1592492978,40,75
1592494467,16,97
1592496513,11,53
