DateTime,Entries,UniqueIPs
1592109266,2434,2434
1592110643,2439,2439
1592112866,2406,2406
1592115108,2339,2339
1592116463,2293,2293
1592118054,2257,2257
1592119363,2267,2267
1592120063,2232,2232
1592121353,2215,2215
1592123124,2201,2201
1592124452,2152,2152
1592126727,2146,2146
1592128229,2134,2134
1592129738,2133,2133
1592130864,2121,2121
1592132451,2095,2095
1592133924,2109,2109
1592135521,2083,2083
1592137347,2093,2093
1592138069,2092,2092
1592139654,2083,2083
1592141127,2095,2095
1592142722,2082,2082
1592144536,2082,2082
1592145263,2076,2076
1592146858,2065,2065
1592148328,2082,2082
1592148864,2068,2068
1592150076,2068,2068
1592151312,2064,2064
1592152463,2056,2056
1592154052,2030,2030
1592155446,2038,2038
1592156064,2025,2025
1592157539,2001,2001
1592159125,2010,2010
1592159663,1996,1996
1592161252,1979,1979
1592162700,1989,1989
1592163261,1968,1968
1592164481,1953,1953
1592165989,1942,1942
1592167923,2022,2022
1592169248,2090,2090
1592170602,2144,2144
1592173230,2259,2259
1592174067,2276,2276
1592175951,2285,2285
1592177662,2280,2280
1592179144,2261,2261
1592180726,2257,2257
1592181263,2215,2215
1592182363,2204,2204
1592183573,2185,2185
1592185045,2153,2153
1592186459,2085,2085
1592187930,2092,2092
1592188468,2053,2053
1592190277,2032,2032
1592191528,2041,2041
1592193031,2030,2030
1592195669,2043,2043
1592197965,2040,2040
1592199483,2036,2036
1592200801,2028,2028
1592202873,2037,2037
1592204511,2045,2045
1592205931,2058,2058
1592207095,2052,2052
1592208571,2068,2068
1592210087,2075,2075
1592211249,2083,2083
1592212590,2092,2092
1592213675,2096,2096
1592215134,2101,2101
1592216434,2108,2108
1592217260,2117,2117
1592218569,2126,2126
1592220024,2136,2136
1592220872,2142,2142
1592222326,2149,2149
1592223930,2167,2167
1592224469,2160,2160
1592225964,2135,2135
1592227100,2159,2159
1592228067,2150,2150
1592231126,2161,2161
1592233764,2180,2180
1592235271,2167,2167
1592236478,2160,2160
1592238325,2178,2178
1592238865,2175,2175
1592240459,2214,2214
1592241924,2321,2321
1592244053,2380,2380
1592245513,2460,2460
1592246872,2485,2485
1592249130,2617,2617
1592250253,2634,2634
1592251653,2672,2672
1592253271,2691,2691
1592254854,2663,2663
1592256171,2671,2671
1592256862,2618,2618
1592258461,2567,2567
1592259930,2577,2577
1592260467,2533,2533
1592262060,2527,2527
1592263219,2583,2583
1592264064,2587,2587
1592265658,2572,2572
1592267128,2592,2592
1592268632,2559,2559
1592271266,2588,2588
1592272858,2614,2614
1592274326,2635,2635
1592275833,2622,2622
1592277928,2638,2638
1592279431,2630,2630
1592282070,2653,2653
1592283446,2673,2673
1592285131,2677,2677
1592285673,2676,2676
1592287739,2675,2675
1592289269,2694,2694
1592291035,2723,2723
1592292330,2745,2745
1592293488,2747,2747
1592294738,2750,2750
1592296473,2770,2770
1592298299,2778,2778
1592300070,2791,2791
1592303665,2826,2826
1592305259,2831,2831
1592306736,2861,2861
1592308020,2864,2864
1592310330,2877,2877
1592311837,2901,2901
1592314470,2970,2970
1592318072,3025,3025
1592319186,3025,3025
1592320612,3076,3076
1592321667,3105,3105
1592323126,3136,3136
1592324726,3203,3203
1592325261,3214,3214
1592326857,3219,3219
1592328323,3226,3226
1592328866,3217,3217
1592330449,3217,3217
1592331806,3240,3240
1592332469,3241,3241
1592334043,3240,3240
1592335524,3256,3256
1592336931,3194,3194
1592338125,3148,3148
1592339689,3080,3080
1592341245,3019,3019
1592344166,2940,2940
1592346869,2935,2935
1592348519,2917,2917
1592349928,2926,2926
1592351403,2907,2907
1592353528,2920,2920
1592354068,2926,2926
1592355658,2951,2951
1592357133,2974,2974
1592358628,2991,2991
1592361264,3010,3010
1592364003,3053,3053
1592364867,3080,3080
1592366252,3100,3100
1592367812,3117,3117
1592368467,3121,3121
1592371529,3179,3179
1592373029,3196,3196
1592374152,3206,3206
1592375668,3207,3207
1592377475,3203,3203
1592379270,3218,3218
1592380477,3219,3219
1592382327,3231,3231
1592383835,3227,3227
1592386468,3215,3215
1592387715,3206,3206
1592388817,3220,3220
1592390070,3238,3238
1592391384,3272,3272
1592393127,3309,3309
1592393670,3306,3306
1592394956,3335,3335
1592396732,3369,3369
1592398233,3369,3369
1592400870,3379,3379
1592402198,3393,3393
1592403926,3362,3362
1592404470,3338,3338
1592408065,3308,3308
1592409445,3294,3294
1592411664,3181,3181
1592413258,3113,3113
1592414724,3125,3125
1592415931,3018,3018
1592417308,2972,2972
1592418867,2906,2906
1592422464,2830,2830
1592425530,2847,2847
1592426071,2842,2842
1592429123,2848,2848
1592429665,2822,2822
1592431032,2829,2829
1592432729,2839,2839
1592433264,2792,2792
1592434563,2801,2801
1592436331,2800,2800
1592436871,2793,2793
1592438496,2790,2790
1592440467,2796,2796
1592442172,2767,2767
1592444069,2791,2791
1592445741,2786,2786
1592447668,2787,2787
1592451275,2795,2795
1592454332,2802,2802
1592454871,2804,2804
1592458468,2803,2803
1592460206,2784,2784
1592462072,2777,2777
1592463299,2803,2803
1592464470,2809,2809
1592465764,2807,2807
1592467031,2825,2825
1592468732,2843,2843
1592470021,2847,2847
1592472259,2836,2836
1592473451,2816,2816
1592474816,2813,2813
1592476472,2794,2794
1592478751,2748,2748
1592480077,2723,2723
1592482055,2691,2691
1592483600,2645,2645
1592484724,2634,2634
1592486734,2600,2600
1592488235,2551,2551
1592491787,2437,2437
1592492978,2402,2402
1592494467,2321,2321
1592496513,2279,2279
1592498066,2328,2328
1592501667,2325,2325
1592503252,2320,2320
1592504725,2335,2335
1592508332,2359,2359
1592508868,2361,2361
1592510460,2359,2359
1592511933,2387,2387
1592552080,2549,2549
1592553381,2552,2552
1592555112,2547,2547
1592556237,2533,2533
1592558734,2528,2528
1592560234,2474,2474
1592561346,2433,2433
1592562486,2441,2441
1592563833,2362,2362
1592565340,2342,2342
1592569526,2284,2284
1592573127,2235,2235
1592573666,2220,2220
1592577271,2208,2208
1592579627,2220,2220
1592583924,2239,2239
1592584467,2232,2232
1592585677,2236,2236
1592587525,2250,2250
1592588065,2244,2244
1592589948,2260,2260
1592591667,2257,2257
1592595266,2270,2270
1592596661,2277,2277
1592598331,2281,2281
1592598874,2269,2269
1592600416,2252,2252
1592601925,2266,2266
1592602467,2251,2251
1592603727,2252,2252
1592604973,2250,2250
1592607030,2260,2260
