DateTime,AddedIPs,RemovedIPs
1592161245,25,49
1592162691,24,0
1592163253,8,47
1592164474,16,36
1592165972,34,101
1592167916,121,48
1592169236,79,20
1592170595,80,29
1592172053,90,50
1592173222,69,4
1592174057,54,34
1592175648,43,59
1592177121,26,0
1592177655,9,57
1592179135,26,75
1592180718,24,3
1592181254,8,54
1592182354,20,32
1592183563,24,35
1592185038,24,64
1592186450,24,135
1592187921,31,0
1592188458,9,71
1592190270,22,39
1592191518,14,1
1592193021,16,53
1592195659,48,31
1592197954,34,72
1592199473,10,19
1592200568,16,3
1592201857,23,7
1592202861,9,12
1592204500,29,10
1592205922,30,0
1592207083,27,35
1592208558,36,14
1592210070,23,26
1592211235,21,6
1592212582,28,12
1592213663,24,15
1592215122,32,16
1592216423,20,3
1592217248,0,4870
1592218557,4896,0
1592220008,27,13
1592220860,11,13
1592222316,37,70
1592223921,51,7
1592224459,18,497
1592225957,31,663
1592227088,0,3808
1592228059,3818,0
1592229658,60,101
1592231118,79,1
1592233749,95,354
1592235263,49,63
1592236469,33,31
1592238317,57,22
1592238858,28,26
1592240440,81,45
1592241916,105,0
1592242457,30,23
1592244040,67,33
1592245500,81,0
1592246865,77,58
1592249121,162,15
1592250242,54,60
1592251643,82,38
1592253261,51,20
1592254835,38,65
1592256154,22,1
1592256854,10,67
1592258409,23,69
1592259921,25,6
1592260459,13,56
1592262046,28,38
1592263200,68,0
1592264057,9,10
1592265647,24,37
1592267120,26,1
1592268622,26,56
1592271258,58,19
1592272848,50,28
1592274318,38,1
1592275821,17,32
1592277919,41,11
1592279421,49,50
1592282060,66,39
1592283433,30,22
1592285121,29,14
1592285663,13,11
1592287727,37,46
1592289257,37,13
1592290981,48,15
1592292320,35,2
1592293476,20,25
1592294729,37,40
1592296459,37,13
1592298050,47,34
1592299393,44,0
1592300058,17,15
1592301656,45,35
1592303085,42,0
1592303656,15,19
1592305197,0,4393
1592306721,4446,0
1592308009,66,52
1592310322,242,24
1592311824,42,18
1592314461,130,53
1592316057,54,39
1592317522,52,0
1592318062,16,13
1592319167,23,36
1592320601,79,28
1592321657,48,30
1592323117,61,36
1592324718,76,2
1592325253,23,19
1592326842,33,35
1592328315,25,0
1592328857,6,30
1592330413,0,5007
1592331799,5041,0
1592332456,15,19
1592334003,31,30
1592335517,31,3
1592336923,26,104
1592338115,17,64
1592339680,29,84
1592341200,26,108
1592342713,0,4804
1592344158,4728,0
1592346859,47,50
1592348424,35,38
1592349918,16,2
1592351393,14,53
1592353518,59,27
1592354058,22,15
1592355629,0,4736
1592357122,4791,0
1592358620,35,35
1592361256,64,23
1592362851,37,22
1592363992,32,0
1592364854,0,4879
1592366243,4921,0
1592367803,35,22
1592368459,15,11
1592371519,84,16
1592373020,36,25
1592374141,20,23
1592375657,32,25
1592377460,29,36
1592379261,38,25
1592380466,21,12
1592382318,43,18
1592383823,42,38
1592386457,57,46
1592387702,26,42
1592388809,39,22
1592390062,39,24
1592391373,43,12
1592393119,54,34
1592393662,20,50
1592394948,53,17
1592396719,57,21
1592398225,39,46
1592400859,72,109
1592402188,37,15
1592403919,27,53
1592404459,6,42
1592408058,63,77
1592409430,16,37
1592411658,32,143
1592413204,24,83
1592414716,36,5
1592415921,19,133
1592417296,21,71
1592418857,21,87
1592420456,36,83
1592421918,29,0
1592422455,15,61
1592423883,24,8
1592425520,33,29
1592426059,8,12
1592427587,0,4649
1592429115,4689,0
1592429657,8,38
1592431020,37,13
1592433254,48,77
1592434554,36,6
1592436320,44,20
1592436857,10,18
1592438422,35,35
1592439917,28,1
1592440459,11,27
1592442048,32,54
1592443520,50,0
1592444061,25,34
1592445653,30,17
1592446902,69,0
1592447660,28,30
1592449253,47,49
1592450726,34,1
1592451262,10,29
1592452791,31,41
1592454324,63,1
1592454861,12,24
1592456456,40,29
1592457922,33,1
1592458460,13,34
1592460053,41,44
1592462063,40,32
1592463289,48,0
1592464463,38,34
1592465751,41,29
1592467018,46,14
1592468724,54,29
1592470009,46,44
1592472245,67,49
1592473440,29,51
1592474805,32,26
1592476461,29,44
1592478019,0,4999
1592479528,4897,0
1592480066,12,128
1592482046,27,75
1592483578,30,78
1592484714,24,22
1592486723,51,72
1592488227,28,97
1592490319,29,41
1592491778,25,130
1592492966,63,97
1592494458,27,103
1592496505,30,71
1592498057,256,17
1592499615,46,37
1592501122,31,3
1592501659,16,35
1592503203,38,41
1592504718,35,4
1592506310,0,4614
1592508860,4645,0
1592510405,36,24
1592511923,42,4
1592552066,933,856
1592553368,18,14
1592555096,19,31
1592556227,28,45
1592558716,0,4747
1592560223,4713,0
1592561337,9,47
1592562477,13,0
1592563823,24,108
1592565327,31,41
1592566697,19,46
1592569518,34,39
1592571017,0,4562
1592573659,4514,0
1592577259,44,72
1592579618,44,22
1592580857,29,28
1592584459,62,57
1592585669,23,11
1592587518,28,13
1592588057,8,23
1592589939,43,18
1592591660,31,23
1592595258,84,59
1592596654,24,6
1592598321,31,29
1592598864,20,37
1592600398,24,40
1592601917,30,2
1592602459,9,38
1592603718,16,18
1592604960,19,20
1592607021,38,51
1592608275,19,24
1592610622,36,35
1592612451,85,23
1592613261,40,45
1592616046,150,39
1592616855,41,77
1592617976,74,25
1592619920,110,34
1592620458,1,35
1592624058,79,91
1592627662,41,73
1592631260,38,78
1592632464,15,17
1592634316,21,35
1592634859,9,55
1592637600,29,51
1592638914,28,60
1592641111,27,57
1592642056,11,53
1592643871,36,42
1592645656,35,36
1592649256,49,83
1592650871,42,27
1592652859,40,29
1592654526,29,40
1592656456,66,26
1592658381,46,21
1592659518,25,1
1592661018,48,36
1592662879,33,28
1592663661,9,33
1592665371,48,29
1592667257,44,54
1592670857,97,87
1592672492,46,186
1592673915,29,11
1592675421,42,142
1592677515,64,31
1592678056,12,43
1592679181,30,37
1592680440,34,26
1592682738,70,61
1592684717,54,30
1592685254,18,34
1592688856,97,91
1592691921,116,40
1592693407,0,4456
1592696062,4500,0
1592697238,53,26
1592698716,46,25
1592699659,23,37
1592701909,67,40
1592703248,0,4561
1592705060,4532,0
1592706856,39,46
1592708098,26,23
1592712108,52,157
1592713521,20,1
1592714664,26,101
1592717655,40,34
1592718965,19,4
1592720722,31,17
1592721254,3,31
1592724857,67,55
1592726122,23,12
1592727271,16,22
1592728457,26,34
1592729810,24,9
1592731000,13,14
1592732057,12,21
1592733869,21,22
1592735659,25,21
1592739257,59,40
1592742317,61,35
1592743942,26,27
1592746458,42,42
1592748952,41,62
1592750129,17,41
1592751660,34,23
1592753117,30,0
1592754737,26,43
1592756084,19,22
1592757256,24,114
1592758497,29,14
1592759672,19,27
1592760858,30,36
1592762257,46,15
1592763917,64,29
1592764823,36,49
1592768058,115,54
1592771658,95,84
1592774716,52,35
1592776220,19,40
1592778860,34,38
1592780276,19,13
1592781916,14,35
1592782457,4,68
1592784816,34,99
1592786058,17,92
1592789120,51,109
1592790621,34,91
1592791797,21,30
1592793256,26,24
1592796861,57,38
1592799586,46,23
1592800462,16,13
1592803528,43,25
1592804830,19,34
1592806131,18,12
1592807660,25,28
1592810103,56,36
1592811894,23,37
1592813719,41,24
1592814859,24,43
1592816220,23,21
1592817561,20,23
1592819424,31,39
1592821164,25,17
1592822068,22,42
1592825664,65,88
1592826958,22,12
1592828470,83,20
1592830017,67,30
1592832860,85,81
1592836458,98,79
1592838060,29,40
1592839518,28,0
1592840059,17,49
1592842588,50,49
1592843660,21,30
1592844883,24,37
1592846410,40,39
1592847256,12,43
1592848363,14,19
1592849855,21,31
1592851096,10,50
1592853917,52,60
1592854459,3,42
1592855740,15,21
1592857486,30,31
1592858691,30,79
1592861116,80,42
1592861657,12,60
1592864137,47,86
1592865259,34,62
1592867146,41,77
1592868858,36,60
1592871920,68,49
1592873423,53,59
1592875180,71,105
1592876700,37,225
1592878139,23,19
1592879660,39,22
1592882721,53,26
1592883929,25,42
1592886857,98,39
1592889921,86,28
1592891424,31,40
1592892645,39,24
1592894057,19,27
1592895366,32,14
1592897121,36,20
1592898620,36,51
1592901257,134,35
1592902737,105,20
1592904861,102,23
1592907729,142,18
1592908463,26,35
1592911007,62,33
1592912061,22,32
1592914081,62,30
1592915658,51,31
1592917569,60,36
1592918719,28,1
