DateTime,AddedIPs,RemovedIPs
1592088942,2,14
1592090725,4,6
1592091853,1,1
1592093386,7,4
1592094868,8,4
1592097931,6,15
1592099393,1,6
1592102067,8,7
1592104517,12,8
1592105629,0,6
1592107144,7,6
1592108633,8,1
1592109268,2,3
1592110645,5,3
1592112868,11,5
1592115109,15,6
1592116465,4,10
1592118420,9,7
1592120064,14,7
1592121360,4,6
1592123126,8,2
1592124454,10,3
1592126729,7,11
1592128231,11,10
1592129740,6,16
1592130866,2,7
1592132459,1,5
1592133926,1,6
1592135526,6,6
1592137349,7,76
1592138072,2,34
1592141129,13,11
1592142725,4,3
1592144538,3,3
1592145265,3,0
1592148865,2,8
1592150078,7,6
1592151316,13,5
1592152465,1,11
1592154549,1,3
1592156066,4,3
1592157540,5,3
1592159127,9,4
1592159665,3,3
1592161255,11,6
1592162703,15,11
1592163263,0,5
1592164483,0,7
1592165993,9,2
1592167928,16,4
1592169251,14,2
1592170603,3,10
1592173231,4,17
1592174069,1,3
1592175953,4,5
1592177664,1,7
1592179148,5,3
1592180728,12,5
1592182365,6,8
1592183575,2,7
1592185048,5,7
1592187931,10,6
1592188470,1,3
1592190280,8,4
1592191530,11,2
1592193033,10,6
1592195671,17,10
1592197967,9,15
1592199516,5,12
1592201861,13,8
1592202875,0,4
1592204514,1,8
1592205933,3,9
1592207098,2,3
1592208574,8,6
1592210089,3,5
1592211256,4,2
1592212605,3,8
1592213677,4,4
1592215140,2,4
1592216437,10,4
1592217262,5,4
1592218572,5,8
1592220027,2,5
1592220874,2,0
1592222333,2,3
1592223932,8,2
1592224471,2,3
1592225966,6,6
1592227102,0,10
1592228069,2,3
1592231157,11,7
1592233766,7,7
1592235275,4,6
1592236480,9,1
1592238326,5,5
1592238866,1,2
1592240642,2,4
1592244059,14,8
1592245515,3,7
1592246874,2,4
1592249131,2,6
1592250256,3,6
1592251654,8,5
1592253273,4,3
1592254857,11,1
1592256172,14,5
1592256864,7,3
1592258828,13,15
1592260469,3,14
1592262430,11,4
1592264066,4,6
1592266369,4,9
1592268635,12,7
1592271268,13,11
1592274327,14,10
1592275835,13,6
1592277929,4,14
1592279435,17,9
1592282072,14,14
1592283448,5,9
1592285134,10,4
1592285679,5,5
1592287741,21,6
1592289270,13,12
1592291043,12,15
1592292332,6,7
1592293490,4,15
1592294740,7,3
1592296475,13,10
1592298302,12,8
1592300073,8,12
1592303667,9,15
1592306738,12,15
1592308025,6,5
1592310332,18,11
1592311840,7,14
1592314472,10,17
1592318075,10,20
1592319187,10,3
1592320616,1,7
1592321669,9,8
1592323132,2,5
1592324727,12,11
1592325263,5,0
