DateTime,AddedIPs,RemovedIPs
1592629174,65,33
1592629893,22,24
1592630615,24,30
1592631333,21,28
1592632054,27,36
1592632775,12,14
1592633734,37,44
1592634454,21,23
1592635174,27,22
1592635894,22,34
1592636613,22,31
1592637334,19,33
1592638055,23,698
1592638775,27,49
1592639494,23,40
1592640215,38,42
1592640935,454,37
1592641654,45,23
1592642375,35,29
1592643093,54,32
1592643813,33,41
1592644534,43,24
1592645254,47,30
1592645974,30,36
1592646695,26,32
1592647655,46,35
1592648375,33,44
1592649095,24,26
1592649814,24,50
1592650535,20,33
1592651254,29,38
1592651974,20,25
1592652694,17,21
1592653414,39,18
1592654134,22,27
1592655095,32,31
1592655815,26,21
1592656535,30,20
1592657253,44,25
1592657973,33,18
1592658693,36,33
1592659415,27,20
1592660134,25,30
1592660855,20,31
1592661574,24,30
1592662294,21,25
1592663014,31,22
1592663733,27,14
1592664455,23,23
1592665174,31,39
1592665894,20,41
1592666854,31,176
1592667573,19,25
1592668294,26,21
1592669014,21,34
1592669734,30,29
1592670453,15,30
1592671174,16,16
1592671895,27,17
1592672615,21,22
1592673333,25,13
1592674055,27,32
1592674774,34,25
1592675494,11,31
1592676216,21,55
1592676935,24,29
1592677654,16,28
1592678374,15,28
1592679095,24,23
1592679814,30,21
1592680535,18,22
1592681254,23,20
1592681974,29,31
1592682694,19,37
1592683655,26,55
1592684375,19,29
1592685095,17,26
1592685814,17,18
1592686535,58,31
1592687254,20,23
1592687975,18,20
1592688694,23,21
1592689414,18,27
1592690134,23,20
1592690855,18,27
1592691574,11,21
1592692294,23,32
1592693015,23,26
1592693735,18,24
1592694454,22,22
1592695175,115,21
1592695894,14,13
1592696614,20,101
1592697334,29,17
1592698054,16,37
1592698774,31,52
1592699494,27,37
1592700215,21,47
1592700934,23,36
1592701655,17,26
1592702374,22,33
1592703094,19,31
1592703814,19,41
1592704534,43,37
1592705254,43,21
1592705974,22,16
1592706695,14,36
1592707415,23,35
1592708134,28,42
1592708854,33,30
1592709574,29,24
1592710294,179,22
1592711015,29,28
1592712035,34,46
1592712694,17,34
1592713414,25,22
1592714134,19,19
1592714854,14,28
1592715576,20,55
1592716294,19,20
1592717015,20,20
1592717735,28,25
1592718454,19,23
1592719174,22,12
1592719894,29,25
1592720615,19,26
1592721335,22,23
1592722054,20,20
1592722774,51,25
1592723493,48,18
1592724214,45,19
1592724935,38,20
1592725654,34,317
1592726374,20,33
1592727094,15,56
1592727815,19,37
1592728534,20,39
1592729254,20,50
1592729975,18,41
1592730693,22,30
1592731414,21,40
1592732134,31,44
1592732854,40,33
1592733575,39,31
1592734295,31,29
1592735015,24,28
1592735733,21,18
1592736454,26,22
1592737175,34,19
1592738134,50,34
1592738855,37,19
1592739574,22,33
1592740294,21,21
1592741015,22,25
1592741734,20,26
1592742455,24,24
1592743174,17,37
1592743894,22,36
1592744614,16,39
1592745334,19,30
1592746054,17,21
1592746774,14,30
1592747495,17,21
1592748215,32,23
1592748934,57,23
1592749654,42,30
1592750374,49,26
1592751094,12,24
1592752054,34,36
1592752775,17,21
1592753495,895,18
1592754215,22,25
1592754934,40,19
1592755653,31,19
1592756375,18,28
1592757095,23,16
1592757815,17,22
1592758535,40,21
1592759255,69,20
1592759975,50,25
1592760693,51,30
1592761414,29,25
1592762134,30,13
1592763095,28,30
1592763814,87,15
1592764534,30,15
1592765255,27,19
1592765974,19,28
1592766694,24,23
1592767414,16,19
1592768134,29,21
1592768854,20,22
1592769574,22,21
1592770294,29,15
1592771014,17,19
1592771734,21,16
1592772454,22,56
1592773173,36,18
1592773895,32,21
1592774615,32,21
1592775334,36,15
1592776054,39,22
1592776775,29,22
1592777494,22,14
1592778214,19,11
1592778934,23,27
1592779653,15,19
1592780374,17,24
1592781094,17,108
1592781814,23,15
1592782534,23,16
1592783254,21,27
1592783975,13,18
1592784693,13,20
1592785414,24,34
1592786134,20,22
1592786854,25,21
1592787575,25,18
1592788294,25,25
1592789014,29,21
1592789735,54,25
1592790454,22,19
1592791174,20,44
1592791894,18,33
1592792614,24,18
1592793334,19,19
1592794054,25,19
1592794774,22,37
1592795495,15,30
1592796214,19,162
1592796934,33,22
1592797655,32,29
1592798374,28,20
1592799095,18,21
1592799815,59,23
1592800535,21,17
1592801254,17,16
1592801973,25,16
1592802695,34,20
1592803415,29,18
1592804134,27,26
1592804854,28,19
1592805573,23,24
1592806535,34,33
1592807255,18,20
1592807974,27,22
1592808694,1081,20
1592809414,50,57
1592810135,23,50
1592810854,18,39
1592811574,23,32
1592812295,23,34
1592813015,22,17
1592813735,23,16
1592814454,15,15
1592815174,19,20
1592815894,22,25
1592816615,26,17
1592817575,34,34
1592818294,21,19
1592819014,25,39
1592819734,31,41
1592820455,32,40
1592821175,36,18
1592821896,18,26
1592822615,12,25
1592823335,73,28
1592824054,21,37
1592824774,20,34
1592825495,16,34
1592826214,17,25
1592826935,18,24
1592827655,23,22
1592828375,19,18
1592829094,19,25
1592829814,25,19
