DateTime,AddedIPs,RemovedIPs
1587597509,8,1
1587608634,4,1
1587619755,0,3
1587630187,5,3
1587640981,5,6
1587651507,0,9
1587662634,2,4
1587673778,6,4
1587684633,1,7
1587695462,5,5
1587706309,6,3
1587717179,3,3
1587727903,3,6
1587738832,1,8
1587749742,3,7
1587760616,2,5
1587770931,4,5
1587781603,3,7
1587791122,5,6
1587801983,2,4
1587813201,1,5
1587823990,3,5
1587834645,1,7
1587845629,9,5
1587856251,7,0
1587866926,7,2
1587877316,0,1
1587888063,3,7
1587898728,5,4
1587909710,3,6
1587920400,9,10
1587931240,8,9
1587942202,7,12
1587953264,2,2
1587964172,0,3
1587974655,0,1
1587985077,2,2
1587995911,4,5
1588005765,1,7
1588016875,4,5
1588027795,1,2
1588038668,3,2
1588049642,1,3
1588060144,3,4
1588071066,2,4
1588081966,4,1
1588092239,2,2
1588101737,3,5
1588112207,0,2
1588122901,2,3
1588133196,3,0
1588144316,1,2
1588155486,1,1
1588166408,5,4
1588177135,9,6
1588188134,2,1
1588198784,2,4
1588207897,3,3
1588218854,2,0
1588229360,3,0
1588240074,1,3
1588250827,3,3
1588261455,5,0
1588272113,8,6
1588282934,1,9
1588293986,4,2
1588303671,0,10
1588314697,1,1
1588325456,1,3
1588336499,1,13
1588347475,1,3
1588358108,2,3
1588368878,2,5
1588379859,5,7
1588390349,3,2
1588400126,3,2
1588408657,2,2
1588419481,1,3
1588430333,6,4
1588441400,5,3
1588452351,0,4
1588463235,0,4
1588473733,4,1
1588484477,1,2
1588495450,3,3
1588506458,4,1
1588517358,5,4
1588528007,3,4
1588538762,6,4
1588549304,5,11
1588559557,3,5
1588569647,5,1
1588580113,0,2
1588591105,3,2
1588601976,4,5
1588613009,4,2
1588623983,10,9
1588635025,2,12
1588646140,10,13
1588657198,7,2
1588668202,5,5
1588679051,4,10
1588689885,7,4
1588700352,3,5
1588711251,8,6
1588721950,8,5
1588732962,7,3
1588743950,3,7
1588754699,6,3
1588765613,2,4
1588776393,10,4
1588787238,6,1
1588797880,1,10
1588808825,5,4
1588819573,3,0
1588829938,2,3
1588841000,3,3
1588851478,4,5
1588862314,5,7
1588873374,6,7
1588884107,6,9
1588894174,4,4
1588905100,4,1
1588916149,4,1
1588927183,6,2
1588938088,8,0
1588948993,4,3
1588959560,4,2
1588970611,3,4
1588981607,2,0
1588992713,0,1
1589003674,2,8
1589014646,4,4
1589025474,6,2
1589036371,3,5
1589047432,2,10
1589058369,3,9
1589069296,2,2
1589080240,4,4
1589091340,3,1
1589102399,1,1
1589113302,2,2
1589124242,6,4
1589134848,2,1
1589145837,5,7
1589156799,1,3
1589167727,3,1
1589178674,2,2
1589189687,1,5
1589200430,4,6
1589211277,4,1
1589222038,8,2
1589232899,4,5
1589243905,2,2
1589254988,2,3
1589265805,3,3
1589276851,3,1
1589287645,5,11
1589298707,0,4
1589309619,3,3
1589320587,2,6
1589331187,3,4
1589341896,1,0
1589352820,4,3
1589363504,5,1
1589373812,1,6
1589384814,2,5
1589395727,1,1
1589406613,7,6
1589417458,3,3
1589428365,5,1
1589439315,4,2
1589450105,2,3
1589461113,3,7
1589471910,6,3
1589482976,3,2
1589494221,3,3
1589505231,5,2
1589516033,2,7
1589526938,1,2
1589537928,4,2
1589548825,3,3
1589559660,0,1
1589570600,3,3
1589581633,2,3
1589592348,4,5
1589603166,3,0
1589614026,3,9
1589625325,2,7
1589636389,7,6
1589647258,2,3
1589658403,2,4
1589669126,2,5
1589679766,8,5
1589690663,1,5
1589701249,3,8
1589711992,6,4
1589722891,1,8
1589733738,3,3
1589744232,3,4
1589755145,4,5
1589766041,4,3
1589777000,3,2
1589788039,1,2
1589798934,3,6
1589809844,1,1
1589820952,9,3
1589831503,3,2
