DateTime,AddedIPs,RemovedIPs
1587049441,2874,2874
1587060241,3520,3520
1587071041,4061,4061
1587081841,4510,4510
1587092641,4951,4951
1587103441,1775,1775
1587114242,1553,1553
1587125041,2043,2043
1587135841,2854,2854
1587146641,3499,3499
1587157441,3948,3948
1587168241,4284,4284
1587179041,4731,4731
1587189841,1614,1614
1587200641,1581,1581
1587211441,1931,1931
1587222241,2795,2795
1587233042,3408,3408
1587243841,3829,3829
1587254641,4223,4223
1587265441,4634,4634
1587276241,1605,1605
1587287041,1412,1412
1587297842,1574,1574
1587308641,2456,2456
1587319441,3081,3081
1587330241,3917,3917
1587341042,4427,4427
1587351841,4998,4998
1587362641,1998,1998
1587373441,1808,1808
1587384241,2801,2801
1587395041,3559,3559
1587405841,4152,4152
1587416641,4519,4519
1587427441,4894,4894
1587438241,5297,5297
1587449041,1960,1960
1587459841,1633,1633
1587470641,2551,2551
1587481441,3296,3296
1587492241,4190,4190
1587503041,4550,4550
1587513841,5153,5153
1587524641,5470,5470
1587535441,2222,2222
1587546241,1987,1987
1587557041,3095,3095
1587567841,3803,3803
1587578641,4431,4431
1587589441,4815,4815
1587600241,5137,5137
1587611041,5473,5473
1587621841,2163,2163
1587632641,1260,1260
1588161841,7070,7070
1588183441,6190,6190
1588194241,4373,4373
1588205041,4733,4733
1588215841,5145,5145
1588226641,2062,2062
1588237441,1693,1693
1588248241,2486,2486
1588259041,3315,3315
1588269841,3858,3858
1588280641,4354,4354
1588291441,4648,4648
1588302241,5127,5127
1588313041,2119,2119
1588323841,1553,1553
1588334641,1989,1989
1588345441,2849,2849
1588356241,3480,3480
1588367041,3946,3946
1588377841,4323,4323
1588388641,4854,4854
1588399441,1898,1898
1588410241,1627,1627
1588421041,1968,1968
1588431841,2872,2872
1588442641,3455,3455
1588453441,3971,3971
1588464241,4385,4385
1588475041,4928,4928
1588485841,1872,1872
1588496641,1702,1702
1588507441,2259,2259
1588518241,3101,3101
1588529041,3741,3741
1588539841,4213,4213
1588550641,4611,4611
1588561441,5076,5076
1588572241,1966,1966
1588583041,1889,1889
1588593841,2571,2571
1588604641,3418,3418
1588615441,4032,4032
1588626241,4498,4498
1588637041,4928,4928
1588647841,5259,5259
1588658641,2016,2016
1588669441,1686,1686
1588680241,2440,2440
1588691041,3305,3305
1588701841,4044,4044
1588712641,4449,4449
1588723441,4826,4826
