DateTime,Entries,UniqueIPs
1532059696,3344,597938376
1532146112,3340,597929416
1532405344,3334,597913544
1532491753,3327,597896392
1532578267,3323,597884360
1532664752,3317,597870024
1532751279,3315,597864136
1533010220,3306,597844680
1533096642,3299,597829576
1533182983,3286,597801928
1533269403,3280,597756872
1533355847,3275,597744072
1533615055,3271,597734856
1533701553,3263,597714376
1533788079,3259,597708232
1533874147,3255,597686728
1533960764,3251,597675464
1534219875,3251,597660360
1534306381,3249,597643976
1534392596,3247,597632712
1534479230,3244,597620424
1534565428,3239,597601992
1534824675,3240,597597128
1534911083,3235,597578440
1534997350,3232,597565384
1535083791,3231,597552072
1535170083,3227,597533640
1535430060,3225,597525448
1535516158,3229,597518280
1535602257,3225,597500104
1535688529,3225,597494984
1535774980,3222,597475272
1536034242,3224,597471688
1536120675,3223,597457608
1536207157,3224,597449416
1536293670,3221,597437128
1536380286,3218,597421000
1536638990,3215,597438408
1536725490,3212,597431240
1536811842,3206,597407688
1536898694,3200,597383112
1536985419,3197,597367752
1537244030,3196,597361864
1537330294,3193,597348040
1537416670,3185,597321160
1537503299,3178,597303240
1537589877,3172,597275592
1537849005,3164,597251016
1537935121,3160,597238728
1538021725,3155,597218248
1538107792,3151,597200840
1538194369,3148,597187784
1538453395,3145,597171656
1538539695,3142,597148872
1538626227,3142,597132744
1538712529,3139,597105096
1538799370,3138,597096904
1539058454,3139,597085896
1539144642,3135,597048520
1539231140,3134,597034184
1539317603,3130,597015752
1539404291,3128,596998344
1539664023,3127,596979912
1539750727,3125,596962248
1539835997,3123,596939720
1539922480,3120,596915144
1540008831,3120,596905928
1540268014,3118,596891592
1540354173,3114,596862152
1540440951,3112,596833736
1540527778,3110,596820936
1540613412,3111,596801992
1540872691,3190,597225160
1540958917,3104,596759496
1541045391,3100,596730824
1541131795,3098,596697800
1541218414,3094,596669384
1541477801,3095,596654536
1541564032,3090,596619720
1541650575,3090,596599752
1541736857,3090,596590536
1541823379,3088,596548808
1542082680,3085,596522184
1542168791,3086,596514504
1542255176,3085,596498120
1542341582,3082,596452040
1542428014,3079,596423624
1542687154,3078,596402120
1542773362,3078,596372424
1542859991,3077,596356040
1542946195,3073,596326344
1543032598,3081,596287432
1543291761,3083,596274632
1543378229,3079,596243400
1543465094,3080,596224968
1543551025,3096,596231368
1543724893,3095,596153544
1543896522,3094,596122824
1543982883,3095,596112840
1544069285,3094,596096456
1544242234,3093,596071880
1544328521,3096,596075208
1544501317,3098,596059336
1544587713,3098,596034760
1544674108,3097,596011208
1544760647,3098,595968200
1544847058,3099,595932360
1545106111,3104,595908040
1545192532,3104,595887304
1545278889,3106,595869448
1545365363,3110,595851272
1545451843,3112,595819784
1545711026,3111,595808520
1546056565,3109,595757320
1546315783,3105,595815688
1546488515,3112,595807752
1546574884,3111,595788552
1546661292,3109,595778312
1546920521,3159,595860744
1547007028,3144,595838216
1547093343,3138,595823880
1547179686,3142,595800072
1547266182,3141,595774728
1547525276,3134,595763720
1547611737,3127,595740424
1547698214,3125,595718920
1547784588,3125,595710984
1547871014,3124,595689480
1547957304,3125,595690504
1548130129,3123,595675912
1548216589,3119,595651592
1548302883,3117,595600392
1548389284,7295,618091528
1548475804,3122,595569672
1548734917,3118,595554568
1548821298,3120,595545352
1548907753,3117,595519752
1548994091,3118,595499784
1549080564,3118,595487496
1549339694,3120,595460488
1549426103,3119,595467144
1549512489,3117,595449224
1549598917,3117,595423880
1549685337,3117,595397512
1549944526,3114,595378056
1550030877,3117,595373704
1550117278,3116,595373448
1550203699,3115,595372424
1550290117,3116,595373192
1550549282,3117,595377544
1550635751,3117,595377544
1550722084,3119,595361160
1550808531,3123,595336328
1550894899,3124,595311240
1551154130,3119,595298952
1551240524,3118,595279496
1551326905,3118,595255944
1551413324,3121,595259016
1551499773,3123,595240328
1551674197,3124,595241352
1551760627,3122,595225224
1551846992,3122,595211912
1551933426,3120,595201672
1552019814,3121,595184776
1552106195,3123,595169416
1552365454,3125,595159432
1552451833,3126,595125384
1552538193,3132,595092104
1552624579,3130,595071624
1552711004,3130,595040904
1552970236,3128,595021192
1553056635,3129,594997656
1553142996,3128,594979224
1553229419,3129,594936216
1553315805,3128,594913688
1553488595,3126,594910616
1553575037,3129,594877848
1553661509,3127,594854552
1553747836,3130,594847128
1553834204,3131,594817432
1553920612,3130,594792600
1554179785,3133,594766744
1554266259,3136,594737560
1554352587,3135,594724760
1554438926,3141,594706072
1554525439,3140,594687640
1554784538,3142,594672536
1554870944,3145,594655128
1554957413,3147,594629528
1555043813,3145,594604696
1555130220,3144,594602648
1555389399,3142,594597784
1555475832,3144,594599320
1555648603,3145,594599832
1556080538,3144,594601112
1556253377,3146,594601880
1556339821,3148,594602392
1556599009,3147,594601368
1556685441,3149,594602136
1556771847,3150,594598296
1556858247,3152,594599064
1556944830,3153,594599320
1557203839,3150,594596760
1557290143,3152,594598040
1557462944,3153,594598296
1557549446,3152,594598040
1557808662,3153,594598296
1557894962,3155,594596504
1557981293,3159,594598296
1558067751,3161,594599832
1558154181,3166,594615704
1558411483,3171,594617240
1558497875,3175,594621592
1558584270,3178,594623128
1558757089,3174,594616984
1559016287,3173,594615960
1559102656,3175,594616984
1559189141,3162,594600344
1559621084,3159,594597272
1559793869,3160,594605720
1559880284,3159,594604696
1560312252,3150,594603416
1560398674,3151,594603928
1560485096,3152,594602936
1560830690,3150,594600888
1560917075,3151,594601400
1561003465,3148,594598328
1561089877,3150,594599608
1561176294,3151,594607800
1561435466,3152,594608056
1561521880,3154,594608576
1561608257,3154,594608576
1561694691,3158,594603200
1561781062,3159,594603712
1562040286,3161,594603712
1562126703,3159,594605760
1562213061,3160,594606784
1562299459,3159,594605760
1562385870,3160,594606784
1562645079,3164,594613440
1562731514,3167,594615744
1562817850,3168,594616512
1562990690,3172,594618816
1563249885,3118,594534336
1563422697,3119,594534592
1563509116,3120,594534336
1563854683,3124,594547648
1563941065,3121,594544576
1564027489,3122,594544832
1564459481,3123,594544448
1564545851,3123,594543680
1564632288,3122,594541632
1564718660,3140,594561088
1564805067,3140,594564416
1565064293,3159,594586432
1565150682,3174,594606144
1565237076,3187,594637888
1565323464,3195,594640944
1565409882,3190,594640960
1565669054,3220,594670400
1565755512,3220,594672192
1565841880,3246,594746944
1565928248,3249,594750016
1566014695,3250,594758208
1566273880,3251,594761792
1566360278,3252,594761536
1566446692,3251,594759232
1566533060,3252,594759488
1566878717,3258,594830912
1566965224,3261,594831936
1567051499,3258,594822720
1567137902,3253,594816064
1567484011,3257,594822976
1567656295,3254,594818880
1567742712,3258,594819904
1567829112,3257,594818880
1568088313,3257,594817600
1568174695,3245,594798144
