DateTime,AddedIPs,RemovedIPs
1568794593,952,934
1568802756,983,4
1568803719,727,9
1568805149,502,1
1568897772,954,3139
1568978653,963,5
1569071322,890,1921
1569163461,868,897
1569255617,877,869
1569348013,905,872
1569416430,954,14
1569508095,874,1840
1569600503,661,888
1569691456,577,665
1569782898,996,575
1569851810,908,3
1569944187,962,1886
1570037066,985,968
1570129247,899,978
1570163545,945,8
1570185614,804,0
1570190922,894,18
1570195652,866,24
1570199537,827,16
1570203816,837,17
1570207473,875,19
1570211086,846,18
1570219724,810,818
1570224755,835,19
1570227883,796,19
1570231457,834,14
1570235060,819,13
1570248741,804,17
1570253536,885,835
1570346668,854,11626
1570438580,905,952
1570531008,907,909
1570624243,895,877
1570715792,973,921
1570807693,902,974
1570899392,904,899
1570992030,978,913
1571084433,893,982
1571177790,928,883
1571268744,500,460
1571269459,465,460
1571359209,500,495
1571360660,485,483
1571408886,500,0
1571410817,466,10
1571500815,500,998
1571501784,469,929
1571592752,500,498
1571593704,481,489
1571684452,500,498
1571685615,471,474
1571777539,500,499
1571778044,476,478
1571868981,500,500
1571870651,490,476
1571960893,500,500
1571963234,490,492
1572010402,500,0
1572013232,486,2
1572103956,500,994
1572107547,454,961
1572197550,500,497
1572200913,468,456
1572291396,500,500
1572294011,486,486
1572382370,500,500
1572385471,463,483
1572474247,500,500
1572477636,482,458
1572566183,500,500
1572568568,483,483
1572659073,500,498
1572661952,487,492
1572751208,498,499
1572755073,480,482
1572843646,472,498
1572846979,488,490
1572875051,486,0
1572878423,476,0
1572959081,490,472
1572967238,470,974
1573050976,492,966
1573060347,490,472
1573144824,500,492
1573151792,499,491
1573210575,499,1
1573213954,500,0
1573301337,292,998
1573305399,478,1000
1573392993,268,292
1573396353,498,478
1573484170,496,268
1573488769,494,498
1573576362,494,492
1573580893,494,494
1573656756,494,0
1573660840,500,0
1573747976,497,989
1573752274,494,994
1573840097,499,499
1573843956,500,494
1573931779,490,496
1573936099,498,500
1574023242,490,492
1574027292,500,498
1574115156,491,487
1574119221,496,500
1574207055,488,490
1574211620,500,496
1574298756,495,493
1574303775,500,500
1574390419,498,496
1574395464,498,500
1574413461,500,0
1574417313,496,0
1574505179,498,998
1574508753,484,982
1574533451,496,0
1574536101,477,4
1574613879,494,498
1574616275,475,485
1574694041,500,496
1574695710,475,479
1574754968,479,469
1574762915,500,494
1574782815,461,472
1574785455,500,500
1574862513,462,472
1574865885,500,498
1574953960,483,933
1574954892,459,4
1574957325,500,1000
1575023287,456,12
1575025972,498,0
1575115688,474,1373
1575117612,500,998
1575138023,491,2
1575138975,500,0
1575217969,488,483
1575220122,500,500
1575297388,483,488
1575300036,496,500
1575369145,500,500
1575377530,478,490
1575461311,500,996
1575470191,487,965
1575539535,480,7
1575541482,500,0
1575557306,481,467
1575558763,500,500
1575625699,458,13
1575627174,500,0
1575717861,448,1389
1575719781,500,1500
1575752173,477,4
1575753855,500,0
1575844581,495,954
1575846981,500,1000
1575894268,483,2
1575895454,500,0
1575986178,483,966
1575988118,498,1000
1575997457,494,0
1575998415,494,0
1576089166,487,983
1576090335,500,992
1576095605,500,0
1576095870,462,4
1576187294,979,1935
1576236992,979,5
1576329616,967,1952
1576410269,865,4
1576502657,901,1828
1576561712,886,0
1576653869,982,1796
1576654809,974,4
1576688898,856,7
1576757548,894,1932
1576780838,872,848
1576785496,936,15
1576789708,840,12
1576794787,855,13
1576854024,959,857
1576855962,932,12
1576859557,840,18
1576881868,759,3423
1576893129,966,7
1576902020,926,10
1576936328,952,10
1577028751,833,6343
1577096886,954,6
1577114438,871,18
1577128347,839,840
1577170329,948,7
1577187624,887,914
1577191709,869,18
1577199638,942,11
1577290584,925,5309
1577381542,899,981
1577441322,984,7
1577533933,876,1867
1577575447,500,0
1577575713,477,4
1577586250,877,16
1577598014,873,19
1577625867,942,850
1577635702,808,21
1577649631,803,14
1577663312,804,911
1577680362,674,820
1577691133,958,852
1577694748,944,9
1577701956,818,13
1577793862,947,6795
1577801312,910,5
1577806363,903,6
1577809698,915,4
1577818093,906,13
1577825061,820,14
1577830129,867,21
1577833941,804,20
1577838259,872,25
1577846185,927,14
1577850249,895,7
1577858921,845,18
1577876445,759,30
1577878826,824,20
1577882650,802,898
1577888198,716,850
1577894917,817,785
1577902825,830,874
1577910027,621,817
1577933301,907,4119
1577955863,791,1768
1577959480,798,20
1577963074,934,767
1577972433,859,1670
1577978659,773,749
1578020191,884,3239
1578048013,859,1647
1578058588,671,946
1578061476,800,880
1578064599,956,11
1578086910,841,799
1578166810,967,4132
1578236167,908,894
1578316106,855,997
1578323310,912,910
1578329308,807,6
1578332678,917,18
1578354505,774,14
1578395557,759,14
1578486992,953,4942
1578497291,859,5
1578576772,944,957
