DateTime,AddedIPs,RemovedIPs
1568794593,963,949
1568802756,987,965
1568803719,767,824
1568805149,519,467
1568897772,989,995
1568978653,970,974
1569071322,899,974
1569163461,886,899
1569255617,886,886
1569348013,908,881
1569416430,980,911
1569508095,881,978
1569600503,661,892
1569691456,579,665
1569782898,998,577
1569851810,937,991
1569944187,961,928
1570037066,987,968
1570129247,910,979
1570163545,959,908
1570185614,808,978
1570190922,965,807
1570195652,938,937
1570199537,907,946
1570203816,905,903
1570207473,955,917
1570211086,954,956
1570219724,919,951
1570224755,957,910
1570227883,929,969
1570231457,929,933
1570235060,950,924
1570248741,927,951
1570253536,977,923
1570346668,953,967
1570438580,907,966
1570531008,929,911
1570624243,901,895
1570715792,982,928
1570807693,908,982
1570899392,909,906
1570992030,989,920
1571084433,896,993
1571177790,946,887
1571268744,500,460
1571269459,467,472
1571359209,500,495
1571360660,488,490
1571408886,500,498
1571410817,488,488
1571500815,500,500
1571501784,489,491
1571592752,500,498
1571593704,493,495
1571684452,500,498
1571685615,484,485
1571777539,500,499
1571778044,490,490
1571868981,500,500
1571870651,490,490
1571960893,500,500
1571963234,492,494
1572010402,500,498
1572013232,489,492
1572103956,500,497
1572107547,475,478
1572197550,500,497
1572200913,469,469
1572291396,500,500
1572294011,489,489
1572382370,500,500
1572385471,487,487
1572474247,500,500
1572477636,482,482
1572566183,500,500
1572568568,482,484
1572659073,500,498
1572661952,491,492
1572751208,500,499
1572755073,485,485
1572843646,500,500
1572846979,496,496
1572875051,500,500
1572878423,500,500
1572959081,500,500
1572967238,500,500
1573050976,500,500
1573060347,498,498
1573144824,500,500
1573151792,499,499
1573210575,500,500
1573213954,500,500
1573301337,500,500
1573305399,500,500
1573392993,500,500
1573396353,500,500
1573484170,500,500
1573488769,500,500
1573576362,496,496
1573580893,500,500
1573656756,500,500
1573660840,500,500
1573747976,500,500
1573752274,500,500
1573840097,499,499
1573843956,500,500
1573931779,496,496
1573936099,500,500
1574023242,498,498
1574027292,500,500
1574115156,494,494
1574119221,500,500
1574207055,494,494
1574211620,500,500
1574298756,499,499
1574303775,500,500
1574390419,500,500
1574395464,500,500
1574413461,500,500
1574417313,500,500
1574505179,500,500
1574508753,487,487
1574533451,500,500
1574536101,493,493
1574613879,500,500
1574616275,497,497
1574694041,500,500
1574695710,489,490
1574754968,486,485
1574762915,500,500
1574782815,484,486
1574785455,500,498
1574862513,484,484
1574865885,500,500
1574953960,490,490
1574954892,469,469
1574957325,500,500
1575023287,483,483
1575025972,500,500
1575115688,484,484
1575117612,500,500
1575138023,495,495
1575138975,500,500
1575217969,496,496
1575220122,500,500
1575297388,497,497
1575300036,500,500
1575369145,500,500
1575377530,495,495
1575461311,500,500
1575470191,495,496
1575539535,489,488
1575541482,500,500
1575557306,496,496
1575558763,500,500
1575625699,487,487
1575627174,500,500
1575717861,479,479
1575719781,500,500
1575752173,485,485
1575753855,500,500
1575844581,495,495
1575846981,500,500
1575894268,497,497
1575895454,500,500
1575986178,489,489
1575988118,500,500
1575997457,494,495
1575998415,500,499
1576089166,494,494
1576090335,500,500
1576095605,500,500
1576095870,476,477
1576187294,987,986
1576236992,990,990
1576329616,981,982
1576410269,873,993
1576502657,925,871
1576561712,892,924
1576653869,989,893
1576654809,986,984
1576688898,869,982
1576757548,914,867
1576780838,885,920
1576785496,967,891
1576789708,884,963
1576794787,902,885
1576854024,991,903
1576855962,988,988
1576859557,904,989
1576881868,756,911
1576893129,994,754
1576902020,969,992
1576936328,996,973
1577028751,890,992
1577096886,982,880
1577114438,907,976
1577128347,861,919
1577170329,981,856
1577187624,909,990
1577191709,947,898
1577199638,980,947
1577290584,986,985
1577381542,899,993
1577441322,995,901
1577533933,892,992
1577575447,500,400
1577575713,485,486
1577586250,925,974
1577598014,909,927
1577625867,985,918
1577635702,910,976
1577649631,843,920
1577663312,896,841
1577680362,779,901
1577691133,989,779
1577694748,995,994
1577701956,882,993
1577793862,987,877
1577801312,917,989
1577806363,925,916
1577809698,947,922
1577818093,976,937
1577825061,888,979
1577830129,936,882
1577833941,890,939
1577838259,973,903
1577846185,983,967
1577850249,990,990
1577858921,983,983
1577876445,882,980
1577878826,979,883
1577882650,933,979
1577888198,903,933
1577894917,917,902
1577902825,991,928
1577910027,698,962
1577933301,987,730
1577955863,867,971
1577959480,926,865
1577963074,987,937
1577972433,982,982
1577978659,832,985
1578020191,944,824
1578048013,885,951
1578058588,684,884
1578061476,868,696
1578064599,994,867
1578086910,909,991
1578166810,992,912
1578236167,922,994
1578316106,874,913
1578323310,931,878
1578329308,840,922
1578332678,992,850
1578354505,825,987
1578395557,826,825
1578486992,996,835
1578497291,868,974
1578576772,957,882
1578668926,857,960
1578671888,879,833
1578765630,994,906
1578834756,889,991
1578846506,967,877
1578938655,874,971
1579018836,981,872
1579088415,996,996
1579092266,995,995
1579096831,850,990
1579100917,838,852
1579104511,985,831
1579108116,804,996
1579175304,728,807
1579267016,807,728
1579358675,870,802
1579450573,772,869
1579541540,761,775
1579632729,692,762
1579723739,930,691
1579814892,914,883
1579906108,936,904
1579964429,870,923
1579973285,879,867
1580052738,872,892
1580111062,771,886
1580118264,950,771
1580124490,898,962
1580135546,907,882
1580145134,926,891
1580236355,790,939
1580315782,500,347
1580316011,436,440
1580406966,901,935
1580465769,844,894
1580557450,923,839
1580649158,811,917
1580662570,836,810
1580742772,914,836
1580812449,850,937
1580839946,829,825
1580930651,792,842
1581022107,871,799
1581063607,814,866
1581074664,830,806
1581165608,782,845
1581257547,846,788
1581325958,881,826
1581417608,500,455
1581417863,408,411
1581509304,861,928
1581601453,500,430
1581601932,442,443
1581692906,500,499
1581693377,413,415
1581784091,895,932
1581875066,943,907
1581954735,863,938
1581972514,904,846
1581975633,824,910
1582017372,937,831
1582018810,847,897
1582060102,834,848
1582108329,905,844
1582150116,822,927
1582218972,838,820
1582311126,872,823
1582402570,907,867
1582494730,848,897
1582562890,769,879
1582621945,809,778
1582629862,834,801
1582721544,835,840
1582742889,896,828
1582834112,825,903
1582867943,929,825
1582894853,828,936
1582986729,942,829
1583078430,868,923
1583147300,866,862
1583226497,867,878
1583248587,914,859
1583254812,846,914
1583345302,909,840
1583394016,926,919
1583421374,864,942
1583422819,830,855
1583428333,903,818
1583519285,849,897
1583609556,917,850
1583700496,833,945
1583759533,834,815
1583850297,500,407
1583850731,436,438
1583941208,828,924
1584031950,500,402
1584032415,420,425
1584122895,500,495
1584124088,400,401
1584181687,500,499
1584182410,402,405
1584186727,845,896
1584191538,781,833
1584197054,785,802
1584288524,842,787
1584380172,897,842
1584471625,856,908
1584563546,906,845
1584655217,835,909
1584746653,904,828
1584780493,827,886
1584871933,883,851
1584963618,809,890
1585042809,906,802
1585053141,905,901
1585121772,625,998
1585162573,885,625
1585221864,898,803
1585263633,844,869
1585321727,853,874
1585412884,500,434
1585413151,421,423
1585505317,918,922
1585563612,819,932
1585643536,914,817
1585677381,816,913
1585726808,923,807
1585740732,845,925
1585831699,500,417
1585831928,394,430
1585923129,901,879
1586013850,847,898
1586105290,843,836
1586197685,831,845
1586255655,847,829
1586325126,855,858
1586326359,686,652
1586348662,869,882
1586417061,875,873
1586509017,861,880
1586522182,879,872
1586613369,900,898
1586705047,864,895
1586784263,500,425
1586784732,439,445
1586875467,500,494
1586876178,439,440
1586877130,438,437
1586877369,500,500
1586936902,942,945
1586978178,947,950
1587036733,890,949
1587042502,1000,935
1587111370,997,1000
1587152891,942,940
1587187933,907,945
1587279366,923,894
1587371294,796,935
1587442570,918,815
1587456025,890,892
1587466575,941,900
1587483863,866,957
1587489158,900,852
1587507375,870,875
1587513630,852,869
1587514591,925,860
1587525620,944,938
1587534489,859,946
1587537641,928,847
1587538841,928,925
1587551538,889,947
1587553736,900,888
1587554657,923,876
1587560039,926,940
1587561144,940,927
1587630021,901,954
1587720739,902,898
1587812168,919,895
1587903857,500,471
1587904335,435,435
1587995569,867,947
1588087226,920,902
1588178652,957,930
1588270109,895,940
1588361590,980,901
1588452501,952,961
1588543940,953,946
1588635608,956,958
1588727302,924,924
1588818491,863,934
1588909686,908,866
1589001140,942,913
1589092810,931,930
1589183530,626,996
1589276421,897,626
1589367862,988,896
1589459070,923,971
1589550737,899,904
1589642179,853,934
1589733859,500,355
1589734567,500,500
1589824344,500,500
1589825315,474,477
1589916735,864,974
1590009153,898,857
1590102255,961,897
1590193469,884,955
1590284904,893,862
1590377353,866,862
1590468490,924,881
1590559706,848,979
1590651145,651,859
1590744021,848,657
1590835692,972,834
1590925693,944,945
1591017130,947,939
1591108333,885,929
1591199290,874,913
1591290731,956,872
1591382169,826,940
1591473370,898,833
1591564575,880,925
1591655532,850,886
1591746985,871,842
1591837928,930,866
1591928886,930,892
1591969933,863,966
1592061387,992,887
1592152338,981,990
1592244511,943,936
1592335450,899,947
1592427131,862,884
1592518448,887,907
1592608335,500,408
1592609546,494,494
1592699547,500,500
1592699770,475,476
1592790511,844,964
1592881964,960,841
1592973873,943,944
