DateTime,AddedIPs,RemovedIPs
1539581303,2,2
1539668660,2,2
1539843153,1,1
1539930263,1,1
1540017640,1,1
1540104754,3,3
1540192133,2,2
1540279466,1,1
1540366575,2,2
1540453710,1,1
1540541073,1,1
1540715550,3,3
1540889792,2,2
1540976931,1,1
1541064033,1,1
1541325633,1,1
1541412767,1,1
1541500129,1,1
1541848574,1,1
1542023322,2,2
1542110479,1,1
1542197797,1,1
1542372015,2,2
1542459130,1,1
1542546272,1,1
1542982131,1,1
1543069239,3,3
1543156348,1,1
1543505807,2,2
1543593135,1,1
1543767391,3,3
1543854492,2,2
1543941884,2,2
1544029001,1,1
1544203478,1,1
1544290612,1,1
1544639295,5,5
1544726438,1,1
1544813557,2,2
1544900659,1,1
1544987782,3,3
1545249142,1,1
1545423390,1,1
1545510518,1,1
1545597646,2,2
1545771900,3,3
1545946350,1,1
1546033464,1,1
1546295057,3,3
1546469302,4,4
1546643540,1,1
1546730671,2,2
1546905137,1,1
1547079393,1,1
1547166501,2,2
1547340762,1,1
1547602108,1,1
1547776649,2,2
1547863726,2,2
1548125055,1,1
1548212207,1,1
1548299335,2,2
1548473540,1,1
1548647773,1,1
1548735142,1,1
1548909381,2,2
1549258349,3,3
1549345460,2,2
1549432582,1,1
1549519724,1,1
1549606840,1,1
1549781296,1,1
1549868429,1,1
1549955572,2,2
1550042665,1,1
1550216916,1,1
1550391151,2,2
1550478267,1,1
1550652500,1,1
1550739637,2,2
1550826743,1,1
1550913887,1,1
1551088339,1,1
1551175495,1,1
1551262584,1,1
1551349698,4,4
1551436843,1,1
1551523962,2,2
1551611082,1,1
1551698215,1,1
1551785575,2,2
1551872657,2,2
1551959785,2,2
1552046901,1,1
1552134023,1,1
1552221140,1,1
1552482526,1,1
1552656758,1,1
1552743852,1,1
1552830997,1,1
1552918095,2,2
1553005245,1,1
1553179462,1,1
1553266576,2,2
1553441065,1,1
1553528189,2,2
1553615318,1,1
1553702429,3,3
1553876654,5,5
1553963780,2,2
1554138048,1,1
1554225145,1,1
1554312272,2,2
1554399386,1,1
1554486509,1,1
1554573632,1,1
1554660752,2,2
1554747869,2,2
1554922359,1,1
1555009462,6,6
1555096579,2,2
1555357967,1,1
1555445068,2,2
1555532190,1,1
1555706439,4,4
1555793534,2,2
1555880684,2,2
1555967786,1,1
1556054918,5,5
1556142031,3,3
1556229135,4,4
1556316289,1,1
1556490493,2,2
1556666204,4,4
1556927809,2,2
1557015147,2,2
1557189511,1,1
1557364132,2,2
1557451229,1,1
1557538377,1,1
1557625453,3,3
1557712576,3,3
1557887059,1,1
1557974209,0,20
1558061301,20,0
1558148669,1,1
1558235781,1,1
1558410024,1,1
1558497156,2,2
1558584265,1,1
1558758520,2,2
1558932777,3,3
1559019887,2,2
1559107251,2,2
1559194337,1,1
1559281461,1,1
1559368842,1,1
1559455940,3,3
1559630176,1,1
1559717564,1,1
1559804657,4,4
1559891777,4,4
1559978892,1,1
1560066014,4,4
1560153132,2,2
1560240261,3,3
1560327629,1,1
1560414748,1,1
1560501857,3,3
1560588977,2,2
1560676115,1,1
1560763219,2,2
1560850366,2,2
1560937456,2,2
1561024579,4,4
1561111733,1,1
1561198816,1,1
1561285939,3,3
1561373108,1,1
1561460172,3,3
1561547291,1,1
1561634441,3,3
1561721546,2,2
1561808669,1,1
1561982937,1,1
1562070034,3,3
1562157173,2,2
1562331646,3,3
1562418742,3,3
1562505857,1,1
1562680106,2,2
1562767230,2,2
1562854336,5,5
1562941459,3,3
1563028580,1,1
1563115701,3,3
1563202863,7,7
1563289957,1,1
1563377053,2,2
1563812895,1,1
1563900012,6,6
1563987148,6,6
1564074272,3,3
1564161376,1,1
1564248493,1,1
1564335612,3,3
1564422750,4,4
1564596992,4,4
1564684094,1,1
1564771218,1,1
1564858354,3,3
1564945724,3,3
1565032826,2,2
1565119935,0,20
1565207073,20,0
1565294174,1,1
1565468656,2,2
1565643159,2,2
1565730259,3,3
1565991612,1,1
1566166122,2,2
1566253231,1,1
1566340370,3,3
