DateTime,AddedIPs,RemovedIPs
1568107232,372,376
1568111547,410,0
1568139636,315,1025
1568140820,395,0
1568143244,286,0
1568145640,308,0
1568148750,308,347
1568154997,277,646
1568157878,348,0
1568161233,337,577
1568164125,354,316
1568167960,375,366
1568171056,340,319
1568172758,274,348
1568200587,335,1512
1568211184,417,0
1568212344,320,0
1568215962,380,0
1568219317,288,0
1568222442,303,0
1568226049,321,287
1568229639,370,344
1568232536,248,555
1568235622,320,307
1568239726,337,0
1568242118,371,305
1568245497,315,361
1568249560,390,320
1568252678,323,362
1568256042,316,358
1568256969,283,0
1568258179,312,378
1568261541,381,272
1568262514,296,0
1568273572,358,0
1568274744,349,0
1568275977,280,0
1568277163,216,0
1568294464,314,292
1568298017,279,376
1568301427,347,232
1568304773,283,276
1568305717,322,0
1568319853,285,1453
1568361734,266,4607
1568362924,360,360
1568368353,391,308
1568382500,300,378
1568384438,370,356
1568387332,378,0
1568390924,381,394
1568395239,373,758
1568399332,427,0
1568402908,400,0
1568406755,408,353
1568409617,347,0
1568413947,402,0
1568428356,392,0
1568430530,348,0
1568440596,310,0
1568445413,373,0
1568450190,256,627
1568453167,337,0
1568456658,221,363
1568460760,274,0
1568463164,233,0
1568467486,236,0
1568470844,411,565
1568474686,384,286
1568477585,242,340
1568480441,352,0
1568483790,376,341
1568486415,309,394
1568490051,340,360
1568492671,311,0
1568506331,307,996
1568547611,322,2550
1568561059,328,1021
1568578603,428,2402
1568605700,401,854
1568608831,457,0
1568609795,452,0
1568702415,392,2688
1568794593,485,485
1568802756,490,0
1568803719,470,0
1568805149,498,0
1568897772,474,1932
1568978653,485,0
1569071322,483,968
1569163461,489,489
1569255617,489,489
1569348013,484,484
1569416430,487,0
1569508095,475,962
1569600503,496,496
1569691456,500,500
1569782898,498,498
1569851810,491,0
1569944187,478,969
1570037066,489,489
1570129247,481,481
1570163545,479,0
1570185614,495,0
1570190922,458,0
1570195652,438,0
1570199537,420,0
1570203816,428,0
1570207473,429,0
1570211086,406,0
1570219724,386,388
1570224755,374,0
1570227883,376,0
1570231457,412,0
1570235060,375,0
1570248741,383,0
1570253536,386,365
1570346668,321,5813
1570438580,485,485
1570531008,490,490
1570624243,455,455
1570715792,482,482
1570807693,483,483
1570899392,481,481
1570992030,491,491
1571084433,495,495
1571177790,486,486
1571269459,472,472
1571360660,490,490
1571410817,488,0
1571501784,475,963
1571593704,495,495
1571685615,485,485
1571778044,490,490
1571870651,490,490
1571963234,494,494
1572013232,492,0
1572107547,473,965
1572200913,469,469
1572294011,489,489
1572385471,487,487
1572477636,482,482
1572568568,484,484
1572661952,492,492
1572755073,485,485
1572846979,496,496
1572875051,500,0
1572967238,496,996
1573060347,498,498
1573151792,499,499
1573210575,500,0
1573301337,500,1000
1573392993,500,500
1573484170,500,500
1573576362,496,496
1573656756,500,0
1573747976,497,997
1573840097,499,499
1573931779,496,496
1574023242,498,498
1574115156,494,494
1574207055,494,494
1574298756,499,499
1574390419,500,500
1574417313,500,0
1574508753,487,987
1574536101,493,0
1574616275,490,486
1574695710,483,490
1574754968,478,482
1574782815,475,475
1574862513,467,469
1574953960,483,967
1574954892,469,0
1575023287,472,0
1575115688,475,1416
1575138023,495,0
1575217969,489,488
1575297388,489,488
1575377530,485,487
1575470191,490,985
1575539535,489,0
1575557306,481,474
1575625699,477,0
1575717861,458,1431
1575752173,485,0
1575844581,495,980
1575894268,497,0
1575986178,485,982
1575997457,495,0
1576089166,490,985
1576095870,477,0
1576187294,480,957
1576236992,490,0
1576329616,478,968
1576410269,494,0
1576502657,477,971
1576561712,491,0
1576653869,488,979
1576654809,488,0
1576688898,479,0
1576757548,465,951
1576780838,478,471
1576785496,484,0
1576789708,466,0
1576794787,457,0
1576854024,460,435
1576855962,447,0
1576859557,444,0
1576881868,468,1827
1576893129,481,0
1576902020,466,0
1576936328,466,0
1577028751,444,3309
1577096886,482,0
1577114438,463,0
1577128347,463,455
1577170329,461,0
1577187624,463,445
1577191709,431,0
1577199638,456,0
1577290584,423,2742
1577381542,493,493
1577441322,495,0
1577533933,482,977
1577575713,486,0
1577586250,458,0
1577598014,466,0
1577625867,447,456
1577635702,402,0
1577649631,462,0
1577663312,385,431
1577680362,464,379
1577691133,449,436
1577694748,455,0
1577701956,447,0
1577793862,444,3663
1577801312,490,0
1577806363,477,0
1577809698,458,0
1577818093,427,0
1577825061,438,0
1577830129,432,0
1577833941,410,0
1577838259,420,0
1577846185,443,0
1577850249,404,0
1577858921,378,0
1577876445,389,0
1577878826,348,0
1577882650,354,401
1577888198,325,401
1577894917,386,349
1577902825,348,403
1577910027,384,330
1577933301,367,1931
1577955863,403,800
1577959480,371,0
1577963074,424,381
1577972433,353,758
1577978659,419,346
1578020191,386,1657
1578048013,431,864
1578058588,468,452
1578061476,427,408
1578064599,469,0
1578086910,448,435
1578166810,435,2302
1578236167,485,483
1578316106,482,491
1578323310,486,482
1578329308,464,0
1578332678,450,0
1578354505,454,0
1578395557,438,0
1578486992,444,2741
1578497291,474,0
1578576772,478,464
1578668926,487,975
1578671888,467,0
1578765630,488,955
1578834756,491,0
1578846506,473,0
1578938655,454,1418
1579018836,481,0
1579088415,495,480
1579092266,488,0
1579096831,472,0
1579100917,477,0
1579104511,457,0
1579108116,475,456
1579175304,475,490
1579267016,473,2867
1579358675,495,495
1579450573,493,493
1579541540,496,496
1579632729,497,497
1579723739,496,496
1579814892,449,449
1579906108,439,439
1579964429,426,0
1579973285,371,0
1580052738,382,743
1580111062,423,409
1580118264,419,0
1580124490,410,0
1580135546,366,0
1580145134,350,364
1580236355,359,1990
1580316011,440,0
1580406966,405,845
1580465769,432,0
1580557450,391,823
1580649158,421,421
1580662570,420,0
1580742772,387,387
1580812449,392,369
1580839946,385,410
1580930651,400,818
1581022107,438,438
1581063607,433,0
1581074664,381,0
1581165608,395,1209
1581257547,446,446
1581325958,426,0
1581417863,365,791
1581509304,431,431
1581601932,443,443
1581693377,415,415
1581784091,434,434
1581875066,446,446
1581954735,441,0
1581972514,371,388
1581975633,393,0
1582017372,354,0
1582018810,282,0
1582060102,280,623
1582108329,330,1032
1582150116,375,353
1582218972,379,381
1582311126,373,801
1582402570,408,408
1582494730,398,398
1582562890,429,0
1582621945,396,387
1582629862,385,0
1582721544,385,1208
1582742889,429,0
1582834112,413,842
1582867943,436,0
1582894853,408,0
1582986729,407,1251
1583078430,425,425
1583147300,419,0
1583226497,384,371
1583248587,382,390
1583254812,379,0
1583345302,349,1152
1583394016,427,0
1583421374,397,0
1583422819,372,0
1583428333,335,0
1583519285,292,1823
1583609556,417,417
1583700496,445,445
1583759533,427,0
1583850731,410,837
1583941208,426,426
1584032415,425,425
