DateTime,Entries,UniqueIPs
1568107232,22736,23917
1568111547,23029,24222
1568139636,22813,23989
1568140820,23074,24265
1568143244,22928,24119
1568145640,23098,24315
1568148750,23283,24513
1568154997,23459,24695
1568157878,23688,24937
1568161233,23896,25156
1568164125,24146,25417
1568167960,24364,25646
1568171056,24585,25885
1568172758,24714,26036
1568200587,23679,24939
1568211184,23122,24355
1568212344,23308,24547
1568215962,23341,24579
1568219317,23268,24496
1568222442,23491,24725
1568226049,23701,24947
1568229639,23782,25024
1568232536,23730,24967
1568235622,23915,25159
1568239726,24109,25363
1568242118,24330,25593
1568245497,24519,25788
1568249560,24511,25784
1568252678,24463,25741
1568256042,24672,25968
1568256969,24546,25841
1568258179,24728,26034
1568261541,24978,26291
1568262514,24903,26139
1568273572,25150,26396
1568274744,25393,26647
1568275977,25552,26819
1568277163,25663,26937
1568294464,25660,26930
1568298017,25847,27124
1568301427,26086,27372
1568304773,26279,27569
1568305717,26495,27798
1568319853,26697,28010
1568361734,26169,27460
1568362924,26350,27645
1568368353,26123,27404
1568382500,25525,26788
1568384438,25471,26773
1568387332,25493,26801
1568390924,25728,27057
1568395239,25989,27324
1568399332,26280,27634
1568402908,26540,27901
1568406755,26661,28006
1568409617,26834,28182
1568413947,26907,28249
1568428356,27178,28534
1568430530,27404,28777
1568440596,27120,28493
1568445413,27120,28493
1568450190,26889,28247
1568453167,26947,28312
1568456658,26857,28216
1568460760,26585,27930
1568463164,26531,27877
1568467486,26451,27796
1568470844,26557,27907
1568474686,26563,27913
1568477585,26467,27817
1568480441,26404,27765
1568483790,26280,27640
1568486415,26492,27866
1568490051,26286,27651
1568492671,26479,27861
1568506331,25636,26989
1568547611,24971,26293
1568561059,25125,26455
1568578603,25383,26724
1568605700,25020,26339
1568608831,25268,26597
1568609795,25523,26867
1568702415,22603,23806
1568794593,19902,20986
1568802756,20215,21312
1568803719,20484,21591
1568805149,20973,22089
1568897772,15484,16415
1568978653,13575,14410
1569071322,8929,9506
1569163461,5874,6178
1569255617,4423,4616
1569348013,4492,4649
1569416430,3125,3256
1569508095,3152,3268
1569600503,3206,3302
1569691456,3254,3340
1569782898,3311,3376
1569851810,3691,3801
1569944187,3695,3808
1570037066,3318,3384
1570129247,3287,3381
1570163545,3708,3819
1570185614,4195,4307
1570190922,4569,4719
1570195652,4915,5108
1570199537,5286,5500
1570203816,5658,5899
1570207473,5582,5844
1570211086,5935,6227
1570219724,6271,6591
1570224755,6593,6938
1570227883,6919,7282
1570231457,7295,7678
1570235060,7624,8028
1570248741,7966,8388
1570253536,8309,8750
1570346668,8092,8561
1570438580,8037,8513
1570531008,8035,8513
1570624243,7988,8462
1570715792,7980,8450
1570807693,6312,6677
1570899392,3070,3198
1570992030,3086,3215
1571084433,3108,3227
1571177790,3121,3230
1571269459,3131,3243
1571360660,3152,3266
1571410817,3527,3679
1571501784,3561,3691
1571593704,3567,3702
1571685615,3550,3689
1571778044,3493,3647
1571870651,3568,3714
1571963234,3607,3736
1572013232,3612,3738
1572107547,3153,3263
1572200913,3132,3250
1572294011,3181,3280
1572385471,3138,3249
1572477636,3136,3244
1572568568,3124,3234
1572661952,3123,3239
1572755073,3153,3257
1572846979,3211,3297
1572875051,3704,3797
1572967238,3698,3806
1573060347,3798,3880
1573151792,3823,3899
1573210575,3870,3930
1573301337,3752,3959
1573392993,3590,3976
1573484170,3089,3469
1573576362,3105,3472
1573656756,3601,3971
1573747976,3608,3975
1573840097,3115,3478
1573931779,3259,3470
1574023242,3429,3459
1574115156,3418,3455
1574207055,3414,3456
1574298756,3412,3453
1574390419,3428,3462
1574417313,3894,3937
1574508753,3884,3924
1574536101,4333,4390
1574616275,4292,4370
1574695710,4267,4353
1574754968,4241,4342
1574782815,4643,4765
1574862513,4585,4719
1574953960,4528,4678
1574954892,4927,5095
1575023287,4398,4574
1575115688,4380,4557
1575138023,4808,5007
1575217969,4817,5008
1575297388,4835,5019
1575377530,4472,4616
1575470191,4112,4222
1575539535,4533,4663
1575557306,4959,5104
1575625699,4561,4680
1575717861,4540,4671
1575752173,4063,4174
1575844581,4093,4199
1575894268,4503,4644
1575986178,4090,4211
1575997457,4538,4668
1576089166,4526,4667
1576095870,4909,5082
1576187294,4499,4649
1576236992,4489,4647
1576329616,4504,4649
1576410269,4526,4660
1576502657,4046,4191
1576561712,4488,4642
1576653869,4029,4178
1576654809,4449,4621
1576688898,4841,5031
1576757548,4436,4593
1576780838,4851,5025
1576785496,5258,5462
1576789708,5637,5871
1576794787,5637,5859
1576854024,5655,5872
1576855962,6042,6287
1576859557,6419,6692
1576881868,6852,7138
1576893129,7263,7565
1576902020,7634,7959
1576936328,7659,7977
1577028751,7629,7967
1577096886,7922,8295
1577114438,7916,8290
1577128347,8292,8681
1577170329,8264,8659
1577187624,8633,9055
1577191709,8947,9394
1577199638,9312,9779
1577290584,8861,9337
1577381542,8573,9009
1577441322,7486,7862
1577533933,5546,5813
1577575713,5480,5749
1577586250,5762,6071
1577598014,6109,6454
1577625867,6491,6858
1577635702,6458,6816
1577649631,6857,7243
1577663312,7148,7559
1577680362,7521,7983
1577691133,7918,8384
1577694748,8299,8785
1577701956,8411,8869
1577793862,7371,7751
1577801312,7413,7784
1577806363,7355,7733
1577809698,7726,8116
1577818093,8025,8435
1577825061,8341,8769
1577830129,8656,9112
1577833941,8974,9457
1577838259,9297,9822
1577846185,9680,10216
1577850249,10021,10570
1577858921,10332,10892
1577876445,10645,11232
1577878826,10920,11536
1577882650,11209,11839
1577888198,11445,12104
1577894917,11749,12440
1577902825,11725,12424
1577910027,12079,12787
1577933301,12348,13089
1577955863,12658,13417
1577959480,12928,13705
1577963074,13270,14061
1577972433,13529,14336
1577978659,13869,14687
1578020191,13820,14628
1578048013,13840,14634
1578058588,14266,15062
1578061476,14555,15358
1578064599,14928,15739
1578086910,15225,16052
1578166810,15229,16048
1578236167,14339,15124
1578316106,12348,13010
1578323310,12696,13373
1578329308,13034,13726
1578332678,13327,14041
1578354505,13680,14403
1578395557,14010,14752
1578486992,9979,10505
1578497291,9752,10254
1578576772,7788,8136
1578668926,6004,6260
1578671888,5967,6228
1578765630,6024,6275
1578834756,5931,6197
1578846506,5903,6161
1578938655,4763,4938
1579018836,4339,4502
1579088415,4821,4988
1579092266,4841,5021
1579096831,5263,5460
1579100917,5681,5901
1579104511,5710,5911
1579108116,6156,6363
1579175304,6603,6826
1579267016,6598,6820
1579358675,6279,6482
1579450573,5872,6060
1579541540,5936,6107
1579632729,5621,5731
1579723739,3306,3389
1579814892,3195,3312
1579906108,3101,3228
1579964429,2947,3117
1579973285,3219,3432
1580052738,3568,3789
1580111062,3444,3684
1580118264,3758,4032
1580124490,4074,4377
1580135546,4346,4691
1580145134,4629,4984
1580236355,4461,4834
1580316011,4291,4683
1580406966,4316,4698
1580465769,4294,4676
1580557450,4334,4702
1580649158,4067,4407
1580662570,3982,4357
1580742772,3036,3357
1580812449,2995,3317
1580839946,3233,3605
1580930651,3011,3325
1581022107,2998,3313
1581063607,3261,3625
1581074664,3249,3611
1581165608,3304,3658
1581257547,3296,3670
1581325958,3309,3669
1581417863,2986,3328
1581509304,3054,3360
1581601932,2983,3320
1581693377,2420,2679
1581784091,2423,2679
1581875066,2431,2684
1581954735,2450,2703
1581972514,2685,2986
1581975633,3014,3324
1582017372,3210,3591
1582018810,3406,3819
1582060102,3370,3778
1582108329,3613,4048
1582150116,3560,3994
1582218972,3570,4002
1582311126,3590,4011
1582402570,3503,3943
1582494730,3476,3916
1582562890,3503,3952
1582621945,3296,3708
1582629862,3131,3487
1582721544,2960,3272
1582742889,3221,3561
1582834112,2998,3285
1582867943,3270,3587
1582894853,3552,3903
1582986729,3641,3979
1583078430,3646,3989
1583147300,3670,4019
1583226497,3660,4009
1583248587,3373,3696
1583254812,3639,3983
1583345302,3595,3945
1583394016,3645,3976
1583421374,3893,4257
1583422819,4182,4560
1583428333,4429,4831
1583519285,3762,4136
1583609556,3721,4092
1583700496,3825,4169
1583759533,3845,4187
1583850731,3832,4185
1583941208,3562,3904
1584032415,2759,2998
1584124088,2483,2691
1584182410,2724,2985
1584186727,2945,3251
1584191538,3251,3569
1584197054,3511,3846
1584288524,3478,3818
1584380172,3121,3451
1584471625,3110,3458
1584563546,3109,3449
1584655217,3098,3445
1584746653,3113,3452
1584780493,3327,3686
1584871933,2533,2813
1584963618,2545,2834
1585042809,2507,2825
1585053141,2753,3102
1585121772,2997,3321
1585162573,3307,3649
1585221864,3318,3645
1585263633,3306,3637
1585321727,3581,3952
1585413151,3396,3731
1585505317,3396,3728
1585563612,3738,4074
1585643536,3748,4087
1585677381,3556,3835
1585726808,3347,3636
1585740732,3671,3967
1585831928,3425,3669
1585923129,3422,3675
1586013850,3397,3666
1586105290,3366,3646
1586197685,3010,3283
1586255655,2979,3256
1586325126,2966,3248
1586326359,3194,3519
1586348662,2832,3134
1586417061,3075,3412
1586509017,3004,3373
1586522182,3254,3665
1586613369,3284,3697
1586705047,3308,3713
1586784732,3315,3733
1586876178,3151,3538
1586877130,3485,3887
1586936902,3312,3659
1586978178,3373,3706
1587036733,3439,3759
1587042502,3937,4258
1587111370,4227,4573
1587152891,4027,4321
1587187933,4297,4631
1587279366,4295,4623
1587371294,4336,4644
1587442570,4397,4696
1587456025,4710,5020
1587466575,5029,5361
1587483863,4744,5055
1587489158,4985,5340
1587507375,5255,5636
