DateTime,AddedIPs,RemovedIPs
1568107232,489,489
1568111547,495,495
1568139636,495,495
1568140820,499,499
1568143244,485,485
1568145640,437,437
1568148750,457,457
1568154997,446,446
1568157878,486,486
1568161233,483,483
1568164125,481,481
1568167960,486,486
1568171056,466,466
1568172758,496,496
1568200587,475,475
1568211184,491,491
1568212344,492,492
1568215962,497,497
1568219317,489,489
1568222442,493,493
1568226049,486,486
1568229639,493,493
1568232536,484,484
1568235622,495,495
1568239726,490,490
1568242118,494,494
1568245497,488,488
1568249560,497,497
1568252678,490,490
1568256042,497,497
1568256969,488,488
1568258179,492,492
1568261541,495,495
1568262514,491,491
1568273572,494,494
1568274744,494,494
1568275977,493,493
1568277163,493,493
1568294464,479,479
1568298017,485,485
1568301427,496,496
1568304773,486,486
1568305717,493,493
1568319853,480,480
1568361734,470,470
1568362924,495,495
1568368353,487,487
1568382500,483,483
1568384438,489,489
1568387332,480,480
1568390924,485,485
1568395239,495,495
1568399332,490,490
1568402908,492,492
1568406755,490,490
1568409617,489,489
1568413947,488,488
1568428356,472,472
1568430530,493,493
1568440596,437,437
1568445413,482,482
1568450190,487,487
1568453167,487,487
1568456658,483,483
1568460760,468,468
1568463164,424,424
1568467486,467,467
1568470844,489,489
1568474686,486,486
1568477585,485,485
1568480441,484,484
1568483790,491,491
1568486415,491,491
1568490051,478,478
1568492671,472,472
1568506331,471,471
1568547611,476,476
1568561059,477,477
1568578603,485,485
1568605700,493,493
1568608831,483,483
1568609795,495,495
1568702415,488,488
1568794593,485,485
1568802756,490,490
1568803719,495,495
1568805149,499,499
1568897772,500,500
1568978653,485,485
1569071322,489,489
1569163461,489,489
1569255617,489,489
1569348013,484,484
1569416430,487,487
1569508095,485,485
1569600503,496,496
1569691456,500,500
1569782898,498,498
1569851810,491,491
1569944187,482,482
1570037066,489,489
1570129247,481,481
1570163545,479,479
1570185614,498,498
1570190922,497,497
1570195652,470,470
1570199537,479,479
1570203816,474,474
1570207473,486,486
1570211086,488,488
1570219724,483,483
1570224755,474,474
1570227883,487,487
1570231457,490,490
1570235060,486,486
1570248741,486,486
1570253536,482,482
1570346668,472,472
1570438580,485,485
1570531008,490,490
1570624243,455,455
1570715792,482,482
1570807693,483,483
1570899392,481,481
1570992030,491,491
1571084433,495,495
1571177790,486,486
1571269459,472,472
1571360660,490,490
1571410817,488,488
1571501784,491,491
1571593704,495,495
1571685615,485,485
1571778044,490,490
1571870651,490,490
1571963234,494,494
1572013232,492,492
1572107547,478,478
1572200913,469,469
1572294011,489,489
1572385471,487,487
1572477636,482,482
1572568568,484,484
1572661952,492,492
1572755073,485,485
1572846979,496,496
1572875051,500,500
1572967238,500,500
1573060347,498,498
1573151792,499,499
1573210575,500,500
1573301337,500,500
1573392993,500,500
1573484170,500,500
1573576362,496,496
1573656756,500,500
1573747976,500,500
1573840097,499,499
1573931779,496,496
1574023242,498,498
1574115156,494,494
1574207055,494,494
1574298756,499,499
1574390419,500,500
1574417313,500,500
1574508753,487,487
1574536101,493,493
1574616275,497,497
1574695710,490,490
1574754968,486,486
1574782815,486,486
1574862513,484,484
1574953960,490,490
1574954892,469,469
1575023287,483,483
1575115688,484,484
1575138023,495,495
1575217969,496,496
1575297388,497,497
1575377530,495,495
1575470191,496,496
1575539535,489,489
1575557306,496,496
1575625699,487,487
1575717861,479,479
1575752173,485,485
1575844581,495,495
1575894268,497,497
1575986178,489,489
1575997457,495,495
1576089166,494,494
1576095870,477,477
1576187294,488,488
1576236992,490,490
1576329616,482,482
1576410269,494,494
1576502657,492,492
1576561712,491,491
1576653869,492,492
1576654809,488,488
1576688898,483,483
1576757548,481,481
1576780838,488,488
1576785496,493,493
1576789708,489,489
1576794787,490,490
1576854024,491,491
1576855962,489,489
1576859557,490,490
1576881868,496,496
1576893129,494,494
1576902020,492,492
1576936328,496,496
1577028751,492,492
1577096886,482,482
1577114438,477,477
1577128347,488,488
1577170329,483,483
1577187624,492,492
1577191709,481,481
1577199638,481,481
1577290584,486,486
1577381542,493,493
1577441322,495,495
1577533933,492,492
1577575713,486,486
1577586250,475,475
1577598014,477,477
1577625867,486,486
1577635702,477,477
1577649631,488,488
1577663312,485,485
1577680362,490,490
1577691133,490,490
1577694748,495,495
1577701956,494,494
1577793862,488,488
1577801312,490,490
1577806363,489,489
1577809698,486,486
1577818093,476,476
1577825061,480,480
1577830129,473,473
1577833941,476,476
1577838259,489,489
1577846185,483,483
1577850249,490,490
1577858921,483,483
1577876445,480,480
1577878826,482,482
1577882650,482,482
1577888198,481,481
1577894917,480,480
1577902825,491,491
1577910027,462,462
1577933301,494,494
1577955863,478,478
1577959480,476,476
1577963074,487,487
1577972433,482,482
1577978659,485,485
1578020191,477,477
1578048013,484,484
1578058588,483,483
1578061476,495,495
1578064599,495,495
1578086910,491,491
1578166810,494,494
1578236167,496,496
1578316106,487,487
1578323310,491,491
1578329308,483,483
1578332678,492,492
1578354505,487,487
1578395557,487,487
1578486992,496,496
1578497291,474,474
1578576772,488,488
1578668926,491,491
1578671888,467,467
1578765630,494,494
