DateTime,AddedIPs,RemovedIPs
1568751377,3,0
1568795055,3,0
1568838733,9,0
1568882412,19,0
1568926343,11,0
1568970023,2,0
1569013706,4,0
1569057383,1,0
1569101050,3,0
1569188417,4,0
1569232109,1,0
1569275781,3,0
1569319469,2,0
1569363152,1,0
1569406816,3,0
1569494169,1,0
1569537870,3,0
1569581576,1,0
1569625224,3,0
1569712591,4,0
1569756266,1,0
1569799934,3,0
1569843611,2,0
1569887304,3,0
1569974903,4,0
1570062741,4,0
1570106420,3,0
1570150093,2,0
1570193798,2,0
1570237718,2,0
1570281625,1,0
1570325288,3,0
1570456580,3,0
1570588284,1,0
1570632146,5,0
1570676159,3,0
1570719864,3,0
1570763780,2,0
1570851151,4,0
1570894870,3,0
1570938502,1,0
1570982441,1,0
1571026100,1,0
1571070033,2,0
1571113686,4,0
1571157614,7,0
1571201308,6,0
1571245257,2,0
1571288911,3,0
1571332572,1,0
1571376258,1,0
1571419955,10,0
1571463607,4,0
1571507300,8,0
1571550977,8,0
1571594676,6,0
1571638585,2,0
1571682496,2,0
1571726175,3,0
1571770351,3,0
1571814027,1,0
1571857723,2,0
1571901371,2,0
1571945052,4,0
1571988747,6,0
1572032413,3,0
1572163698,4,0
1572207372,3,0
1572251065,1,0
1572294741,5,0
1572338429,4,0
1572382091,2,0
1572425769,4,0
1572469469,4,0
1572513133,3,0
1572556850,3,0
1572600770,1,0
1572644412,1,0
1572688338,1,0
1572732022,5,0
1572775726,2,0
1572819394,2,0
1572863058,1,0
1572906738,2,0
1572950422,1,0
1572994105,1,0
1573037769,2,0
1573081462,1,0
1573125405,2,0
1573212736,1,0
1573256410,1,0
1573300097,3,0
1573343794,5,0
1573387704,3,0
1573431382,1,0
1573518737,2,0
1573562413,2,0
1573606096,8,0
1573649768,5,0
1573693451,4,0
1573737153,7,0
1573780821,5,0
1573824486,2,0
1573868183,3,0
1573911866,1,0
1573955572,6,0
1573999218,2,0
1574042914,6,0
1574086581,3,0
1574130251,6,0
1574173942,5,0
1574217610,5,0
1574261547,2,0
1574305249,4,0
1574392574,3,0
1574436502,2,0
1574480427,1,0
1574524098,3,0
1574567774,5,0
1574611481,1,0
1574655131,2,0
1574699078,6,0
1574742739,3,0
1574786434,6,0
1574873812,2,0
1574917456,5,0
1574961141,3,0
1575005057,2,0
1575048998,3,0
1575092649,1,0
1575136334,2,0
1575180027,3,0
1575223706,6,0
1575267389,4,0
