DateTime,AddedIPs,RemovedIPs
1586509632,0,5
1586513243,26,2
1586516842,1,1
1586520446,2,0
1586524043,2,3
1586527637,2,19
1586531235,2,3
1586534828,2,23
1586538425,2,1
1586542029,1,0
1586545631,2,0
1586549225,2,0
1586552827,2,1
1586556427,0,1
1586560028,2,0
1586563633,1,1
1586567229,0,1
1586570827,1,1
1586574432,4,0
1586578032,1,3
1586581628,1,1
1586585229,1,0
1586588830,3,0
1586592428,2,1
1586596029,1,1
1586599631,2,0
1586603228,3,3
1586606832,3,0
1586610435,6,1
1586614042,22,1
1586617645,1,1
1586621240,1,1
1586624837,4,2
1586628439,1,1
1586632034,4,23
1586635635,1,2
1586639233,1,1
1586642835,3,1
1586646434,1,0
1586653636,2,1
1586657234,5,3
1586660839,2,2
1586664435,1,2
1586671638,1,1
1586675235,0,1
1586678832,0,2
1586682434,0,2
1586686035,1,0
1586693231,1,2
1586696829,0,1
1586700429,0,2
1586704025,4,2
1586707622,0,3
1586711212,1,5
1586714814,1,0
1586718416,22,4
1586722022,2,1
1586725622,1,0
1586729218,0,1
1586732802,0,25
1586736402,2,1
1586740000,1,1
1586747199,0,2
1586750802,1,0
1586754400,0,1
1586758002,2,1
1586765201,0,1
1586768801,1,0
1586772401,1,0
1586783199,0,1
1586786799,1,1
1586793999,1,1
1586797605,4,0
1586801209,5,0
1586804804,0,5
1586808405,3,4
1586812005,1,1
1586815605,3,1
1586819201,0,5
1586822796,1,22
1586826396,2,1
1586829998,2,0
1586833598,1,0
1586837199,2,1
1586844402,1,1
1586848019,28,0
1586851622,2,0
1586855226,2,0
1586858825,1,2
1586862423,1,3
1586866026,0,1
1586869623,0,2
1586876827,1,0
1586880427,2,3
1586884019,1,6
1586887592,1,31
1586891170,0,17
1586894771,0,2
1586898370,0,2
1586901970,1,2
1586905573,4,7
1586909168,1,6
1586912766,0,2
1586916367,1,1
1586919963,1,3
1586923569,4,2
1586927167,1,0
1586930769,2,1
1586934374,25,2
1586937975,1,4
1586941569,1,24
1586945159,0,6
1586948757,0,2
1586952358,2,1
1586955961,2,2
1586959561,0,1
1586963161,0,1
1586966760,0,3
1586970361,1,2
1586973963,2,0
1586977568,2,0
1586991971,3,0
1586995569,1,2
1586999168,1,2
1587002767,1,1
1587006368,4,1
1587009973,6,1
1587013578,3,0
1587017183,7,1
1587020783,1,2
1587024389,23,5
1587027983,1,19
1587031587,1,1
1587035192,2,0
1587038787,2,1
1587042394,10,2
1587045999,7,0
1587049611,23,0
1587053216,9,0
1587056819,12,1
1587060431,10,1
1587064031,4,2
1587067629,3,2
1587074833,2,0
1587078428,0,2
1587082027,2,2
1587085629,1,2
1587089245,25,0
1587092843,2,1
1587096444,2,2
1587100056,7,0
1587103657,2,2
1587107255,1,2
1587110855,3,1
1587114463,6,1
1587118049,1,25
1587121654,3,0
1587125250,2,2
1587128851,0,1
1587132453,1,0
1587136059,25,1
1587139665,6,0
1587143275,6,0
1587146892,11,0
1587150505,10,0
1587154116,9,1
1587157726,5,1
1587161335,11,1
1587164937,2,3
1587175737,1,2
1587179334,0,2
1587182937,1,1
1587186540,3,1
1587190136,0,3
1587193743,4,2
1587197344,3,2
1587200947,3,1
1587204549,2,1
1587208147,2,6
1587211747,0,3
1587215344,3,2
1587218942,2,22
1587222550,25,1
1587226150,1,1
1587229755,7,2
1587233368,10,2
1587236980,7,2
1587240595,11,3
