DateTime,AddedIPs,RemovedIPs
1581012030,0,2
1581015642,0,1
1581022829,0,1
1581030031,1,0
1581033638,0,1
1581037229,0,1
1581044429,0,1
1581051631,0,1
1581062428,0,1
1581069629,0,2
1581084023,0,2
1581094829,0,1
1581098422,0,1
1581102022,0,1
1581105623,0,1
1581116423,0,1
1581120023,0,1
1581123623,0,4
1581134423,2,1
1581138022,0,1
1581141621,0,2
1581145221,0,2
1581148821,0,3
1581166823,1,0
1581174023,0,1
1581181222,0,1
1581192026,1,1
1581213626,1,0
1581220824,0,2
1581231625,1,0
1581242425,0,1
1581285624,0,1
1581289222,0,1
1581310825,0,1
1581382823,1,0
1581422420,0,1
1581426020,0,1
1581436822,0,1
1581476422,1,0
1581480021,0,1
1581537622,1,0
1581555623,1,0
1581566422,0,1
1581570023,1,0
1581631224,0,1
1581667222,0,1
1581739222,1,2
1581750023,1,0
1581804022,1,1
1581818425,1,0
1581843623,0,1
1581868818,0,2
1581872420,1,0
1581973221,1,0
1581987623,1,0
1582009223,1,0
1582048824,0,1
1582081222,0,1
1582146021,0,1
1582200023,1,0
1582254024,1,1
1582257625,0,1
1582344023,1,1
1582354822,0,1
1582369224,1,0
1582412422,0,1
1582419623,1,0
1582444824,1,0
1582477222,0,1
1582513221,1,0
1582516821,1,0
1582524024,1,0
1582527623,1,0
1582531223,3,0
1582534826,1,0
1582538426,2,0
1582545628,1,0
1582563629,1,0
1582567228,1,0
1582570827,1,0
1582578028,1,0
1582581628,2,0
1582592434,3,0
1582596026,0,1
1582599627,1,0
1582603225,1,0
1582606827,1,0
1582610429,1,0
1582614026,0,1
1582621228,1,0
1582624825,0,1
1582628427,2,0
1582632025,1,0
1582635632,1,0
1582642827,0,1
1582650028,1,0
1582657230,1,0
1582678829,1,0
1582693229,1,0
1582714829,1,0
1582718429,1,0
1582750831,1,0
1582783233,1,0
1582822833,0,1
1582826432,1,1
1582862433,1,0
1582884032,1,0
1582948834,0,1
1582956034,1,0
1582970435,1,0
1582974035,0,1
1582992033,0,1
1583024431,1,0
1583031636,6,0
1583053236,0,1
1583056833,1,0
1583078437,1,0
1583085638,0,1
1583089237,2,0
1583092838,2,0
1583121639,0,1
1583132438,0,1
1583139640,0,1
1583143237,0,1
1583150437,0,1
1583168436,0,1
1583182836,0,1
1583197237,1,0
1583218835,0,1
1583226038,0,2
1583229635,0,1
1583233233,0,1
1583236835,0,1
1583240434,0,1
1583247634,1,0
1583258434,1,1
1583262032,0,1
1583269235,0,2
1583272832,0,2
1583276432,1,0
1583283632,0,1
1583290832,0,2
1583294431,0,1
1583298031,0,2
1583301632,0,1
1583305229,0,1
1583319629,0,2
1583323229,0,1
1583326828,0,1
1583330430,1,0
1583341229,0,1
1583359228,0,1
1583377229,1,0
1583384429,1,0
1583427631,1,0
1583431232,1,0
1583442033,0,1
1583460034,1,0
1583467234,0,1
1583470831,0,1
1583488832,0,1
1583514033,0,1
1583553630,0,1
1583560828,0,1
1583575227,0,1
1583629233,1,0
1583636425,0,3
1583654425,1,0
1583686830,0,2
1583694022,0,3
1583697619,0,3
1583708419,1,0
1583730019,0,1
1583737220,0,1
1583751619,1,0
1583755219,1,0
1583766018,1,0
1583784022,1,0
1583805621,1,0
1583823623,1,0
1583827226,2,0
1583834426,1,0
1583852426,0,1
1583863225,0,1
1583870425,0,1
1583899225,1,0
1583920826,1,0
1583949626,0,1
1583989226,0,1
1583996426,0,1
1584000024,1,1
1584010825,4,0
1584036026,1,1
1584039624,0,1
1584072025,1,0
1584075626,1,0
1584082825,0,1
1584104425,2,0
1584108028,2,0
1584111632,4,0
1584115234,2,0
1584118834,3,0
1584122436,1,0
1584144038,2,0
1584158439,2,0
1584234039,2,0
1584244839,1,0
1584270039,0,1
1584298838,0,1
1584370839,0,1
1584385239,0,1
1584403241,0,1
1584406840,1,0
1584450038,1,1
1584471637,0,1
1584496837,0,1
1584504036,1,1
1584514835,1,0
1584525637,0,1
1584572435,0,1
1584579635,1,0
1584590437,2,0
1584615635,1,2
1584676833,0,2
1584680433,0,1
1584684035,0,1
1584709230,0,1
1584712831,1,1
1584716427,0,5
1584720025,0,2
1584723624,0,3
1584727229,0,1
1584741626,1,0
1584745224,0,1
1584748825,0,1
1584763228,3,2
1584770420,0,3
1584838820,0,1
1584842420,1,0
1584849622,0,1
1584867618,0,1
1584900020,1,0
1584972021,1,0
1584979224,1,0
1584982823,1,0
1585011624,2,0
1585072824,0,1
1585083626,1,1
1585108824,0,1
1585112428,1,0
1585116025,1,0
1585119624,0,1
1585159225,1,0
1585170027,1,0
1585195233,1,2
1585227628,0,1
1585267225,1,0
1585270828,1,0
1585281626,1,0
1585285229,2,0
1585288828,1,0
1585299628,1,0
1585306829,1,0
1585314027,1,0
1585317630,1,0
1585321229,1,0
1585324830,1,0
1585328430,1,0
