DateTime,AddedIPs,RemovedIPs
1586232329,2,2
1586235932,2,1
1586239529,1,2
1586243127,0,1
1586246727,3,0
1586250332,1,0
1586253933,1,0
1586257531,1,2
1586261126,0,1
1586264724,1,4
1586268320,1,2
1586271921,0,1
1586275522,2,0
1586279131,5,1
1586282756,29,1
1586286375,17,0
1586289985,2,0
1586293578,2,0
1586297178,2,0
1586300780,3,0
1586304382,5,1
1586307980,1,2
1586311570,1,23
1586315168,2,0
1586318770,3,0
1586322378,8,1
1586329577,1,2
1586333178,3,0
1586336784,22,3
1586340382,0,1
1586343979,1,2
1586347579,0,1
1586351180,1,0
1586354777,0,1
1586361981,3,1
1586365582,5,1
1586369181,0,1
1586372775,0,3
1586379975,0,1
1586383574,2,1
1586390772,2,1
1586394362,2,9
1586397959,0,2
1586401561,1,2
1586408759,2,0
1586412359,2,1
1586415957,0,2
1586419556,3,1
1586423166,22,0
1586426762,0,3
1586430361,0,2
1586433957,0,1
1586441153,0,1
1586444748,0,15
1586448342,0,10
1586451936,0,3
1586455537,0,2
1586459136,1,0
1586462732,2,1
1586466329,0,3
1586469926,0,3
1586473532,1,1
1586477122,1,4
1586480718,0,3
1586484315,1,1
1586487917,1,1
1586491515,0,3
1586495110,1,0
1586498710,1,2
1586502311,0,1
1586505905,0,5
1586509502,0,5
1586513109,24,2
1586516709,0,1
1586520310,2,0
1586523912,1,2
1586527507,0,19
1586531102,1,3
1586534695,2,23
1586538293,1,0
1586552695,1,1
1586556294,0,1
1586563497,1,2
1586567094,0,1
1586570691,0,1
1586574295,3,0
1586577892,1,3
1586585094,1,0
1586588695,2,0
1586592294,2,1
1586595892,0,1
1586599495,1,0
1586603092,2,3
1586606695,2,0
1586610299,7,0
1586613904,23,1
1586617509,1,1
1586621104,1,1
1586624703,3,2
1586628304,1,1
1586631895,3,23
1586639097,1,1
1586642699,3,1
1586653508,1,0
1586657102,4,0
1586660706,2,1
1586664305,1,0
1586685907,1,0
1586693103,0,2
1586696701,0,1
1586703902,4,0
1586711104,1,0
1586714707,1,0
1586718311,22,1
1586721914,2,1
1586725518,1,0
1586732702,0,22
1586736305,2,0
1586739903,1,1
1586747102,0,1
1586750705,1,0
1586757906,2,0
1586765105,0,1
1586786703,0,1
1586793905,2,0
1586797510,1,0
1586801108,3,0
1586804704,0,3
1586808306,3,3
1586811905,0,1
1586815508,2,0
1586819103,0,4
1586822695,1,21
1586826296,0,1
1586829896,2,0
1586837097,1,1
1586840697,0,1
1586844297,0,1
1586847910,26,0
1586851514,1,0
1586858714,1,2
1586862308,1,3
1586869511,0,2
1586876710,1,0
1586880314,2,2
1586883904,0,5
1586887492,1,30
1586891057,0,17
1586894654,0,3
1586898255,0,1
1586901853,0,2
1586905460,1,3
1586909057,0,5
1586912652,0,1
1586919849,1,3
1586923455,2,2
1586927052,1,0
1586930653,1,1
1586934258,25,2
1586937858,1,4
1586941469,1,24
1586945043,0,6
1586948641,0,2
1586952240,2,1
1586955845,2,2
1586966644,0,2
1586970244,0,1
1586973847,2,0
1586977451,1,0
1586991850,1,0
1586995450,0,1
1586999053,1,1
1587006251,3,0
1587009849,0,1
1587013451,2,0
1587017059,3,1
1587020651,0,2
1587024257,22,5
1587027850,0,18
1587035060,2,0
1587038653,1,0
1587042259,10,0
1587045864,7,0
1587049473,22,0
1587053079,8,0
1587056683,11,0
1587060286,6,0
1587063888,3,0
1587067485,2,2
1587074687,1,0
1587078284,0,2
1587081883,1,1
1587085486,1,1
1587089104,25,0
1587092700,0,1
1587103500,1,1
1587107104,1,0
1587110701,1,1
1587114302,1,1
1587117888,1,25
1587125086,2,2
1587128684,0,1
1587132287,1,0
1587135893,25,0
1587139499,5,0
1587143110,6,0
1587146726,11,0
1587150339,10,0
1587153952,9,1
1587157558,5,1
1587161170,11,1
1587164772,2,1
1587175572,1,1
1587179171,0,2
1587182770,1,1
1587186373,1,1
1587189969,0,3
1587193573,3,2
1587197176,1,2
1587200776,3,1
1587204378,1,1
1587207977,2,3
1587211575,0,3
1587215175,2,2
1587218767,1,22
1587222378,25,1
1587225980,1,1
1587229577,1,2
1587233176,0,2
1587236777,0,2
1587240375,1,1
1587243976,0,2
1587247575,2,2
1587251178,3,1
1587254776,4,2
1587258378,1,1
1587261973,1,3
1587269176,2,0
1587283579,1,0
1587290774,0,1
1587305174,0,1
1587308770,0,5
1587312373,0,1
1587315972,2,0
1587319572,0,1
1587323163,0,24
1587326762,1,2
1587330364,2,0
1587333968,7,0
1587337571,3,0
1587341196,1,1
1587344770,1,1
1587348371,1,0
1587351975,19,1
1587359180,1,1
1587362777,1,1
1587369976,0,1
1587373576,2,1
1587377175,0,1
1587380776,2,0
1587384377,1,0
1587387977,0,1
1587391579,1,0
1587398779,1,1
1587402378,0,1
1587405978,0,1
1587409579,1,0
1587413179,2,1
1587416779,1,2
1587420379,0,1
1587427577,0,1
1587431175,1,1
1587434774,5,3
1587438377,2,1
1587441978,8,0
1587445584,20,0
1587449182,0,1
1587452773,1,25
1587456373,1,1
1587459972,2,1
1587463570,0,1
1587467172,2,1
1587481574,1,0
1587485170,0,3
1587488772,2,0
1587492369,1,2
1587495972,2,0
1587499570,0,1
1587503174,3,1
1587506775,0,1
1587510374,1,1
1587513975,2,2
1587521177,1,0
1587524776,0,1
1587528376,1,1
1587531974,1,1
1587535573,1,1
1587539168,4,27
1587542776,21,1
1587549977,3,0
1587553581,4,1
1587557184,5,1
1587560779,2,3
1587564379,1,1
1587567980,2,1
1587571579,1,0
1587575180,1,0
1587578778,2,2
1587589584,2,0
1587593183,0,1
1587596779,0,2
1587603980,0,2
1587607580,2,0
1587611177,0,3
1587614775,0,1
1587618376,1,0
1587621974,0,2
1587625575,2,0
1587629170,3,25
1587632770,0,1
1587639967,0,2
1587643566,0,1
1587647164,0,5
1587650762,0,3
1587654355,0,15
1587657960,20,6
1587661555,1,13
1587665148,0,6
1587668744,0,11
1587672341,0,14
1587675943,2,0
1587679543,1,1
1587683144,1,0
1587686745,1,0
1587690346,1,0
1587693932,1,24
1587697534,3,0
1587704733,1,2
1587708339,1,1
1587711930,2,3
1587715533,1,0
1587719131,0,1
1587726331,0,2
1587729928,0,1
1587733528,0,1
1587737128,1,1
1587740718,0,25
1587744313,0,5
1587747914,24,6
1587751504,2,5
1587755092,0,9
1587758677,0,8
1587762271,0,4
1587765859,0,12
1587769454,0,1
1587773056,2,1
1587776658,1,1
1587780260,2,1
1587787458,1,1
1587791057,1,1
1587798257,1,0
1587801859,1,0
1587809058,1,0
1587812663,2,0
1587816262,2,1
1587819864,0,1
1587823464,1,0
1587827051,0,22
1587834251,0,1
1587845058,4,0
1587848667,7,1
1587852278,9,0
1587855901,29,1
1587859521,9,2
1587863127,11,1
1587866730,2,1
1587870329,0,1
1587873929,0,2
1587888327,0,2
1587891926,0,1
1587895525,0,1
1587906325,0,2
1587909923,0,1
1587913520,0,2
1587927923,0,1
1587935120,0,2
1587938716,0,4
1587942320,0,2
1587953118,0,2
1587956708,0,20
1587960308,0,1
1587963906,0,1
1587967507,0,3
1587971105,0,2
1587978303,0,1
1587989102,0,1
1587996300,0,1
1588003499,0,1
1588010697,0,1
1588014295,0,1
1588021496,0,1
1588025095,0,1
1588028693,0,3
1588035893,0,1
1588039496,0,1
1588043091,0,1
1588046688,0,9
1588050285,0,18
1588053882,0,2
1588057483,0,2
1588061076,0,2
1588064675,0,2
1588068274,0,2
1588071874,0,1
1588075472,0,2
1588082666,0,1
1588086262,0,4
1588089864,0,1
1588093465,0,1
1588097059,0,1
1588100658,0,1
1588104256,0,1
1588115060,0,2
1588118658,0,1
1588125854,0,1
1588129454,0,1
1588133055,0,2
1588136654,0,2
1588140253,0,1
1588143847,0,6
1588147434,0,27
1588154634,0,3
1588158233,0,3
1588161831,0,1
1588165430,0,3
1588169029,0,2
1588172627,0,2
1588176227,0,1
1588179826,0,1
1588183425,0,5
1588190622,0,1
1588194220,0,2
1588197817,0,3
1588201417,0,1
1588212216,0,1
1588215817,0,1
1588219415,0,2
1588223015,0,2
1588237411,0,6
1588248214,0,1
1588251811,0,2
1588259007,0,2
1588262594,0,28
1588266193,0,1
1588273391,0,1
1588280590,0,2
1588284190,0,1
1588287789,0,1
1588291386,0,3
1588302184,0,3
1588305781,0,2
1588309380,0,3
1588312976,0,3
1588316575,0,2
1588320175,0,1
1588330973,0,1
1588334569,0,4
1588338166,0,2
1588341766,0,1
1588352552,0,30
1588356151,0,5
1588359747,0,2
1588363346,0,2
1588370544,0,2
1588374144,0,4
1588377739,0,3
1588381338,0,3
1588388538,0,2
1588392137,0,1
1588395737,0,3
1588399334,0,2
1588402932,0,2
1588406533,0,3
1588410128,0,2
1588413729,0,2
1588417325,0,3
1588420914,0,7
1588424516,0,2
1588428115,0,2
1588431707,0,9
1588435304,0,3
1588438904,0,2
1588442501,0,2
1588446101,0,1
1588449693,0,6
1588453280,0,10
1588456870,0,8
1588460444,0,38
1588464027,0,14
1588467624,0,11
