DateTime,AddedIPs,RemovedIPs
1581087681,1,0
1581102086,1,0
1581105682,1,0
1581109281,0,1
1581113105,1,0
1581116480,1,0
1581120086,1,1
1581127281,1,0
1581152492,1,0
1581159694,1,0
1581170486,2,0
1581174095,1,0
1581181285,1,0
1581185157,1,1
1581203159,0,1
1581210086,0,1
1581217283,1,0
1581242487,1,0
1581303693,1,1
1581357682,0,1
1581368487,3,0
1581375696,0,1
1581451305,0,1
1581454886,1,0
1581476506,1,0
1581483710,0,1
1581494506,0,2
1581537699,0,1
1581548500,1,0
1581562888,0,1
1581606088,1,0
1581627699,1,0
1581631285,0,1
1581656499,0,1
1581678090,1,0
1581688878,0,1
1581692497,0,1
1581706882,0,1
1581710501,1,1
1581717848,0,1
1581724877,0,1
1581732078,0,1
1581760888,0,1
1581764497,0,1
1581778875,0,1
1581782607,0,1
1581786082,0,1
1581789691,0,1
1581804075,1,0
1581811275,1,0
1581836596,0,1
1581843694,1,0
1581847277,0,2
1581850867,0,1
1581854487,0,1
1581858075,0,2
1581861680,0,3
1581865268,1,1
1581872481,0,1
1581883259,0,1
1581894067,1,0
1581922862,2,0
1581948059,0,1
1581958864,0,2
1581976864,0,1
1581987831,3,0
1581991256,0,1
1582077683,1,0
1582081260,0,1
1582084864,0,1
1582110063,2,0
1582120866,1,1
1582153262,1,0
1582164065,1,0
1582185688,1,0
1582228865,0,1
1582261261,2,0
1582282866,0,1
1582300867,1,0
1582308064,1,0
1582318884,2,0
1582340491,1,1
1582344069,1,0
1582362072,1,0
1582376584,1,1
1582437683,1,0
1582441280,0,1
1582448722,0,2
1582502596,1,0
1582516875,0,1
1582524074,2,0
1582592727,0,1
1582596063,0,3
1582603263,1,0
1582614069,1,0
1582628601,0,1
1582689664,1,0
1582725668,0,1
1582768863,0,2
1582772609,1,0
1582786861,0,2
1582790489,0,1
1582822885,0,1
1582848066,2,0
1582887660,0,1
1582912869,0,1
1582941667,1,0
1582948861,0,1
1582959665,1,0
1582981283,0,1
1583035280,1,0
1583049680,1,0
1583056864,0,1
1583064203,0,1
1583100055,1,0
1583103658,1,0
1583110885,1,0
1583118065,0,1
1583125275,1,0
1583132457,1,0
1583175660,2,0
1583200867,2,0
1583204465,0,1
1583215264,0,1
1583251282,0,1
1583287264,0,1
1583294468,0,1
1583305258,0,1
1583308860,1,0
1583337662,0,1
1583373664,1,0
1583384489,1,0
1583395403,0,1
1583420462,0,1
1583424068,1,0
1583431408,1,0
1583449286,2,1
1583452870,1,0
1583456484,1,0
1583463667,1,0
1583470892,1,0
1583488878,1,0
1583503429,0,1
1583510472,0,1
1583528494,0,1
1583553680,0,1
1583618470,0,1
1583622073,0,1
1583632869,1,0
1583647284,0,1
1583697819,0,1
1583708470,0,1
1583755287,1,0
1583758886,1,0
1583769683,1,0
1583794874,1,0
1583812885,1,1
1583841668,1,0
1583852469,1,0
1583863290,1,0
1583892076,1,1
1583949670,1,0
1583964074,1,1
1583974873,1,0
1583978476,0,1
1584000242,0,1
1584010873,0,1
1584039670,1,0
1584043424,1,0
1584050473,1,0
1584057673,2,0
1584064881,1,0
1584093675,1,0
1584097431,1,0
1584122477,1,0
1584126097,0,1
1584129683,1,0
1584147684,1,0
1584151449,1,0
1584162286,1,0
1584201683,1,0
1584212485,0,1
1584234109,1,0
1584237698,1,0
1584244889,0,1
1584259421,0,1
1584313429,1,0
1584320485,1,0
1584345691,1,0
1584360108,1,2
1584381690,0,1
1584406892,1,0
1584410497,0,1
1584414110,1,0
1584439313,0,1
1584446495,0,1
1584453696,1,0
1584460894,2,0
1584489694,1,0
1584518502,0,1
1584525696,0,2
1584536501,1,0
1584550894,0,1
1584558100,1,0
1584565318,1,0
1584568917,1,0
1584572500,1,0
1584576095,1,0
1584601318,1,0
1584604900,1,1
1584612120,1,0
1584615700,1,1
1584630097,1,0
1584637459,1,0
1584662500,0,1
1584666094,0,1
1584698512,0,1
1584702103,0,1
1584713076,1,0
1584716491,1,0
1584720094,1,0
1584730896,1,2
1584734502,2,0
1584738094,0,1
1584741721,3,0
1584748900,1,0
1584752515,2,0
1584759710,0,1
1584784929,1,0
1584792116,1,0
1584802928,1,0
1584806510,0,2
1584817325,1,0
1584828110,1,0
1584846105,1,1
1584849708,2,0
1584860509,1,1
1584875082,0,1
1584885707,0,1
1584889328,0,1
1584900104,2,0
1584925329,0,1
1584946923,0,1
1584950505,2,0
1584982907,1,1
1585022505,1,0
1585026114,0,1
1585054908,1,0
1585062126,0,1
1585072906,0,1
1585087332,1,0
1585094509,0,1
1585098113,1,0
1585108910,1,0
1585119728,0,1
1585166508,1,2
1585184506,1,0
1585188108,1,1
1585198906,0,1
1585202500,0,1
1585206107,0,1
1585216910,0,1
1585220503,0,1
1585238497,0,2
1585245720,0,1
1585249321,1,2
1585252900,0,1
1585256498,1,0
1585260122,0,1
1585288912,0,1
1585299696,0,1
1585310492,1,1
1585317865,0,1
1585321318,1,0
1585324891,0,2
1585332114,0,1
1585357313,0,1
1585361052,1,1
1585371697,2,0
1585386092,0,1
1585396889,0,2
1585407689,0,1
1585411305,0,1
1585422083,1,0
1585429310,1,0
1585436494,0,1
1585443695,1,0
1585447506,1,0
1585450883,0,2
1585458095,0,1
1585479685,0,1
1585483302,0,1
1585497680,0,1
1585526482,1,0
1585555413,0,2
1585580489,1,0
1585584079,0,1
1585591557,2,0
1585605700,1,1
1585623681,1,0
1585641684,1,0
1585666891,0,1
1585688483,1,0
1585695691,1,0
1585710082,0,1
1585720900,0,1
1585746077,0,1
1585753307,0,1
1585774882,0,2
1585782083,0,1
1585857681,1,0
1585868481,0,1
1585926076,0,1
1585976485,0,1
1585983684,1,0
1585990880,1,0
1585994499,0,1
1586012474,1,0
1586026880,1,0
1586030489,1,0
1586034076,1,0
1586044877,0,1
1586048480,1,0
1586070079,0,1
1586091686,1,0
1586095492,4,0
1586116886,1,0
1586120486,0,2
1586124102,0,1
1586142078,0,1
1586152897,1,0
1586203409,1,0
1586217678,0,1
1586275302,1,0
1586286100,0,1
1586293296,0,1
1586304076,1,0
1586311429,0,1
1586314896,0,2
1586365426,1,0
1586419411,0,1
1586448078,0,1
1586480477,1,0
1586484085,3,0
1586505678,0,1
1586530873,0,1
1586559680,1,0
1586566882,1,1
1586577684,0,1
1586595685,0,1
1586606477,1,0
1586610086,1,0
