DateTime,AddedIPs,RemovedIPs
1586384051,26,22
1586387767,3,19
1586391201,19,7
1586394810,4,2
1586398421,20,28
1586409220,1,1
1586412813,0,1
1586423600,0,1
1586427206,1,1
1586434418,2,0
1586438019,0,3
1586441601,1,0
1586445230,30,0
1586448827,1,1
1586452429,1,1
1586456047,1,2
1586459638,2,0
1586463217,0,1
1586466808,6,35
1586470415,3,2
1586477612,4,3
1586481237,57,0
1586484850,6,4
1586488435,2,3
1586495634,3,3
1586499237,3,2
1586502833,0,1
1586506436,1,0
1586513638,2,4
1586517235,1,3
1586520831,1,2
1586524424,3,2
1586531619,4,32
1586535226,5,2
1586538827,3,1
1586542443,28,0
1586549628,2,3
1586553231,1,3
1586556834,4,20
1586560438,5,2
1586567648,6,4
1586571241,2,3
1586574838,3,2
1586585643,4,1
1586589240,2,2
1586592844,3,1
1586603642,4,2
1586607245,1,0
1586610848,1,0
1586614446,1,1
1586621641,5,2
1586625240,0,1
1586632454,6,3
1586639655,26,4
1586643257,3,3
1586646853,2,4
1586650446,2,3
1586657666,4,1
1586661255,1,1
1586664862,5,1
1586675665,3,2
1586679254,0,6
1586682843,0,19
1586686444,1,1
1586690264,4,3
1586693645,0,3
1586697256,2,0
1586700849,0,1
1586704454,3,1
1586711643,4,6
1586715257,2,0
1586718848,3,1
1586722456,0,1
1586729648,4,3
1586733248,4,1
1586736852,2,1
1586740450,2,3
1586747660,1,1
1586751246,1,0
1586754850,1,0
1586758453,0,3
1586765655,29,7
1586769257,1,20
1586772845,1,1
1586776450,2,2
1586780355,1,0
1586783654,2,0
1586787244,1,2
1586790846,1,1
1586794444,2,1
1586798309,4,28
1586801610,3,29
1586805195,2,29
1586808778,5,5
1586812378,1,2
1586819569,3,8
1586823172,2,0
1586826789,7,3
1586830395,4,1
1586837591,0,3
1586844777,0,2
1586848390,1,4
1586855574,5,39
1586859176,0,1
1586862778,0,3
1586866363,4,0
1586873574,40,3
1586877181,3,0
1586880788,2,2
1586884388,6,2
1586891577,6,2
1586895178,2,1
1586898780,2,0
1586902382,4,3
1586909582,4,3
1586913184,4,0
1586920396,3,1
1586927582,3,3
1586934783,0,2
1586938393,0,4
1586945575,1,2
1586949188,1,1
1586952770,0,1
1586956379,25,1
1586963562,0,29
1586967160,1,1
1586970760,4,1
1586974367,2,0
1586978173,1,0
1586981570,1,1
1586989162,24,23
1586992368,4,4
1586995973,1,2
1587003170,25,24
1587006776,2,3
1587010369,0,2
1587013966,0,2
1587021159,2,3
1587024760,1,0
1587031970,2,1
1587039158,3,5
1587042764,0,2
1587046369,23,1
1587049958,1,26
1587053763,2,1
1587057155,2,3
1587060754,0,1
1587067959,3,1
1587075155,3,9
1587078754,3,4
1587082356,4,3
1587085930,5,76
1587093124,9,7
1587096726,1,2
1587100323,0,3
1587103927,3,2
1587111126,1,1
1587114726,3,0
1587118333,2,1
1587121932,1,0
1587125722,0,2
1587129151,2,1
1587132733,2,0
1587136333,2,3
1587139932,1,1
1587143551,4,6
1587147121,1,29
1587150735,3,6
1587154314,0,3
1587157929,39,2
1587161557,4,0
1587165135,1,6
1587168724,2,4
1587172347,3,1
1587175930,2,0
1587179549,3,2
1587186731,2,3
1587190354,1,2
1587193927,1,2
1587197727,0,1
1587201131,2,2
1587204731,3,2
1587208360,1,1
1587211927,1,1
1587215738,3,3
1587222727,2,0
1587226333,3,5
1587229954,2,1
1587233707,1,3
1587237120,2,3
1587240704,2,38
1587244316,36,5
1587247922,2,1
1587251712,2,4
1587255121,1,2
1587258721,5,4
1587262318,2,2
1587265926,1,0
1587269704,3,0
1587273153,1,2
1587276733,1,3
1587280331,1,1
1587283924,2,1
1587287721,0,3
1587291116,1,0
1587294737,0,1
1587298318,0,1
1587301932,7,2
1587305713,5,2
1587309144,7,0
1587312738,2,0
1587316362,3,2
1587319934,2,4
1587323698,1,3
1587327147,2,2
1587330733,1,0
1587334341,5,2
1587337954,2,7
1587341732,1,1
1587345144,1,2
1587348733,2,2
1587352336,1,1
1587355958,1,1
1587363142,1,4
1587366720,2,33
1587370321,0,1
1587373931,0,2
1587377538,0,2
1587381250,43,0
1587384744,1,1
1587388341,3,2
1587391937,3,1
1587395553,1,1
1587399149,2,0
1587402845,1,4
1587406345,4,5
1587409947,2,0
1587413546,1,3
1587417133,6,2
1587420740,1,5
1587424458,2,3
1587427946,3,1
1587431557,1,1
1587435146,3,0
1587438740,6,1
1587442354,2,0
1587446060,4,2
1587449566,0,5
1587453158,3,0
1587456743,0,1
1587460353,1,2
1587463948,0,1
1587467673,1,2
1587471174,30,3
1587474754,1,29
1587478344,2,0
1587481954,2,2
1587485551,0,3
1587489267,2,4
1587492762,1,3
1587496340,5,3
1587499943,4,2
1587503562,6,2
1587507167,3,3
1587510884,3,2
1587514367,2,4
1587517951,2,0
1587521549,0,2
1587525151,1,2
1587528752,3,1
1587532484,2,1
1587535969,0,1
1587539547,2,0
1587543151,2,2
1587546746,1,1
1587550362,1,1
1587553950,0,2
1587561138,2,45
1587564739,0,6
1587568354,32,1
1587571943,2,4
1587575554,1,2
1587579161,1,0
1587582898,1,2
1587586347,4,1
1587589959,3,1
1587593552,20,30
1587597141,8,3
1587600763,0,1
1587604336,0,2
1587608085,35,33
1587611534,1,0
1587618733,1,2
1587622356,1,0
1587629535,2,2
1587633281,0,2
1587636730,1,2
1587640340,0,1
1587643947,0,1
1587651128,0,38
1587658455,1,1
1587661914,3,3
1587665538,0,3
1587669116,4,0
1587672721,4,0
1587676327,2,2
1587679926,5,4
1587683677,38,3
1587687159,2,3
1587690745,4,3
1587694350,0,1
1587697948,1,1
1587701552,3,0
1587705156,0,2
1587712344,1,3
1587715943,1,1
1587719545,2,6
1587723151,0,1
1587726745,3,1
1587730365,1,0
1587733967,3,3
1587737551,0,1
1587741138,0,1
1587744734,0,3
1587748340,1,4
1587751952,1,5
1587755540,3,3
1587759156,5,2
1587762736,1,29
1587766324,0,1
1587769935,4,2
1587773553,2,0
1587777166,40,4
1587780769,3,2
1587784385,0,1
1587787955,1,2
1587791569,2,2
1587795177,1,1
1587798759,0,1
1587802364,1,0
1587805972,1,0
1587809581,1,0
1587813160,0,1
1587816786,1,1
1587820370,3,1
1587823969,2,1
1587827573,2,1
1587831178,10,3
1587834811,2,4
1587838405,3,2
1587841996,5,3
1587849163,2,39
1587856368,2,3
1587863563,4,2
1587867162,0,2
1587870762,0,1
1587874355,0,2
1587877954,0,2
1587892354,0,2
1587895955,0,1
1587899555,0,2
1587903164,0,3
1587906751,0,2
1587910363,0,1
1587913948,0,3
1587917537,0,1
1587921149,0,4
1587924754,0,6
1587928338,0,1
1587931950,0,2
1587935530,0,2
1587946355,0,2
1587949931,0,1
1587953538,0,4
1587957121,0,4
1587960718,0,6
1587964301,0,9
1587967915,0,2
1587971496,0,1
1587975111,0,2
1587978698,0,1
1587982297,0,1
1587985892,0,35
1587989476,0,2
1587993072,0,4
1587996690,0,1
1588000275,0,2
1588003891,0,1
1588007476,0,2
1588011074,0,4
1588014673,0,1
1588018294,0,1
1588021879,0,2
1588025464,0,3
1588029058,0,3
1588036271,0,1
1588047060,0,1
1588050659,0,1
1588054265,0,2
1588061452,0,4
1588065061,0,3
1588072253,0,5
1588079433,0,51
1588083028,0,3
1588086626,0,2
1588090224,0,1
1588097419,0,6
1588101019,0,1
1588104612,0,3
1588108220,0,2
1588111829,0,2
1588115416,0,5
1588119001,0,4
1588122619,0,2
1588126197,0,1
1588129807,0,2
1588133385,0,4
1588137003,0,4
1588140589,0,2
1588144302,0,5
1588147776,0,1
1588154974,0,2
1588158592,0,2
1588165792,0,3
1588169369,0,2
1588172971,0,44
1588176557,0,4
1588180286,0,4
1588187373,0,2
1588190949,0,1
1588198126,0,43
1588201735,0,15
1588212499,0,71
1588216112,0,2
1588219690,0,1
1588223307,0,2
1588226888,0,3
1588237682,0,6
1588241271,0,4
1588244877,0,2
1588248723,0,2
1588252066,0,1
1588262891,0,2
1588266467,0,2
1588270176,0,5
1588273653,0,5
1588277263,0,3
1588280869,0,5
1588284438,0,7
1588288032,0,75
1588291623,0,2
1588295202,0,3
1588298817,0,6
1588302404,0,7
1588305981,0,1
1588309595,0,3
1588313194,0,4
1588316780,0,1
1588320396,0,7
1588323993,0,2
1588327577,0,3
1588331181,0,6
1588334775,0,3
1588338352,0,6
1588341972,0,4
1588345646,0,3
1588349146,0,6
1588352761,0,3
1588356361,0,4
1588359929,0,12
1588363552,0,4
1588367237,0,3
1588370716,0,5
1588374417,0,4
1588377927,0,9
1588381479,0,86
1588385086,0,7
1588388789,0,5
1588392254,0,7
1588395964,0,7
1588399524,0,7
1588403032,0,8
1588406867,0,4
1588410219,0,5
1588413838,0,6
1588417528,0,6
1588421023,0,7
1588424719,0,7
1588428221,0,5
1588431919,0,6
1588435412,0,8
1588439086,0,12
1588442721,0,13
1588446283,0,10
1588449782,0,21
1588453402,0,13
1588457043,0,11
1588460613,0,7
1588464436,0,20
1588468014,0,24
