DateTime,AddedIPs,RemovedIPs
1582322606,0,1
1582340484,1,0
1582369281,1,0
1582372863,1,0
1582390869,0,1
1582405284,1,0
1582412482,1,0
1582441272,0,1
1582484480,0,1
1582506077,0,1
1582513264,1,0
1582516866,0,1
1582520709,1,0
1582524066,1,0
1582531267,1,0
1582538483,0,1
1582545666,2,0
1582570870,1,1
1582581667,1,0
1582585272,2,0
1582592725,0,1
1582596068,2,0
1582653674,0,1
1582668072,1,0
1582675271,2,1
1582682487,0,1
1582689666,0,1
1582696871,1,0
1582718612,2,0
1582722096,1,0
1582732868,1,1
1582743676,1,0
1582768869,1,0
1582772614,0,1
1582790497,0,1
1582797675,0,1
1582801270,1,0
1582830083,1,0
1582844494,0,1
1582858882,0,1
1582862496,1,0
1582866094,0,1
1582876878,0,1
1582887670,0,1
1582894888,0,1
1582905667,0,1
1582909286,0,2
1582916485,0,1
1582927274,0,1
1582934612,2,0
1582945277,0,1
1582956070,0,1
1582963272,2,0
1582974079,1,0
1583002870,1,1
1583010250,1,0
1583017278,1,1
1583021010,0,1
1583028072,0,1
1583046072,2,0
1583071280,1,0
1583074880,0,1
1583092892,1,0
1583107414,0,1
1583121691,0,1
1583125290,2,0
1583128876,1,0
1583136093,1,0
1583150622,1,0
1583157685,1,0
1583172079,0,1
1583186482,0,2
1583190078,2,0
1583208097,1,1
1583222504,2,0
1583226243,1,0
1583229682,1,1
1583233282,1,0
1583237024,1,1
1583240501,0,2
1583247688,1,0
1583258486,1,1
1583265705,1,0
1583269486,1,0
1583283709,1,0
1583301694,0,1
1583319689,1,0
1583323289,0,2
1583326910,0,1
1583330504,1,0
1583337686,0,1
1583391691,1,0
1583420488,1,0
1583434887,1,0
1583456507,1,0
1583467442,0,1
1583528512,0,1
1583532088,0,1
1583539308,0,2
1583546493,1,0
1583560886,1,0
1583568091,0,1
1583578887,1,0
1583586105,0,1
1583611457,1,0
1583614908,0,1
1583622088,0,1
1583632884,0,1
1583640087,1,1
1583650882,0,2
1583708484,1,1
1583712099,0,1
1583726498,0,1
1583730265,0,2
1583733677,1,0
1583751683,0,1
1583769693,1,0
1583791275,1,0
1583809281,0,1
1583852477,1,0
1583874098,0,1
1583881441,0,1
1583888496,1,1
1583920903,0,1
1583935489,0,1
1583964080,1,1
1583982097,0,1
1583992881,1,0
1583996480,1,0
1584003675,0,1
1584014477,0,1
1584021682,2,0
1584039676,2,0
1584043427,0,1
1584050475,1,0
1584057672,0,1
1584061293,0,1
1584075683,1,0
1584079298,1,0
1584090097,0,1
1584093678,1,0
1584115301,1,0
1584144103,2,1
1584151446,0,1
1584158478,0,1
1584169302,1,0
1584172885,2,0
1584201678,0,1
1584205428,0,1
1584212480,1,0
1584216282,0,1
1584226888,1,0
1584234102,0,1
1584244884,0,1
1584259417,1,0
1584295300,1,0
1584306104,2,0
1584327685,1,0
1584334892,1,1
1584370882,0,1
1584385304,0,1
1584392486,0,1
1584435684,2,1
1584439306,1,0
1584442886,1,0
1584446486,0,1
1584486294,2,0
1584489683,1,0
1584493310,0,1
1584496894,1,0
1584514892,1,0
1584568912,1,0
1584583507,1,0
1584601314,1,0
1584608487,0,1
1584615695,1,0
1584630089,0,2
1584644490,2,0
1584648096,0,2
1584666089,0,1
1584673315,0,1
1584680495,0,1
1584684108,0,2
1584720082,0,2
1584723684,0,1
1584738080,0,1
1584774081,1,1
1584792093,1,0
1584810085,0,1
1584817305,1,0
1584828090,1,1
1584835310,0,1
1584838909,0,1
1584842494,0,1
1584856905,1,1
1584871306,1,0
1584875061,1,0
1584878483,1,0
1584892907,1,0
1584903687,2,1
1584910915,1,0
1584914486,0,1
1584918097,1,1
1584932492,1,0
1584939692,2,1
1584946912,1,0
1584950491,0,1
1584957685,0,1
1584964887,1,0
1584975693,0,1
1584986487,1,0
1585000890,1,0
1585018893,2,0
1585026103,1,1
1585036895,0,1
1585044095,0,1
1585051321,1,0
1585058499,1,0
1585076520,2,0
1585094502,1,3
1585098106,1,0
1585148520,0,1
1585184498,0,2
1585206099,0,1
1585209699,1,0
1585220498,0,1
1585234893,0,1
1585306897,0,1
1585335703,2,1
1585350101,1,0
1585353703,1,0
1585361058,0,1
1585364501,2,0
1585389722,1,0
1585396902,1,0
1585407702,2,0
1585432922,0,1
1585440097,0,1
1585454496,0,1
1585458105,1,0
1585461711,0,1
1585472491,0,1
1585476117,0,2
1585483312,0,1
1585497692,0,1
1585508492,0,1
1585519582,0,1
1585522900,0,1
1585530094,1,0
1585540890,1,0
1585551687,0,1
1585591562,0,1
1585598492,1,0
1585602084,0,1
1585605706,2,0
1585623683,0,1
1585630888,1,1
1585645310,1,0
1585674086,0,1
1585681310,1,0
1585695693,0,1
1585699309,0,1
1585742482,0,1
1585749898,1,0
1585760488,1,0
1585778510,1,0
1585785683,0,1
1585789307,1,0
1585796488,1,1
1585810887,1,0
1585846893,1,0
1585850513,0,2
1585864915,1,0
1585875688,1,0
1585879508,0,1
1585890093,1,0
1585940488,0,1
1585944096,1,0
1585958490,0,1
1585965881,1,0
1585969316,0,1
1585972888,0,1
1585994510,1,0
1586001689,2,1
1586012487,0,1
1586019694,1,0
1586052258,2,0
1586055697,1,0
1586062897,0,1
1586073696,1,0
1586088098,1,0
1586091696,1,0
1586116899,2,0
1586120500,1,0
1586134899,0,1
1586138653,1,0
1586145693,0,1
1586163694,1,0
1586196119,1,1
1586199704,1,0
1586210508,1,0
1586217700,1,0
1586221326,2,0
1586260906,0,1
1586264509,1,0
1586271727,1,0
1586286125,1,1
1586296903,1,0
1586300675,0,1
1586314925,1,0
1586379701,0,1
1586383323,0,2
1586404900,0,1
1586412098,0,1
1586433705,2,0
1586458919,0,1
1586491583,0,1
1586516505,1,0
1586530897,1,0
1586570504,1,1
1586577705,0,1
1586592102,1,0
1586595706,1,0
1586599585,0,1
1586606495,0,1
1586620894,1,1
1586635495,1,1
1586638896,0,1
1586646102,0,1
1586656905,0,2
1586660497,0,1
1586678499,0,1
1586692893,0,1
1586696493,0,1
1586718095,1,1
1586721695,1,3
1586728891,1,1
1586736092,0,1
1586757692,0,1
1586768498,0,1
1586772092,1,0
1586808089,1,0
1586818889,0,1
1586822485,0,1
1586826094,0,1
1586833502,1,1
1586862102,1,0
1586872886,0,1
1586876496,2,0
1586883695,0,1
1586890892,0,1
1586905507,1,0
1586919703,1,0
1586926893,1,0
1586944895,2,0
1586984539,1,1
1586995300,2,0
1587024097,0,1
1587035174,0,1
1587045694,1,0
1587053105,2,0
1587074499,2,0
1587081707,1,0
1587092497,1,1
1587110504,0,1
1587117702,1,0
1587128520,1,0
1587146499,0,1
1587157298,1,0
1587160921,0,1
1587175294,0,1
1587182500,1,0
1587200496,0,2
1587207730,1,0
1587225703,1,0
1587229330,2,0
1587236501,1,0
1587254504,1,1
1587261702,1,0
1587265306,1,1
1587272535,1,0
1587287111,1,0
1587312101,0,1
1587319300,0,2
1587326507,3,2
1587330095,1,1
1587337317,1,0
1587376918,0,1
1587402208,0,1
1587412913,1,0
1587416492,0,1
1587441700,0,1
1587445411,1,0
1587448922,2,0
1587452505,2,0
1587456094,1,0
1587459702,0,1
1587463299,2,0
1587467029,0,2
1587470518,1,1
1587474098,1,1
1587488616,0,1
1587492120,2,0
1587499294,1,0
1587502903,2,0
1587510229,0,1
1587520894,1,0
1587524495,1,0
1587528096,2,0
1587538894,0,1
1587542497,0,1
1587546093,1,0
1587549699,0,2
1587574904,1,0
1587578512,0,1
1587589303,2,0
1587592902,0,1
1587600121,0,1
1587610894,1,0
1587625301,2,0
1587639702,1,0
1587657840,1,2
1587664926,1,0
1587690099,1,0
1587693702,0,1
1587704502,0,1
1587718899,1,0
1587722502,1,0
1587736905,0,1
1587751320,0,1
1587754902,1,0
1587772921,0,1
1587776502,0,1
1587783727,1,0
1587798106,0,1
1587805303,0,1
1587812500,0,1
1587823300,0,1
1587826904,0,1
1587830497,1,2
1587834126,0,2
1587837724,1,0
1587841304,0,1
1587848500,4,0
1587852109,3,0
1587862910,1,0
1587873702,0,1
1587880926,0,1
1587909718,0,1
1587920502,0,2
1587927699,0,1
1587931316,0,2
1587934894,0,1
1587942092,0,1
1587967316,0,1
1587981701,0,1
1588017722,0,1
1588053695,0,2
1588060890,0,4
1588068091,0,1
1588078890,0,1
1588096888,0,2
1588107702,0,1
1588125687,0,2
1588132882,0,2
1588150902,0,1
1588154481,0,1
1588161682,0,1
1588165308,0,1
1588179824,0,1
1588197682,0,1
1588208503,0,1
1588212079,0,1
1588215700,0,1
1588219273,0,1
1588222896,0,1
1588237265,0,1
1588244464,0,2
1588266066,0,1
1588269786,0,1
1588273260,0,1
1588291282,0,1
1588309277,0,1
1588323687,0,1
1588345317,0,1
1588348862,0,1
1588374165,0,2
1588381257,0,1
1588384876,0,1
1588388583,0,1
1588392055,0,1
1588410051,0,2
1588424575,0,1
1588435279,0,1
1588442615,0,1
1588449701,0,1
1588453327,0,5
1588456973,0,4
1588460544,0,1
1588467980,0,2
