DateTime,AddedIPs,RemovedIPs
1579628078,312,311
1579646079,355,376
1579664094,314,316
1579682162,395,307
1579700183,337,316
1579718277,502,305
1579736268,327,318
1579754358,331,273
1579772318,299,330
1579790200,277,336
1579808158,324,318
1579826170,310,272
1579844203,284,271
1579862168,322,293
1579880160,254,265
1579898220,311,247
1579916231,311,297
1579934267,292,220
1579952253,251,304
1579970240,255,273
1579988246,299,293
1580006223,237,277
1580024105,245,362
1580041935,212,415
1580059857,224,372
1580077911,392,324
1580096056,523,343
1580114016,361,337
1580132201,337,361
1580150071,346,304
1580167972,281,315
1580185982,235,252
1580203901,241,339
1580221829,224,306
1580239713,239,334
1580257657,222,289
1580275596,189,247
1580293531,220,282
1580311415,177,298
1580329374,228,290
1580347332,199,275
1580365181,171,355
1580383077,187,304
1580401045,186,244
1580418972,208,327
1580437052,163,260
1580454881,178,273
1580472782,164,237
1580490692,162,280
1580508740,251,307
1580526805,396,245
1580544821,281,241
1580562927,291,222
1580581039,293,268
1580598963,288,248
1580616945,203,271
1580634901,187,245
1580652912,210,337
1580670759,196,299
1580688777,406,366
1580706809,372,357
1580724915,439,381
1580742836,357,322
1580760763,280,374
1580779299,288,244
1580796999,258,216
1580814773,227,253
1580832771,216,265
1580850785,220,238
1580868945,225,215
1580886872,292,196
1580904949,342,252
1580922868,281,680
1580941063,474,293
1580959034,529,200
1580977246,425,210
1580995471,556,195
1581013679,367,240
1581031715,260,214
1581049822,197,207
1581067910,333,204
1581094591,414,158
1581111289,359,274
1581129298,216,260
1581147252,196,196
1581165282,280,236
1581183218,251,292
1581201142,224,299
1581219151,189,218
1581237151,176,236
1581255012,196,281
1581272918,225,318
1581290886,226,378
1581308728,171,290
1581326785,407,337
1581344892,589,380
1581362910,397,281
1581380888,248,290
1581398872,186,279
1581416934,370,280
1581438525,376,350
1581456327,247,275
1581474576,571,265
1581492694,470,324
1581510742,506,386
1581528785,439,333
1581546867,407,285
1581564961,301,240
1581582925,425,486
1581600921,674,606
1581618998,491,403
1581637025,298,298
1581655061,270,213
1581673086,429,357
1581691096,358,365
1581709070,263,302
1581727116,287,226
1581745156,197,171
1581763138,246,263
1581781137,271,258
1581799105,215,270
1581817258,399,194
1581835335,267,164
1581853384,289,210
1581871490,373,237
1581889558,320,251
1581907709,373,211
1581925742,346,316
1581943794,558,513
1581961669,358,600
1581979608,232,289
1581997642,240,224
1582015531,222,346
1582033455,331,389
1582051395,261,309
1582069362,218,269
1582087329,191,251
1582105256,275,364
1582123184,329,381
1582141163,272,384
1582159281,359,291
1582177311,252,225
1582195059,210,521
1582212769,174,667
1582230531,183,404
1582248512,274,317
1582266602,288,218
1582284415,209,440
1582302326,197,310
1582320402,245,264
1582338356,259,230
1582356373,221,168
1582374311,230,240
1582392249,202,269
1582410160,173,236
1582428120,182,280
1582446074,187,245
1582464026,163,286
1582481910,321,317
1582499776,163,303
1582517732,127,227
1582535503,80,467
1582553024,107,575
1582570889,134,312
1582588835,248,297
1582607220,588,230
1582625116,321,301
1582643051,246,376
1582660973,270,296
1582679099,235,267
1582697113,344,208
1582715072,261,318
1582733062,249,305
1582751052,241,349
1582768900,174,256
1582786919,208,240
1582804853,214,235
1582822965,193,206
1582840919,250,254
1582858881,227,255
1582876878,214,227
1582895100,212,182
1582912894,153,214
1582930859,179,267
1582948814,152,236
1582966835,183,241
1582984726,222,222
1583002706,201,254
1583020632,209,287
1583034987,151,236
1583049345,192,250
1583063735,290,255
1583078057,205,335
1583092308,206,405
1583106684,252,270
1583121126,85,81
1583135568,112,67
1583150009,161,71
1583164460,134,102
1583178897,170,131
1583193244,177,245
1583207510,146,357
1583221865,193,284
1583236135,139,259
1583250593,231,193
1583264984,171,183
1583279627,482,159
1583294281,468,203
1583312347,256,269
1583330195,194,231
1583344587,220,188
1583359053,210,190
1583373541,193,125
1583391576,213,206
1583409607,231,196
1583427655,227,213
1583445518,178,249
1583463727,371,187
1583481786,324,216
1583499783,219,225
1583517720,233,171
1583535738,221,194
1583553745,183,197
1583571873,190,240
1583589662,212,255
1583607606,248,213
1583625659,218,166
1583643758,204,211
1583661634,177,212
1583679557,183,317
1583697453,191,286
1583711777,204,272
1583726184,124,103
1583740543,121,141
1583754947,129,180
1583769322,130,168
1583783738,224,147
1583798211,245,176
1583812582,150,167
1583826910,111,215
1583841487,498,206
1583859992,808,279
1583878001,411,289
1583896120,523,367
1583915489,871,315
1583932948,863,265
1583951295,492,257
1583969225,333,252
1583987187,283,225
1584005609,792,227
1584023922,733,262
1584042020,359,249
1584059970,239,306
1584077992,270,271
1584095955,240,280
1584113963,309,234
1584131898,199,269
1584149983,227,184
1584168017,230,189
1584185961,190,207
1584203868,235,270
1584221846,191,235
1584239825,185,223
1584257796,199,223
1584275725,183,213
1584293716,208,225
1584311791,314,254
1584330400,902,132
1584348671,571,171
1584366816,319,163
1584384875,245,190
1584402799,280,347
1584420774,198,253
1584438802,203,183
1584456282,174,818
1584474052,164,456
1584492027,312,336
1584510050,282,345
1584527439,238,908
1584544988,204,749
1584562832,182,365
1584580916,329,253
1584599008,252,403
1584616353,275,890
1584634173,285,632
1584652199,287,287
1584670426,333,194
1584688363,231,240
1584706336,203,216
1584724332,227,265
1584742614,429,231
1584760718,412,167
1584778837,307,162
1584796926,215,145
1584814928,211,191
1584832961,235,174
1584851033,180,143
1584869059,208,147
1584887011,134,186
1584906397,216,177
1584923090,246,276
1584940988,234,377
1584958863,277,398
1584976917,198,286
1584994850,235,321
1585012855,206,248
1585030891,183,231
1585048711,191,293
1585066645,227,256
1585084646,248,253
1585102634,179,300
1585120634,170,248
1585138448,178,280
1585156435,213,258
1585174695,568,228
1585193077,523,278
1585211698,289,297
1585228880,253,282
1585246856,195,325
1585264615,152,278
1585282507,167,322
1585300371,174,297
1585318345,222,338
1585336141,358,477
1585354086,208,269
1585372071,157,196
1585390124,191,267
1585408056,241,241
1585426304,492,235
1585444359,314,234
1585462535,226,210
1585480362,176,213
1585498337,192,225
1585516316,218,258
1585534472,348,237
1585552436,398,287
1585570525,408,344
1585588442,182,242
1585606546,255,264
1585624449,223,241
1585642470,301,210
1585660475,251,235
1585678602,211,243
1585696487,228,189
1585714555,266,229
1585732556,231,223
1585750582,167,231
1585768503,259,279
1585786410,188,294
1585804410,260,296
1585822467,273,275
1585840362,227,279
1585858327,169,272
1585876399,256,176
1585894516,195,232
1585912314,156,239
1585930169,167,366
1585948064,223,276
1585966387,515,213
1585984483,360,205
1586002419,176,211
1586020264,180,305
1586038307,267,261
1586056234,300,246
1586074232,178,196
1586092203,163,206
1586110337,156,210
1586128162,233,243
1586146225,316,306
1586164213,275,475
1586181983,176,431
1586199829,166,207
1586218657,223,233
1586235894,263,181
1586253921,322,291
1586272066,260,294
1586289984,290,229
1586308083,294,157
1586326106,245,192
1586344202,191,234
1586362154,239,199
1586380186,269,226
1586398322,274,185
1586416421,309,276
1586434306,238,284
1586452308,208,217
1586470540,417,218
1586488803,370,210
1586506763,262,195
1586524830,225,168
1586542988,262,211
1586560937,236,255
1586579136,382,221
1586597319,306,250
1586615311,259,156
1586633298,202,201
1586651477,337,256
1586669417,286,238
1586687469,202,152
1586705565,223,192
1586723428,215,230
1586741581,363,211
1586759547,346,323
1586777670,235,262
1586795568,248,208
1586813577,241,228
1586831621,241,194
1586849643,174,297
1586867490,199,264
1586885464,258,271
1586903496,248,253
1586921659,336,309
1586939597,282,242
1586957590,273,203
1586975642,273,255
1586996976,305,205
1587015289,336,303
1587033786,799,257
1587051829,424,335
1587070211,568,214
1587088327,469,297
1587106638,647,231
1587124720,356,220
1587146279,378,320
1587167929,380,262
1587189364,345,425
1587207399,262,215
1587225478,206,181
1587247130,368,280
1587269028,426,288
1587290875,380,265
1587312254,314,256
1587334138,760,340
1587355956,582,354
1587377799,430,314
1587399415,572,309
1587421185,558,355
1587442924,428,305
1587465219,1124,284
1587487458,1079,291
1587509457,778,297
1587531231,477,259
1587553410,1034,290
1587579310,1123,433
1587604495,580,370
1587629777,382,333
1587654976,423,482
1587680002,310,566
1587705074,325,457
1587730132,241,556
1587755066,335,527
1587780238,438,511
1587805395,438,510
1587830661,381,318
1587856005,441,338
1587881246,340,362
1587906039,66,391
1587930779,0,474
1587951951,0,475
1587973157,0,436
1587994301,0,589
1588015211,0,844
1588036323,0,631
1588056987,0,1356
1588074030,0,1157
1588091242,0,1019
1588108647,0,738
1588126175,0,488
1588143397,0,879
1588157215,0,725
1588170975,0,780
1588184926,0,527
1588199098,0,279
1588213248,0,305
1588227427,0,270
1588247123,0,451
1588259272,0,248
1588273327,0,277
1588287419,0,374
1588298044,0,208
1588308710,0,190
1588319300,0,243
1588329824,0,325
1588340478,0,183
1588351827,0,265
1588361662,0,306
1588372199,0,358
1588382684,0,439
1588393105,0,485
1588403500,0,547
1588413827,0,664
1588423982,0,706
1588430777,0,519
1588437516,0,614
1588444242,0,668
1588450914,0,757
1588457426,0,1018
1588463679,0,1348
1588466827,0,812
1588469616,0,1158
