DateTime,AddedIPs,RemovedIPs
1580579631,145,193
1580593917,140,155
1580608316,142,160
1580622645,129,223
1580636999,116,181
1580651435,116,238
1580665663,132,191
1580679981,209,302
1580694494,303,249
1580708958,307,219
1580723397,259,279
1580737700,252,226
1580752073,214,251
1580766461,191,216
1580781369,197,148
1580795496,184,147
1580809686,155,187
1580824108,162,155
1580838522,147,193
1580852898,142,170
1580867431,141,123
1580881754,183,133
1580896210,193,153
1580910693,227,150
1580924929,182,639
1580939483,377,170
1580953892,443,120
1580968345,176,131
1580982869,341,132
1580997472,395,134
1581012113,207,168
1581030093,200,185
1581048161,162,161
1581066244,266,162
1581093009,317,142
1581109583,296,223
1581127569,172,202
1581145521,150,163
1581163534,222,185
1581181553,204,190
1581199565,169,207
1581217578,135,182
1581235498,137,204
1581253373,160,227
1581271282,168,273
1581289270,161,321
1581307115,132,239
1581325175,322,286
1581343236,478,297
1581361205,293,244
1581379189,205,268
1581397149,150,239
1581415168,294,253
1581433141,276,254
1581451004,209,245
1581465453,323,171
1581480012,327,181
1581498094,451,297
1581516143,419,330
1581534153,274,251
1581552222,311,237
1581570306,230,165
1581588216,457,503
1581606249,561,468
1581624329,349,289
1581642349,218,204
1581660373,261,214
1581678389,358,295
1581696390,276,280
1581714386,190,222
1581732464,192,154
1581750448,146,163
1581768337,145,211
1581786306,206,209
1581804318,182,174
1581822457,277,130
1581840523,235,156
1581858514,239,182
1581876677,344,201
1581894763,319,168
1581912848,254,159
1581930864,357,364
1581948889,435,503
1581966835,228,326
1581984798,227,216
1582002824,174,178
1582020696,201,335
1582038608,236,303
1582056619,192,224
1582074544,166,230
1582092516,175,227
1582110449,245,322
1582128387,245,294
1582146493,285,218
1582164575,230,224
1582182510,209,274
1582200241,178,516
1582218081,162,455
1582235922,150,291
1582254067,273,189
1582271960,181,292
1582289811,154,317
1582304200,142,185
1582318670,152,160
1582332993,178,121
1582347509,163,96
1582365516,201,122
1582383525,183,199
1582401489,133,184
1582419430,152,200
1582433834,118,147
1582448129,140,166
1582462583,109,190
1582476930,218,218
1582491182,109,175
1582505493,79,202
1582519796,62,182
1582534069,34,343
1582548117,62,394
1582562359,58,237
1582576704,123,190
1582591144,183,207
1582605841,429,162
1582620100,210,204
1582634487,188,224
1582648842,153,226
1582663191,156,181
1582677698,149,195
1582692077,224,119
1582706488,200,203
1582720848,154,223
1582735231,158,179
1582749642,145,246
1582763923,110,168
1582778298,148,189
1582792671,140,163
1582807076,150,170
1582821601,131,152
1582835984,170,152
1582850285,118,197
1582864712,181,135
1582879079,126,170
1582893697,156,119
1582907891,82,147
1582922268,131,163
1582936625,103,178
1582950941,102,175
1582965383,125,192
1582979627,98,165
1582993894,86,185
1583008238,121,160
1583022609,137,207
1583037001,172,209
1583051379,163,228
1583065697,176,240
1583079997,176,293
1583094204,177,411
1583108685,149,99
1583123078,57,50
1583137563,108,27
1583152000,83,57
1583166420,137,57
1583180865,150,129
1583195288,159,172
1583209540,161,333
1583223864,124,224
1583238191,128,225
1583252565,143,134
1583267024,158,146
1583281831,614,140
1583296311,274,182
1583310794,151,171
1583325085,151,147
1583339408,131,152
1583353844,159,140
1583368362,209,98
1583382828,149,136
1583397229,130,123
1583411575,142,149
1583426061,112,143
1583440315,119,144
1583454781,209,102
1583469316,207,147
1583483720,194,141
1583498205,157,160
1583512476,112,97
1583526905,148,143
1583541328,109,109
1583555745,132,153
1583570248,126,179
1583584523,149,107
1583598912,118,93
1583613388,132,103
1583627810,143,116
1583642330,136,171
1583656529,111,123
1583670876,134,198
1583685181,116,198
1583699532,114,193
1583713837,127,183
1583728266,94,71
1583742615,90,128
1583757036,110,120
1583771404,124,146
1583785873,232,137
1583800231,145,150
1583814633,115,155
1583829014,86,159
1583843619,556,184
1583858440,463,163
1583872806,308,204
1583887268,311,261
1583901729,364,256
1583917454,706,168
1583934822,671,215
1583949510,326,151
1583967465,266,190
1583981764,193,166
1583996358,432,152
1584014693,650,194
1584032855,417,169
1584050896,204,175
1584068874,229,278
1584086917,242,205
1584104840,141,210
1584122830,155,166
1584140799,213,170
1584158888,201,135
1584176911,166,160
1584194880,153,177
1584212794,132,194
1584230778,168,196
1584248810,164,164
1584266725,146,181
1584284706,163,182
1584302664,196,175
1584320996,478,127
1584339428,652,113
1584357519,351,126
1584375652,227,147
1584393631,200,216
1584411593,194,226
1584429590,168,167
1584447411,164,417
1584465092,124,523
1584483054,167,277
1584501099,286,241
1584518865,214,627
1584536331,185,695
1584554274,158,372
1584568588,148,189
1584583019,204,149
1584597472,157,307
1584611416,179,582
1584625603,186,449
1584639999,210,259
1584654494,205,150
1584669198,183,139
1584683344,142,162
1584697737,137,146
1584712100,119,139
1584726536,182,136
1584741260,312,160
1584755726,316,116
1584770174,206,91
1584784655,171,113
1584799147,139,106
1584817137,172,120
1584835173,202,135
1584853278,134,111
1584871244,129,121
1584889227,111,151
1584907265,181,180
1584925359,203,206
1584943126,176,316
1584961057,208,323
1584975534,128,161
1584993504,186,225
1585011580,161,199
1585029549,137,187
1585047384,145,243
1585061689,150,167
1585076066,137,194
1585090561,124,128
1585104869,118,201
1585119362,103,152
1585133552,117,186
1585147874,107,167
1585162209,123,184
1585177047,513,122
1585191710,353,174
1585210401,259,244
1585227563,204,241
1585245468,143,277
1585259706,94,186
1585274108,111,186
1585288265,112,210
1585302582,120,203
1585317036,146,203
1585331206,255,372
1585345598,130,169
1585359961,88,164
1585374313,120,142
1585388814,111,145
1585403011,121,151
1585417580,296,144
1585432034,224,172
1585446519,177,128
1585461045,163,148
1585475247,111,123
1585489708,129,120
1585504030,126,188
1585518464,175,163
1585533098,242,146
1585547343,262,194
1585561797,273,205
1585576258,194,175
1585590573,103,170
1585605139,178,178
1585619409,143,132
1585633813,166,124
1585648240,187,140
1585662665,172,165
1585677171,135,140
1585691435,143,133
1585705871,145,143
1585720297,168,136
1585734698,128,161
1585749151,108,140
1585763445,148,171
1585777865,125,141
1585792265,170,229
1585806589,177,178
1585821098,166,195
1585835410,139,182
1585849717,119,183
1585864219,108,110
1585878679,139,131
1585893141,123,155
1585907340,111,149
1585921685,105,173
1585935940,127,274
1585950271,132,162
1585965181,406,115
1585979509,266,126
1585993921,120,121
1586008225,124,169
1586022563,117,146
1586037164,203,175
1586051458,186,138
1586065775,137,143
1586080238,105,121
1586094645,110,146
1586109115,97,137
1586123333,132,148
1586137765,217,206
1586152241,228,280
1586166425,139,297
1586180843,120,261
1586195063,111,148
1586210279,106,162
1586227495,235,160
1586241957,190,138
1586256387,193,188
1586270915,168,203
1586285224,187,156
1586299679,161,112
1586314081,170,127
1586328517,162,121
1586343049,140,146
1586357313,116,120
1586371728,170,133
1586386285,171,103
1586400680,194,141
1586415222,205,184
1586429477,172,196
1586443860,121,153
1586458202,121,109
1586472977,399,134
1586487570,232,122
1586505588,231,149
1586523631,197,141
1586541773,213,177
1586559833,204,183
1586577920,226,180
1586595934,216,191
1586613976,207,125
1586631961,157,164
1586650066,223,221
1586668101,230,171
1586686075,166,127
1586704136,172,160
1586721978,176,193
1586740255,308,169
1586758139,242,280
1586776198,200,209
1586794520,206,172
1586812051,198,186
1586830055,189,169
1586848009,125,236
1586865913,166,226
1586883944,197,214
1586901965,210,201
1586920094,291,212
1586938131,242,199
1586956042,205,184
1586974050,215,188
1586995394,270,171
1587013772,283,235
1587032063,542,212
1587050038,316,263
1587068382,509,173
1587086618,426,248
1587104837,523,211
1587122926,313,192
1587140781,281,197
1587158851,236,176
1587176909,257,196
1587194855,254,241
1587212869,211,150
1587230889,161,151
1587249042,281,155
1587267332,298,202
1587285564,266,194
1587303286,254,171
1587321247,255,233
1587339592,559,206
1587357660,333,233
1587375964,322,222
1587393857,346,216
1587412020,421,216
1587430114,331,218
1587448284,368,176
1587466807,805,183
1587488987,869,220
1587510795,576,256
1587532572,423,219
1587554633,913,252
1587576808,742,297
1587598316,408,274
1587620000,288,238
1587641565,265,278
1587663105,243,367
1587684599,228,401
1587706018,167,328
1587727614,168,378
1587748963,216,398
1587770616,328,335
1587792195,322,301
1587813735,263,368
1587835415,245,202
1587857062,240,244
1587878782,252,263
1587899827,57,279
1587921061,0,359
1587942282,0,414
1587963494,0,420
1587984732,0,416
1588002323,0,504
1588019907,0,492
1588037597,0,420
1588055068,0,830
1588072283,0,937
1588089650,0,786
1588107126,0,644
1588121122,0,364
1588135192,0,366
1588148973,0,727
1588162824,0,642
1588176815,0,501
1588190996,0,312
1588205176,0,209
1588219337,0,277
1588233528,0,248
1588246227,0,248
1588258404,0,224
1588268957,0,156
1588279622,0,205
1588290162,0,241
1588300848,0,149
1588311492,0,213
1588322092,0,246
1588332641,0,302
1588343308,0,154
1588353908,0,320
1588364473,0,250
1588375073,0,347
1588385471,0,453
1588395933,0,516
1588406231,0,573
1588413206,0,436
1588419993,0,403
1588426827,0,480
1588433641,0,541
1588440467,0,555
1588447227,0,683
1588453904,0,802
1588460433,0,939
1588466841,0,1328
1588469758,0,954
