DateTime,AddedIPs,RemovedIPs
1591914619,2,0
1591914916,1,0
1591915518,1,0
1591917017,2,0
1591918216,1,0
1591918817,3,0
1591919417,2,0
1591920019,3,0
1591920317,1,0
1591927516,0,1
1591944917,0,2
1591948817,1,0
1591949417,1,0
1591950018,1,0
1591950317,1,0
1591950617,2,0
1591950916,1,0
1591951519,1,0
1591952116,1,0
1591953617,1,0
1591953919,2,0
1591954817,2,0
1591955716,2,0
1591957217,1,0
1591957518,2,0
1591957819,1,0
1591958116,1,0
1591958717,1,0
1591959618,1,0
1591960819,2,0
1591961418,1,0
1591961716,1,0
1591962616,2,0
1591963518,1,0
1591963817,1,0
1591964418,1,0
1591964718,1,0
1591965316,1,0
1591966218,1,0
1591966516,1,0
1591968017,1,0
1591970417,2,0
1591971317,1,0
1591972218,1,0
1591973417,1,7
1591974317,1,0
1591974916,2,0
1591975515,1,0
1591976417,1,0
1591977918,2,0
1591978218,1,0
1591978516,2,0
1591979118,1,0
1591980916,1,0
1591981218,1,0
1591981518,1,0
1591983617,1,0
1591984217,1,0
1591984516,1,0
1591985119,2,0
1591985719,1,0
1591986017,1,0
1591986318,2,0
1591987218,2,0
1591987517,2,0
1591988418,2,0
1591989021,2,0
1591989318,1,0
1591989617,1,0
1591992318,1,0
1591992918,539,0
1591993817,1,0
1591994119,1,0
1591996518,1,0
1591997716,3,0
1591998916,2,0
1591999218,1,0
1591999517,1,0
1592000116,1,0
1592000417,1,0
1592000718,2,0
1592001917,2,0
1592002516,1,0
1592004316,1,0
1592005519,1,0
1592040617,1,0
1592040916,1,0
1592042719,1,0
1592043018,1,0
1592043918,1,0
1592044218,1,0
1592047518,1,0
1592048418,1,0
1592050817,1,0
1592051417,1,0
1592052917,1,0
1592053219,1,0
1592053519,1,0
1592055917,1,0
1592056217,1,0
1592058317,1,0
1592058916,1,0
1592059219,1,0
1592059817,2,0
1592060418,1,0
1592061918,1,0
1592063418,1,0
1592064319,1,0
1592064618,2,0
1592067016,1,0
1592069418,1,0
1592070318,0,2
1592070616,0,3
1592072117,1,0
1592073316,2,0
1592073619,1,0
1592073919,1,0
1592074216,1,0
1592076916,1,0
1592077517,1,0
1592078116,1,0
1592078418,1,0
1592081116,1,0
1592081716,2,0
1592082018,1,0
1592082918,1,0
1592083816,1,0
1592084417,1,0
1592085017,3,0
1592086216,1,0
1592086517,1,0
1592093716,1,0
1592094318,2,0
1592103018,1,0
1592103618,1,0
1592115618,1,0
1592126717,1,0
1592127016,1,0
1592127316,1,0
1592127919,1,0
1592128819,2,0
1592130317,1,0
1592130916,1,0
1592131519,2,0
1592131819,1,0
1592132717,1,0
1592133618,1,0
1592134817,1,0
1592135117,1,0
1592135716,1,0
1592136317,3,0
1592136917,4,0
1592137218,1,0
1592137517,2,0
1592137817,3,0
1592138419,1,0
1592139317,2,0
1592140216,3,0
1592140519,1,0
1592142017,1,0
1592143518,4,0
1592144417,1,0
1592144717,1,0
1592145017,1,0
1592145317,1,0
1592146817,1,0
1592147417,1,0
1592148018,2,0
1592148617,1,0
1592150116,1,0
1592150418,1,0
1592151019,1,0
1592151617,1,0
1592151919,1,0
1592152818,1,0
1592153119,1,0
1592153416,4,0
1592153716,1,0
1592154018,1,0
1592154917,1,0
1592156417,1,0
1592156717,1,0
1592157316,1,0
1592157618,2,0
1592157917,1,0
1592158217,1,0
1592158519,2,0
1592158818,1,0
1592159118,1,0
1592159417,1,0
1592159716,1,0
1592160318,1,0
1592162719,1,0
1592163018,2,0
1592163917,2,0
1592164818,1,0
1592165117,1,0
1592165419,1,0
1592166017,1,0
1592166618,2,0
1592166916,3,0
1592167517,1,2
1592167817,2,0
1592169618,1,0
1592169919,2,0
1592171716,1,0
1592174116,2,0
1592174720,1,0
1592178316,1,0
1592202321,0,1
1592236818,0,3
1592238017,0,1
1592241317,0,1
1592252717,0,1
1592298318,1,0
1592298618,1,0
1592300117,1,0
1592300418,1,0
1592300720,1,0
1592301019,1,0
1592301318,2,0
1592302521,1,0
1592302818,5,0
1592303117,1,0
1592303419,1,0
1592304317,2,0
1592304916,1,0
1592307316,1,0
1592307617,1,0
1592308819,2,0
1592309116,1,0
1592314218,1,0
1592315117,1,0
1592315416,1,0
1592315717,1,0
1592316018,1,0
1592317817,1,0
1592318418,2,0
1592319018,1,0
1592321419,0,1
1592322017,1,0
1592322619,1,0
1592323217,1,0
1592323819,2,0
1592325018,1,0
1592325918,2,0
1592328017,3,0
1592328916,1,0
1592329218,1,0
1592329817,2,0
1592330115,1,0
1592330419,1,0
1592330720,1,0
1592331618,0,1
1592332219,2,0
1592333118,1,0
1592334018,2,0
1592334617,1,0
1592335817,1,0
1592336417,2,0
1592337617,1,0
1592338217,1,0
1592339716,1,0
1592342117,1,0
1592343018,1,0
1592344516,0,1
1592344819,2,0
1592346618,1,0
1592346916,1,0
1592347518,1,0
1592348117,1,0
1592349617,1,0
1592351118,1,0
1592351716,2,0
1592352019,1,0
1592352317,1,0
1592353819,1,0
1592354117,2,0
1592354718,1,0
1592355920,1,0
1592356216,2,0
1592356517,1,0
1592357716,1,0
1592358617,0,1
1592359219,1,0
1592360117,1,0
1592362217,1,0
1592362517,2,0
1592363417,1,0
1592364017,1,0
1592364917,1,0
1592366418,1,0
1592368516,1,0
1592368818,1,0
1592414417,0,2
1592420117,0,1
1592427918,2,0
1592433917,0,1
1592488819,1,0
1592489719,1,0
1592491218,2,0
1592492116,1,0
1592492719,1,0
1592493017,1,0
1592493617,2,0
1592495716,1,0
1592497218,1,0
1592497518,2,0
1592497817,2,0
1592498719,2,0
1592503818,1,0
1592504117,1,0
1592504717,2,0
1592506818,1,0
1592507418,1,0
1592507717,1,0
1592511618,1,0
1592511919,1,0
1592512220,1,0
1592514018,1,0
1592515517,1,0
1592516117,1,0
1592516417,1,0
1592518219,1,0
1592519717,2,5
1592520317,1,0
1592520618,1,0
1592522118,1,0
1592523618,1,0
1592524216,2,0
1592525117,1,0
1592526318,1,0
1592526916,2,0
1592527518,3,0
1592528117,1,0
1592528418,1,0
1592528717,1,0
1592529617,1,0
1592529918,2,0
1592530516,1,0
1592531418,1,0
1592533815,1,0
1592534116,1,0
1592534718,1,0
1592537117,1,0
1592537716,1,0
1592538318,1,0
1592538916,1,0
1592539217,1,0
1592539518,1,0
1592540417,1,0
1592545818,1,0
1592546117,1,0
1592546418,1,0
1592547922,1,0
1592549715,1,0
1592550617,1,0
1592580617,0,3
1592586019,0,1
1592596217,1,0
1592597118,1,0
1592597418,1,0
1592598017,1,0
1592598319,1,0
1592598917,1,0
1592599817,1,0
1592601017,1,0
1592601616,1,0
1592603117,1,0
1592603419,1,0
1592604020,1,0
1592605517,1,0
1592606418,1,0
1592609419,1,0
1592609717,1,0
1592610616,1,0
1592610916,3,0
1592611219,1,0
1592611517,1,0
1592611816,3,0
1592612719,1,0
1592615417,1,0
1592616317,1,0
1592617518,1,0
1592618718,1,0
1592619317,1,0
1592619617,2,0
1592619916,2,0
1592620516,2,0
1592620817,1,0
1592622019,1,0
1592622617,3,0
1592623218,1,0
1592625617,1,0
1592625916,1,0
1592626517,1,0
1592627118,1,0
1592628018,3,0
1592628917,1,0
1592630419,1,0
1592630722,2,0
1592631918,1,0
1592632819,1,0
1592633118,1,0
1592634020,1,0
1592634618,0,9
1592634915,1,0
1592637317,1,0
1592638516,1,0
1592638817,1,0
1592639717,2,0
1592641219,1,0
1592641820,1,0
1592642117,1,0
1592643917,1,0
1592644518,1,0
1592645118,1,0
1592645420,1,0
1592645716,1,0
1592646016,1,0
1592648719,2,0
1592649316,1,0
1592651117,3,0
1592652017,1,0
1592652317,1,0
1592654115,2,0
1592668516,0,4
1592678116,0,1
1592682320,1,0
1592685017,1,0
1592685316,1,0
1592686216,1,0
1592686516,1,0
1592687419,2,0
1592687716,1,0
1592692516,1,0
1592693416,1,0
1592695516,1,0
1592696116,1,0
1592697017,1,0
1592697619,1,0
1592697916,1,0
1592699717,1,0
1592700917,1,0
1592708716,1,0
1592721618,1,0
1592726116,0,1
1592731217,0,1
1592733017,1,0
1592733619,1,0
1592733919,1,0
1592736018,1,0
1592736317,1,0
1592738116,1,0
1592738719,2,0
1592739019,1,0
1592742017,1,0
1592742617,2,0
1592742916,1,0
1592743817,2,0
1592744116,1,0
1592744418,1,0
1592745918,1,0
1592746816,2,0
1592748018,1,0
1592748616,1,0
1592749519,2,0
1592751017,1,0
1592751917,1,0
1592755217,1,0
1592756116,1,0
1592756716,1,0
1592757918,1,0
1592758818,1,0
1592759417,2,0
1592759717,1,0
1592760617,1,0
1592761216,1,0
1592762116,1,0
1592762418,1,0
1592762717,1,0
1592763017,2,0
1592763319,1,0
1592763918,2,0
1592764516,1,0
1592765417,1,0
1592768719,2,0
1592769015,1,0
1592771716,1,0
1592772018,2,0
1592772319,2,0
1592772616,1,0
1592775316,1,0
1592778018,1,0
1592778917,2,0
1592828416,0,1
1592870116,0,1
1592881817,0,1
1592934617,0,1
1592959520,0,3
