DateTime,AddedIPs,RemovedIPs
1582986611,512,512
1583001911,256,0
1583009112,256,0
1583025313,0,256
1583028903,256,0
1583050831,0,1280
1583084036,768,512
1583096839,256,256
1583106311,0,256
1583140839,0,1024
1583163011,1024,0
1583185512,0,256
1583205311,256,0
1583235912,1024,0
1583250312,0,768
1583280014,0,256
1583285412,512,0
1583343912,1536,768
1583349304,0,512
1583359214,512,0
1583374513,512,0
1583385791,0,1536
1583430312,1024,0
1583438413,0,768
1583495111,256,1536
1583525712,768,512
1583549111,768,0
1583586011,0,1024
1583608512,768,0
1583694911,1024,768
1583758812,256,1024
1583781311,1024,0
1583804710,256,768
1583814118,256,0
1583864340,1536,768
1583875812,0,256
1583899217,512,0
1583935215,1024,2048
1583946912,512,0
1583963112,256,0
1583973911,512,0
1583994613,0,768
1584025216,1280,768
1584085511,512,768
1584096311,0,1792
1584115215,1792,0
1584126013,256,0
1584197111,0,1536
1584216295,512,0
1584249810,512,512
1584295215,1280,512
1584306016,0,512
1584338414,0,1280
1584370815,2048,0
1584387911,512,0
1584428411,256,512
1584447311,0,1536
1584450914,1280,0
1584468020,256,512
1584474303,768,0
1584506712,512,0
1584537312,0,2048
1584539111,256,0
1584552960,256,256
1584561258,0,768
1584584111,512,0
1584645313,512,768
1584661512,0,512
1584671901,256,0
1584728111,768,256
1584738014,0,512
1584794711,0,1024
1584799215,1536,0
1584825418,768,0
1584851660,512,0
1584885615,512,512
1584894611,256,0
1584900903,0,256
1584954903,0,768
1584976321,512,1792
1584982812,256,0
1584994511,256,0
1585009811,256,0
1585058412,1280,256
1585070112,0,512
1585091712,256,256
1585098015,0,256
1585144816,1024,1024
1585167313,0,256
1585244711,0,1536
1585251912,1024,0
1585254612,256,0
1585256878,256,0
1585278911,256,0
1585332912,768,512
1585346753,0,512
1585361173,0,256
1585395011,1280,0
1585416611,256,768
1585469917,0,1280
1585485010,1280,0
1585493111,512,512
1585500310,256,0
1585508410,256,0
1585524610,512,0
1585568710,0,1280
1585584910,1536,768
1585596609,0,512
1585609211,256,256
1585667237,768,768
1585673111,0,512
1585689303,512,0
1585708209,256,0
1585721984,0,1024
1585755911,1536,256
1585764911,256,512
1585771630,512,0
1585778874,256,256
1585786510,256,0
1585829711,0,256
1585845910,768,1280
1585851309,256,0
1585865710,512,256
1585880110,256,0
1585917009,0,2048
1585924210,2048,0
1585935911,256,256
1585948503,256,0
1585966502,256,0
1585970103,0,256
1586009113,0,1536
1586016903,1024,512
1586025911,256,512
1586036710,0,256
1586049303,256,0
1586056837,256,256
1586060110,0,256
1586097166,768,768
1586119509,512,0
1586124909,256,0
1586173510,1024,0
1586175311,256,0
1586179970,0,1024
