DateTime,AddedIPs,RemovedIPs
1589012402,555,565
1589016243,565,555
1589027762,332,324
1589039283,354,361
1589043122,111,101
1589046962,101,111
1589050802,111,101
1589054642,230,257
1589062322,92,94
1589073842,206,870
1589089202,846,192
1589104563,476,466
1589112242,367,388
1589119922,126,121
1589123763,58,54
1589127603,54,58
1589139123,195,185
1589150642,137,128
1589154483,1,2
1589162163,2,1
1589166002,862,873
1589177523,701,674
1589185203,354,362
1589189043,362,354
1589192883,354,362
1589196722,232,235
1589200562,235,232
1589204402,275,274
1589208243,153,159
1589215924,159,153
1589219763,153,159
1589223602,150,135
1589227443,135,150
1589231283,282,271
1589235123,156,152
1589238963,152,156
1589242803,101,107
1589250483,894,880
1589265843,757,769
1589269682,769,757
1589273523,810,811
1589285044,240,238
1589288883,238,240
1589296562,283,283
1589308082,124,123
1589311923,87,95
1589315762,95,87
1589319602,245,257
1589323442,117,121
1589331123,202,205
1589334963,103,96
1589338802,883,881
1589346722,695,698
1589358243,427,425
1589362082,425,427
1589369762,575,571
1589373843,261,263
1589377684,263,261
1589381522,69,76
1589385363,109,110
1589393043,134,126
1589400723,97,106
1589404562,106,97
1589416082,192,205
1589423762,908,874
1589439123,721,726
1589446803,385,402
1589458802,281,273
1589470323,149,156
1589481842,121,124
1589493363,114,122
1589505122,101,93
1589508963,887,884
1589520482,701,728
1589532004,397,389
1589543522,197,202
1589562963,235,232
1589570644,43,49
1589578323,246,242
1589582162,98,94
1589586002,94,98
1589597522,110,107
1589609043,872,866
1589624643,327,322
1589636403,234,231
1589644082,145,149
1589655603,50,47
1589659442,55,49
1589667363,83,80
1589680083,42,45
1589683923,167,887
1589687763,857,141
1589695442,1,1
1589707202,498,505
1589711043,327,326
1589714882,326,327
1589722563,327,326
1589734323,192,190
1589742003,220,213
1589753762,95,91
1589757603,121,120
1589761442,86,86
1589769123,910,891
1589772963,101,832
1589776802,832,101
1589780643,765,768
1589792162,432,441
1589808003,313,313
1589823362,329,346
1589827204,108,100
1589831042,100,108
1589838722,142,132
1589854323,877,886
1589865843,707,703
1589877363,405,412
1589888882,306,291
1589900402,195,200
1589912163,137,143
1589927523,153,158
1589939042,128,121
1589942882,877,884
1589958483,701,701
1589966163,383,398
1589982963,372,370
1589987283,456,446
1589995683,3,2
1589999765,52,49
1590016083,2,2
1590019922,2,2
1590027603,886,878
1590042962,621,638
1590050882,306,298
1590054723,298,306
1590058563,306,298
1590062403,280,262
1590066484,262,280
1590070322,280,262
1590085922,139,140
1590093603,94,91
1590105123,210,216
1590116643,899,891
1590128162,628,631
1590135842,272,273
1590139682,273,272
1590143763,272,273
1590147602,256,258
1590159122,149,146
1590162963,146,149
1590166810,149,146
1590174483,167,163
1590182403,109,117
1590193923,91,92
1590205443,876,892
1590220802,437,446
1590228482,422,396
1590236172,396,422
1590240242,542,514
1590251763,161,160
1590267123,116,116
1590274802,105,115
1590282482,868,886
1590286323,886,868
1590290162,868,886
1590294002,706,685
1590297842,685,706
1590301683,706,685
1590313202,418,417
1590317042,146,151
1590324722,351,359
1590328562,235,220
1590340083,181,190
1590351603,1,0
1590359523,432,442
1590363363,100,96
1590375123,2,2
1590382803,887,872
1590386882,694,740
1590390723,740,694
1590394563,311,305
1590406083,305,311
1590409922,511,518
1590414002,66,66
1590421682,191,183
1590429608,285,292
1590444962,78,75
1590452643,81,80
1590460324,25,29
1590468003,873,877
1590475923,332,335
1590479763,411,414
1590483604,31,37
1590487443,291,282
1590491283,209,205
1590502803,227,222
1590514323,110,115
1590525844,123,121
1590537363,67,71
1590545042,858,882
1590556563,633,600
1590571923,291,284
1590579843,285,280
1590583682,0,1
1590587523,1,0
1590591610,0,1
1590595444,172,177
1590606962,158,141
1590622322,118,132
1590633845,880,897
1590649203,660,647
1590657362,303,294
1590668883,284,296
1590676562,186,189
1590691922,108,108
1590711363,236,247
1590719043,853,879
1590734404,615,575
1590742084,274,276
1590753606,305,325
1590757683,325,305
1590761522,305,325
1590765362,212,210
1590769203,215,215
1590773043,215,215
1590776882,133,138
1590792242,158,153
1590799923,113,118
1590807606,7,8
1590815523,869,864
1590823203,474,452
1590838562,377,398
1590850083,517,506
1590853923,126,135
1590865683,82,84
1590881043,94,96
1590884882,25,22
1590888723,22,25
1590892562,47,871
1590896402,589,0
1590904083,703,460
1590911763,319,328
1590923282,345,351
1590934803,212,196
1590938642,196,212
1590942482,212,196
1590946322,191,196
1590957843,123,125
1590965523,125,128
1590969363,128,125
1590973202,125,128
1590977523,881,868
1590989042,646,624
1591000803,270,274
1591004642,274,270
1591008482,270,274
1591016406,300,313
1591020243,4,3
1591027922,194,180
1591035603,1,1
1591039442,139,141
1591043283,141,139
1591047122,139,141
1591054803,141,144
1591058643,34,36
1591066322,862,895
1591089362,634,608
1591097042,311,307
1591104723,270,265
1591108562,3,2
1591120082,183,194
1591123922,118,124
1591143122,110,111
1591150802,874,879
1591162562,588,587
1591174082,261,257
1591185602,264,267
1591201442,185,191
1591205284,191,185
1591209122,185,191
1591212963,166,163
1591220643,96,103
1591224482,103,96
1591228322,96,103
1591232162,112,105
1591239842,849,874
1591251362,875,835
1591259042,61,66
1591270804,48,50
1591290003,57,59
1591301522,29,28
1591305362,32,34
1591309203,34,32
1591313045,40,41
1591316882,287,281
1591324562,890,886
1591343762,636,626
1591351442,544,548
1591355282,548,544
1591359362,544,548
1591363203,379,399
1591370882,1,1
1591374722,275,278
1591382402,104,100
1591386242,100,104
1591390083,104,100
1591397763,89,85
1591401602,403,406
1591413122,870,879
1591428722,543,519
1591436402,335,343
1591451763,285,281
1591463286,187,189
1591470962,89,88
1591474802,41,43
1591490162,179,167
1591497843,200,899
1591501682,0,194
1591505522,194,0
1591513206,853,168
1591517282,449,440
1591521123,135,133
1591524962,133,135
1591528803,302,309
1591532643,202,193
1591536482,193,202
1591540322,310,317
1591555682,137,129
1591559523,35,39
1591563362,39,35
1591567204,76,82
1591571282,124,132
1591578962,36,41
1591582803,896,869
1591598163,690,706
1591605844,370,369
1591617363,208,210
1591625282,141,141
1591633203,42,37
1591640882,137,140
1591644723,1,1
1591648563,1,1
1591652402,182,179
1591663922,143,142
1591671606,882,885
1591679282,652,658
1591694642,280,273
1591698483,273,280
1591702322,541,536
1591706163,412,410
1591710002,410,412
1591713843,62,56
1591721523,56,62
1591725362,622,623
1591729203,598,591
1591733283,591,598
1591737123,212,214
1591744803,188,185
1591748642,156,147
1591756323,881,890
1591771923,764,761
1591779603,272,274
1591783443,274,272
1591787282,272,274
1591795202,497,494
1591802882,122,124
1591806723,124,122
1591810562,122,124
1591818243,133,140
1591825922,52,47
1591829763,71,72
1591833603,72,71
1591837683,133,135
1591841522,881,879
1591853042,675,686
1591872243,335,323
1591876082,262,257
1591895523,126,119
1591899362,165,174
1591910883,75,78
1591922403,119,120
1591930082,885,881
1591941611,774,769
1591949523,212,210
1591961044,190,202
1591968722,2,2
1591972563,139,138
1591976403,138,139
1591980242,139,138
1591984083,274,287
1592003762,425,422
1592007603,180,174
1592019123,858,877
1592022962,877,858
1592026802,858,877
1592042162,505,506
1592053682,499,497
1592061362,249,256
1592065202,285,281
1592069042,149,151
1592072882,151,149
1592076722,281,281
1592080562,160,162
1592088242,245,240
1592095922,94,97
1592099763,97,94
1592107442,908,859
1592111282,478,745
1592118963,795,550
1592134323,326,326
1592146083,235,230
1592157842,163,168
1592169362,106,106
1592177043,97,104
1592188562,881,878
1592200083,617,614
1592215443,383,368
1592223123,232,239
1592226962,97,96
1592238723,158,162
1592250242,94,101
1592265602,111,120
1592273283,857,873
1592277122,357,367
1592292483,436,430
