DateTime,AddedIPs,RemovedIPs
1549744305,3,5
1549830730,4,1
1549917120,3,1
1550003560,2,2
1550090054,2,5
1550176370,2,3
1550263104,2,4
1550349159,6,3
1550435590,4,1
1550521996,0,5
1550608415,5,2
1550694877,3,3
1550781165,2,1
1550867518,1,3
1550953902,3,0
1551040277,1,6
1551127111,4,4
1551213059,2,2
1551299560,3,3
1551386118,5,3
1551472682,3,3
1551558667,2,3
1551645095,1,4
1551731532,5,1
1551818070,2,3
1551904281,1,1
1551991041,3,3
1552077058,2,1
1552163470,2,2
1552246304,3,2
1552333113,0,4
1552419100,4,2
1552505504,2,0
1552592236,1,5
1552678681,2,1
1552764660,2,2
1552851086,4,3
1552938243,3,4
1553024294,2,1
1553110459,0,3
1553196884,3,2
1553283197,3,2
1553369490,3,4
1553455873,5,2
1553542383,2,5
1553628833,2,0
1553715112,0,1
1553801502,2,6
1553887895,4,2
1553974243,2,3
1554060667,1,3
1554147303,4,4
1554233508,4,3
1554319926,4,2
1554406308,2,4
1554492704,5,2
1554579104,2,2
1554665503,1,2
1554752596,1,3
1554838311,6,1
1555011193,1,5
1555097481,3,4
1555183861,5,3
1555270281,3,2
1555356675,2,2
1555443151,2,4
1555529484,5,2
1555615848,3,2
1555702244,1,3
1555788636,4,1
1555875062,1,3
1555961480,3,4
1556047860,5,3
1556134400,2,1
1556220679,2,5
1556307065,5,1
1556393446,1,3
1556479834,1,1
1556566321,1,4
1556652637,4,4
1556739334,5,3
1556825471,2,3
1556912437,4,3
1556998225,3,3
1557084645,3,2
1557171057,1,1
1557257464,2,2
1557343866,1,4
1557430276,5,2
1557516592,2,3
1557602996,3,3
1557689392,5,3
1557775942,1,5
1557862263,3,1
1557948619,3,1
1558035042,4,4
1558121422,2,5
1558207796,4,0
1558294245,2,3
1558380635,1,1
1558467178,2,5
1558553470,3,5
1558640002,3,3
1558726196,3,2
1558812578,3,2
1558898968,0,3
1558985371,4,2
1559071847,2,3
1559158269,4,2
1559244610,1,3
1559331072,3,3
1559417414,2,2
1559503881,4,0
1559590305,0,1
1559676669,0,2
1559763085,2,4
1559849432,4,2
1559935974,4,4
1560022263,4,4
1560108668,3,0
1560195119,0,2
1560281476,3,4
1560367875,0,1
1560454263,1,3
1560540561,4,3
1560626856,3,0
1560713301,0,2
1560799659,3,2
1560886106,0,2
1560972488,2,2
1561058949,3,1
1561145326,1,3
1561231713,1,4
1561318126,4,1
1561404503,1,3
1561490942,2,1
1561577504,2,3
1561663754,3,4
1561750117,2,1
1561836507,1,1
1561922943,4,3
1562009316,2,5
1562095710,4,3
1562182098,3,1
1562268480,3,3
1562354920,3,7
1562441273,4,0
1562527681,1,4
1562614150,5,2
1562700475,2,4
1562786869,1,2
1562873251,3,1
1562959718,2,3
1563046065,3,2
1563132449,4,2
1563218947,2,5
1563305311,2,1
1563391698,3,2
1563478057,2,2
1563564461,2,2
1563650840,1,2
1563737265,0,4
1563823829,4,2
1563910071,4,2
1563996473,3,3
1564082879,2,1
1564169444,2,2
1564255811,0,1
1564342266,3,1
1564428498,1,3
1564515072,1,4
1564601652,6,4
1564687777,3,6
1564774103,5,3
1564860538,2,2
1564946881,1,3
1565033555,5,2
1565119784,2,4
1565207201,3,3
1565292507,4,1
1565379005,2,5
1565465297,4,3
1565551684,2,4
1565638592,4,3
1565724585,3,1
1565810938,1,2
1565897294,1,2
1565983902,2,3
1566070064,4,3
1566156489,3,3
1566243012,2,2
1566329302,2,0
1566415700,1,2
1566502276,1,2
1566588511,2,3
1566674850,3,1
1566761287,1,1
1566847733,2,4
1566934083,3,2
1567020603,0,2
1567107133,3,4
1567193317,4,1
1567279627,1,1
1567366021,2,3
1567452427,2,1
1567539091,1,4
1567625282,5,4
1567711659,4,2
1567798186,1,1
1567884466,2,4
1567970802,3,4
1568058080,3,2
1568143665,3,0
1568230099,0,1
1568316433,0,2
1568402845,1,3
1568489232,2,1
1568575657,3,1
1568662058,0,3
1568748640,4,4
1568835327,3,7
1568921310,8,3
1569007765,2,4
1569094059,3,5
1569180459,2,2
1569266958,2,1
1569353302,3,2
1569439680,2,4
1569526074,2,2
1569612607,1,3
1569698877,5,1
1569785290,0,4
1569872007,5,4
1569958163,4,2
1570044580,2,4
1570131043,4,2
1570217413,1,4
1570303674,6,1
1570390061,2,2
1570476564,0,2
1570563043,3,3
1570649307,3,2
1570735713,1,2
1570822148,3,1
1570908487,0,3
1570994863,4,0
1571081321,0,3
1571167695,2,0
1571254084,0,2
1571340495,3,1
1571427027,1,2
1571513302,4,5
1571599660,2,3
1571686114,4,1
1571772557,1,3
1571858960,3,4
1571945467,4,3
1572031996,2,3
1572118112,3,0
1572204508,1,2
1572291091,2,3
1572377305,3,3
1572463754,2,2
1572550331,2,4
1572636616,4,2
1572722953,3,4
1572812948,3,3
1572899304,4,2
1572985728,1,3
1573072190,2,5
1573158458,6,3
1573245607,5,2
1573331291,2,2
1573417670,2,4
1573504129,3,2
1573590783,2,4
1573676875,4,4
1573763375,3,2
1573849983,4,4
1573936095,2,2
1574022465,2,1
1574108941,0,1
1574195446,2,2
1574281857,2,2
1574368131,2,0
1574454660,1,5
1574540907,4,3
1574627298,2,1
1574713743,1,3
1574800155,3,2
1574886428,4,2
1574972828,1,3
1575059340,3,1
1575145678,1,2
1575232064,2,1
1575318445,1,2
1575404856,2,2
1575491369,5,2
1575577741,2,6
1575664124,5,1
1575750497,0,2
1575836859,2,2
1575923296,0,4
1576009668,2,1
1576096164,5,2
1576182486,0,2
1576268892,4,2
1576355274,1,3
1576441633,1,1
1576528218,1,1
1576614580,1,4
1576700933,4,1
1576787350,0,1
1576873797,1,2
1576960076,2,0
1577046481,1,2
1577132916,3,2
1577219229,1,3
1577305684,3,1
1577392177,2,7
1577478569,5,2
1577564894,2,1
1577651308,0,3
1577737684,3,1
1577824068,2,0
1577910477,1,5
1577996884,5,4
1578083557,3,2
1578169686,3,1
1578256041,1,4
1578342485,1,1
1578428952,1,3
1578515322,5,2
1578601793,2,3
1578688304,2,2
1578774506,3,4
1578860868,3,1
1578947331,1,2
1579033747,2,3
1579120051,1,4
1579206521,2,1
1579293112,2,0
1579379327,1,1
1579465705,0,1
1579552119,1,1
1579638604,1,1
1579724866,2,2
1579811404,2,1
1579897912,0,2
1579984217,3,4
1580070491,4,3
1580156982,1,2
1580243272,2,1
1580329769,2,1
1580416058,1,2
1580502688,2,1
1580588864,2,0
1580675304,0,1
1580761730,1,2
1580848124,1,2
1580934495,2,1
1581020899,2,2
1581107322,1,3
1581193648,1,2
1581280040,2,0
1581366482,2,0
1581452932,1,1
1581539233,1,1
1581625640,1,0
1581712307,0,2
1581798506,2,0
1581884848,0,3
1581971284,2,3
1582057679,4,2
1582144145,1,2
1582230696,4,2
1582316928,1,2
1582403244,1,0
1582489655,0,3
1582576112,3,0
1582662584,0,3
1582749195,2,3
1582835413,3,3
1582921778,4,3
1583008038,2,3
1583094439,3,1
1583180888,1,1
1583267422,2,2
1583353707,1,1
1583440092,1,2
1583526961,1,3
1583612994,2,1
1583695700,1,0
1583782152,1,0
1583868517,1,3
1583955005,0,1
1584041580,3,0
1584127677,0,1
1584214102,1,1
1584300478,1,2
1584386949,2,1
1584473358,0,2
1584559659,1,1
1584646130,1,1
1584732577,3,3
1584818896,3,5
1584905303,5,1
1584991719,1,2
1585078313,2,3
1585164502,2,1
1585250881,1,1
1585337495,0,1
1585423672,2,3
1585510128,1,0
1585596485,0,2
1585682995,3,1
1585769280,2,3
1585855696,3,2
1585942277,2,3
1586028433,3,2
