DateTime,Entries,UniqueIPs
1530765002,2337,20199918
1530851403,2338,20199919
1531110602,2333,20132850
1531197002,2335,20132594
1531283403,2337,20132596
1531369802,2335,20132595
1531456202,2341,20132599
1531715402,2340,20130553
1531801803,2342,20130554
1531888202,2343,20130555
1531974603,2349,20130561
1532061002,2350,20130561
1532320202,2354,20064521
1532406603,2363,20064784
1532493002,2364,20064529
1532579402,2367,20065042
1532665802,2351,20059926
1532925002,2370,19999001
1533011403,2370,19999001
1533097803,2374,19999006
1533184202,2378,19999010
1533270602,2383,19999015
1533529802,2392,19931442
1533616202,2393,19931443
1533702602,2396,19931446
1533789002,2395,19931446
1533875403,2380,19926585
1534134602,2389,19926849
1534221002,2393,19926853
1534307402,2413,19931719
1534393803,2400,19926860
1534480202,2420,19931471
1534739402,2431,19939927
1534825802,2434,19939931
1534912203,2445,19939942
1534998603,2450,19939949
1535085002,2467,19939964
1535344202,2468,19929729
1535430602,2479,19929741
1535517003,2492,19930009
1535603402,2495,19929757
1535689803,2508,19929770
1535949003,2515,19895987
1536035402,2515,19895987
1536121802,2515,19895987
1536208202,2515,19895987
1536294603,2516,19895987
1536553802,2569,19753709
1536640203,2586,19753725
1536726602,2601,19753741
1536813003,2609,19753749
1536899402,2630,19753769
1537158603,2633,19753517
1537245003,2637,19753521
1537331403,2644,19753528
1537417803,2653,19753537
1537504202,2553,19753437
1537763403,2661,19654219
1537849804,2671,19654229
1537936203,2678,19654236
1538022603,2693,19654252
1538109003,2711,19654270
1538368203,2727,19587215
1538454602,2731,19587219
1538541002,2745,19587233
1538627403,2772,19587260
1538713802,2787,19587275
1538973002,2793,19587026
1539059402,2793,19587026
1539145803,2794,19587027
1539232203,2796,19587028
1539318603,2794,19587028
1539577802,2791,19503828
1539664202,2791,19503828
1539750602,2792,19503574
1539837003,2796,19504087
1539923403,2792,19504597
1540182602,2787,19435733
1540269003,2788,19435221
1540355402,2788,19431125
1540441803,2684,19431276
1540528203,2791,19431638
1540787402,2789,19429334
1540873803,2787,19429078
1540960203,2790,19429590
1541046603,2788,19429078
1541133003,2789,19429334
1541395803,2782,19421654
1541482202,2783,19421654
1541568603,893,19419754
1541655001,891,19419754
1541741402,893,19419754
1542000601,887,19217002
1542087002,886,19217002
1542173402,886,19217002
1542259802,886,19217002
1542346201,885,19217002
1542605401,888,19156586
1542691801,887,19156586
1542778201,888,19156586
1542864601,888,19156586
1542951000,887,19156586
1543210200,2923,18562153
1543296600,2923,18562153
1543383000,2923,18562153
1543469400,2923,18562153
1543555800,2923,18562153
1543815000,2931,18917481
1543901400,2932,18917737
1543987799,2932,18917737
1544074200,2932,18917737
1544160600,2931,18917737
1544419799,3124,18918188
1544506201,3201,18918266
1544592599,894,18916202
1544679000,893,18915946
1544765398,893,18915946
1545024599,888,18827114
1545110999,888,18826858
1545197398,888,18826858
1545283798,887,18826858
1545370197,889,18826860
1545802197,885,18821996
1545888597,884,18821740
1545974996,884,18821740
1546234196,882,18787692
1546406996,882,18787692
1546579795,882,18787692
1546838995,881,18786668
1546925396,880,18786667
1547011795,880,18786667
1547098195,880,18786667
1547184595,880,18786667
1547443795,877,18786155
1547530195,878,18786155
1547616594,879,18786411
1547702994,878,18786155
1547789394,860,18781291
1548048593,881,18787179
1548134994,880,18786923
1548221393,880,18786923
1548307793,880,18786923
1548394192,880,18786923
1548713168,1302,18720788
1548739793,1298,18721039
1548826192,1294,18720780
1548912592,1293,18720778
1548998992,1290,18720775
1549258191,1273,18720758
1549344591,1277,18720762
1549430991,1278,18720763
1549603791,1291,18721031
1549862988,1295,18650382
1549949389,1276,18650363
1550035788,1273,18650361
1550122188,1265,18650353
1550208588,1256,18650343
1550467789,1116,18353269
1550554189,1113,18353266
1550640590,1112,18353265
1550726989,1112,18353265
1550813390,1077,18353230
1551072589,1101,18351976
